"osm_id","osm_type","osm_url","lat","lon","name","name:en","name:gv","natural","ele","wikidata"
"7762882746","node","https://osm.org/node/7762882746","54.059288","-4.814867","Gibbdale Point","","","cape","",""
"468540748","way","https://osm.org/way/468540748","","","Glen Darragh","","","wood","",""
"468537286","way","https://osm.org/way/468537286","","","Glen Darragh Lake","","","water","",""
"68248404","way","https://osm.org/way/68248404","","","Glen Mooar","","","wood","",""
"8637714884","node","https://osm.org/node/8637714884","54.266912","-4.616417","Gob ny Creggan Glassey","","Gob ny Creggan Glassey","cape","",""
"8637714865","node","https://osm.org/node/8637714865","54.254051","-4.635625","Gob y Deigan","","Gob y Deigan","cape","",""
"8637714883","node","https://osm.org/node/8637714883","54.24418","-4.651402","Gob y Skeddan","","","cape","",""
"72439743","way","https://osm.org/way/72439743","","","Grawe Reservoir","","","water","",""
"283518133","node","https://osm.org/node/283518133","54.202326","-4.581095","Greeba Mountain","","","peak","422",""
"1974486105","node","https://osm.org/node/1974486105","54.174667","-4.419811","Groudle Bay","","","bay","",""
"78029254","way","https://osm.org/way/78029254","","","Groudle Glen","","","wood","",""
"78032669","way","https://osm.org/way/78032669","","","Groudle Glen","","","wood","",""
"827914637","way","https://osm.org/way/827914637","","","Halfway Rocks","","","bare_rock","",""
"146827432","way","https://osm.org/way/146827432","","","Headlands Paths","","","scrub","",""
"283481983","node","https://osm.org/node/283481983","54.242135","-4.527473","Injebreck Hill","","","peak","399",""
"833002555","way","https://osm.org/way/833002555","","","Ippney","","","bare_rock","",""
"8398345470","node","https://osm.org/node/8398345470","54.098258","-4.775548","Johnsons Beach","","","beach","",""
"283508919","node","https://osm.org/node/283508919","54.161386","-4.505036","Jubilee Oak Tree","","","tree","",""
"10135837716","node","https://osm.org/node/10135837716","54.351543","-4.548496","Jurby Head","","","cape","","Q26715135"
"727802288","node","https://osm.org/node/727802288","54.068727","-4.736015","Kallow Point","","","cape","",""
"827168775","way","https://osm.org/way/827168775","","","Kentraugh Rabbit Warren","","","grassland","",""
"10141524230","node","https://osm.org/node/10141524230","54.125827","-4.522899","Keristal","","Keristal","bay","",""
"25988272","way","https://osm.org/way/25988272","","","Kerrowdhoo Reservoir","","","water","",""
"7762882745","node","https://osm.org/node/7762882745","54.061371","-4.807916","Kione Beg","","","cape","",""
"7762882766","node","https://osm.org/node/7762882766","54.054185","-4.800959","Kione Roauyr","","","cape","",""
"7762882754","node","https://osm.org/node/7762882754","54.048949","-4.80768","Kione ny Halby","","","cape","",""
"37691394","way","https://osm.org/way/37691394","","","Kitterland","Kitterland","Famman Kitterland","coastline","","Q125559"
"7774959843","node","https://osm.org/node/7774959843","54.16924","-4.425773","Lag Birragh","","Leg Birragh","bay","",""
"11197414774","node","https://osm.org/node/11197414774","54.065847","-4.618031","Langness Peninsula","","","peninsula","","Q158145"
"10141570926","node","https://osm.org/node/10141570926","54.054611","-4.632693","Langness Point","","","cape","","Q26715136"
