Planning Application No,Proposal,Property Address,Decision,Date decision issued
20/01326/B,Alterations and erection of extension to provide two apartments,Pinewood Complex Laburnum Road Douglas Isle Of Man IM2 1DE ,REF,19-Jan-21
20/01328/B,Conversion of redundant workshop to provide tourist living accommodation (class 3.6),Gateways Lezayre Road Glen Tramman Ramsey Isle Of Man IM7 2AW,REF,12-Jan-21
20/01329/B,Creation of patio door opening and removal of existing door & window to South West Elevation,39 Ballanard Road Douglas Isle Of Man IM2 5HB,PER,02-Feb-21
20/01330/C,Additional use of garage as a fitness studio/gym,1 Laureston Avenue Douglas Isle Of Man IM2 3AE ,PER,05-Feb-21
20/01331/B,Installation of raised decking and replacement of existing window with bi-fold doors to front elevation,Shieling Bay View Road Port Erin Isle Of Man IM9 6LF,PER,12-Jan-21
20/01332/B,Erection of an extension to front elevation,16 Silverburn Crescent Ballasalla Isle Of Man IM9 2DS,PER,18-Jan-21
20/01333/B,Installation of a garden bridge,Majestic Apartments King Edward Road Onchan Isle Of Man IM3 2BD,PER,24-Feb-21
20/01334/B,Erection of a store room extension to side elevation of dwelling,Maynrys Grove Mount Ramsey Isle Of Man IM8 3HG ,PER,08-Jan-21
20/01335/B,"Alteration and first floor extension over garage, installation of dormer window to front elevation and balcony and staircase to rear",37 Claughbane Drive Ramsey Isle Of Man IM8 2BH,PER,15-Mar-21
20/01338/B,Erection of an extension to rear elevation,14 Hillcroft Douglas Isle Of Man IM2 7DW,PER,13-Jan-21
20/01339/A,Approval in principle for the erection of one detached dwellings with associated parking within front garden,Rosemanly New Castletown Road Douglas Isle Of Man IM2 1HP ,PER,30-Mar-21
20/01340/B,Alterations and erection of extension,1 Bradda View Ballakillowey Colby Isle Of Man IM9 4BE ,PER,12-Jan-21
20/01341/C,Additional Use of residence as tourist accommodation,Harbour View 9 Traie Twoaie Ramsey Isle Of Man IM8 3DB ,PER,22-Jan-21
20/01342/B,"Erection of extension, raised decking and bridge access from existing external steps",Fishermans Cottage Dandy Hill Port Erin Isle Of Man IM9 6HN,PER,16-Feb-21
20/01343/B,Erection of a first floor extension above existing garage and widening of existing driveway and vehicular access,13 Farmhill Gardens Douglas Isle Of Man IM2 2EG,PER,21-Jan-21
20/01344/B,Erection of an extension to rear elevation,30 Farmhill Park Douglas Isle Of Man IM2 2ED,PER,20-Jan-21
20/01345/B,Extension to existing dwelling and erection of a detached garage,10 Banks Howe Onchan Isle Of Man IM3 2ET,PER,31-Mar-21
20/01346/B,Installation of replacement windows,Gull Cottage 11 Factory Lane Peel Isle Of Man IM5 1NA,PER,01-Feb-21
20/01348/B,Replacement of existing roof tiles and alterations to existing conservatory including installation of new flat roof and roof lantern above and the installation of replacement windows,49 Sea Cliff Road Onchan Isle Of Man IM3 2JD,PER,18-Mar-21
20/01349/B,Conversion of existing four bedroom duplex into two apartments,Mona Cottage Marathon Terrace Queens Promenade Douglas Isle Of Man IM2 4NH ,PER,18-Jan-21
20/01350/B,Erection of dwelling,17 Watterson Road Reayrt Mie Ballasalla Isle Of Man IM9 2BD ,PER,03-Feb-21
20/01352/B,Installation of 2 x additional air conditioning condenser units on the roof top of Villiers House,Villiers Building Victoria Street Douglas Isle Of Man IM1 2LN,PER,02-Feb-21
20/01353/B,Alterations and erection of rear extension to dwelling,12 Marsden Terrace Ramsey Isle Of Man IM8 3DS,PER,15-Jan-21
20/01355/MCH,Minor changes application to PA 18/00504/B involving alterations to windows and installation of patio doors,Field 234268 Douglas Road Kirk Michael Isle Of Man  ,PER,16-Feb-21
20/01357/B,Installation of replacement windows and doors,5 Rivers Court Glen Road Laxey Isle Of Man IM4 7AG,PER,08-Jan-21
20/01358/C,Additional use of accommodation within and above existing detached garage building as tourist accommodation,Ballacowle Cottage Agneash Laxey Isle Of Man IM4 7NW ,REF,08-Jan-21
20/01359/B,"Conversion of two flats into one dwelling, creation of raised rear decking and creation of an additional parking space",19 Falkland Drive Onchan Isle Of Man IM3 1EG ,PER,15-Jan-21
20/01360/B,Roofing works to rear single storey outlet,9 Dumbells Terrace Laxey Isle Of Man IM4 7NY,PER,08-Jan-21
20/01362/B,Creation of a terrace and replacement of an existing window with patio doors,46 Banks Howe Onchan Isle Of Man IM3 2ER,PER,18-Jan-21
