Planning Application No,Proposal,Property Address,Decision,Date decision issued
21/00367/CON,"Registered Building consent for alteration and refurbishment works including the replacement of existing roof to tower and hall sections, replacement of roof slates, reconstruction of chimney stacks and chimney pots; addition of one rainwater pipe and hop",Bishopscourt Mansion House Bishopscourt Kirk Michael Isle Of Man IM6 2EZ ,PER,02-Aug-21
21/00368/B,Alterations and erection of an extension,Clenagh Cot Clenagh Road Sulby Isle Of Man IM7 3AB,PER,06-May-21
21/00369/B,Installation of a replacement garage door,Garage 2 Brewery Wharf Castletown Isle Of Man IM9 1ES,PER,07-May-21
21/00370/B,Installation of a flue,20 Watterson Road Reayrt Mie Ballasalla Isle Of Man IM9 2BD ,PER,28-May-21
21/00371/C,Additional use of residential property as tourist accommodation,48 Queen Street Castletown Isle Of Man IM9 1NZ,PER,01-Jun-21
21/00372/B,Erection of fencing (retrospective),3 King Edward Park Onchan Isle Of Man IM3 2AD,REF,28-May-21
21/00373/C,Additional of use of part of residence as a hairdressing salon,Heatherlea Bay View Road Port Erin Isle Of Man IM9 6NA,REF,28-Jul-21
21/00374/B,Alterations and erection of linking extension between dwelling and detached garage,27 Greenlands Avenue Ramsey Isle Of Man IM8 2PN,PER,11-Jun-21
21/00375/B,Erection of a two story extension to side elevation,South View Ballamodha Straight Ballasalla Isle Of Man IM9 3EN,REF,07-Jul-21
21/00376/CON,"Registered Building consent for structural repair to front elevation - remove render, replace lintels, reinstate render, reinstate internal plaster finish in association to PA 20/01180/GB",9 Harris Terrace Douglas Isle Of Man IM1 3LZ,PER,14-May-21
21/00377/B,Installation of replacement windows,45 Selborne Drive Douglas Isle Of Man IM2 3NJ,PER,28-May-21
21/00378/C,Additional use of residential property as tourist accommodation,12 Bridge Street Peel Isle Of Man IM5 1NF,PER,20-May-21
21/00379/B,Erection of wall with gate access (retrospective),Camelot Somerset Road Douglas Isle Of Man IM2 5AE,PER,03-Jun-21
21/00380/B,Erection of a replacement agricultural building and creation of a horse carriage driving arena,Cronk Vane  Stoney Mountain Road Eairy Isle Of Man IM4 3HJ,PER,10-Aug-21
21/00382/B,Alterations and erection of rear extensions to property,Cronk Froy Knock Froy Road Santon Isle Of Man IM4 1JD ,PER,28-May-21
21/00383/B,Installation of replacement windows to front elevation,60 Patrick Street Peel Isle Of Man IM5 1BS,PER,18-Jun-21
21/00384/B,Installation of replacement windows,Meersbrook Quarterbridge Road Douglas Isle Of Man IM2 3RG,PER,18-Jun-21
21/00385/B,Erection of a single storey extension to the rear elevation,Ballachrink Farm Dalby Isle Of Man IM5 3BN ,PER,23-Jun-21
21/00387/B,"Erection of rear extension, installation of a pitched roof and creation of a first floor window to rear elevation",Cronk Breck Grenaby Ballasalla Isle Of Man IM9 3BD ,REF,10-Aug-21
21/00388/B,Erection of a conservatory to rear elevation,Ballaskeig Croit E Quill Road Laxey Isle Of Man IM4 7JJ,PER,20-May-21
21/00389/B,Installation of a flue,Thie Gamman Beg The Crescent Baldrine Isle Of Man IM4 6DY,PER,28-May-21
21/00390/MCH,Minor Change application to PA 20/00180/B involving the relocation of approved clubhouse,Fields 534017 & 534018 Blackberry Lane Onchan Isle Of Man  ,PER,30-Apr-21
21/00391/B,Erection of an extension to rear elevation,9 Birch Drive Ballawattleworth Peel Isle Of Man IM5 1WR ,PER,30-Jun-21
21/00392/B,Erection of a summerhouse with integral garden storage,Green Acres Barroose Road Baldrine Isle Of Man IM4 6AP,PER,28-May-21
21/00393/B,Installation of replacement windows,Valhalla 1 Athol Street Port St. Mary Isle Of Man IM9 5DS ,PER,30-Jun-21
21/00394/B,Alterations and erection of extension including conversion of garage to living accommodation,Carina 7 Bowling Green Road Castletown Isle Of Man IM9 1EA,PER,15-Jun-21
21/00395/B,Replacement of existing conservatory with an extension,18 Main Road Onchan Isle Of Man IM3 1AS,PER,17-Jun-21
21/00396/B,Alterations and erection of extensions to side and rear elevations,Ballakerkey Cottage Shore Road Glen Maye Isle Of Man IM5 3BG ,PER,08-Jul-21
21/00397/B,Erection of a summerhouse,9 Ennerdale Avenue Onchan Isle Of Man IM3 2EU,PER,17-Jun-21
21/00398/B,Extension to first floor rear dormer,1 Ballafurt Close Port Erin Isle Of Man IM9 6HS,PER,16-Jun-21
21/00399/MCH,Minor Change application to PA 20/00707/B involving the addition of an overhang to approved building,Lower Gleneedle Gleneedle Lower Foxdale Isle Of Man IM4 3BF,PER,05-May-21
21/00400/CON,Registered building consent for installation of replacement windows in association with PA 21/00406/GB,Mannanan House Market Square Castletown Isle Of Man  ,REF,03-Jun-21
21/00401/B,Erection of rear extension and rear semi-subterranean garage with patio above,Wendover St Ninians Road Douglas Isle Of Man IM2 4BB,PER,16-Jul-21
21/00402/B,Erection of a two horse timber stable with feed/tack storage,Rheast Cottage Smeale Ramsey Isle Of Man IM7 3EE ,PER,17-Jun-21
21/00403/C,Conversion of existing detached garage as hairdressers/salon,10 Banks Howe Onchan Isle Of Man IM3 2ET,PER,17-Jun-21
21/00404/B,Erection of a dwelling,Saoirse Station Road Port St. Mary Isle Of Man IM9 5LF ,PER,25-Aug-21
21/00405/B,Erection of a rear extension,Craymore 11 Groudle Road Onchan Isle Of Man IM3 2EJ,PER,16-Jun-21
21/00406/GB,Installation of replacement windows to front and side elevations RB17,Mannanan House Market Square Castletown Isle Of Man  ,REF,03-Jun-21
21/00409/B,Erection of an open sided car port,California Cottage Glen Road Colby Isle Of Man IM9 4NU ,PER,30-Jun-21
21/00410/B,Alterations and replacement of existing conservatory with sunroom,The Swallows 6 Manor Park Onchan Isle Of Man IM3 2EP,PER,28-May-21
21/00411/B,Alterations and erection of an extension to the existing garage,33 Majestic Drive Onchan Isle Of Man IM3 2JL,PER,03-Jun-21
21/00412/B,"Alterations including re-roofing, installation of replacement windows, and erection of front porch extension",Highfield Ballakilpheric Road Colby Isle Of Man IM9 4BU,PER,23-Jun-21
21/00413/B,Installation of an external flue,17 William Proctor Court Reayrt Y Sheear Douglas Isle Of Man IM2 6PR ,PER,30-Jun-21
21/00414/MCH,Minor Change application to PA 19/01102/B involving alterations to approved cladding and blockwork and forecourt area finish,New Factory Unit The Paddocks Jurby Industrial Estate Jurby Isle Of Man  ,PER,14-May-21
21/00415/B,Replacement of existing sliding doors with bi-fold doors,11 The Church View Braddan Douglas Isle Of Man IM4 4TF ,PER,16-Jun-21
21/00416/B,"Erection of six industrial units / commercial / storage units with associated roads, footpaths and vehicle parking",Land Off Harcourt Drive Balthane Ballasalla Isle Of Man  ,PER,07-Jun-21
21/00417/B,Erection of 12 temporary timber beach huts to be used between 28th March to 31st October annually,Port Erin Beach Shore Road Port Erin Isle Of Man  ,PER,15-Jun-21
21/00418/B,"Erection of seven industrial units / commercial / storage units with associated roads, footpaths and vehicle parking",Land Off Harcourt Drive Balthane Industrial Estate Ballasalla Isle Of Man  ,PER,28-May-21
21/00419/B,Erection of a summerhouse,9 Beech Avenue Onchan Isle Of Man IM3 3HQ,PER,29-Jun-21
21/00420/B,Conversion of existing farm buildings into 2 tourist accommodation units,Corlea Farm Corlea Road Ballasalla Isle Of Man IM9 3BA ,PER,10-Aug-21
21/00421/B,Conversion existing nightclub/public house to create first & second floor residential area and ground floor mixed use cafe/barbers shop including outdoor seating area,Paramount City Queens Promenade Douglas Isle Of Man IM2 4NN,PER,08-Sep-21
21/00422/B,Erection of an extension to rear elevation,Greystones Quarterbridge Road Douglas Isle Of Man IM2 3RL,PER,23-Jun-21
21/00423/B,Alterations porch roofing and installation of replacement window to front elevation,10 Greenlands View Ramsey Isle Of Man IM8 2PB,PER,17-Jun-21
21/00424/B,Erection of a replacement detached dwelling with integral garage and extension of residential curtilage,Shenvalley & Part Field 525044 Old Castletown Road Port Soderick Isle Of Man IM4 1BB,PER,27-Sep-21
21/00425/B,Installation of replacement doors,Angel Court - Apt 1 4 Derby Terrace Central Promenade Douglas Isle Of Man IM2 4LN ,PER,11-Jun-21
21/00426/B,Erection of stables,Ballacallin Beg Foxdale Road Garth Crosby Isle Of Man IM4 2HN,PER,03-Aug-21
21/00427/C,Additional use of residence as tourist accommodation,Kilravock Shore Road Bay Ny Carrickey Port St. Mary Isle Of Man IM9 5LY,PER,10-Jun-21
21/00428/B,Installation of replacement windows and doors (retrospective),1 Browns Terrace Glen Mona Ramsey Isle Of Man IM7 1HB,WDN,06-May-21
21/00429/B,Erection of a porch extension,7 Heywood Drive Onchan Isle Of Man IM3 3AD,PER,20-May-21
21/00430/B,Erection of a stable block,Part Of Field 234332 Cooildharry Road Kirk Michael Isle Of Man  ,PER,17-Jun-21
21/00431/C,Change of use from office space to beauty therapy clinic,1st Floor Office   26 Duke Street Douglas Isle Of Man IM1 2AY,PER,27-May-21
21/00432/B,"Replacement of front porch and, creation of garden wall and widening of vehicular access.",Davenport Queens Road Port St. Mary Isle Of Man IM9 5EU,PER,20-May-21
21/00433/B,Alterations and erection of replacement extension,Byculla Walpole Road Ramsey Isle Of Man IM8 1LT,REF,13-Sep-21
21/00434/B,Removal of a chimney stack (retrospective),15 Groudle Road Onchan Isle Of Man IM3 2EH,PER,20-May-21
21/00435/B,Creation of disabled access,Fairleigh 61 Devonshire Road Douglas Isle Of Man IM2 3RA,PER,11-Jun-21
21/00436/B,Erection of a garage to rear of property,2 Sydney Street Douglas Isle Of Man IM1 3JB,PER,29-Jul-21
21/00437/B,Alterations and erection of sunroom extension to rear elevation and front porch extension,11 Pinehurst Glen Douglas Isle Of Man IM2 1PP ,PER,05-Oct-21
21/00439/B,Erection of a BBQ hut,35 Cronk Y Berry Douglas Isle Of Man IM2 6ES,PER,15-Jun-21
21/00440/B,Installation of replacement windows,Cronk Coar Quarterbridge Road Douglas Isle Of Man IM2 3RJ,REF,11-Jun-21
21/00441/GB,Installation of replacement roof tiles in association with PA 21/00442/CON (retrospective) RB187,9 Victoria Terrace Douglas Isle Of Man IM2 4EU,PER,20-May-21
21/00442/CON,Registered building consent for installation of replacement roof tiles in association with PA 21/00441/GB (retrospective) RB187,9 Victoria Terrace Douglas Isle Of Man IM2 4EU,PER,20-May-21
21/00443/B,Installation of a K6 Telephone Kiosk Garden Feature,Chibbyr Dybber Spaldrick Avenue Port Erin Isle Of Man IM9 6PE ,PER,20-May-21
21/00444/MCH,Minor change application to PA 19/01441/B involving alterations to windows positions and size,Ballacain Cottage Lhagg Road Dalby Isle Of Man IM5 3BU,PER,28-May-21
21/00445/D,Erection of non illuminated signage,Heritage Centre Bridson Street Port Erin Isle Of Man IM9 6AL ,PER,11-Jun-21
21/00446/B,Erection of an extension to rear elevation,14 Ballatessan Meadow Peel Isle Of Man IM5 1DU ,PER,21-Jul-21
21/00447/B,Erection of a replacement detached dwelling with integral garage and associated parking,The Bungalow Ballagawne Road Colby Isle Of Man IM9 4AX,PER,15-Jun-21
21/00449/B,Removal of a chimney stack (retrospective),Sunny Gables Somerset Road Douglas Isle Of Man IM2 5BA,PER,20-Aug-21
21/00450/B,Erection of a detached building to rear garden,6 Old School View Crosby Isle Of Man IM4 4DA ,PER,30-Jun-21
21/00451/CON,"Registered Building Consent for alterations to existing building to including roofing works, replacement of rooflights, guttering and rendering works (in association with PA21/00452/GB)",2 Athol Street Douglas Isle Of Man IM1 1JA,PER,08-Jul-21
21/00452/GB,"Alterations to existing building to including roofing works, replacement of rooflights, guttering and rendering works",2 Athol Street Douglas Isle Of Man IM1 1JA,PER,08-Jul-21
21/00453/B,Erection of extension to existing stable and creation of menage area,Marnoch Ballanicholas Garth Crosby Isle Of Man IM4 2HD,PER,11-Aug-21
21/00454/B,Erection of 9 detached dwellings (amendment to PA 19/00137/B),"5, 6, 9, 10, 11 Christian Close Reayrt Mie Ballasalla Isle Of Man IM9 2BG",PER,25-Jun-21
21/00455/C,Change of use of site from light industrial to retail (class 1.1),"St Helena, Millmount Garage Millmount Douglas Isle Of Man IM2 1HE ",PER,14-Jul-21
21/00457/B,Installation of replacement windows to front elevation,Slaidburn 1 Tennis Road Douglas Isle Of Man IM2 3LW,PER,14-Jul-21
21/00458/B,Creation of a first floor to dwelling,High View Ballanard Road Douglas Isle Of Man IM2 5HA,PER,14-Dec-21
21/00459/B,"Alterations, erection of a rear extension and erection of a detached garage with living accommodation above",2 Primrose Terrace Port St. Mary Isle Of Man IM9 5AP,PER,07-Sep-21
21/00460/B,Installation of a replacement front door,7 Tynwald Road Peel Isle Of Man IM5 1JZ,PER,18-Jun-21
21/00462/B,"Alterations, erection of ground floor and first floor extension and expansion of existing driveway",6 Park Close Glen Vine Isle Of Man IM4 4HB,PER,02-Aug-21
21/00463/B,Removal of the front chimney stack.,Norwood May Hill Ramsey Isle Of Man IM8 2HJ,REF,01-Jul-21
21/00464/B,Erection of detached dwelling with associated access,Siesta Oak Hill Port Soderick Isle Of Man IM4 1AY ,PER,24-Aug-21
21/00465/MCH,Minor Change application to PA 20/01439/B involving window alterations to approved extension,3 Abbots Way Abbotswood Ballasalla Isle Of Man IM9 3EQ ,PER,28-May-21
21/00466/B,Replacement gate pillars and creation of construction access from D45 Pooilvaish Road into Balladoole House,Balladoole House Balladoole Castletown Isle Of Man IM9 4PE ,PER,19-Jul-21
21/00467/B,Erection of a single storey extension,Ballavartyn Farm Ballavartyn Road Santon Isle Of Man IM4 1HT ,PER,21-Jul-21
21/00468/B,Replacement of existing door at rear elevation with a window,41 Farmhill Meadows Douglas Isle Of Man IM2 2LL,PER,16-Jun-21
21/00469/B,External recladding of external walls with insulated render/insulated cladding,QEII High School Douglas Road Peel Isle Of Man IM5 1RD ,PER,30-Jun-21
21/00470/B,Erection of garage extension to rear elevation,12 Queens Avenue Douglas Isle Of Man IM1 4DA,PER,16-Jul-21
21/00472/B,Conversion of industrial site to cafe/restaurant including installation of flue and replacement doors,Isle Of Man Water Authority Depot East Quay Peel Isle Of Man IM5 1AR ,PER,12-Aug-21
21/00473/B,Installation of replacement driveway gates,Seacliffe Old Castletown Road Port Soderick Isle Of Man IM4 1BB ,PER,07-Jul-21
21/00474/B,Installation of replacement windows and door,Fair Haven 118 Woodbourne Road Douglas Isle Of Man IM2 3BA,PER,21-Jun-21
21/00475/B,Alterations to detached garage roofing and replacement patio doors to front elevation of dwelling,Greeba Mount 20 Cronkbourne Road Douglas Isle Of Man IM2 3LB,PER,20-Jul-21
21/00476/B,Erection of two dwellings with associated off road parking and access,Land East Of 22 Old Castletown Road Douglas Isle Of Man IM1 5AW ,PER,21-Sep-21
21/00477/GB,Installation of replacement windows (in association with 21/00478/CON),Old Market Hall Market Hill Douglas Isle Of Man IM1 2BQ ,PER,18-Jun-21
21/00478/CON,Registered Building consent for the installation of replacement windows (in association with 21/00477/GB) Registered Building Nos. 120,Old Market Hall Market Hill Douglas Isle Of Man IM1 2BQ ,PER,18-Jun-21
21/00479/B,Erection of an implement store and maintenance barn,Field 424750 Balladoole House Castletown Isle Of Man IM9 4PE ,PER,13-Jul-21
21/00480/MCH,Minor Change application to PA 20/01116/B involving amendment to the roof covering of approved outbuilding,Fern Villa & Part Fields 410213 & 410216 Ballakillowey Road Colby Isle Of Man IM9 4BW,PER,19-May-21
21/00481/CON,Registered Building consent for demolition elements to PA 20/01385/B,Glen Road Laxey Isle Of Man Isle Of Man  ,PER,01-Jun-21
21/00482/CON,Registered Building consent for demolition elements to PA 21/00298/B,River Section To Rear Of Glen Road Glen Road Laxey Isle Of Man Isle Of Man  ,PER,01-Jun-21
21/00483/CON,Registered Building consent for demolition elements to PA 21/00300/B,River Weir Adj To Glen Road Glen Road Laxey Isle Of Man,PER,01-Jun-21
21/00484/B,Erection of a replacement dwelling and extension to residential curtilage,Scravorley Curragh Road St Johns Isle Of Man IM4 3LN,REF,13-Oct-21
21/00485/B,Alterations and erection of two storey extension to front elevation,Squeen Farm Ballacrye Road Ballaugh Isle Of Man IM7 5BP ,REF,23-Jul-21
21/00486/B,Removal of a chimney stack,Briarswood Ballanard Road Douglas Isle Of Man IM2 5PP,PER,14-Jul-21
21/00487/B,Removal of an existing bulk fuel storage tank and installation of a new bulk fuel storage tank on site of a previously decommissioned tank,Power Station Pulrose Road Douglas Isle Of Man IM2 1AD ,PER,08-Jul-21
21/00488/B,Alterations to external courtyard and basement layout,Royal Shore Apartments Promenade Port Erin Isle Of Man IM9 6PT ,PER,01-Oct-21
21/00489/B,Creation of new windows and glass balcony balustrade to top floor apartment,Royal Shore Apartments Promenade Port Erin Isle Of Man IM9 6PT ,PER,20-Jul-21
21/00490/B,"Alteration, erection of shed and detached garden rooms and creation of a pergola (partial retrospective works)",Durley 66 Ballanard Road Douglas Isle Of Man IM2 5HE ,PER,30-Jun-21
21/00491/B,Combination of two adjoining 4th floor apartments into a single unit,Royal Shore Apartments Promenade Port Erin Isle Of Man IM9 6PT ,PER,20-Jul-21
21/00492/B,Installation of replacement roof tiles,Barroose Cottage Barroose Lane Baldrine Isle Of Man IM4 6AN,PER,08-Sep-21
21/00493/B,Installation of replacement windows,Former L'Experience Restaurant Queens Promenade Douglas Isle Of Man IM2 4PL,PER,30-Jun-21
21/00494/B,Replacement of existing garage with new garage and guest accommodation above and alterations to driveway,Ballaterson Manor Ballaterson Beg Ballaugh Isle Of Man IM7 5BN,PER,05-Oct-21
21/00495/B,Erection of a replacement clubhouse and removal of associated shipping containers,Slieau Lhost Shooting Range  Windy Corner Mountain Road Onchan Isle Of Man  ,PER,27-Jul-21
21/00496/B,Erection of a single storey extension to rear elevation,16 North Quay Douglas Isle Of Man IM1 4LE,PER,16-Jul-21
21/00497/B,Alterations and erection of an extension,The Elms Main Road Glen Vine Isle Of Man IM4 4AZ,REF,23-Sep-21
21/00498/B,Alterations and erection of a rear extension and erection of a detached 2 storey garage with upper floor living accommodation,Capella Main Road Santon Isle Of Man IM4 1JB,REF,14-Jul-21
21/00499/B,Variation of condition 4 to PA 18/00613/B to extend operating hours,Ballakaighen Farm Whitebridge Road Onchan Isle Of Man IM4 6AD ,PER,13-Jul-21
21/00501/B,"Conversion of existing office, residential and retail space to retail (class 1.1) and tea rooms (class 1.3)",Manxonia House Bay View Road Port St. Mary Isle Of Man IM9 5AE,PER,16-Jun-21
21/00502/B,Installation of replacement door and windows,3 Charles Street Peel Isle Of Man IM5 1AF,PER,01-Jul-21
21/00503/B,Erection of a sun lounge extension to rear elevation,9 Lhoan Pibbin Vane Reayrt Ny Cronk Peel Isle Of Man IM5 1GR ,PER,23-Jul-21
21/00504/B,Installation of new windows,Unit 33 Balthane Park Balthane Ballasalla Isle Of Man IM9 2AX ,PER,30-Jun-21
21/00505/B,Widening of existing driveway and vehicular access,43 Garth Avenue Surby Port Erin Isle Of Man IM9 6QZ ,PER,23-Jun-21
21/00507/B,Erection of rear extension to replace existing conservatory,9 Maple Avenue Ballawattleworth Estate Peel Isle Of Man IM5 1WP ,PER,17-Jun-21
21/00508/B,Erection of a polytunnel,Field 394209 Creg Lea Farm Niarbyl Road Dalby Isle Of Man IM5 3BS,PER,30-Jun-21
21/00509/B,Alterations and erection of a 2 storey extension,Ashtree Cottage Ballavitchel Road Crosby Isle Of Man IM4 2DL,PER,09-Jul-21
21/00511/C,Additional use of residence as tourist accommodation,Santa Rosa Summerhill Douglas Isle Of Man IM2 4PG,PER,20-Jul-21
21/00512/MCH,Minor Changes application to PA 20/00609/B involving removal of a window to rear extensio and installation of a window to existing dwelling,20 Groudle View Onchan Isle Of Man IM3 2EY ,PER,28-May-21
21/00513/C,Conversion of existing annex into separate dwelling,Warren Garth Ballagorry Drive Glen Mona Ramsey Isle Of Man IM7 1HE,PER,29-Jul-21
21/00514/B,Erection of an extension the to rear elevation,Croit Ne Kenzie Andreas Village Isle Of Man IM7 4EZ ,PER,21-Jul-21
21/00515/B,Erection of 7 residential dwellings,The Old Parsonage Main Road Sulby Isle Of Man IM7 2HJ,PER,07-Sep-21
21/00516/B,Erection of an agricultural building,Narradale West Narradale Sulby Isle Of Man IM7 2HA ,PER,14-Jul-21
21/00517/B,Replace existing conservatory with an extension,25 Ballagarey Road Glen Vine Isle Of Man IM4 4EB,PER,30-Jun-21
21/00518/B,Creation of a borehole,Narradale Farm Narradale Sulby Isle Of Man IM7 2HA ,PER,14-Jul-21
21/00519/C,Additional use of residential property as a therapy and treatment business,Luss House 14 Patrick Street Peel Isle Of Man IM5 1BR ,PER,02-Jul-21
21/00520/B,Erection of replacement walls and roof to existing extension,Clyeen Douglas Road Kirk Michael Isle Of Man IM6 1AU,PER,14-Jul-21
21/00522/B,Installation of replacement roof tiles,Avalon (formerly Uplands) Main Road Glen Vine Isle Of Man IM4 4AZ ,PER,14-Jul-21
21/00524/B,Rendering works to residential property,24 Mountain View Douglas Isle Of Man IM2 5HX,PER,30-Jun-21
21/00525/B,Erection of detached building to provide stabling and a field shelter,Field 210349 Kerroogarroo Coast Road Jurby Isle Of Man IM7 3ET ,PER,13-Aug-21
21/00526/A,"Approval in Principle for the erection of a proposed detached dwelling, addressing means of access",Scout Clubroom Dalby Isle Of Man IM5 3BT ,REF,11-Aug-21
21/00527/B,Creation of a controlled parking area for motorhomes,"The ""Boneyard""  Hard Standing Area To Rear Of Grandstand And Adjacent To Bowling Green Noble's Park Douglas IM2 6DA ",PER,27-Jul-21
21/00528/B,Installation of a pay and display machines and use of site as a car park outside of the TT and other motorsport events,Paddock Area Nobles Park Douglas Isle Of Man IM2 6DA,PER,27-Jul-21
21/00530/B,"Reconstruction of existing bay window, installation of replacement windows and removal of existing rear lean to store unit",Stafford Ballure Road Ramsey Isle Of Man IM8 1NL,PER,14-Jul-21
21/00531/GB,Alterations and erection of a rear garage (in association with 21/00532/CON),4 Albion Terrace Lezayre Road Ramsey Isle Of Man IM8 2LW ,PER,19-Aug-21
21/00532/CON,Registered Building consent for alterations and erection of a rear garage (in association with 21/00531/GB) Registered Building Nos. 151,4 Albion Terrace Lezayre Road Ramsey Isle Of Man IM8 2LW ,PER,19-Aug-21
21/00533/B,Widening of vehicular access and driveway (retrospective),39 Bymacan Close Ballabeg Castletown Isle Of Man IM9 4EL,PER,21-Jul-21
21/00534/B,Creation of a first floor walkway and replacement of existing first floor window with French doors,Gwelo House New Road Laxey Isle Of Man IM4 7HS,PER,11-Aug-21
21/00535/B,Widening of existing vehicle entrance and driveway,4 Droghadfayle Park Port Erin Isle Of Man IM9 6ER,PER,14-Jul-21
21/00536/B,Installation of replacement windows and doors,21 Woodburn Square Douglas Isle Of Man IM1 4DE ,PER,01-Jul-21
21/00537/B,"Erection of front porch and rear extension to replace existing, rendering works to front elevation and extension of existing vehicular access and driveway",34 Port E Chee Avenue Douglas Isle Of Man IM2 5ER,PER,22-Sep-21
21/00538/B,"Proposed extension to existing Watchmakers Workshop, together with erection of proposed replacement outbuildings to provide staff/client garaging and client accommodation annexe",The Workshop Claddagh Farm Sulby Bridge Sulby Isle Of Man IM7 2EZ ,PER,24-Aug-21
21/00540/B,"Installation of roof over existing retaining walls to form structure to house gas boiler, removal of oil tank and installation of a gas cylinder storage unit",The Pink House Maughold Isle Of Man IM7 1AS ,PER,23-Jul-21
21/00541/B,Erection of first floor extension above existing garage,12 Rowan Avenue Ballawattleworth Peel Isle Of Man IM5 1WG ,PER,19-Jul-21
21/00542/B,"Alterations, erection of extension, rendering works and installation of a summerhouse to rear garden",Thalloo Vell Rheast Lane Peel Isle Of Man IM5 1BG,PER,16-Jul-21
21/00543/C,Change of use from retail to a personal training studio,First Floor 33 - 35 Victoria Street Douglas Isle Of Man IM1 2LF ,PER,01-Jul-21
21/00544/B,Erection of an agricultural building to provide horse stabling and storage of animal feed,Fields 321658 & 324068 Ballacalin Foxdale Road Garth Crosby Isle Of Man IM4 2HD ,PER,15-Sep-21
21/00545/B,Alterations and erection of proposed single storey extension to rear of dwelling,Fairways Clifton Road Port St. Mary Isle Of Man IM9 5EL ,PER,19-Jul-21
21/00546/B,Alterations and erection of a single storey extension to rear elevation,18 Westminster Terrace Douglas Isle Of Man IM1 4EE,PER,22-Jul-21
21/00548/B,Removal of existing conservatory and erection of flat roof extension to rear elevation of dwelling,19 River Walk Braddan Douglas Isle Of Man IM4 4TJ,PER,14-Jul-21
21/00549/B,Replacement of existing garage door with a window and replace existing window with a doorway and window to South West elevation,14 Mountain View Ballaugh Isle Of Man IM7 5EP,PER,01-Jul-21
21/00550/B,Erection of an equestrian arena and associated facilities,Ballaquayle Farm St Marks Road St Marks Ballasalla Isle Of Man IM9 3AF,PER,12-Aug-21
21/00551/C,Additional use of residential property as tourist accommodation,Brookville Main Road Ballabeg Castletown Isle Of Man IM9 4LE,PER,14-Jul-21
21/00552/B,Removal of two chimney stacks,157 Royal Avenue Onchan Isle Of Man IM3 1LG,PER,01-Jul-21
21/00553/C,Change of use of private garage to a dog grooming business,38 Ballakermeen Drive Douglas Isle Of Man IM1 4HS,REF,13-Jul-21
21/00554/B,"Alterations, removal of rear chimney stack, rendering works, installation of replacement windows and doors and reinstatement of roof light to annex pitched roof",8 Brunswick Road Douglas Isle Of Man IM2 3LQ,PER,02-Jul-21
21/00555/CON,Registered Building consent for demolition elements to PA 21/00554/B,8 Brunswick Road Douglas Isle Of Man IM2 3LQ,PER,02-Jul-21
21/00556/B,Conversion of beauty salon to a hot food takeaway,1 Church Street Unit 2 Douglas Isle Of Man IM1 2AG,PER,08-Jul-21
21/00557/B,Creation of new parking area,61 Wybourn Grove Onchan Isle Of Man IM3 4AU,PER,03-Aug-21
21/00558/B,Erection of a timber lodge to replace approved tree house under PA 17/01254/B,Campsite Glen Helen St Johns Isle Of Man IM4 3NP ,PER,28-Jul-21
21/00559/C,Change of use of office to beautician salon and nail bar,Milbourn House 13B St Georges Street Douglas Isle Of Man IM1 1AJ ,PER,16-Jul-21
21/00560/B,Conversion of building to retain existing ground floor office accommodation and creation of four apartments to upper floors,Armitage House Lord Street Douglas Isle Of Man IM1 1LS ,PER,16-Sep-21
21/00561/B,Installation of a replacement front door,The Raggatt 19 Sartfell Road Douglas Isle Of Man IM2 3NB,PER,02-Jul-21
21/00562/B,Installation of door and windows to existing opening to rear elevation,19 Drinkwater Street Douglas Isle Of Man IM1 1AT,PER,01-Jul-21
21/00563/B,Installation of replacement windows to two front bay windows to ground and first floors,St Helier 4 Castlemona Terrace Central Promenade Douglas Isle Of Man IM2 4LU ,PER,09-Jul-21
21/00564/B,Alterations and erection of an extension to create additional living accommodation,Thie Grennaugh Claughbane Road Ramsey Isle Of Man IM8 2HL,PER,03-Aug-21
21/00565/B,Replacement of existing dwelling and workshop with 3 new dwellings,8 Derby Square Douglas Isle Of Man IM1 3LS ,PER,27-Jul-21
21/00566/B,Erection of a dwelling (amendment to approved under PA 18/00524/B),Plot 53 The Meadows Residential Development (Former Fields 434021 And 434031) Corner Of Douglas Road And Victoria Road Castletown Isle Of Man  ,PER,09-Jul-21
21/00567/B,Removal of chimney stack and replacement of existing roof tiles,Byways Glenlough Circle Glen Vine Isle Of Man IM4 4AX,PER,10-Aug-21
21/00568/B,Erection of a dwelling (amendment to approved under PA 18/00524/B),Plot 56 The Meadows Residential Development (Former Fields 434021 And 434031) Corner Of Douglas Road And Victoria Road Castletown Isle Of Man ,PER,14-Jul-21
21/00569/C,Additional use of dwelling as tourist accommodation,Hollies Beach House 17 - 18 Shore Road Peel Isle Of Man IM5 1NH ,PER,23-Jul-21
21/00570/MCH,Minor Changes application to PA 20/00195/B involving changes to roof tiles,Seahaven Mount Gawne Road Port St. Mary Isle Of Man IM9 5LX,PER,23-Jun-21
21/00571/MCH,Minor Change application to PA 20/00518/B involving alterations to material and design of juliet balcony,The Herring Houses Fort Island Road Derbyhaven Isle Of Man IM9 1TZ ,PER,30-Jun-21
21/00572/B,Erection of an extension to rear elevation to replace existing conservatory,22 Heywood Close Onchan Isle Of Man IM3 3AF,PER,05-Oct-21
