,Proposal,Property Address,Decision,Date decision issued
21/01569/B,Erection of a care home and day care centre with associated parking and both hard and soft landscaping,Cooil-Ny-Marrey Waterloo Road Ramsey Isle Of Man IM8 1EQ,PER,21-Oct-22
21/01570/B,Installation of replacement roof tiles,6 Westmount Douglas Isle Of Man IM1 4AX,PER,31-Jan-22
21/01571/B,Erection of a detached garage and storage building (part retrospective),1 Kneale Court Claughbane Drive Ramsey Isle Of Man IM8 2AP ,PER,25-Apr-22
21/01572/B,Erection of a shed with the additional use as a gym/personal training business,Sulby 7 Second Avenue Douglas Isle Of Man IM2 6AW,REF,04-Feb-22
21/01574/B,Widening of an existing vehicular access,Garlenda 23 Fairway Drive Ramsey Isle Of Man IM8 2BB,PER,24-Mar-22
21/01575/B,"Proposed Extension to form Kitchen and Family Room, Widen existing drive and alterations of existing wall and roof finishes",22 Ballastrooan Colby Isle Of Man IM9 4NR,PER,30-Mar-22
21/01577/C,Additional use of residential property as tourist accommodation,8 Traie Twoaie Ramsey Isle Of Man IM8 3DB ,PER,08-Feb-22
21/01578/B,Erection of a replacement storage building with associated roller shutter door,69 Parliament Street Ramsey Isle Of Man IM8 1AY ,PER,22-Mar-22
21/01579/CON,"Demolition of dwelling, cafe, garage and outbuildings",Cliffside And End Cafe The Promenade Laxey Isle Of Man IM4 7DD ,PER,31-Jan-22
21/01580/B,Erection of extension with associated external landing and staircase,Laurel Bank Rencell Hill Laxey Isle Of Man IM4 7BJ,PER,21-Feb-22
21/01581/B,Alterations and erection of an extension to side elevation,Burleigh Richmond Road Ramsey Isle Of Man IM8 3PA,PER,08-Feb-22
21/01582/B,Installation of two replacement first floor windows to front elevation,Bay Crest 3 Primrose Terrace Port St. Mary Isle Of Man IM9 5AP,PER,04-Apr-22
22/00001/B,"Alterations to existing garage into utility room, including replacing windows and doors to the front, rear and side elevations. Removal of rear chimney stack and associated works.",23 Whitebridge Road Onchan Isle Of Man IM3 4HQ,PER,10-Feb-22
22/00002/B,Erection of a Summer house to the rear of the property,4 Manor Woods Douglas Isle Of Man IM2 2PE ,PER,16-Mar-22
22/00003/B,Erection of detached summer house/office to the rear garden,39 Sunningdale Drive Onchan Isle Of Man IM3 1EL,PER,22-Jun-22
