,Proposal,Property Address,Decision,Date decision issued
22/00886/B,Erection of a single storey flat roof extension to the rear,Bay View Park Road Port St Mary Isle Of Man  ,PER,10-Oct-22
22/00887/MCH,Minor Change application to PA 21/01304/B involving application of render to approved brick rear extension walls,3 Ballamaddrell Port Erin Isle Of Man IM9 6AS,PER,30-Sep-22
22/00888/B,Variation of condition two of PA 14/01294/C to amend operating times from 08.30 -16.30 to 08.00 - 18.00,Hall Trinity Laxey Nursery Shore Road Laxey Isle Of Man IM4 7DJ ,PER,19-Aug-22
22/00889/B,Erection of two wooden structure beach huts,Southlands Resource Centre Church Road Port St Mary Isle Of Man IM9 5NL ,PER,14-Sep-22
22/00890/CON,Replacement of external spot lights on Athol Street and Prospect Hill elevations. Registered Building Nos. 290,2 Athol Street Douglas Isle Of Man IM1 1JA,PER,21-Sep-22
22/00892/B,Alterations and construction of single storey pitched-roof extension,Mill Cottage Golden Meadow Mill Road Castletown Isle Of Man IM9 1TF ,PER,20-Sep-22
22/00893/B,"Alterations, erection of single storey rear extension, installation of a dormer window and flue",3 Milner Close Port Erin Isle Of Man IM9 6BG,PER,21-Sep-22
22/00894/B,Demolition of existing and erection of replacement porch,Cronk Breck Cottage Station Road Ballaugh Isle Of Man IM7 5AH,PER,21-Sep-22
22/00895/B,Installation of replacement windows and front door,6 Stanley Road Peel Isle Of Man IM5 1NX,PER,07-Oct-22
22/00896/B,"Installation of replacement windows to North East and South West elevations, creation of an additional window to North East elevation and replacement of window with double doors with over light to South West elevation (retrospective)",18 Berkeley Street Douglas Isle Of Man IM2 3QA,PER,21-Sep-22
22/00897/B,Erection of children's nursery building with apartment over (amended from approved PA 21/01262/B),Field 434091 Douglas Road Ballasalla Isle Of Man  ,PER,15-Nov-22
22/00898/D,Installation of two non illuminated replacement Barclays signage and one non illuminated Eagle Court sign,Eagle Court 25 - 27 Circular Road Douglas Isle Of Man IM1 1AD,PER,03-Oct-22
22/00899/B,Erection of stables and the change of use of the land for the keeping of horses and associated equestrian activities.,Field 431259 And Part Of Field 431256 St Marks Ballasalla Isle Of Man  ,WDN,09-Dec-22
22/00900/B,Installation of spiral staircase to replace exiting wooden stairs (retrospective),19 Factory Lane Peel Isle Of Man IM5 1NA,PER,17-Aug-22
22/00903/B,Erection of rear extension with pitched roof and installation of pitched roof to cover one integrated garage and replacement flat roof to remaining integrated garage. Removal of front porch and replacement of front entrance with installation of re-sited d,Greenlands Barnell Lane Patrick Village Isle Of Man IM5 3AN,PER,07-Nov-22
22/00904/B,Re-rendering of property from pebble dash to smooth render,Fy Yerrey 29 Whitebridge Road Onchan Isle Of Man IM3 4HJ,PER,20-Sep-22
22/00907/B,Demolition of the existing single storey lean-to garage and replaced with a two storey side extension and erection of a rear single storey extension,Westfield 21 Arbory Road Castletown Isle Of Man IM9 1ND,PER,06-Sep-22
22/00908/C,Change of Use for additional use as tourist accommodation as well as residential use,4 Quay Lane Castletown Isle Of Man IM9 1LE,PER,06-Sep-22
22/00909/B,Installation tubular mono-pile into the seabed with associated footbridge access from the pier,King Edward Viii Pier  Douglas Harbour Douglas Isle Of Man  ,PER,03-Oct-22
22/00914/B,Widening of existing access and creation of a new additional access (retrospective),19 Highfield Crescent Onchan Isle Of Man IM3 3BX,PER,02-Nov-22
22/00915/B,Erection of extension and terrace to dwelling,Woodlands House Lower Foxdale Isle Of Man IM4 3AY ,REF,15-Nov-22
22/00916/B,Erection of two polytunnels for commercial use,Field 134305 Glen Duff House Lezayre Road Ramsey Isle Of Man  ,PER,09-Dec-22
22/00917/B,"Erection of a detached building for garaging of a camper van, storage of gardening equipment and use as a log store",Archallagan Glen Mona Loop Road Glen Mona Ramsey Isle Of Man IM7 1HG,PER,22-Sep-22
22/00918/B,"Conversion of two apartments into one residential property including alteration to window openings on front elevation, alteration to door opening on rear elevation and new windows throughout. Installation of roof mounted solar panels on front elevation. I","10 & 10A Castle Street,  Peel IM5 1AN",PER,26-Sep-22
22/00921/B,Installation of replacement windows to front elevation,59 Douglas Street Peel Isle Of Man IM5 1BD,REF,09-Dec-22
22/00924/B,Installation of replacement windows and doors,Croit Ny Marrey Shore Road Port Erin Isle Of Man IM9 6HL,PER,19-Oct-22
22/00926/B,"Alterations including installation of glazed veranda to existing roof terrace, replacement external spiral staircase and single storey extension to side and rear elevations",Ash Lodge Patrick Road St Johns Isle Of Man IM4 3BR,PER,16-Sep-22
22/00927/B,Replace existing Fossil fuel boiler with installation of Air Source Heat Pump for heating and hot water,Lakelands Westhill Village Jurby Road Ramsey Isle Of Man IM8 3TD ,PER,21-Sep-22
22/00928/MCH,Minor Change application to PA 21/00834/B involving the reduction of the extent of the proposed works as previously approved,Fairways House Glen Vine Road Glen Vine Isle Of Man IM4 4HF,PER,12-Aug-22
22/00929/B,Conversion of building from offices (Class 2.1) to residential (Class 3.3),The Warehouse 1A Queen Street Castletown Isle Of Man IM9 1PB ,PER,06-Oct-22
22/00930/CON,Registered Building consent for demolition elements to PA 22/00929/B,The Warehouse 1A Queen Street Castletown Isle Of Man IM9 1PB ,PER,03-Oct-22
22/00931/B,Installation of a dormer to front elevation,9 Westminster Drive Douglas Isle Of Man IM1 4EG,PER,24-Nov-22
22/00932/B,Erection of detached garage on parking area,Lavender Cottage Tosaby Road Eairy Isle Of Man IM4 3HW,PER,21-Sep-22
22/00934/B,Installation of balustrade around edge of roof over single storey side extension to create a roof terrace and installation of a first floor doorway to access the terrace,5 Reayrt Ny Glionney Close Laxey Isle Of Man IM4 7LE ,PER,13-Oct-22
22/00935/B,Barn Conversion to provide ancillary accommodation and tourist accommodation (class 3.6),The Glaicke Glen Road Ballaugh Isle Of Man IM7 5JG,PER,14-Sep-22
22/00936/B,Installation of windows replacing existing cladding to rear dormer,2 Osborne Terrace Douglas Isle Of Man IM1 3LH,PER,12-Oct-22
22/00937/B,Erection of a front porch,21 Westbourne Drive Douglas Isle Of Man IM1 4AY,PER,14-Sep-22
22/00939/B,Erection of an additional fence to rear boundary of the property,Shelton Alexander Drive Douglas Isle Of Man IM2 3QN ,PER,14-Sep-22
22/00940/B,"Installation of replacement windows to garage door, removal of extended chimney stack and widening of driveway access with associated works",72 Ard Reayrt Laxey Isle Of Man IM4 7QQ ,PER,15-Nov-22
22/00941/B,"Alterations, erection of a terrace rear elevation and installation of a flue (retrospective)",8 Balladoyne Estate St Johns Isle Of Man IM4 3LX,PER,03-Oct-22
22/00942/B,Erection of a site cabin.,Gas Bottling Plant Peel Road Industrial Estate Braddan Douglas Isle Of Man IM4 4LF ,PER,21-Oct-22
22/00944/B,Replacement Utility Roof & Glazing; Replacement Windows,16 Circular Road Peel Isle Of Man IM5 1ND,PER,06-Oct-22
22/00947/B,Replacement of two roof lights,12 Hilary Park Douglas Isle Of Man IM2 3EF,PER,14-Sep-22
22/00949/B,Erection of retaining wall with associated planting and post and wire fencing in association with PA 20/01434/REM -Erection of new dwelling,Adjacent To Ballaragh Old Farmhouse  Ballaragh Road Ballaragh IM4 7PW,PER,09-Dec-22
22/00951/LAW,Certificate of lawful development for erection of a polytunnel,Field 234138 Little London Kirk Michael Isle Of Man  ,CLAWA,30-Aug-22
22/00952/B,Extension to existing vehicle hardstanding to front elevation,37 Gibbs Grove Grove Park Ramsey Isle Of Man IM8 3LE ,PER,13-Oct-22
22/00953/B,Alterations to front entrance porch,13 Highfield Crescent Onchan Isle Of Man IM3 3BL,PER,21-Sep-22
22/00954/GB,Installation of replacement windows (in association with 22/00955/CON),The IOM Islamic Association 20 Finch Road Douglas Isle Of Man IM1 2PS,REF,06-Sep-22
22/00955/CON,Registered Building consent for Installation of replacement windows (in association with 22/00954/GB) Registered Building Nos 100,The IOM Islamic Association 20 Finch Road Douglas Isle Of Man IM1 2PS,REF,06-Sep-22
22/00956/B,"Alterations to existing windows and doors, alterations to bay window roofs, installation of cladding and installation of roof sun tunnels",High Lea Ballakillowey Road Colby Isle Of Man IM9 4BD,PER,21-Oct-22
22/00957/B,"Installation of replacement windows, demolition of rear porch and erection of replacement terrace with balustrade surround",Casa Mia Main Road Glen Vine Isle Of Man IM4 4AZ,PER,03-Oct-22
22/00959/B,"Erection of temporary marquee, (between the dates of 1st September and 31st March), to provide additional covered display space at Garden Centre",Ramsey Garden Centre Albert Road Ramsey Isle Of Man IM8 1JB ,PER,24-Nov-22
22/00960/B,"Alterations to approved PA 21/01139/B to include erection of single storey extension to side elevation, and installation of a flue.",The Close Bernahara Road Andreas Isle Of Man IM7 2EL ,PER,26-Sep-22
22/00962/GB,Creation of an underground garage,Harold Tower Fort Anne Road Douglas Isle Of Man IM1 5BN ,PER,02-Dec-22
22/00963/CON,Registered Building consent for the creation of an underground garage within grounds (in association with PA 22/00962/GB) Registered Building Nos. 179,Harold Tower Fort Anne Road Douglas Isle Of Man IM1 5BN ,WDN,07-Nov-22
22/00964/LAW,Application for certificate of lawfulness for long term residential usage of property,Boundary Cottage Nassau Road Regaby Ramsey Isle Of Man IM7 4AL,CLAWA,15-Sep-22
22/00965/B,"Erection of double garage to side elevation with roof terrace, erection of front porch and the installation of replacement windows and bi-fold door to rear projection",Cooil Shellagh Douglas Road Kirk Michael Isle Of Man IM6 1AU,PER,20-Oct-22
22/00966/B,"Demolition of existing flat roof extension on the northeast elevation and erection of a replacement pitched roof extension with stone cladding. Demolition of a chimneystack, a terrace and a rear porch and installation of new PVC fascias and PVC windows. R",Brae Villa Tromode Road Douglas Isle Of Man IM2 5EJ,PER,25-Nov-22
22/00969/B,"Alterations, demolition of existing conservatory, erection of extension, installation of an external canopy, creation of outdoor terrace with access ramp and external wall and a gate to create an outdoor courtyard",Croit Vane Corlea Road Ballasalla Isle Of Man IM9 3BA,PER,21-Oct-22
22/00970/B,Erection or rear ground floor extension and removal of a chimney stack,10 Snaefell Crescent Onchan Isle Of Man IM3 4NJ,PER,15-Sep-22
22/00972/B,"Proposed alterations and extension to dwelling to create additional living accommodation, together with access alterations.",Ballagrest Bride Road Ramsey Isle Of Man IM7 4AB,PER,21-Sep-22
22/00973/B,Removal of chimney stack and erection of single storey side extension,Tara Highfield Drive Baldrine Isle Of Man IM4 6ED,PER,13-Oct-22
22/00976/B,Alteration and extension to existing outbuilding to provide additional first floor ancillary accommodation and overall additional tourist accommodation (class 3.6),Lower Ballahowin Braaid Road St Marks Ballasalla Isle Of Man IM9 3AR,REF,13-Oct-22
22/00977/C,Additional use as Tourist accommodation including existing use as residential,14 Lake Lane Peel Isle Of Man IM5 1AU,PER,12-Oct-22
22/00978/B,Erection of memorial plaque and siting of recovered cannon,The Harbour Masters Office 2 The Quay Castletown Isle Of Man IM9 1LD,PER,21-Sep-22
22/00979/B,Installation of a flue,15 Second Avenue Douglas Isle Of Man IM2 6AW,PER,12-Oct-22
22/00980/B,Installation of grassy mounds for play area.,St Marys School St Marys Road Douglas Isle Of Man IM2 5RB,PER,03-Oct-22
22/00981/C,"Change of Use from Offices (Class 2.1) to a Mixed Use Premises (Classes 1.1Shops, 1.2Financial and professional services 1.3 Food and drink 1.4 Hot food take away & Class 4.1 Clinics or health centres, 4.2 Childcare or education 4.3 Other community facili",14 - 16 Nelson Street Douglas Isle Of Man IM1 2AL ,PER,01-Nov-22
22/00982/B,Erection of 2 storey side extension and installation of photovoltaic cells to the roof.,25 Clybane Rise Douglas Isle Of Man IM2 2LY,PER,12-Oct-22
22/00984/C,Change of use application for use as construction company with storage & distribution and to include the associated use as a vehicle operating centre (part retrospective).,Unit 5 Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QR,PER,15-Nov-22
22/00985/B,Replacement & extension of flat roof dormer to rear elevation,Cronk Steone Rhencullen Kirk Michael Isle Of Man IM6 2HA ,PER,26-Sep-22
22/00986/B,Replacement of garage door with a doorway and window and erection of a replacement porch,Roseanne Minorca Hill Laxey Isle Of Man IM4 7DX,PER,07-Oct-22
22/00987/B,"Conversion of existing roof space into additional Bedroom accommodation, including rear dormer and front door/window alterations",Bridge View House Main Road Ballaugh Isle Of Man IM7 5EQ,PER,07-Oct-22
22/00990/B,Erection of detached garage to rear yard,4 Sydney Street Douglas Isle Of Man IM1 3JB,PER,19-Dec-22
22/00993/C,"Change of use of unit for use as assembly, showroom and distribution of furniture & leisure buildings",Unit 42 Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QS,PER,21-Dec-22
22/00994/C,Additional use of garage as a dog grooming parlour,East Craige St Judes Isle Of Man IM7 2EW ,PER,09-Dec-22
22/00996/C,Change of use of police stations Lower Ground Floor into temporary changing facilities (retrospective),Police Station 8 Hazel Crescent Douglas Isle Of Man IM2 1BS ,PER,12-Oct-22
22/00998/B,Installation of a heat pump,33 Harcroft Avenue Douglas Isle Of Man IM2 1PE,PER,07-Oct-22
22/00999/B,Erection of first floor side extension,4 Raad Bridjeen Reayrt Ny Cronk Peel Isle Of Man IM5 1GQ ,PER,11-Oct-22
22/01000/B,Installation of replacement double glazed bay window to front elevation.,Fairleigh Hilary Park Douglas Isle Of Man IM2 3ED,PER,26-Oct-22
22/01001/B,"Additional use of the existing charity shop (class 1.1) and nightclub (sui generis) as ice cream parlour (class 1.1), bakery (class 1.1), cafe (class 1.3), hot food takeaway (class 1.4) and private-hire activity venue (class 4.3)",15-17 Walpole Avenue  Douglas IM1 2LT,PER,07-Nov-22
22/01003/B,Erection of single storey garage and extension to the rear.,37 Woodburn Square Douglas Isle Of Man IM1 4DD ,PER,07-Oct-22
22/01004/B,Extension of access road and alteration of plot boundary,43 Raad Roagan Peel Isle Of Man IM5 1DY ,PER,03-Oct-22
22/01006/B,Erection of leisure cabin to the rear,6 Windermere Avenue Onchan Isle Of Man IM3 2DT ,PER,18-Nov-22
22/01008/D,Erection of replacement illuminated signage and installation of additional projecting sign to front elevation,35 Strand Street Douglas Isle Of Man IM1 2EF,PER,19-Oct-22
22/01010/B,"Installation of replacement doors, windows cladding and re-rendering of the front elevation",33 - 35 Strand Street Douglas Isle Of Man IM1 2EF,PER,19-Oct-22
22/01013/B,Installation of replacement door and window with bi-folding door set,Fair Haven 118 Woodbourne Road Douglas Isle Of Man IM2 3BA,PER,11-Oct-22
22/01014/MCH,Minor Change application to PA 20/01178/B involving the increase of height to proposed rear garage,16 Selborne Road Douglas Isle Of Man IM1 4BU,PER,23-Aug-22
22/01015/B,Erection of replacement single storey extension to side elevation,Moorland House Surby Road Surby Port Erin Isle Of Man IM9 6TD,PER,21-Oct-22
22/01016/CON,Registered Building Consent for the installation of roof mounted solar panels and the erection of a storm porch on the rear elevation - RB 93 (in association with application 22/01017/GB),4 Finch Road Douglas Isle Of Man IM1 2PT,PER,01-Dec-22
22/01017/GB,Installation of roof mounted solar panels and the erection of a storm porch on the rear elevation (in association with RB application 22/01016/CON),4 Finch Road Douglas Isle Of Man IM1 2PT,PER,01-Dec-22
22/01018/B,Erection of replacement roof and glazing to rear conservatory,Westville Tynwald Road Peel Isle Of Man IM5 1JN,PER,11-Oct-22
22/01019/B,Installation of replacement front door,Vallaveg 11 Lime Street Port St Mary Isle Of Man IM9 5ED ,PER,21-Oct-22
22/01020/B,Variation of condition two of PA 18/00376/B to increase the number of children from 32 to 40,Lezayre Church Hall Churchtown Ramsey Isle Of Man IM7 2AN ,PER,17-Oct-22
22/01021/B,Installation of a replacement garage window and replace existing garage concrete flat roof with new timber and fibreglass flat roof,The Crofts 36 Albany Road Douglas Isle Of Man IM2 3NA ,PER,11-Oct-22
22/01022/LAW,Certificate of lawful use of land for storage and/or distribution (Use Class 2.4),Graylaw International  Newlands Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QT,CLAWA,07-Oct-22
22/01023/B,Erection of a marquee during the months October to March,The Kiosk Shore Road Peel Isle Of Man IM5 1AH ,PER,30-Sep-22
22/01024/B,Replacement of pebble dash render with smooth render,Stephen House 13 Woodbourne Road Douglas Isle Of Man IM1 3HH ,PER,11-Oct-22
22/01025/B,"Erection of replacement single storey rear extension, replacement roofs and re-render existing property",38 Patrick Street Peel Isle Of Man IM5 1BS,PER,02-Dec-22
22/01028/C,Change of use application for additional use of existing dwelling for self catering tourist accommodation,Land West Of Rosebank Quarry Road Laxey Isle Of Man IM4 7DU ,PER,09-Nov-22
22/01029/B,Replace existing conservatory with an extension to West elevation,1 Mount Rule Cottages West Baldwin Road Mount Rule Isle Of Man IM4 4HS ,PER,15-Nov-22
22/01030/B,"Erection of extension, installation of flues and replace window to side of garage with a doorway",Seven Acres Glen Tramman Ramsey Isle Of Man IM7 2AP ,PER,09-Dec-22
22/01031/B,To install an energy dissipater at the outlet of new surface water system.,Energy Dissipater Outlet Station Dumbells Terrace Laxey Isle Of Man IM4 7NY ,PER,12-Oct-22
22/01032/B,Erection of a sun lounge extension and alteration to existing window aperture,88 Ballacriy Park Colby Isle Of Man IM9 4LZ,PER,11-Oct-22
22/01037/B,Removal of rear chimney stack,10 Brunswick Road Douglas Isle Of Man IM2 3LQ,PER,12-Oct-22
22/01039/B,Extension and alteration to dwelling to provide ancillary living accommodation,1 Mount View Andreas Village Isle Of Man IM7 4HJ ,PER,09-Dec-22
22/01041/B,Erection of an extension to replace existing conservatory,28 Ballaquark Douglas Isle Of Man IM2 2EZ,PER,09-Nov-22
22/01043/B,Replacement of roof tiles to 3 staircores,Shaws Brow Car Park Church Street Douglas Isle Of Man IM1 2AB ,PER,13-Oct-22
22/01044/B,Erection of a timber cabin to the rear,11 Ballagarey Crescent Glen Vine Isle Of Man IM4 4FA,PER,25-Nov-22
22/01045/B,Installation of photo voltaic solar panels to rear elevation roof and garden room roof.,126 Malew Street Castletown Isle Of Man IM9 1LT,PER,03-Oct-22
22/01046/B,Installation of windows and french doors to integrated garage,33 Birch Hill Avenue Onchan Isle Of Man IM3 4ES,PER,21-Oct-22
22/01048/B,Erection of a double garage,River House Riverside Ramsey Isle Of Man IM8 3DA,PER,09-Dec-22
22/01049/LAW,Certificate of Lawful Use for use of property as an independent residence,Killane Lodge Killane Ballaugh Isle Of Man IM7 5BD ,CLAWA,30-Sep-22
22/01050/B,Alterations and erection of a two storey extension,Knock-Ey-Willyn West Baldwin Isle Of Man IM4 5HB ,REF,28-Nov-22
22/01051/B,"Alterations, erection of rear extension, rear decking, installation of a flue and widening of existing parking area",5 Maple Close Onchan Isle Of Man IM3 3JS ,PER,01-Nov-22
22/01053/B,"Alteration, erection of extension, installation of a dormer and widening of driveway and vehicular access",56 Wybourn Drive Onchan Isle Of Man IM3 4AT,PER,20-Oct-22
22/01055/B,Installation of wooden cladding to front elevation and removal of arched head window above entrance door.,23 West Quay Ramsey Isle Of Man IM8 1DL ,PER,27-Oct-22
22/01056/B,"Demolition of existing conservatory, erection of rear and side extension and erection of replacement roof to intergrated garage",Brookfield Ballafesson Road Port Erin Isle Of Man IM9 6BH,REF,11-Nov-22
22/01058/B,"Erection of replacement temporary changing facility, toilets and storage shed (Part retrospective)",Changing Facilities Springfield Road Douglas Isle Of Man IM2 1ER ,PER,12-Oct-22
22/01059/B,Erection of a greenhouse to rear garden,Clybane Cottage Patrick Road Patrick Village Isle Of Man IM5 3AL,PER,25-Nov-22
22/01061/MCH,Minor Change application to PA 21/00197/B involving a replacement shopfront to the one approved,29 Victoria Street Douglas Isle Of Man IM1 2LG,REF,19-Oct-22
22/01062/B,Alterations including erection of a single storey rear extension.,20 Harcroft Avenue Douglas Isle Of Man IM2 1PB,PER,11-Nov-22
22/01063/C,Change of use of part of residential accommodation to additional use as tourist accomodation,Mill House West Baldwin Isle Of Man IM4 5HB ,PER,03-Oct-22
22/01064/B,"Proposed Change of Use from Residential (class 3.3) to Additional Use as Tourist Premises (Holiday Lets) (class 3.6), to include alterations to window/door openings and areas of decking",Broogh Fort Moaney Road Santon Isle Of Man IM4 2HX,REF,01-Dec-22
22/01065/B,Installation of replacement windows and door to front elevation,The Old Bakehouse Athol Street Port St Mary Isle Of Man IM9 5DS ,PER,21-Oct-22
22/01067/B,Erection of two storey extension to side elevation,11 Abbots Close Ballasalla Isle Of Man IM9 3EA,PER,22-Nov-22
22/01069/B,"Erection of a single storey healthcare facility with associated access, parking and landscaping",Land At Cronk Grianagh (Former Mannin Infirmary) Strang Douglas Isle Of Man  ,PER,25-Oct-22
22/01070/B,"Reinstatement of front dormers, installation of replacement rear roof in matching slate, ten additional roof lights and replacement timber front door and frame",Peveril Court (Bleak House) Mooragh Promenade Ramsey Isle Of Man IM8 3AB ,PER,10-Nov-22
22/01072/B,Proposed ground and first floor rear extension,151 Fairways Crescent Mount Murray Douglas Isle Of Man IM4 2JJ,PER,11-Nov-22
22/01074/MCH,Minor Change application to PA 22/00004/B involving replacement of approved extension to rear of property with bi-folding doors.,67 Ard Reayrt Laxey Isle Of Man IM4 7QQ ,REF,29-Sep-22
22/01075/B,Installation of new door within existing front window aperture,Flat 1 Empress Apartments Central Promenade Douglas Isle Of Man IM2 4EE ,PER,27-Oct-22
22/01076/D,Installation of illuminated signage,15-17 Walpole Avenue  Douglas IM1 2LT,PER,26-Oct-22
22/01077/C,Change of use application of a dwelling (class 3.3) to allow additional Tourist Use (class 3.6),Creggan Port E Vullen Ramsey Isle Of Man IM7 1AP ,PER,13-Oct-22
22/01078/B,"Installation of replacement windows and doors, roof tiles, render and addition of a front porch",Yn Thie My Chree 36 Mines Road Laxey Isle Of Man IM4 7NH ,PER,20-Oct-22
22/01079/C,Change of use from two apartments (class 3.4) to a residential dwelling (class 3.3),Edendale Royal Drive Onchan Isle Of Man IM3 1HG ,PER,25-Nov-22
22/01080/B,Erection of a rear (West) extension to replace existing,19 Hope Street Castletown Isle Of Man IM9 1AP,PER,28-Oct-22
22/01081/B,Installation of a flue,Grianane Back Shore Road Laxey Isle Of Man IM4 7DH,PER,20-Oct-22
22/01082/B,Installation of a flue,61 Royal Park Ramsey Isle Of Man IM8 3UH ,PER,20-Oct-22
22/01085/CON,Creation of Frieze Panels on internal Chancel wall of Chapel - RB 185,The Chapel King Williams College Grounds Castletown Isle Of Man IM9 1TP ,PER,28-Nov-22
22/01086/B,"Alterations, erection of extensions, installation of a flue and convert garage to provide living accommodation",36 Rheast Mooar Avenue Ramsey Isle Of Man IM8 3LS,PER,26-Oct-22
22/01087/B,Alterations and replacement of existing conservatory with an extension to side elevation and erection of an extension to rear elevation,Lower Ballacashin Abbeylands Douglas Isle Of Man IM4 5EG ,PER,19-Dec-22
22/01091/B,Alterations and erection of a single storey extension and detached garage with roof mounted solar panels (amendment to PA 21/00695/B re the relocation of garage),Kitani Ballagale Avenue Surby Port Erin Isle Of Man IM9 6QJ,PER,15-Nov-22
22/01092/LAW,Certificate of Lawful development for a greenhouse and garage,Paradise Field Mill Street Castletown Isle Of Man IM9 1AQ,CLAWA,26-Oct-22
22/01093/B,Installation of replacement emergency escape stairs to rear of property,Landsdowne Queens Promenade Douglas Isle Of Man IM2 4NN ,PER,03-Nov-22
22/01095/B,Demolition of an existing stone wall,Peveril Building Peveril Square Douglas Isle Of Man IM1 2BS,PER,26-Oct-22
22/01096/B,Replacement of the toilet window and external door to the rear of the property with a sliding patio door and replacement of a half-height rear kitchen window with a full height window (retrospective),23 Close Famman Port Erin Isle Of Man IM9 6BL,PER,01-Nov-22
22/01097/B,"Insertion of ground floor window and three rooflights, removal of chimney and installation of external flue",28 Fairway Close Onchan Isle Of Man IM3 2EQ,PER,19-Oct-22
22/01098/B,"Proposed alterations and erection of extension to side, south-east, elevation",4 Phillips Terrace Minorca Hill Laxey Isle Of Man IM4 7DY ,PER,21-Oct-22
22/01099/B,Installation of a flue,Lynton 17 Somerset Road Douglas Isle Of Man IM2 5AD ,PER,20-Oct-22
22/01100/B,Erection of summer house and shed to the rear of Ballaneen,Field 131451 Land To Rear Of Ballaneen  Sulby Glen Road Lezayre IM7 2AZ,REF,02-Nov-22
22/01102/B,Creation of external Shower Bay Area,Land South West Of Shelter Building The Promenade Laxey Isle Of Man IM4 7DD ,PER,22-Nov-22
22/01103/B,"Revisions to existing Site Entrance, installation of sliding access gate and erection of new fencing and gate",Southern Civic Amenities Site Castletown Road Port St Mary Isle Of Man IM9 5LT ,PER,26-Oct-22
22/01105/B,Erection of external staircase to side elevation and installation of replacement railings to roof terrace,Silver Creek House 12 Cronk Road Union Mills Isle Of Man IM4 4NJ ,PER,20-Oct-22
22/01107/B,Installation of replacement fascia and soffit boards,The Nook Crossag Road Ballasalla Isle Of Man IM9 3EE,PER,21-Oct-22
22/01108/B,Installation of replacement windows and doors,103 Malew Street Castletown Isle Of Man IM9 1LX,PER,26-Oct-22
22/01109/B,"Alterations including installation of additional velux roof windows, solar panels and removal of doors to side elevations",Ballelby House Dalby Isle Of Man IM5 3BP ,PER,08-Nov-22
22/01111/B,"Removal of both conservatories and erection of a replacement conservatory with porch and installation of replacement windows, doors and additional windows and roof lights. Installation of decking and reinstatement of entrance gates",Reayrt Aalin Ballavitchel Road Crosby Isle Of Man IM4 2DN,PER,22-Nov-22
22/01115/MCH,Minor Change application to PA 19/00921/B involving amend the roof o side extension from a lean to roof to a hipped roof,Alverstone 4 Glencrutchery Road Douglas Isle Of Man IM2 5HS,PER,13-Oct-22
22/01116/B,Erection of extension to form store room at second floor level,Mill House Old Castletown Road Santon Isle Of Man IM4 1EX,REF,31-Oct-22
22/01118/B,Alterations and re cladding of building,26 Belmont Terrace  Circular Road Douglas Isle Of Man  ,PER,11-Nov-22
22/01119/B,Erection of a smoking shelter,Shore Hotel Old Laxey Hill Laxey Isle Of Man IM4 7DA,PER,02-Nov-22
22/01120/MCH," Minor change application to approved PA 22/00052/B, to remove a window to the south elevation, installation of bi-fold doors to western elevation and installation of a twin flue to the side extension.",5 Rheast Mooar Close Ramsey Isle Of Man IM8 3LT,REF,21-Oct-22
22/01125/MCH,Minor change application to PA 18/01316/B to change approved two set of roof terrace patio doors to one large set of doors,2 Osborne Terrace Douglas Isle Of Man IM1 3LH,PER,30-Sep-22
22/01128/C,Conversion of existing industrial unit into a gymnasium and the installation of replacement curtain wall glazing to existing roller shutter door,Jack Frost Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QU,PER,08-Nov-22
22/01130/B,Installation of replacement windows and door to front elevation.,77 Derby Square Douglas Isle Of Man IM1 3LR,PER,22-Nov-22
22/01131/B,Alterations and erection of extension to rear elevation,15 Bank Street Castletown Isle Of Man IM9 1AT,PER,11-Oct-22
22/01132/CON,Registered Building consent for demolition elements to PA 22/01131/B,15 Bank Street Castletown Isle Of Man IM9 1AT,PER,11-Oct-22
22/01135/B,Replacement of front door and ground and first floor patio doors at rear of property.,34 Hope Street Castletown Isle Of Man IM9 1AP,PER,21-Oct-22
22/01136/B,"Alterations, erection of extension, installation of replacement windows and replace existing concrete tiles with natural slate tiles",Ballafletcher Jurby East Isle Of Man IM7 3HD ,PER,09-Nov-22
22/01137/C,Additional use of existing residential property (class 3.3) as tourist accommodation (class 3.6),2 Albany Close Peel Isle Of Man IM5 1JX,PER,28-Oct-22
22/01139/B,Installation of a borehole for water testing and subsequent siting of cylindrical head covering the borehole if water present.,Field 525128 Colooneys Lane Cooil Douglas Isle Of Man IM4 2AG ,PER,18-Nov-22
22/01144/B,"Provide additional car parking spaces within existing car park area, and the installation of a car stacking system",Car Park & Park House Isle Of Man Business Park Douglas Isle Of Man IM2 2QZ ,PER,02-Nov-22
22/01145/B,Erection of a detached double garage with living accommodation / home office above,Primrose Lodge Slieau Lewaigue Lewaigue Ramsey Isle Of Man IM7 1BH,REF,28-Oct-22
22/01149/B,Replacement of an existing timber garden shed with a wooden BBQ Hut,Glenlea Lodge Truggan Road Port St Mary Isle Of Man IM9 5LD ,PER,02-Nov-22
22/01151/B,Replacement of single glazed sash windows with UPVC double glazed and patterned windows,16 The Crofts Castletown Isle Of Man IM9 1LY,PER,19-Oct-22
