Planning Appeal/Dept decisions made between 1/1/17 - 31/12/17,,,,,,,,
PROPOSAL,Decision,PA Decision issued,Determining Body,Appeal lodged,Appeal determined,PA Ref,Property Address,Appeal decision
"Approval in principle for the development of seven dwellings, with means of access to be approved",Permitted,14-Sep-17,Planning Committee,02-Oct-17,20-Dec-17,16/01139/A,Field 612728 And Part Of Field 612727 Off Baldrine Road Baldrine Isle Of Man  ,Approved at Appeal
Extension of residential curtilage and retention of existing shed (retrospective) and erection of a summerhouse,Refused,04-Oct-16,Planning Committee,21-Oct-16,10-Jan-17,16/00802/B,The Haven & Plot 514147 Ballavale Road Santon Isle Of Man IM4 1EH,Approved at Appeal
Construction of a 60 bed residential care home and day care unit for older residents,Permitted,24-Mar-17,Planning Committee,12-Apr-17,05-Sep-17,17/00053/B,Former Glenside Residential Home Site Victoria Road Douglas Isle Of Man IM2 4AF ,Refused at appeal
"Replacement of existing windows with UPVC sliding sash units, and replacement of existing front door with composite door",Permitted,21-Jul-17,Head of Development Management,11-Aug-17,25-Oct-17,17/00609/B,23 Bridge Street Peel Isle Of Man IM5 1NQ ,Approved at Appeal
Erection of workshop/garage/camper van store,Refused,13-Jul-17,Head of Development Management,31-Jul-17,16-Oct-17,17/00271/B,Riverside Cottage Gardeners Lane Ramsey Isle Of Man IM8 3PN,Approved at Appeal
"Erection of a detached dwelling with attached garage, associated parking and fencing",Refused,21-Jul-17,Head of Development Management,10-Aug-17,25-Oct-17,17/00459/B,Ormondehall Brunswick Road Douglas Isle Of Man IM2 3NW,Refused at appeal
Erection of a detached residential dwelling with garage,Refused,15-Sep-16,Interim Director 2016,04-Oct-16,15-Mar-17,16/00918/B,Field 524162 Kilkenny Beg Colooneys Lane Cooil Douglas Isle Of Man  ,Refused at appeal
Installation of a digital sign (retrospective),Permitted,08-Nov-16,Interim Director 2016,16-Nov-16,09-Feb-17,16/01024/D,Skanco Court Cooil Road Douglas Isle Of Man IM2 2SR ,Approved at Appeal
Erection of a residential development of 81 dwellings with associated hard and soft landscaping and on site infrastructure,Permitted,08-Aug-16,Interim Director 2016,22-Aug-16,24-Jan-17,16/00232/B,Fields 131047 & 134069 Royal Park Phase 2  The Vollan  Ramsey Isle Of Man  ,Approved at Appeal
Erection of a rear extension to dwelling,Permitted,28-Jul-16,Interim Director 2016,11-Aug-16,17-Jan-17,16/00543/B,Mount Eliza 19 Howe Road Onchan Isle Of Man IM3 2BB,Refused at appeal
"Alterations, erection of a porch and erection of a side bungalow extension and side three storey extension to create two additional dwellings",Refused,20-Sep-16,Interim Director 2016,07-Oct-16,24-Jan-17,16/00908/B,Upper Billown Farm Grenaby Road Ballasalla Isle Of Man IM9 3DP,Refused at appeal
Installation of replacement windows,Refused,05-Sep-16,Interim Director 2016,26-Sep-16,10-Jan-17,16/00816/B,Sheear 2 Derby Road Peel Isle Of Man IM5 1HH,Approved at Appeal
Installation of a patio extension (retrospective),Refused,04-May-17,Director 2017+,23-May-17,25-Oct-17,17/00173/B,30 Glen Vine Park Glen Vine Isle Of Man IM4 4EY,Refused at appeal
Erection of an advertising board,Refused,17-Jan-17,Director 2017+,31-Jan-17,07-Feb-17,16/00950/D,7 - 17 Wellington Street Douglas Isle Of Man IM1 2PQ,Appeal Withdrawn
Erection of a digital advertisement board,Refused,16-Jan-17,Director 2017+,31-Jan-17,30-May-17,16/00949/D,44 Strand Street Douglas Isle Of Man IM1 2EG,Approved at Appeal
Conversion of an existing outbuilding / garage to a residential dwelling,Refused,06-Jul-17,Director 2017+,24-Jul-17,16-Oct-17,17/00400/B,Cummal Crawyn Killane Ballaugh Isle Of Man  ,Refused at appeal
Application for the de-registration of Lorne House (12/00269/REGBLD) in accordance with 7(1)(a) of the (Registered Buildings) Regulations 2013,Permitted,10-Feb-17,Director 2017+,02-Mar-17,21-Jul-17,15/01318/CON,Lorne House Douglas Street Castletown Isle Of Man IM9 1AZ ,Refused at appeal
Erection of a replacement dwelling,Permitted,10-Jan-17,Senior Planning Officer - North (CB),25-Jan-17,03-May-17,16/01323/B,10 Station Road Peel Isle Of Man IM5 1AY,Approved at Appeal
Additional use of room to teach yoga to a maximum of 14 students between 6pm and 8pm Tuesday to Sunday,Refused,16-Mar-17,Senior Planning Officer - North (CB),22-Mar-17,26-Jun-17,17/00064/C,16 Osborne Grove Douglas Isle Of Man IM1 3LE,Approved at Appeal
Demolition of existing chimney stacks and re-rendering of exposed gable walls,Refused,27-Jun-17,Senior Planning Officer - North (CB),04-Jul-17,16-Nov-17,17/00310/B,12 Lake Lane Peel Isle Of Man IM5 1AU,Decision Split at Appeal
Alterations and extensions to dwelling.,Permitted,25-Jan-17,Senior Planning Officer - North (CB),15-Feb-17,22-Jun-17,16/01237/B,11 Howe Road Onchan Isle Of Man IM3 2BB,Approved at Appeal
Installation of a replacement door and outdoor decking area to dwelling (retrospective),Refused,06-Sep-16,Senior Planning Officer - North (CB),26-Sep-16,17-Jan-17,16/00072/B,6 Wesley Terrace Douglas Isle Of Man IM1 3HF,Refused at appeal
Two storey extension to rear and side of dwelling.,Refused,24-Nov-16,Senior Planning Officer - North (CB),13-Dec-16,03-May-17,16/01162/B,Hazeldene 2 Ballaquinnea Cottages Braaid Road Glen Vine Isle Of Man IM4 2AS,Refused at appeal
