"Name","Number","Inc/Reg Date","Status","Registry Type","Name Status","URL","Index Date"
"Blackstone Franks Offshore Income Fund Limited","036000C","9 Oct 1987","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Z780jI2Z6yfxma9PkseByA%3d%3d","2024-04-28"
"Incotrade Limited","036026C","13 Oct 1987","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=TaU5mxNEPpNlC0NbVApU7A%3d%3d","2024-04-28"
"Income Protection Limited","036031C","13 Oct 1987","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=0SNuOzlNmXJEJLRo3VeV%2fw%3d%3d","2024-04-28"
"Incorporatus Limited","036190C","23 Oct 1987","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=GUcQ1Q2A6k4g8Hpk2wtj0Q%3d%3d","2024-04-28"
"Wallaston Management Inc.","000538F","15 Dec 1987","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=if%2bm%2f8%2bPfmCfZoagRgjpGg%3d%3d","2024-04-28"
"Inchanappa Limited","036851C","22 Dec 1987","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=yXoLk9SxBe66%2bC2PJ2xlKA%3d%3d","2024-04-28"
"Walkers Inc. Limited","037529C","16 Feb 1988","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=0GOtlxNQVqo1sfl5PU7fzQ%3d%3d","2024-04-28"
"Insituform International Inc.","000569F","20 Sep 1988","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=8eQD5oM%2fU7I%2bEMMx%2bye1vg%3d%3d","2024-04-28"
"Mannin Inc","000571F","23 Sep 1988","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=cKp22tegZy23DbzvC%2fmp6A%3d%3d","2024-04-28"
"GAM Arbitrage Inc.","000573F","26 Sep 1988","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ZY8iUO2hgKpqe2SgIP6ckA%3d%3d","2024-04-28"
"GAMerica Inc.","000574F","26 Sep 1988","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=licBmD3Cwwfy3w0WRzARkQ%3d%3d","2024-04-28"
"GAM France Inc.","000575F","26 Sep 1988","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Q2FGa8zkKVmgjGoS%2bpBWKA%3d%3d","2024-04-28"
"GAM Franc-Val Inc.","000576F","26 Sep 1988","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=qsfrS6m58z24%2bsC6KvEw9A%3d%3d","2024-04-28"
"GAM High Yield Inc.","000577F","26 Sep 1988","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=xr%2fa9K5%2byLgWe%2f4L7NQMDg%3d%3d","2024-04-28"
"GAM Money Markets Fund Inc.","000578F","26 Sep 1988","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=WDxWMFHNnaLFtzEJA5%2fdSg%3d%3d","2024-04-28"
"GAM Restructuring Fund Inc.","000579F","26 Sep 1988","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=CQAw4rKKStGjiFeu5xLUzw%3d%3d","2024-04-28"
"GAM U.S. Inc.","000581F","26 Sep 1988","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=rC6PSsek3EKsD2VNgKOxKQ%3d%3d","2024-04-28"
