"Name","Number","Inc/Reg Date","Status","Registry Type","Name Status","URL","Index Date"
"Isle of Man Gas and Electric Lighting Company Limited","000122C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=HasjRqclJ2fBXiswTCeLsw%3d%3d","2024-04-29"
"Douglas and Isle of Man Advertisers and Billposters Limited","000124C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=fqhbRgiBPYKEh2KZ7HcO3A%3d%3d","2024-04-29"
"The Palace (Douglas Isle of Man) Limited","000125C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=uUI7NNtl5RObZjP9uII9rQ%3d%3d","2024-04-29"
"Isle of Man Diorama Company Limited","000139C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=riqQDsJofwdjfDN1YW6Tsw%3d%3d","2024-04-29"
"Isle of Man Motor Panel Co.","000147B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Hb9hvFZhE3IAGCTrd3xFFQ%3d%3d","2024-04-29"
"The Ocean Marine Insurance Company Limited","000151F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=rbMETur8sOnnH4SziZh%2bJQ%3d%3d","2024-04-29"
"West of Scotland Insurance Office Limited","000152F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Ht1BINlzpM9mijp1VlH55A%3d%3d","2024-04-29"
"The Isle of Man Stud Company Limited","000153C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ZvFFBmAR7lbiI8FLNR%2f9fA%3d%3d","2024-04-29"
"Isle of Man Produce Company","000154B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=H1AgrhMbBrac46KkR5twuA%3d%3d","2024-04-29"
"The National Insurance Company of Great Britain Limited","000154F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=zFTBwF6vT8MAaBbOysIGKw%3d%3d","2024-04-29"
"The Marina (Douglas Isle of Man) Limited","000158C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=QGsdHgtKKcMjz7AbJTH4cw%3d%3d","2024-04-29"
"Isle of Man Tramways & Electric Power Company Limited","000160C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=UgYAqjUOrrZGoAqrsW6gnA%3d%3d","2024-04-29"
"The Car Owners Association Limited","000162C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=jFhKy0CLljKO0fmAUhHozw%3d%3d","2024-04-29"
"The Isle of Man Mineral Water Manufacturers' Association and Trade Protection Society Limited","000170C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=uTODFuUz5%2bAUSpBwWycJ7w%3d%3d","2024-04-29"
"The Prince of Wales Hotel Ramsey Limited","000174C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=S%2brsShxgXn2DUBg19qu30Q%3d%3d","2024-04-29"
"The Isle of Man Supply Company","000175B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=9W9XwXleCtOndYoetf2rSA%3d%3d","2024-04-29"
"The British Oak Insurance Company Limited","000187F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=CXd9d7ran0zS%2bKnCysmn6Q%3d%3d","2024-04-29"
"Ostick Brothers","000195B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=ARSqHypr7%2b1ei%2bHBLcL7Cg%3d%3d","2024-04-29"
"The Royal Trust Company of Canada","000199F"," ","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Fmfd4YcHVRYMdjGxgtSPdw%3d%3d","2024-04-29"
"Isle of Man Boot and Shoe Manufacturing Company Limited","000213C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=OhTh45%2fsWlPDNp2TB4cyFA%3d%3d","2024-04-29"
"Isle of Man Pure Ice, Cold Storage and Abattoir Co. Ltd.","000214C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Yz%2biXfCRb705Y0fyYRUJVA%3d%3d","2024-04-29"
"The Isle of Man Breweries Limited","000221C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Vx4tnRDe%2bG93ISdz%2baDUPw%3d%3d","2024-04-29"
"The Douglas Omnibus Company Limited","000222C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=w8uwL%2fb28Zmaoc%2fORVJ2yQ%3d%3d","2024-04-29"
"The Isle of Man Accommodation Bureau","000238B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=2kh3gXucCPN9vx5h1YcZdQ%3d%3d","2024-04-29"
"Carbol, O Limited","000245C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=GBTk02FlltcuvD4zbYMukg%3d%3d","2024-04-29"
"The New Isle of Man Pure Ice, Cold Storage and Abattoir Co. Ltd.","000246C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=MFXwhhEsLRY9g3G1XgZIzw%3d%3d","2024-04-29"
"The Dunluce and Glentask Iron Ore Company Limited","000267C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=evfbGmfzmi8zzgdqUzU%2fCw%3d%3d","2024-04-29"
"Onchan Steam Laundry","000270B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=xsTthEIqXOYuk9246BD0%2bQ%3d%3d","2024-04-29"
"Manx Coal and Oil Company Limited","000271C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=E6zEhjRaq9sB26CRiD%2bdCQ%3d%3d","2024-04-29"
"Olwyn School of Danncing","000275B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=WhITmH8qJ2F%2br32ttRCozg%3d%3d","2024-04-29"
"The Isle of Man Meat and Produce Company Limited","000275C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=z3yEL5SMvyoHOYEOeNBXBA%3d%3d","2024-04-29"
"Oates & Cowley","000276B"," ","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=UyMUW%2bGEi2ui7%2bPuAdH30A%3d%3d","2024-04-29"
"Isle of Man Motor Touring Company Limited","000280C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=vEA7ecByvDXv4xN6E6BYfQ%3d%3d","2024-04-29"
"The Isle of Man Racecourse and Sports Grounds Limited","000284C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=Ggl0jSwvdc9R%2bFGfnx21uA%3d%3d","2024-04-29"
"Onchan Motors Limited","000287C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=UuwqYF9VNTe%2fpuK6fH0Vtg%3d%3d","2024-04-29"
