"Name","Number","Inc/Reg Date","Status","Registry Type","Name Status","URL","Index Date"
"Universal Music Consultants Limited","019927C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=PRx4y%2bXs22DVxrfeDFgKSQ%3d%3d","2024-04-29"
"Unwin Investments Limited","021640C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=0XU%2bzsG84kJc9Hg81Y0DNQ%3d%3d","2024-04-29"
"United Resources Limited","021913C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=N8Es30rRumlnPM3MYQsZsQ%3d%3d","2024-04-29"
"United Development Company Limited","022020C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=a7UBm394aWvo%2f12nH09R7g%3d%3d","2024-04-29"
"Universal Good-Life Limited","024449C"," ","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=DB3ygC%2bOBIo0NVPQwRQLCg%3d%3d","2024-04-29"
"The National Farmers Union Mutual Insurance Society Limited","000082F","30 Sep 1910","Live","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=lzDc2FItkLekFKnDe9JvqQ%3d%3d","2024-04-29"
"The United Kingdom Mutual War Risks Association Limited (UKWR)","005906F","18 Feb 1913","Ceased","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=5RmqbjDTFujmMf1QR6UO2w%3d%3d","2024-04-29"
"Norwich Union Fire Insurance Society Limited","000004F","28 Jun 1924","Dissolved","Foreign Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=CoqK2S2jGjxmqu261M3TGA%3d%3d","2024-04-29"
"Norwich Union Insurance Limited","000004F","28 Jun 1924","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=CoqK2S2jGjxmqu261M3TGA%3d%3d","2024-04-29"
"Commercial Union Assurance Company plc","000012F","23 Mar 1932","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=bQEUKJKtT5iauW7L8D4F1A%3d%3d","2024-04-29"
"Rank Xerox (U.K.) Limited","001700F","16 Aug 1937","Ceased","Foreign Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=qLcUwXbZNDxJPGBFEjwBhQ%3d%3d","2024-04-29"
"Xerox (UK) Limited","001700F","16 Aug 1937","Ceased","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=qLcUwXbZNDxJPGBFEjwBhQ%3d%3d","2024-04-29"
"United Drapery Stores Tailoring Limited","000051F","18 Oct 1938","Dissolved","Foreign Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=hp9exVAGSEakbf8y21lPrA%3d%3d","2024-04-29"
"UDS Tailoring Limited","000051F","18 Oct 1938","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=hp9exVAGSEakbf8y21lPrA%3d%3d","2024-04-29"
"Universal Fur Co. (IOM)","000682B","6 Aug 1946","Dissolved","Business Name","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=%2bAZD6U2pDGoy7YgaDSLzWg%3d%3d","2024-04-29"
"AXA UK PENSION TRUSTEES LIMITED","006327F","17 Jan 1950","Struck Off","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=kK3RfB2CHmFanZbxzmdbCg%3d%3d","2024-04-29"
"Upton's Reliable Irish Tours Limited","000091F","4 Apr 1951","Dissolved","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=wstLLdzpFcl74fT44Bp44A%3d%3d","2024-04-29"
"Mothercare UK Limited","000637F","8 May 1954","Ceased","Foreign Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=W11fiu57TtcSfhlNCp1j%2fw%3d%3d","2024-04-29"
"Union Sales (Tools) Limited","001344C","4 Oct 1954","Dissolved","1931 Act Company","Previous","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=CDaGmMtYNwwooubSD5rkMw%3d%3d","2024-04-29"
"U.S.T. Limited","001344C","4 Oct 1954","Dissolved","1931 Act Company","Current","https://services.gov.im/ded/services/companiesregistry/viewcompany.iom?Id=CDaGmMtYNwwooubSD5rkMw%3d%3d","2024-04-29"
