SubUnit_Name,House_Number,House_Name,Street_Name,Locality,Town,Postcode,Parish_,Market_Value,Consideration,Acquisition_Date,CompletionDate
, 1,,The Waterfront,Shore Road,Port St Mary,,Rushen,"880,000.00","880,000.00",06/12/2017,12/06/2018
, 2,Hillcrest,Saint Marys Road,,Port Erin,IM9 6JG,Rushen,"200,000.00","200,000.00",24/11/2017,30/01/2018
, 2,Hillcrest,St Marys Road,,Port Erin,IM9 6JG,Rushen,"267,000.00","267,000.00",20/10/2023,08/11/2023
,,Seathwaite,Perwick Road,,Port St Mary,IM9 5PB,Rushen,"535,000.00","535,000.00",07/12/2017,19/02/2018
, 10,,Carnane View,Ballakilley,Port St Mary,IM9 5NR,Rushen,"339,950.00","339,950.00",15/12/2017,15/03/2018
, 15,,Odins Way,Ballakillowie,Colby,IM9 4BQ,Rushen,"320,000.00","320,000.00",13/02/2017,19/03/2018
, 2,,Athol Court,,Port Erin,IM9 6EJ,Rushen,"165,000.00","165,000.00",20/01/2017,19/02/2018
, 2,,Athol Court,,Port Erin,IM9 6EJ,Rushen,"235,000.00","235,000.00",23/03/2018,11/06/2018
, 25,,Close Cam,,Port Erin,IM9 6NB,Rushen,"210,000.00","210,000.00",17/11/2017,27/02/2018
,,Ballagawne Gate House,Mount Gawne Road,,Colby,IM9 4BA,Rushen,"91,100.00","91,100.00",10/11/2017,16/02/2018
,,Old Brook,Croit E Caley,,Colby,IM9 4AW,Rushen,"435,000.00","435,000.00",17/11/2017,26/02/2018
,,Niarbyl,Bridson Street,,Port Erin,IM9 6AN,Rushen,"209,000.00","209,000.00",05/12/2017,12/04/2018
, 3,,Ballakilley Lane,Ballakilley,Port St Mary,IM9 5NP,Rushen,"544,950.00","544,950.00",30/11/2017,01/03/2018
, 3,,Ballakilley Lane,Ballakilley,Port St Mary,IM9 5NP,Rushen,"682,500.00","682,500.00",08/08/2024,23/09/2024
, 15,,Carnane View,Ballakilley,Port St Mary,IM9 5NR,Rushen,"353,950.00","353,950.00",23/11/2017,13/03/2018
, 14,,Carnane View,Ballakilley,Port St Mary,IM9 5NR,Rushen,"369,950.00","369,950.00",04/01/2018,14/03/2018
, 7,,Carnane Lane,Ballakilley,Port St Mary,IM9 5NQ,Rushen,"327,950.00","327,950.00",04/01/2018,13/03/2018
, 7,,Carnane Lane,Ballakilley,Rushen,IM9 5NQ,Rushen,"330,000.00","330,000.00",25/03/2019,22/06/2019
,,Oakleigh,The Darragh,,Port Erin,IM9 6JB,Rushen,"330,000.00","115,000.00",15/03/1999,16/11/2018
,,,Parcel Of Land Abutting Longmead,Ballakillowey,Colby,IM9 4BF,Rushen,"125,000.00","125,000.00",16/10/2017,09/04/2018
,,,Parcel Of Land Abutting Longmead,Ballakillowey,Colby,IM9 4BF,Rushen,"190,000.00","190,000.00",22/07/2020,07/08/2020
, 2,,Erin Way,,Port Erin,IM9 6EF,Rushen,"265,000.00","265,000.00",23/01/2018,25/04/2018
, 3,,Shore Road,Bay Ny Carrickey,Port St. Mary,IM9 5LY,Rushen,"885,999.00","885,999.00",16/02/2018,28/08/2018
,,Dandy Rigg,Ballafurt Road,,Port Erin,IM9 6HP,Rushen,"270,000.00","270,000.00",12/12/2017,04/04/2018
, 4,,Carnane Lane,Ballakilley,Port St Mary,IM9 5NQ,Rushen,"416,492.00","416,492.00",16/01/2018,15/03/2018
, 1,,Erin Lane,,Port Erin,IM9 6FE,Rushen,"319,000.00","319,000.00",18/12/2017,30/04/2018
,,Hilbre,Station Road,,Port Erin,IM9 5BF,Rushen,"340,000.00","170,000.00",14/12/2017,13/04/2018
,,Hilbre,Station Road,,Port St Mary,IM9 5BF,Rushen,"310,000.00","310,000.00",25/06/2021,17/08/2021
,,Princess Towers,The Promenade,,Port Erin,,Rushen,"1,000.00",0.00,03/02/2003,09/08/2018
, 10 A,,Carnane Lane,Ballakilley,Port St Mary,IM9 5NQ,Rushen,"294,950.00","294,950.00",16/02/2018,17/04/2018
, 10A,,Carnane Lane,Ballakilley,Port St Mary,IM9 5NQ,Rushen,"406,000.00","406,000.00",06/01/2023,31/01/2023
,,Surby Cottage,Mill Road ,,Port Erin,IM9 6QP,Rushen,"168,000.00","168,000.00",06/03/2018,13/04/2018
,,1 Carlton Apartments,Spaldrick,,Port Erin,IM9 6PD,Rushen,"105,000.00","105,000.00",31/01/2018,23/05/2018
,,1 Carlton Apartments,Spaldrick,,Port Erin,IM9 6PD,Rushen,"180,000.00","180,000.00",18/08/2023,16/11/2023
,,Croitville,Croit E Caley,,Colby,IM9 4AR,Rushen,"345,000.00","345,000.00",16/01/2018,06/11/2018
,,Wimple Nook,Bradda East,,Port Erin,IM9 6QA,Rushen,"300,000.00","300,000.00",06/01/2017,24/04/2018
, 129,,Ballamaddrell,,Port Erin,IM9 6AY,Rushen,"160,000.00","160,000.00",29/01/2018,21/05/2018
, 2,,Bradda View Grove,Colby,Rushen,IM9 4DE,Rushen,"699,999.00","699,999.00",21/03/2018,11/05/2018
, 2,,Bradda View Grove,Colby,Rushen,IM9 4DE,Rushen,"780,000.00","780,000.00",29/04/2019,18/05/2019
, 2,,Bradda View Grove,Colby,Rushen,IM9 4DE,Rushen,"840,000.00","840,000.00",27/08/2020,23/11/2020
,,York House,Upper Promenade,,Port Erin,IM9 6LA,Rushen,"1,040,000.00","1,040,000.00",19/03/2018,20/04/2018
,,Parcel Of Land,Off Maine Road,,Port Erin,IM9 6LQ,Rushen,"5,000.00","5,000.00",31/01/2018,11/10/2018
,,Roslyn,Maine Road,,Port Erin,IM9 6LQ,Rushen,"310,000.00","310,000.00",23/02/2018,10/09/2018
,,Roslyn,Maine Road,,Port Erin,IM9 6LQ,Rushen,"480,000.00","480,000.00",20/06/2022,02/09/2022
, 11a,,Carnane Lane,Ballakilley,Port St Mary,IM9 5NQ,Rushen,"292,450.00","292,450.00",08/02/2018,22/05/2018
, 11a,,Carnane Lane,Ballakilley,Port St Mary,IM9 5NQ,Rushen,"297,000.00","297,000.00",24/01/2019,01/03/2019
, 74,,Magherbreekyn,Ponyfields,Port Erin,IM9 6DD,Rushen,"160,000.00","160,000.00",17/01/2018,26/06/2018
,,Robin Hill Farm,Cronk E Dhooney,Ballakilpheric,Colby,IM9 4BS,Rushen,"565,000.00","565,000.00",05/01/2018,31/08/2018
,,Briar Bank,Ballagawne Road,,Colby,IM9 4AX,Rushen,"300,000.00",1.00,02/02/2018,27/04/2018
,,Fistard House,Fistard Road,,Port St Mary,IM9 5PE,Rushen,"258,000.00","258,000.00",26/02/2018,30/04/2018
,,Fistard House,Fistard Road,,Port St Mary,IM9 5PE,Rushen,"446,000.00","446,000.00",14/06/2022,18/07/2022
,,Parcel Of Land,Cronk Y Dhooney,,Rushen,IM9 4BR,Rushen,"25,000.00","25,000.00",28/02/2018,30/04/2018
, 11,,Carnane Lane,Ballakilley,Port St Mary,IM9 5NQ,Rushen,"274,950.00","274,950.00",22/03/2018,22/05/2018
, 10,,Carnane Lane,Ballakilley,Port St Mary,IM9 5NQ,Rushen,"274,950.00","274,950.00",26/02/2018,21/05/2018
, 9,,Close Famman,,Port Erin,IM9 6BL,Rushen,"185,000.00",0.25,15/02/2018,27/06/2018
, 10,,Bradda View Grove,Colby ,Rushen,IM9 4DE,Rushen,"587,999.00","587,999.00",15/03/2018,10/05/2018
,,Fairfield,Ballafesson Corner,,Port Erin,IM9 6TR,Rushen,"278,000.00","278,000.00",03/05/2018,21/05/2018
,,Burnbrae,Ballakilpheric Road,,Colby,IM9 4BT,Rushen,"900,000.00","900,000.00",19/03/2018,29/05/2018
,,Fern Villa,Sloc Road,Lingague,Rushen,IM9 4BW,Rushen,"275,000.00","275,000.00",20/04/2018,24/05/2018
,,Ardmore,Meadowfield Road,,Port Erin,IM9 6PH,Rushen,"319,950.00","319,950.00",02/03/2018,06/06/2018
,,Cooil Bane,Maine Road,,Port Erin,IM9 6LQ,Rushen,"270,000.00","270,000.00",16/03/2018,19/06/2018
,,Emmagail Cottage,Qualtroughs Lane,Ballafesson,Port Erin,IM9 6TP,Rushen,"297,000.00","297,000.00",29/03/2018,22/06/2018
,,Plot Of Land Forming Part Of The Rear Garden Of,Cashtal Vanannan,Dandy Hill,Port Erin,IM9 6HN,Rushen,"29,000.00","29,000.00",23/01/2020,23/01/2020
,,Derwent,Ballafesson Road,,Port Erin,IM9 6BT,Rushen,"185,000.00","185,000.00",25/05/2018,26/06/2018
,,Derwent,Ballafesson Road,,Port Erin,IM9 6BT,Rushen,"280,000.00","280,000.00",31/03/2020,07/06/2020
,,Derwent,Ballafesson Road,,Port Erin,IM9 6BT,Rushen,"289,000.00","289,000.00",17/08/2020,18/11/2020
, 10,,Erin Lane,,Port Erin,IM9 6FE,Rushen,"319,000.00","319,000.00",20/04/2018,11/07/2018
, 1,Seaview,Gellings Avenue,,Port St Mary,IM9 5BG,Rushen,"260,000.00","260,000.00",09/03/2018,20/11/2018
, 8,,Sunnydale Avenue,,Port Erin,IM9 6ET,Rushen,"230,000.00",0.25,18/05/2018,24/07/2018
,,Crofton,Four Roads,,Port St Mary,IM9 5LQ,Rushen,"217,000.00","217,000.00",08/11/2017,25/06/2018
, 1,,Bradda View Grove,Ballakillowey,Rushen,IM9 4DE,Rushen,"680,000.00","680,000.00",24/05/2018,18/09/2018
, 2,,Shore Road,Bay Ny Carrickey,Rushen,IM9 5LY,Rushen,"919,999.00","919,999.00",16/05/2018,01/10/2018
, 2,,Shore Road,Bay Ny Carrickey,Rushen,IM9 5LY,Rushen,"930,000.00","930,000.00",18/12/2018,05/03/2019
,,Homestead,Bay View Road,,Port Erin,IM9 6NA,Rushen,"160,000.00","160,000.00",04/05/2018,21/08/2018
,,Homestead,Bay View Road,,Port Erin,IM9 6NA,Rushen,"395,000.00","395,000.00",17/12/2020,09/09/2021
, 3,,Bradda View Grove,Colby,Rushen,IM9 4DE,Rushen,"679,999.00","679,999.00",23/03/2018,30/08/2018
,,,Land At Ballakillowey And Ballafesson,,Rushen,,Rushen,"175,000.00",0.00,23/01/2018,21/08/2018
,,,Land At Ballakillowey And Ballafesson,,Rushen,,Rushen,"175,000.00","175,000.00",07/09/2018,17/09/2018
, 1,,Meayll Drive,Ballakilley,Porst St Mary,IM9 5NT,Rushen,"339,950.00","339,950.00",16/05/2018,25/07/2018
, 1,,Meayll Drive,Port St Mary,Ballakilley,IM9 5NT,Rushen,"400,000.00","400,000.00",09/04/2021,18/08/2021
, 3,,Truggan Close,,Port Erin,IM9 6JR,Rushen,"500,000.00",0.25,13/04/2018,21/08/2018
, 3,,Truggan Close,,Port Erin,IM9 6JR,Rushen,"520,000.00","520,000.00",03/12/2019,20/01/2020
,,The Anchorage,Queens Road,,Port St Mary,IM9 5EU,Rushen,"150,000.00","150,000.00",18/04/2018,15/08/2018
, 8,,Carnane View,Ballakilley,Port St Mary,IM9 5NR,Rushen,"321,950.00","321,950.00",11/04/2018,14/08/2018
, 8,,Carnane Lane,Ballakilley,Port St Mary,IM9 5NQ,Rushen,"385,000.00","385,000.00",06/04/2018,14/08/2018
, 8,,Carnane Lane,Ballakilley,Port St Mary,IM9 5NQ,Rushen,"495,000.00","495,000.00",23/09/2022,11/11/2022
,,May Cottage,Fistard Road,,Port St Mary,IM9 5EF,Rushen,"110,000.00","110,000.00",11/04/2018,05/09/2018
,,Maye Cottage,Fistard Road,,Port St Mary,IM9 5EF,Rushen,"230,000.00","230,000.00",06/09/2024,22/10/2024
,,Rose Lea,5 Viking Close,Ballakillowey,Colby,IM9 4BH,Rushen,"265,000.00","265,000.00",27/04/2018,13/08/2018
, 4,,Meayll Drive,Ballakilley,Port St Mary,IM9 5NT,Rushen,"356,950.00","356,950.00",13/04/2018,23/08/2018
, 7,,Carnane View,Ballakilley,Port St Mary,IM9 5NR,Rushen,"334,450.00","334,450.00",21/05/2018,14/08/2018
,,,1 Spaldrick,,Port Erin,IM9 6PB,Rushen,"207,500.00","207,500.00",06/06/2018,03/08/2018
, 3,,Meayll Drive,Ballakilley,Port St Mary,IM9 5NT,Rushen,"336,950.00","336,950.00",18/06/2018,28/08/2018
, 3,,Meayll Drive,Ballakilley,Port St Mary,IM9 5NT,Rushen,"399,000.00","399,000.00",06/07/2021,02/09/2021
,,,3 Ballakeyll,,Colby,IM9 4AY,Rushen,"280,000.00","280,000.00",11/07/2018,18/09/2018
,,Harbour Masters Office,Lime Street,,Port St Mary,IM9 5EF,Rushen,"275,000.00",665.00,17/03/1937,06/09/2018
, 20,,Fleshwick Close,,Ballakilley,IM9 5NS,Rushen,"206,950.00","206,950.00",07/06/2018,03/10/2018
, 3,,Lhag Mooar,,Port Erin,IM9 6LY,Rushen,"205,000.00","205,000.00",16/08/2018,14/09/2018
,,Dovedale,Athol Park,,Port Erin,IM9 6EX,Rushen,"240,000.00","240,000.00",13/07/2018,14/09/2018
, 7,,Perwick Road,,Port St Mary,IM9 5PA,Rushen,"325,000.00","325,000.00",18/07/2018,27/09/2018
,,Rocksholme,Rocky Road,Bradda East,Port Erin,IM9 6QD,Rushen,"270,015.00","270,015.00",08/05/2018,03/10/2018
, 3,,Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"369,950.00","369,950.00",19/06/2018,30/08/2018
, 9,,Carnane Lane,Ballakilley,Port St Mary,IM9 5NQ,Rushen,"339,950.00","339,950.00",21/06/2018,01/10/2018
,,Kirkle Farm,Ballakillowey Road,,Colby,IM9 4BW,Rushen,"820,000.00","820,000.00",18/05/2018,05/10/2018
, 20a,,Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"236,950.00","236,950.00",15/06/2018,28/08/2018
, 7,,Meayll Drive,Ballakilley,Port St Mary,IM9 5NT,Rushen,"357,000.00","357,000.00",25/06/2018,01/10/2018
, 1,,Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"419,500.00","419,500.00",18/06/2018,21/09/2018
, 6,,Rhenwyllan Close,,Port St Mary,IM9 5NH,Rushen,"475,000.00","50,000.00",15/06/2018,15/10/2018
,,The Crows Nest,Ballakilpheric,,Colby,IM9 4BT,Rushen,"380,000.00","380,000.00",12/06/2018,17/10/2018
Apartment 12,,Dolphin Apartments,The Promenade,,Port St Mary,IM9 5DF,Rushen,"145,000.00","145,000.00",11/07/2018,01/10/2018
Apartment 12,,Dolphin Apartments,The Promenade,,Port St Mary,IM9 5DF,Rushen,"215,000.00","215,000.00",21/01/2019,25/02/2019
,,Carousel,Four Roads,,Port St Mary,IM9 5LS,Rushen,"175,000.00","175,000.00",31/07/2018,14/11/2018
,,Land Adjacent To Carousel,Four Roads,,Port St Mary,IM9 5LS,Rushen,"12,500.00","12,500.00",31/07/2018,16/11/2018
,,,2 St Mary's Glebe,Fistard,Port St Mary,IM9 6PF,Rushen,"190,000.00","190,000.00",18/05/2018,17/10/2018
,,Greeba House,St George's Crescent,,Port Erin,IM9 6HR,Rushen,"275,000.00","275,000.00",14/06/2018,12/10/2018
,,,19 Fleshwick Close,Ballakilley,Port Erin,IM9 5NS,Rushen,"171,414.11","171,414.11",11/06/2018,31/10/2018
,,,19 Fleshwick Close,Ballakilley,Port Erin,IM9 5NS,Rushen,"325,000.00",0.00,13/10/2023,18/12/2023
Flat 4,,Rowany Court,Rowany Drive,,Port Erin,IM9 6LN,Rushen,"120,000.00",0.25,01/06/2018,18/09/2018
,,Thie Eary,Dandy Hill,,Port Erin,IM9 6HN,Rushen,"450,000.00","450,000.00",21/05/2018,25/10/2018
,,Whitebridge,St Georges Crescent,,Port Erin,IM9 6HR,Rushen,"435,000.00","435,000.00",29/05/2018,05/11/2018
,,Bryn Lodge,Fistard Road,,Port St Mary,IM9 5HF,Rushen,"276,000.00","276,000.00",03/08/2018,24/10/2018
, 19a,,Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"207,950.00","207,950.00",29/06/2018,05/03/2019
,,Gansey Villa,Gansey,,Port St Mary,IM9 5LA,Rushen,"300,000.00","300,000.00",26/06/2018,24/10/2018
, 4,,Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"326,950.00","326,950.00",29/06/2018,26/09/2018
, 4,,Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"375,000.00","375,000.00",05/03/2021,09/09/2021
, 5,,Meayll Drive,Ballakilley,Port St Mary,IM9 5NT,Rushen,"364,950.00","364,950.00",27/07/2018,21/09/2018
, 2,,Fairway Drive,,Port Erin,IM9 6LR,Rushen,"310,000.00","310,000.00",15/05/2018,09/02/2019
, 2,,Fairway Drive,,Port Erin,IM9 6LR,Rushen,"490,000.00","490,000.00",24/11/2023,29/11/2023
, 76,,Ballamaddrell,,Port Erin,IM9 6AZ,Rushen,"210,000.00","210,000.00",02/08/2018,22/11/2018
, 35,,Droghadfayle Road,,Port Erin,IM9 6EN,Rushen,"255,000.00","255,000.00",17/07/2018,22/11/2018
, 4,,Carrick Bay View,Ballagawne Road,Colby,IM9 4DD,Rushen,"665,000.00","665,000.00",30/06/2014,04/10/2018
,,Pine View,The Level,,Colby,IM9 4AL,Rushen,"360,000.00","360,000.00",12/08/2016,23/11/2018
,,Inglebrae,Howe Road,,Port St Mary,IM9 5PR,Rushen,"367,500.00","367,500.00",21/06/2018,04/10/2018
,,Ballakillowey Farm,Sloc Road,Ballakillowey,Colby,IM9 4BN,Rushen,"730,000.00","730,000.00",07/08/2018,22/02/2019
, 2,,Strawberry Fields,Croit-E-Caley,Colby,IM9 4BZ,Rushen,"500,000.00","500,000.00",20/07/2018,24/06/2019
,,Stoneleigh,St Georges Crescent,,Port Erin,IM9 6HR,Rushen,"287,500.00","287,500.00",24/08/2018,06/12/2018
,,,7 Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"276,950.00","276,950.00",31/07/2018,09/02/2019
,,Falcons Nest Hotel,Station Road,,Port Erin,IM9 6AF,Rushen,"500,000.00","500,000.00",28/09/2018,15/11/2018
, 20,,Sunnydale Avenue,,Port Erin,IM9 6EU,Rushen,"240,000.00","240,000.00",18/09/2018,23/02/2019
Bee and Blossom Farm,,Upper Scard,Ballakillowey Road,,Colby,IM9 4BP,Rushen,"775,000.00","775,000.00",17/08/2018,05/03/2019
,,Greenmount,15 Ballagale Avenue,Surby,Rushen,IM9 6QN,Rushen,"260,000.00","260,000.00",13/07/2018,25/02/2019
,,Greenmount,15 Ballagale Avenue,Surby,Rushen,IM9 6QN,Rushen,"490,000.00","490,000.00",10/12/2021,25/01/2022
,,Greenmount,15 Ballagale Avenue,Surby,Rushen,IM9 6QN,Rushen,"490,000.00","39,200.00",23/05/2023,31/05/2023
, 2,,Bradda Mount,Bradda East,Port Erin,IM9 6QF,Rushen,"195,000.00","195,000.00",05/09/2018,11/10/2019
,,Ballakelly Cottage,Ballakilpheric,,Colby,IM9 4BT,Rushen,"375,000.00","375,000.00",20/07/2018,09/02/2019
,,,Bradda Brae,Bradda East Road,Port Erin,IM9 6QB,Rushen,"612,500.00","612,500.00",17/08/2018,09/02/2019
,,Car Park And Land Off,Strand Road,,Port Erin ,IM9 6AF,Rushen,"250,000.00",1.00,28/09/2018,25/02/2019
,,Substation At Former Marine Biological Station,Breakwater Road,,Port Erin,IM9 6JA,Rushen,247.50,247.50,21/09/2018,20/02/2019
, 2,,Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"369,950.00","369,950.00",31/07/2018,23/02/2019
, 2,,Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"505,000.00","505,000.00",22/10/2024,30/10/2024
,,Palm Villa,Strand Road,,Port Erin ,IM9 6HD,Rushen,"143,000.00","143,000.00",23/07/2018,08/11/2018
, 9,,Grammah Avenue,,Port Erin,IM9 6NR,Rushen,"260,000.00","260,000.00",27/04/2018,09/02/2019
,,Temidayo,Endfield Avenue,,Port St Mary,IM9 5EW,Rushen,"325,000.00","325,000.00",06/08/2018,14/11/2018
,,Lyndene,Clifton Road North,,Port St Mary,IM9 5HB,Rushen,"215,000.00","215,000.00",14/09/2018,06/11/2018
, 7,,Milner Close,,Port Erin,IM9 6BG,Rushen,"262,000.00","262,000.00",17/08/2018,25/02/2019
,,Former Sea Farm Site,Traie Meanagh,,Port Erin,IM9 6LL,Rushen,"200,000.00","200,000.00",28/09/2016,02/11/2018
,,Passageway Adjacent To Carousel,Four Roads,,Port St Mary,IM9 6LN,Rushen,0.01,0.01,31/07/2018,18/02/2019
,,,12 Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"341,950.00","341,950.00",18/10/2018,22/02/2019
,,,12 Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"475,000.00","475,000.00",30/08/2024,27/09/2024
, 15,,Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"244,950.00","244,950.00",17/10/2018,04/05/2019
,,Burnage,Castletown Road,,Port Erin,IM9 6BQ,Rushen,"175,000.00","175,000.00",11/10/2018,04/03/2019
, 8,,Bradda View Grove,Ballakillowey,Rushen,IM9 4DE,Rushen,"639,999.00","639,999.00",05/10/2018,06/04/2019
,,Land Adjacent To Maycroft,Park Road,,Port St Mary,IM9 5DP,Rushen,"20,000.00","20,000.00",08/08/2018,28/11/2018
FLAT 3,,Rowany Court,Rowany Drive,,Port Erin,IM9 6LW,Rushen,"120,000.00",0.25,28/09/2018,16/04/2019
, 5,,Bradda View Grove,Ballakillowey,Rushen,,Rushen,"369,999.00","369,999.00",10/11/2017,15/04/2019
, 5,Perwick House,Perwick Bay,,Port St Mary,IM9 5PD,Rushen,"315,000.00","315,000.00",23/08/2018,27/03/2019
Common Parts,,Perwick House,Perwick Bay,,Port St Mary,IM9 5PD,Rushen,,0.00,23/08/2018,29/03/2019
, 15,,Sunnydale Avenue,,Port Erin,IM9 6EU,Rushen,"235,000.00","235,000.00",28/09/2018,29/03/2019
,,Ballagawne House,Ballagawne Road,,Colby,IM9 4AZ,Rushen,"525,000.00","525,000.00",04/09/2018,08/04/2019
,,The Cronk,Surby Road,Surby,Port Erin,,Rushen,"130,000.00","65,000.00",25/09/2018,17/12/2018
,,,Bradda Place,Maine Road,Port Erin,IM9 6LQ,Rushen,"365,000.00","365,000.00",16/03/2017,30/10/2019
, 2,Thie Meanagh,Gellings Avenue,,Port St Mary,IM9 5BG,Rushen,"200,000.00","200,000.00",31/10/2018,24/04/2019
, 2,Thie Meanagh,Gellings Avenue,,Port St Mary,IM9 5BG,Rushen,"279,950.00","279,950.00",22/11/2021,21/02/2022
, 17,,Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"236,950.00","236,950.00",15/11/2018,24/04/2019
, 18,,Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"207,950.00","207,950.00",07/11/2018,23/02/2019
,,Dring Cottage,St Mary's Road,,Port Erin,IM9 6JJ,Rushen,"117,000.00","117,000.00",31/10/2018,27/08/2019
,,Dring Cottage,St Mary's Road,,Port Erin,IM9 6JJ,Rushen,"369,000.00","369,000.00",26/05/2022,22/06/2022
, 10,,Ballahane Close,,Port Erin,IM9 6EG,Rushen,"185,000.00","185,000.00",28/09/2018,07/05/2019
,,Erina ,Bridson Street,,Port Erin,IM9 6AN,Rushen,"160,000.00","160,000.00",19/11/2018,21/05/2019
, 6,,Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"415,000.00","415,000.00",01/08/2018,23/02/2019
,,Highcrest,Perwick Bay,,Port St Mary,IM9 5PA,Rushen,"425,000.00","425,000.00",27/09/2018,23/05/2019
, 17a,,Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"207,950.00","207,950.00",21/11/2018,17/04/2019
,,,6 Meayll Drive,Ballakilley,Port St Mary,IM9 5NT,Rushen,"348,950.00","348,950.00",27/09/2018,09/02/2019
,,,6 Meayll Drive,Ballakilley,Port St Mary,IM9 5NT,Rushen,"480,000.00","480,000.00",30/09/2021,10/12/2021
,,,11 Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"276,950.00","276,950.00",03/12/2018,12/02/2019
,,,5 Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"296,950.00","296,950.00",29/11/2018,09/02/2019
,,,16 Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"244,950.00","244,950.00",07/12/2018,30/04/2019
,,,16 Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"283,000.00","283,000.00",16/03/2023,02/01/2024
, 16 & 25,,Maghergarran,Ponyfields,Port Erin,IM9 6BZ,Rushen,0.25,0.25,10/10/2018,09/09/2019
, 16 & 25,,Maghergarran,Ponyfields,Port Erin,IM9 6BZ,Rushen,0.01,0.01,15/07/2024,01/08/2024
, 25,,Maghergarran,Ponyfields,Port Erin,IM9 6BZ,Rushen,"94,000.00","94,000.00",10/10/2018,12/09/2019
, 25,,Maghergarran,Ponyfields,Port Erin,IM9 6BZ,Rushen,"147,500.00","147,500.00",15/07/2024,01/08/2024
,,Shared Area In Relation To,2 Strawberry Fields,Croit-E-Caley,Colby,IM9 4BZ,Rushen,,0.00,20/07/2018,25/06/2019
,,Barn/Workshop,Cherry Orchard,Bridson Street,Port Erin,IM9 6AN,Rushen,"15,000.00","15,000.00",29/11/2018,11/09/2019
,,Hollybank,Castletown Road,,Port Erin,IM9 6BD,Rushen,"140,000.00","140,000.00",04/12/2018,19/09/2019
,,,14 Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"305,950.00","305,950.00",07/12/2018,04/05/2019
, 3,,Milner Park,,Port Erin,IM9 6DH,Rushen,"315,000.00","315,000.00",22/10/2018,18/09/2019
,,Garage 15,Ballamaddrell,,Port Erin,,Rushen,"13,000.00","13,000.00",23/11/2018,09/09/2019
,,The Barn,Glen Chass,,Port St Mary,IM9 5PN,Rushen,"185,000.00","185,000.00",17/12/2018,09/07/2019
, 107,,Ballamaddrell,,Port Erin,IM9 6AX,Rushen,"200,000.00",0.25,20/11/2018,07/09/2019
, 2,,Close Cam,,Port Erin,IM9 6NB,Rushen,"298,000.00","298,000.00",30/11/2018,10/05/2019
,,,2 Meayll Drive,Ballakilley,Port St Mary,IM9 5NT,Rushen,"339,950.00","339,950.00",10/12/2018,15/05/2019
,,,2 Meayll Drive,Ballakilley,Port St Mary,IM9 5NT,Rushen,"365,000.00","365,000.00",04/09/2020,17/10/2020
,,,2 Meayll Drive,Ballakilley,Port St Mary,IM9 5NT,Rushen,"425,000.00","425,000.00",20/01/2022,18/11/2022
, 18a,,Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"236,950.00","236,950.00",03/01/2019,27/03/2019
, 3,,Carrick Bay View,Ballagawne Road,Colby,IM9 4DD,Rushen,"600,000.00",0.00,09/11/2018,07/05/2019
, 3,,Carrick Bay View,,Colby,IM9 4DD,Rushen,"640,000.00","640,000.00",24/06/2019,24/07/2019
, 8,,Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"369,950.00","369,950.00",03/12/2018,14/05/2019
, 8,,Fleshwick Close,Ballakilley,Port St Mary,IM9 5NS,Rushen,"399,950.00","399,950.00",16/07/2020,11/08/2020
, 5,Kerick,Meadowfield,,Port Erin,IM9 6PH,Rushen,"296,000.00","296,000.00",12/12/2018,11/10/2019
,,Linksfield,Bradda West ,,Port Erin,IM9 6PN,Rushen,"485,000.00","485,000.00",20/12/2018,12/10/2019
, 5,,The Lhargan,,Port St Mary,IM9 5AR,Rushen,"170,000.00","170,000.00",01/02/2019,08/04/2019
, 5,Fernlea,The Lhargan,,Port St Mary,IM9 5AR,Rushen,"267,000.00","267,000.00",09/06/2022,12/09/2022
Thie Bane, 23,,Perwick Road,,Port St Mary,IM9 5PA,Rushen,"400,000.00","200,000.00",18/01/2019,21/10/2019
