SubUnit_Name,House_Number,House_Name,Street_Name,Locality,Town,Postcode,Parish_,Market_Value,Consideration,Acquisition_Date,CompletionDate
,,Land Part Of The ,Estate Of Ballagarrett,,Bride,,Bride,"5,000.00",0.25,16/10/2014,10/03/2015
,,,Ballakesh Farm,,Bride,IM7 4BF,Bride,"925,000.00","925,000.00",12/12/2014,26/03/2015
,,,Ballakesh Farm,,Bride,IM7 4BF,Bride,"842,500.00","842,500.00",28/09/2018,11/10/2018
,,Land Adjacent To Lheakerrow Cottage,Andreas Road,,Bride,IM7 4EJ,Bride,"20,000.00","20,000.00",22/09/2014,02/03/2015
,,Land Adjacent To Lheakerrow Cottage,Andreas Road,,Bride,IM7 4EJ,Bride,"20,000.00","20,000.00",20/06/2016,28/06/2016
,,Westfield,Grenaby Road,Dogmills,Ramsey,IM7 4AN,Bride,"250,000.00","250,000.00",03/11/2010,28/05/2015
,,Field Number 111277,Grenaby Road,,Bride,,Bride,"10,000.00",0.00,03/11/2010,28/05/2015
,,Field Number 111277,Grenaby Road,,Bride,,Bride,"10,000.00","10,000.00",19/06/2015,07/08/2015
,,Field Number 111277,Grenaby Road,,Bride,,Bride,"10,000.00","10,000.00",21/08/2020,15/09/2020
,,Land Part Of Westfield,Grenaby Road,,Bride,IM7 4AN,Bride,"20,000.00",0.25,01/04/2015,28/05/2015
,,Westfield ,Grenaby Road,,Bride,IM7 4AN,Bride,"270,000.00",0.25,28/05/2015,28/05/2015
,,Ramscraigs,Grenaby Road,,Bride,IM7 4AN,Bride,"270,000.00","270,000.00",19/06/2015,07/08/2015
,,Ramscraigs,Grenaby Road,,Bride,IM7 4AN,Bride,"339,000.00","339,000.00",21/08/2020,15/10/2020
,,Loughside,Nassau Road,Dogmills,Bride,IM7 4AQ,Bride,"300,000.00","300,000.00",19/06/2015,02/12/2015
,,,Land Adjoining Lough Cottage,Cranstal,Bride,IM7 4BP,Bride,"10,000.00",0.25,02/07/2015,23/05/2016
,,Land Adjoining Meadow View,Cranstal,,Bride,IM7 4BN,Bride,"2,000.00",0.00,22/06/2017,27/06/2017
,,Land Adjoining Meadow View,Cranstal,,Bride,IM7 4BN,Bride,"2,000.00","2,000.00",23/12/2019,31/01/2020
,,Seafield,Bride Road,,Bride,IM7 4AD,Bride,"388,990.00","388,990.00",09/09/2016,06/12/2016
,,Lheakerrow Cottage,Andreas Road,,Bride,IM7 4EJ,Bride,"410,000.00","410,000.25",21/03/2017,21/03/2017
