"osm_id","osm_type","osm_url","lat","lon","name","name:en","ref"
"4127664498","node","https://osm.org/node/4127664498","54.2023","-4.412304","","",""
"4161725353","node","https://osm.org/node/4161725353","54.231545","-4.406413","Laxey Post Office","","101"
"4360461280","node","https://osm.org/node/4360461280","54.177933","-4.430826","Groudle","","94"
"4366960546","node","https://osm.org/node/4366960546","54.086949","-4.634307","Airport Terminal","","118"
"4442177994","node","https://osm.org/node/4442177994","54.172945","-4.505616","","",""
"5159218708","node","https://osm.org/node/5159218708","54.147201","-4.488198","","",""
"8590261799","node","https://osm.org/node/8590261799","54.245948","-4.409443","","",""
"8980761288","node","https://osm.org/node/8980761288","54.13813","-4.561825","","",""
"9634455311","node","https://osm.org/node/9634455311","54.157255","-4.488132","","",""
"10287638483","node","https://osm.org/node/10287638483","54.161481","-4.489762","","",""
"10289813053","node","https://osm.org/node/10289813053","54.082764","-4.730306","","",""
"10291919451","node","https://osm.org/node/10291919451","54.082437","-4.76141","","",""
"10294804587","node","https://osm.org/node/10294804587","54.330032","-4.406024","","",""
"10296588279","node","https://osm.org/node/10296588279","54.367067","-4.444535","","",""
"10296602417","node","https://osm.org/node/10296602417","54.386545","-4.450177","","",""
"10296635827","node","https://osm.org/node/10296635827","54.354078","-4.534879","","",""
"10296666650","node","https://osm.org/node/10296666650","54.363524","-4.516593","","",""
"10296666661","node","https://osm.org/node/10296666661","54.363825","-4.495691","","",""
"10296682267","node","https://osm.org/node/10296682267","54.382293","-4.389472","","",""
"10296694913","node","https://osm.org/node/10296694913","54.346168","-4.502581","","",""
"10296694919","node","https://osm.org/node/10296694919","54.347874","-4.488532","","",""
"10296694940","node","https://osm.org/node/10296694940","54.340568","-4.469585","","",""
"10296706554","node","https://osm.org/node/10296706554","54.388689","-4.40405","","",""
"10296983929","node","https://osm.org/node/10296983929","54.348803","-4.414765","","",""
"10297006037","node","https://osm.org/node/10297006037","54.352268","-4.384034","","",""
"10297012870","node","https://osm.org/node/10297012870","54.365254","-4.449726","","",""
