Planning  Applications Determined between 1/1/16 - 31/12/16,,,,,
Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,15/01307/B,Replacement of garage door with two windows and erection of a front porch to dwelling,05-Jan-16,Head of Development Management,4 Fuchsia Lane Reayrt Ny Keylley Peel Isle Of Man IM5 1GJ 
Permitted,15/01308/B,Erection of 49 dwellings (amendment to approved PA 13/00777/B),08-Jul-16,Interim Director 2016,Approved Plots 103 - 135 & 139 - 145 Ballakilley (residential Development Under Construction) Church Road Rushen Isle Of Man
Permitted,15/01309/B,Alterations and extensions to dwelling,03-Jun-16,Senior Planning Officer - South (SC),Mill House Main Road Glen Maye Isle Of Man IM5 3BH
Certificate of Lawfulness AGREED,15/01324/LAW,Application to make lawful the retention and use of driveway and access onto Pooilvaaish Road,11-Jan-16,Head of Development Management,The Granary Balladoole Castletown Isle Of Man IM9 4PE 
Permitted,15/01325/B,Erection of a utility room extension to replace existing rear elevation workshop,07-Jan-16,Senior Planning Officer - South (SC),10 Somerset Road Douglas Isle Of Man IM2 5AD
Permitted,15/01328/B,Installation of replacement windows to rear elevation of dwelling,07-Jan-16,Senior Planning Officer - North (CB),14 Christian Road Douglas Isle Of Man IM1 2QN
Permitted,15/01329/B,Removal of existing conservatory and erection of a two storey extension to dwelling,03-Feb-16,Senior Planning Officer - South (SC),Hazel Cottage Ballabeg Laxey Isle Of Man IM4 7HB 
Permitted,16/00120/B,Erection of replacement detached kitchen/mike room building,09-Mar-16,Head of Development Management,South Ramsey Bowling Green Queens Grove Ramsey Isle Of Man IM8 1LT
Permitted,15/01213/B,Erection of twelve light industrial units with ancillary car parking and extension to existing private industrial road,29-Mar-16,Planning Committee,Former Gas Works South Quay Industrial Estate South Quay Douglas Isle Of Man  
Permitted,15/01219/B,Erection of a detached replacement dwelling with associated driveway,09-May-16,Planning Committee,Belmont Lewaigue Road Dreemskerry Ramsey Isle Of Man IM7 1BF 
Permitted,16/00082/B,Re-building of existing agricultural storage building,09-Mar-16,Head of Development Management,Brianswood Farm Ballavarran Road Jurby Isle Of Man IM7 3AX
Permitted,16/00235/B,Replacement of existing glazed conservatory roof with tiles,12-Apr-16,Interim Director 2016,26 Mount View Road Onchan Isle Of Man IM3 4BT
Permitted,16/00236/B,Erection of a detached dwelling with integral garage and associated landscaping,18-Oct-16,Planning Committee,Plot 1 Albany Road Douglas Isle Of Man  
Permitted,16/00237/B,Erection of a detached dwelling with associated landscaping,18-Oct-16,Planning Committee,Plot 2 Albany Road Douglas Isle Of Man  
Permitted,16/00281/B,Erection of two dwellings with on-site parking,18-Jul-16,Planning Committee,Garage And Plot Gellings Avenue Port St. Mary Isle Of Man  
Permitted,16/00282/C,Change of use from retail to a law firm office,25-May-16,Senior Planning Officer - South (SC),Bourne House Peel Street / College Street Ramsey Isle Of Man IM8 1JW 
