RB_Number,Building_Name,Date_Registered,Links,Parish,Features,Status
76,The Witches Mill and attached building (part of Mill Court),28/02/1985,https://www.gov.im/media/631979/witches-mill-scan.pdf,Castletown,,Registered
77,"The great Union Camera Obscura, Douglas Head",29/03/1985,https://www.gov.im/media/632063/0500077regbldcameraobscura.pdf,Douglas,,Registered
78,"Clinch's Brewery Building, North Quay",29/03/1985,https://www.gov.im/media/632069/0500078regbldwaterfrontrestaurant.pdf,Douglas,,Registered
79,"Ramsey Court House, Parliament Street",26/04/1985,https://www.gov.im/media/632867/0500079regbldcourthouse.pdf,Ramsey,,Registered
80,"Our Lady of the Star and Sea St Maughold's Roman Catholic Church, Queens Promenade",26/04/1985,https://www.gov.im/media/632873/0500080regbldourladyofthestara.pdf,Ramsey,,Registered
82,"The Castle Mona Hotel, Central Promenade",03/10/1985,https://www.gov.im/media/632075/0500082regbld-castlemona-hotel-v2.pdf,Douglas,,Registered
83,"Tynwald Old Mill and original Mill Wheel, Fuller's Hammer and related machinery, St Johns",04/11/1985,https://www.gov.im/media/632501/0500083regbldtheoldwoollenmills.pdf,German,,Registered
84,"St Paul's Church, Market Square",27/11/1985,https://www.gov.im/media/632879/0500084regbldstpaulschurch.pdf,Ramsey,,Registered
85,Christ Church,21/01/1986,https://www.gov.im/media/632531/0500085regbldchristchurch.pdf,Laxey,,Registered
86,"The Spire of St Andrew's United Reform Church, Finch Road",19/02/1986,https://www.gov.im/media/1349789/rb-86-st-andrews-spire.pdf,Douglas,,Registered
87,"Ramsey Youth Centre, Waterloo Road",19/02/1986,https://www.gov.im/media/632885/0500087regbldyouthcentre.pdf,Ramsey,,Registered
88,"Lough House, Approach Road",18/04/1986,https://www.gov.im/media/632891/0500088regbldloughhouse.pdf,Ramsey,,Registered
89,"Philip Christian Centre, Christian Street",06/05/1986,https://www.gov.im/media/632807/0500089regbldphilipchristiancentr.pdf,Peel,,Registered
90,Ballure Church,08/05/1986,https://www.gov.im/media/632897/0500090regbldballurechurch.pdf,Ramsey,,Registered
91,"Staward Farm, Ballabrooie, Sulby",23/02/1987,https://www.gov.im/media/632543/0500091regbldoutbuildingsstawardf.pdf,Lezayre,,Registered
93,4 Finch Road,27/07/1987,https://www.gov.im/media/632087/0500093regbldoffice4finchroad.pdf,Douglas,,Registered
94,6 Finch Road,27/07/1987,https://www.gov.im/media/632093/0500094regbldcaferoyale.pdf,Douglas,,Registered
95,8 Finch Road,27/07/1987,https://www.gov.im/media/632099/0500095regbld8finchroad.pdf,Douglas,,Registered
96,12 Finch Road,09/09/1987,https://www.gov.im/media/632105/0500096regbld12finchroad.pdf,Douglas,,Registered
97,14 Finch Road,09/09/1987,https://www.gov.im/media/632111/050097regbld1214finchroad.pdf,Douglas,,Registered
98,16 Finch Road,27/07/1987,https://www.gov.im/media/632117/0500098regbld16finchroad.pdf,Douglas,,Registered
99,18 Finch Road,27/07/1987,https://www.gov.im/media/632123/0500099regbld18finchroad.pdf,Douglas,,Registered
100,20 Finch Road,27/07/1987,https://www.gov.im/media/632129/0500100regbld20finchroad.pdf,Douglas,,Registered
101,22 Finch Road,27/07/1987,https://www.gov.im/media/632135/0500101regbld-offices-22-finch-road.pdf,Douglas,,Registered
102,24 Finch Road,27/07/1987,https://www.gov.im/media/632141/0500102regbldoffices24finchroad.pdf,Douglas,,Registered
103,Former Castletown Brewery,,https://www.gov.im/media/631985/0500103regbld-office-1-brewery-court-add.pdf,Castletown,,De-registered
104,"The Foundry, East Quay",21/09/1987,https://www.gov.im/media/632813/0500104regbldtheforge.pdf,Peel,,Registered
105,"The Old thatch, Brunswick Road",17/02/1988,https://www.gov.im/media/632147/0500105regbldoldthatch.pdf,Douglas,Thatched building,Registered
106,"St Matthew's Church, North Quay",19/09/1988,https://www.gov.im/media/632153/0500106regbldstmatthewschurchhal.pdf,Douglas,,Registered
107,"The Rechabite Hall, Allan Street",09/11/1988,https://www.gov.im/media/632159/0500107regbldrechabitehall.pdf,Douglas,,Registered
108,"8 Dwellings, numbered 5-9 Charles Street and 1-11 Queen Street",17/02/1989,https://www.gov.im/media/1379799/rb108-notice-of-registration_compressed.pdf,Peel,,Registered
109,"Finch Hill United Reformed Church, Buck's Road",,https://www.gov.im/media/632165/0500109regbld-finch-hill-united-reformed-church-add.pdf,Douglas,,De-registered
110,"The South, East and West elementsf the Courtyard at Ellerslie Farm",16/03/1989,https://www.gov.im/media/632621/0500110regbldellersliemanorhouse.pdf,Marown,,Registered
111,"The former premises of T Moore & Sons, Mill Road, Peel (The Kepperyard)",23/08/1989,https://www.gov.im/media/1363146/0500111regbld-kipper-houses.pdf,Peel,,Registered
112,The Falcon Cliff Hotel,11/09/1989,https://www.gov.im/media/632171/0500112regbldfalconcliffhotel.pdf,Douglas,,Registered
113,The Douglas Head Hotel,11/09/1989,https://www.gov.im/media/632177/0500113regbldapartments122dougla.pdf,Douglas,,Registered
114,"The Salisbury Hotel, Victoria Street",11/09/1989,https://www.gov.im/media/632183/0500114regbldsalisburyhouse.pdf,Douglas,,Registered
115,The Harbour Swing Bridge Tower and Mechanism,11/09/1989,https://www.gov.im/media/632189/0500115regblddouglasswingbridge.pdf,Douglas,,Registered
116,"The Palace Lido, Central Promenade",,https://www.gov.im/media/632195/0500116regbld-the-palace-lido-add.pdf,Douglas,,De-registered
117,"Kate's Cottage, Keppel Gate",11/09/1989,https://www.gov.im/media/632699/rb-117-registration-notice-and-entry-summary-221123.pdf,Onchan,,Registered
118,"Village Hall, Royal Avenue",11/09/1989,https://www.gov.im/media/632705/0500118regbldonchanparishhall.pdf,Onchan,,Registered
119,St Peter's Parish Church,11/09/1989,https://www.gov.im/media/1349732/rb119-st-peters-church-scan.pdf,Onchan,,Registered
120,The Market Buildings,11/09/1989,https://www.gov.im/media/632201/0500120regbldnewmarkethall.pdf,Douglas,,Registered
121,"St Catherine's, St Catherine's Terrace",11/09/1989,https://www.gov.im/media/632717/0500121regbldstcatherines.pdf,Onchan,,Registered
122,"Welch House, Church Road",11/09/1989,https://www.gov.im/media/632723/0500122regbldwelchhouse.pdf,Onchan,,Registered
123,"Braeside, King Edward Road",11/09/1989,https://www.gov.im/media/632729/0500123regbldbraeside.pdf,Onchan,Baillie Scott,Registered
124,"Leafield, King Edward Road",11/09/1989,https://www.gov.im/media/632735/0500124regbldleafield.pdf,Onchan,Baillie Scott,Registered
125,19 Governor's Road,11/09/1989,https://www.gov.im/media/632741/0500125regbld19governorsroad.pdf,Onchan,,Registered
126,21 Governor's Road,11/09/1989,https://www.gov.im/media/632747/0500126regbld21governorsroad.pdf,Onchan,,Registered
127,23 Governor's Road,11/09/1989,https://www.gov.im/media/632753/0500127regbld23governorsroad.pdf,Onchan,,Registered
128,25 Governor's Road,11/09/1989,https://www.gov.im/media/632759/0500128regbld25governorsroad.pdf,Onchan,,Registered
129,27 Governor's Road,11/09/1989,https://www.gov.im/media/632765/0500129regbld27governorsroad.pdf,Onchan,,Registered
131,Ballaglass Power Station,11/05/1989,https://www.gov.im/media/632627/0500131regbldballaglasspowerstati.pdf,Maughold,,Registered
132,"Watch House, part of former Red Pier",20/07/1990,https://www.gov.im/media/632207/0500132regbldwatchhouseswitchroo.pdf,Douglas,,Registered
133,"Woodlands Towers, Ashley Road",20/07/1991,https://www.gov.im/media/632771/0500133regbldwoodlandtowers.pdf,Onchan,,Registered
134,"The Coach House, Selbourne Drive",04/10/1990,https://www.gov.im/media/632213/0500134regbldoldcoachhouse.pdf,Douglas,,Registered
135,"Thurot Cottage, Hill Road",17/10/1990,https://www.gov.im/media/631625/0500135regbldthurotcottage.pdf,Bride,,Registered
136,"The Old Court House, Kirk Michael",14/02/1991,https://www.gov.im/media/632651/0500136regbldthecourthouse.pdf,Michael,,Registered
137,"The Nook, Quarterbridge Road",15/04/1991,https://www.gov.im/media/632219/0500137regbldthenook.pdf,Douglas,,Registered
138,Kirk Christ Lezayre Parochial Church,11/07/1991,https://www.gov.im/media/1351765/0500138regbld-lezayre-church-reduced.pdf,Lezayre,,Registered
139,Warehouse building at 26 West Quay,01/08/1991,https://www.gov.im/media/632903/0500139regbldflatsthurwoodplace.pdf,Ramsey,,Registered
140,The Quarter Bridge Hotel,,https://www.gov.im/media/632225/0500140regbld-quarterbridge-hotel-add.pdf,Douglas,,De-registered
141,"Landmark Tower known as The Herring Tower, Langness",01/08/1991,https://www.gov.im/media/632567/0500141regbldherringtower.pdf,Malew,,Registered
142,"The Powder House, Langness",01/08/1991,https://www.gov.im/media/632573/0500142regbldthepowderhouse.pdf,Malew,,Registered
143,"Orrisdale Limekiln, Glentrunk, Michael",15/10/1991,https://www.gov.im/media/632657/0500143regbldorrisdalelimekiln.pdf,Michael,,Registered
144,"The Saddle Hotel, Parliament Street",01/01/1991,https://www.gov.im/media/632909/0500144regbldnightlifemarketplace.pdf,Ramsey,,Registered
145,"Okells Brewery, Glen Falcon",17/03/1992,https://www.gov.im/media/632231/0500145regbldoldbrewerywinetradi.pdf,Douglas,,Registered
146,"Thurot Cottage Outbuildings and Gate, Hill Road",21/10/1992,https://www.gov.im/media/631631/0500146regbldthurotcottageoutbuil.pdf,Bride,,Registered
147,Point of Ayre Lighthouse,05/11/1993,https://www.gov.im/media/631637/0500147regbldlighthouse.pdf,Bride,,Registered
148,Langness Lighthouse,05/11/1993,https://www.gov.im/media/632579/0500148regbldlangnesslighthouse.pdf,Malew,,Registered
