Planning Application No,Proposal,Property Address,Decision,Date decision issued
18/01098/B,Erection of a detached shed / store room,Rosebank Baldrine Hill Baldrine Isle Of Man IM4 6DQ,PER,29-Nov-18
18/01099/B,Installation of flat roof dormer to rear elevation,36 Linden Gardens Douglas Isle Of Man IM2 6AB ,PER,29-Nov-18
18/01104/B,Installation of replacement windows (partial retrospective),17 Thorny Road Douglas Isle Of Man IM2 5EG,REF,05-Dec-18
18/01105/B,Alterations and relocation of vehicular access,39 Vicarage Park Douglas Isle Of Man IM2 2QE ,PER,05-Dec-18
18/01109/LAW,"Application for certificate of Lawful Development for the installation of two replacement rear windows, patio door and window and roofing works",7 - 9 Station Road Peel Isle Of Man IM5 1AY,CLAWA,28-Dec-18
18/01110/B,Erection of 15 industrial units in two separate blocks,Land To The East Of Block D Balthane Park Off Balthane Road Balthane Industrial Estate Balthane Ballasalla Isle Of Man  ,PER,06-Dec-18
18/01113/B,Installation of flue from multi-fuel stove,Old School House Bernahara Road Andreas Isle Of Man IM7 3HH ,PER,05-Dec-18
18/01114/B,Installation of French doors and re-roofing of building in connection with upgrading of existing storage area in to living accommodation.,Jemmy Dans Croft St Judes Road Andreas Isle Of Man IM7 3HF,PER,30-Nov-18
18/01115/B,Replacement of existing conservatory roof with tiled roof,2 Campion Way Douglas Isle Of Man IM2 7DU,PER,05-Dec-18
18/01116/B,Replacement of existing timber windows with sliding sash PVC units,53 Woodbourne Road Douglas Isle Of Man IM2 3AF,PER,21-Dec-18
18/01119/GB,Replacement of asbestos cement downspouts with cast iron effect aluminium downspouts (in association with RB application 18/01120/CON),Central Hotel Bowring Road Ramsey Isle Of Man IM8 2LL,PER,18-Dec-18
18/01120/CON,Registered building consent for the replacement of asbestos cement downspouts with cast iron effect aluminium downspouts - RB 176 (in association with application 18/01119/GB),Central Hotel Bowring Road Ramsey Isle Of Man IM8 2LL,PER,18-Dec-18
18/01122/B,Replacement of existing conservatory roof with tiled roof,29 Glebe Aalin Ballaugh Isle Of Man IM7 5BX,PER,05-Dec-18
18/01123/B,Installation of a flue,The Bungalow Baldrine Hill Baldrine Isle Of Man IM4 6DS,PER,18-Dec-18
18/01124/B,Window and door alterations to property,8 Farmhill Gardens Douglas Isle Of Man IM2 2EG,PER,06-Dec-18
18/01127/B,"Alterations, installation of dormer windows and erection of an extension",9 Milner Park Port Erin Isle Of Man IM9 6DH,PER,24-Dec-18
18/01129/B,"Relocation of existing access to provide access to both Kafue Cottage and adjacent fields, and erection of detached garage.",Kafue Cottage St Judes Road Sulby Isle Of Man IM7 2ES,REF,24-Dec-18
18/01130/B,Alterations and erection of a rear extension,Conway Lezayre Road Lezayre Ramsey Isle Of Man IM7 2AJ,PER,13-Dec-18
18/01131/B,Replacement of existing conservatory roof with tiled roof.,53 Ballaquark Douglas Isle Of Man IM2 2ES,PER,06-Dec-18
18/01132/B,"Relocation of existing entrance in place of existing window to east of current position, including replacement of existing entrance doors with glazed units",MGS House Circular Road Douglas Isle Of Man  ,PER,06-Dec-18
18/01133/B,Single storey extension to side and rear of property.,8 Terence Avenue Douglas Isle Of Man IM2 5BL ,PER,13-Dec-18
18/01134/B,Widening of existing vehicular access and two storey extension to rear of property.,29 The Park Onchan Isle Of Man IM3 1HR,PER,13-Dec-18
18/01135/B,Alterations to property including extension on south elevation and increase in size of existing timber terrace,61 King Edward Road Onchan Isle Of Man IM3 2AR,PER,13-Dec-18
18/01136/B,Installation of roof over existing parking area.,Kincroft Surby Road Ballafesson Port Erin Isle Of Man IM9 6TE,PER,21-Dec-18
18/01137/GB,Installation of external steps suitable for ambulant disabled access to side elevation (in association with registered building application 18/01138/CON),Castle Arms Hotel The Quay Castletown Isle Of Man IM9 1LD,PER,24-Dec-18
18/01138/CON,Registered Building Consent for the installation of external steps suitable for ambulant disabled access to side elevation - RB 25 (in association with application 18/01137/GB),Castle Arms Hotel The Quay Castletown Isle Of Man IM9 1LD,PER,24-Dec-18
18/01139/B,Replacement of existing conservatory roof with tiled roof,4 Claughbane Avenue Ramsey Isle Of Man IM8 2BE,PER,13-Dec-18
18/01140/B,Replacement of existing glazed conservatory roof with tiles,88 Port E Chee Avenue Douglas Isle Of Man IM2 5EY,PER,13-Dec-18
18/01141/B,Replacement of existing conservatory roof with tiled roof,44 Ballahane Close Port Erin Isle Of Man IM9 6EH,PER,13-Dec-18
18/01143/B,"Demolition of rear porch, window and door alterations and installation of roof lights, a flue and replacement windows (in association with 18/01144/CON)",Old Bank House Main Road Kirk Michael Isle Of Man IM6 1ED,PER,24-Dec-18
18/01144/CON,Registered building consent for the demolition of rear porch (in association with 18/01143/B),Old Bank House Main Road Kirk Michael Isle Of Man IM6 1ED,PER,24-Dec-18
18/01145/B,Installation of a glazed canopy to external terrace,Club House Peel Road Douglas Isle Of Man IM2 2RA,PER,13-Dec-18
18/01146/A,Approval in principle for the erection of a replacement dwelling,Claddagh Mill House Sulby Bridge Sulby Isle Of Man IM7 2EZ,PER,13-Dec-18
18/01150/B,Alterations and erection of a first floor extension to dwelling,Ard Aalin Pinfold Hill Laxey Isle Of Man IM4 7HW ,REF,13-Dec-18
18/01153/B,Creation of four windows to rear elevation,Factory Swagelok Ltd Ballafletcher Road Cronkbourne Douglas Isle Of Man IM4 4RA,PER,24-Dec-18
18/01155/B,"Alterations, erection of extension and installation of a flue",8 Ormly Grove Ramsey Isle Of Man IM8 3LG,PER,13-Dec-18
18/01159/B,Construction of first floor extension to existing single storey dwelling including raising roof eaves level,The Palms 15 Marathon Road Douglas Isle Of Man IM2 4HN,PER,18-Dec-18
18/01161/B,"Alterations, demolition of existing and erection of rear extension and installation of replacement windows (in association with 18/01162/CON)",28 Stanley Road Peel Isle Of Man IM5 1NY,PER,18-Dec-18
18/01162/CON,"Registered building consent for alterations, demolition of existing and erection of rear extension and installation of replacement windows (in association with 18/01161/B)",28 Stanley Road Peel Isle Of Man IM5 1NY,PER,18-Dec-18
18/01164/B,Replacement of existing pvc windows with new pvc units and replacement pvc front door,Glen Side Glen Road Laxey Isle Of Man IM4 7AP,PER,18-Dec-18
18/01168/B,Installation of flue from multi fuel fire on north-east elevation of property,Holly Trees Glen Mona Loop Road Glen Mona Ramsey Isle Of Man IM7 1HG,PER,18-Dec-18
18/01169/B,Replacement of existing glazed conservatory roof with tiles and window and door alteration,4 Barrule Park Ramsey Isle Of Man IM8 2BW,PER,18-Dec-18
18/01170/B,"Alterations including installation of a first floor bay window, timber cladding, replacement windows and window and door alterations to dwelling",May Croft Park Road Port St. Mary Isle Of Man IM9 5HQ,PER,24-Dec-18
18/01171/B,Installation of replacement windows and door to front elevation,6 Somerset Road Douglas Isle Of Man IM2 5AD ,PER,18-Dec-18
18/01177/B,Installation of replacement windows,101 Woodbourne Road Douglas Isle Of Man IM2 3AR,PER,18-Dec-18
