Planning Application No,Proposal,Property Address,Decision,Date decision issued
18/00023/B,Erection of fencing (retrospective),1 Sycamore Close Onchan Isle Of Man IM3 3HW,PER,02-May-18
18/00025/C,Additional use of residential property as self catering tourist accommodation,Beechwood Fairy Cottage Laxey Isle Of Man IM4 7JP ,PER,29-Mar-18
18/00026/GB,Replacement of rotten windows and door light with hardwood windows painted white - RB 122 (in connection with Registered Building application 17/00027/CON),Welch House Church Road Onchan Isle Of Man IM3 1BF,PER,24-Apr-18
18/00027/CON,Registered Building consent for the replacement of rotten windows and door light with hardwood windows painted white - RB 122 (in connection with application 17/00026/GB),Welch House Church Road Onchan Isle Of Man IM3 1BF,PER,24-Apr-18
18/00028/B,Replacement of existing pebble dash wall covering with protex render system to front side and rear elevations,18 St Catherines Drive Douglas Isle Of Man IM1 4BQ,PER,13-Feb-18
18/00030/B,Alterations and erection of rear extension (amendment to PA 17/00768/B),Westend Cottage 9 Arbory Road Castletown Isle Of Man IM9 1NA,PER,08-Mar-18
18/00031/B,"Replacement windows in pvc, grey to front, white to rear",50 Derby Square Douglas Isle Of Man IM1 3LP,PER,17-May-18
18/00032/B,Alterations and extensions to dwelling (forming amendments to PA 16/00628/B),Overdale Quarterbridge Road Douglas Isle Of Man IM2 3RJ,PER,29-Mar-18
18/00033/B,Erection of gates to existing access,Seascapes Mount Gawne Road Port St. Mary Isle Of Man IM9 5LX ,PER,03-Aug-18
18/00035/B,Extension of vehicular access and driveway,9 Scarlett Road Castletown Isle Of Man IM9 1NT,PER,09-Mar-18
18/00036/B,"Erection of building containing two 1 bedroom apartments, connected to existing apartment building",Land To The Rear  20 - 22 Marathon Road Douglas Isle Of Man,REF,18-Jul-18
18/00038/C,Change of use of office space to dental surgery,Skanco Court Cooil Road Douglas Isle Of Man IM2 2SR ,REF,14-Jun-18
18/00039/B,"Alterations including demolition of workshop, toilet and rear chimney, and installation of two rear glass dormers, two rooflights to front, new window and door to kitchen, and replacement of roof slates.",Greystones 44 Albany Road Douglas Isle Of Man IM2 3NA,PER,13-Feb-18
18/00041/C,Additional use of property as self-catering tourist accommodation,Flat 2 5 Fort William Head Road Douglas Isle Of Man IM1 5BG ,PER,10-Apr-18
18/00042/B,"Variation of condition 1 of PA 13/91300/B for the demolition of existing and erection of a replacement dwelling, to extend the period of approval for a further four years",Cronk Ny Killey Dreemskerry Ramsey Isle Of Man IM7 1AX ,PER,09-Mar-18
18/00043/B,Construction of an external bin store/enclosure,Jurby School School Close Jurby Isle Of Man IM7 3BJ,PER,29-Mar-18
18/00044/B,Replacement of existing annex roof with tiled roof,39 Governors Hill Douglas Isle Of Man IM2 7AT,PER,29-Mar-18
18/00045/B,Replacement of existing annex roof with tiled roof,3 Malew Road Castletown Isle Of Man IM9 4EA,PER,09-Mar-18
18/00046/B,Alterations and erection of extension and garage to rear,25 Westminster Terrace Douglas Isle Of Man IM1 4EE,PER,02-Mar-18
18/00047/B,Extension and alterations to provide ancillary living accommodation and additional garage,Sutton Oak Lower Dukes Road Douglas Isle Of Man IM2 4BL,PER,02-Mar-18
18/00048/B,Erection of a glasshouse and erection of replacement fencing,Site Within Grounds Of Rushen Abbey Rushen Abbey Ballasalla Isle Of Man  ,PER,21-Jun-18
18/00049/B,Erection of a sun room to replace existing,Cloughwilley Park Tosaby Road St Marks Ballasalla Isle Of Man IM9 3AN,PER,26-Feb-18
18/00050/B,Alterations and erection of two storey extension to side of dwelling,52 Murrays Lake Drive Mount Murray Douglas Isle Of Man IM4 2HZ,PER,09-Mar-18
18/00051/LAW,"Application to make lawful the installation of replacement PVC windows, rooflights, PVC fascia boards, and alterations to rear yard parking area",31 Derby Road Douglas Isle Of Man IM2 3ES,CLAWA,20-Mar-18
18/00053/B,Installation of replacement windows to front elevation basement office,22 Athol Street Douglas Isle Of Man IM1 1JA,PER,14-Jun-18
18/00054/B,Erection of garage,10 Close Corneil Port Erin Isle Of Man IM9 6BN,PER,26-Feb-18
18/00055/B,"Alterations to property including demolition of outbuildings, widening and adjustments to vehicular access, and alterations to window openings",Rotherwood Belmont Road Douglas Isle Of Man IM1 4NR ,PER,09-Mar-18
18/00056/B,Replacement of existing glazed conservatory roof with fibreglass,Mandalay Groves Lane Douglas Isle Of Man IM2 1HF,PER,29-Mar-18
18/00058/B,Conversion of Storage Barn to tourist accommodation ancillary to Shore Hotel,Store Shore Road Bay Ny Carrickey Port St. Mary Isle Of Man IM9 5LZ ,PER,16-Mar-18
18/00059/B,Removal of a chimney,6 Cronk Drine Union Mills Isle Of Man IM4 4NG,PER,09-Mar-18
18/00060/B,"Alterations including repositioning of front door, installation of render and cladding, replace existing conservatory roof with a flat roof with lantern and installation of replacement roof tiles",Maple Ridge Viking Hill Ballakillowey Colby Isle Of Man IM9 4BJ,PER,27-Feb-18
18/00061/B,Erection of shed to serve as changing facility in connection with stables (retrospective),Stable Block St Judes Road Sulby Isle Of Man  ,REF,24-May-18
18/00062/B,Installation of a replacement front door,39 Arbory Street Castletown Isle Of Man IM9 1LL,PER,09-Mar-18
18/00063/B,"Replacement of existing timber windows and doors with UPVC; sliding sash windows and composite door to front, casement windows and UPVC door to rear",2 Hatfield Grove Douglas Isle Of Man IM1 3HD,PER,27-Mar-18
18/00064/B,Replacement of existing garage door with sliding folding doors and erection of first floor conservatory above,Cobblers Goose Switchback Road Knocksharry Peel Isle Of Man IM5 2AG,PER,09-Mar-18
18/00065/LAW,Application to make lawful the use of the property as a House in Multiple Occupancy,Ullswater 110 Castlemona Avenue Douglas Isle Of Man IM2 4EF,CLAWA,01-Jun-18
18/00066/D,Installation of non-illuminated signage,29 Parliament Street Ramsey Isle Of Man IM8 1AT ,REF,29-Mar-18
18/00067/B,"Alterations, erection of first floor extension to provide a study area and repositioning of existing escape stair",Ramsey Grammar School West   Lezayre Road Ramsey Isle Of Man IM8 2RG,PER,22-Mar-18
18/00069/B,Erection of a detached dwelling (amendment to approved PA 13/91289/B),"Plot 128,  20 Ballacross Road Slieau Whallian View Land At Ballawattleworth Peel Isle Of Man  ",PER,14-Mar-18
18/00070/B,Erection of storage barn for maintenance equipment and machinery,Fildraw Phildraw Road Ballasalla Isle Of Man IM9 3EH,PER,09-Mar-18
18/00073/B,"Alterations and additions including removal of conservatory, erection of extension, removal of chimney stack, installation of gable window and erection of detached garage",62 Ormly Road Ramsey Isle Of Man IM8 3LJ,PER,12-Apr-18
18/00076/B,"Creation of new vehicular access to provide off street parking, and associated ground works and level alterations",Traie Creggagh Queens Road Port St. Mary Isle Of Man IM9 5EP,PER,12-Apr-18
18/00077/B,Erection of workshop,Development Area C Jurby Industrial Estate Jurby Isle Of Man  ,PER,03-May-18
18/00078/B,Extension of existing balcony and installation of retractable awning to existing balcony,Overseas 3 Lag Birragh Drive Onchan Isle Of Man IM3 2JW,PER,16-Apr-18
18/00079/D,Installation of non-illuminated signage,Outbuildings  Ballastrang Castletown Road Ballaglonney Santon Isle Of Man IM4 1EU,PER,14-Mar-18
18/00080/B,Installation of front dormer window at first floor level (forming amendment to PA 13/00243/B),The Cottage Woodland Heights Ashley Road Onchan Isle Of Man IM4 5BB ,PER,02-Mar-18
18/00084/B,Alterations to property and creation of off road parking area and balcony at front of property,Yn Ard Thie Bradda Road Port Erin Isle Of Man IM9 6QA ,PER,09-Mar-18
18/00085/B,"Alterations, erection of a two storey side extension, installation of four front elevation roof lights and four rear dormer windows and formation of a sun room from existing rear conservatory",3 Raad Ny Gabbil Castletown Isle Of Man IM9 1HH,PER,14-Mar-18
18/00086/B,Erection of a flagpole,Golf Links Pavilion Car Park Entrance Rowany Golf Club Rowany Drive Port Erin Isle Of Man IM9 6LN,PER,15-Mar-18
18/00087/B,Erection of dwelling (amendment to PA 15/01308/B),10 Fleshwick Close Ballakilley Rushen Isle Of Man IM9 5NS ,PER,15-Mar-18
18/00088/B,Alterations including installation of full height windows to front elevation and rear French doors,Ravenswood 27 Farmhill Park Douglas Isle Of Man IM2 2EE,PER,15-Mar-18
18/00089/B,"Replacement of existing conservatory with garden room, and creation of patio area with access ramp, balustrading and walling",8 Vicarage Park Douglas Isle Of Man IM2 2QB ,PER,07-Mar-18
18/00090/B,Erection of infill extension to property and removal of chimney stack,26 Belgravia Road Onchan Isle Of Man IM3 1HH,PER,15-Mar-18
18/00091/B,Erection of a replacement dwelling with associated landscaping,Denizli Booilushag Ballajora Ramsey Isle Of Man IM7 1BD,PER,09-Mar-18
18/00092/B,"Alterations to front elevation include installation of replacement windows, extension to create a glazed link corridor and rendering works to rear elevation",Flat 1 2 The Esplanade Central Promenade Douglas Isle Of Man IM2 4LR ,PER,26-Apr-18
18/00093/LAW,Application for certificate of Lawful Development for installation of replacement windows and door on front elevation,8 Stanley Mount Peel Isle Of Man IM5 1NE,CLAWA,15-Mar-18
18/00094/B,"Variation of condition one of PA15/01357/REM, Erection of a detached two storey dwelling, addressing siting, design, external appearance, internal layout and means of access, to extend the period of approval",Land And Stables Adjacent To Stovell Tromode Road Douglas Isle Of Man  ,PER,27-Apr-18
18/00095/B,Installation of flue from multi fuel stove on south western gable,1 Raad Kirree Varrey Peel Isle Of Man IM5 1QR ,PER,15-Mar-18
18/00096/B,Replacement of existing glazed conservatory roof with tiles,Stanley House Baldhoon Road Laxey Isle Of Man IM4 7QG,PER,27-Mar-18
18/00098/B,Erection of two storey extension to side of property,1 Lower Cronk Orry Minorca Hill Laxey Isle Of Man IM4 7EG ,PER,01-Jun-18
18/00099/B,Alterations and erection of a glazed link extension,Paies House Main Road Sulby Isle Of Man IM7 2HR ,PER,09-Mar-18
18/00100/B,Alterations and erection of extension to replace existing conservatory,Ballacallum Ballaragh Road Laxey Isle Of Man IM4 7PE ,PER,29-Mar-18
18/00102/B,Erection of a first floor extension,Barrule 10 Devonshire Road Douglas Isle Of Man IM2 3RB,PER,15-Mar-18
18/00103/B,Erection of a rear extension,14 Alderley Close Douglas Isle Of Man IM2 1NT,PER,15-Mar-18
18/00105/B,"Window, door and conservatory roof alterations to rear elevation",Ingleside 1 Shore Road Castletown Isle Of Man IM9 1BF,PER,09-Mar-18
18/00106/B,Demolition of existing rear extension and balcony and construction of workshop/storage area at ground floor level and living accommodation/terrace at first floor level (in connection with registered building application 18/00107/CON),10 Woodburn Square Douglas Isle Of Man IM1 4DB ,PER,14-Jun-18
18/00107/CON,Registered Building Consent for the demolition of existing rear extension and balcony and construction of workshop/storage area at ground floor level and living accommodation/terrace at first floor level (in connection with application 18/00106/B),10 Woodburn Square Douglas Isle Of Man IM1 4DB ,PER,14-Jun-18
18/00108/B,"Conversion of Unit 16 into 2 units including new offices and welfare facilities, new pedestrian entrance door and new fire escape door",Unit 16 Tromode Estate Carrs Lane Tromode Douglas Isle Of Man IM4 4RG ,PER,27-Apr-18
18/00109/B,Refurbishment of shop premises,3 - 4 Parliament Square Ramsey Isle Of Man IM8 1AH,PER,30-May-18
18/00110/B," Variation of condition two of PA 17/00319/B, to extend the permitted opening hours to 7am-Midnight daily",The Old Mortuary Farrants Way Castletown Isle Of Man IM9 1NR,PER,09-Mar-18
18/00112/B,"Alterations, window alterations and installation of cladding to front elevation",12 - 14 Clinches Court Douglas Isle Of Man IM1 4LH,PER,29-Mar-18
18/00114/B,Erection of dwelling (amendment to PA 15/01308/B),1 Fleshwick Close Port St Mary Isle Of Man IM9 5NS ,PER,15-Mar-18
18/00115/B,Erection of a rear extension,22 Hawarden Avenue Douglas Isle Of Man IM1 4BS,PER,15-Mar-18
18/00116/B,Erection of a retaining wall,Dreemskerry Lodge Dreemskerry Ramsey Isle Of Man IM7 1BF ,PER,22-Mar-18
18/00117/B,Alterations and erection of first floor extension to existing studio apartment,Garage Poyl Breck East Baldwin Isle Of Man  ,REF,22-May-18
18/00119/B,Creation of an outdoor riding arena,Land Associated With Cronkbane House Oak Hill Port Soderick Isle Of Man  ,PER,16-May-18
18/00121/B,Two storey extension to dwelling and creation of additional vehicular access,Cronk Ard 64 Ballanard Road Douglas Isle Of Man IM2 5HE,PER,27-Apr-18
18/00122/C,Additional use of tourist accommodation as residential accommodation,Langness Cottage & Barrule Cottage Lower Ballachrink Ballamodha Straight Ballasalla Isle Of Man IM9 3ES ,PER,15-Mar-18
18/00124/B,Roofing works to dwelling and workshop (retrospective),24 Church Street Peel Isle Of Man IM5 1HL,PER,12-Apr-18
18/00125/B,Alterations and extension to dwelling,103 Cronk Liauyr Douglas Isle Of Man IM2 5LS ,PER,15-Mar-18
18/00128/B,Installation of a replacement roof light,4 Milner Terrace Castletown Isle Of Man IM9 1AJ,PER,15-Mar-18
18/00129/B,Erection of two single storey extensions to property,7 Glen Park Drive Douglas Isle Of Man IM2 6HN,PER,15-Mar-18
18/00130/B,Alterations to window positions (forming amendments to works constructed under PA 16/00850/B) - retrospective,Walton House Bridge Road Ballasalla Isle Of Man IM9 3DA,PER,15-May-18
18/00131/B,Alterations and erection of side and rear extensions to provide garage and additional living accommodation,6 Mountain View Peel Isle Of Man IM5 1QD,PER,16-Apr-18
18/00132/B,Removal of a chimney,Beach House Bay View Road Port St. Mary Isle Of Man IM9 5AE,REF,15-May-18
18/00133/B,Replacement of existing garage door with a window to rear elevation,Thie Plaish Glen Road Colby Isle Of Man IM9 4NX,PER,15-May-18
18/00134/B,Erection of a detached dwelling,Plot 3 Adjacent To Arbory Vicarage Main Road Ballabeg Castletown Isle Of Man IM9 4BT ,REF,05-Dec-18
18/00135/B,Conversion of existing barn to provide a farm shop (Class 1) and cafe (Class 3) with associated kitchen in association with works approved under 17/00322/B,Close Leece Farm Patrick Road St Johns Isle Of Man IM4 3BR,PER,03-Apr-18
18/00136/B,Replacement of existing annex roof with tiled roof,1 Ravenscliffe Telephone Exchange Road Laxey Isle Of Man IM4 7HU ,PER,15-Mar-18
18/00137/B,Erection of a detached office building to replace existing,Former Peel Gasworks Office Mill Road Peel Isle Of Man  ,PER,16-Aug-18
18/00138/B,"Alterations, roofing works, erection of a rear two storey extension and amendments to existing vehicular access",Creg Mooar Saint Marys Road Port Erin Isle Of Man IM9 6JL,PER,16-Apr-18
18/00139/B,Widening of driveway and vehicular access (retrospective),10 Quarry Lane Peel Isle Of Man IM5 1QQ ,PER,15-Mar-18
18/00140/B,"Variation of condition one of PA 13/91514/B, Construction of a Lychgate along Derby Road to form new pedestrian entrance to Cathedral grounds which incorporates facilities for a re-located bus shelter, to extend the period of permission by four years",Land At St German's Cathedral Derby Road Peel Isle Of Man  ,PER,22-Mar-18
18/00141/B,Conversion of ground floor opticians to a hot food and drink establishment (Class 3),Kermode House 74 Parliament Street Ramsey Isle Of Man IM8 1AQ,PER,28-Mar-18
18/00142/B,Erection of a detached three car garage,Ballaveare Old Castletown Road Port Soderick Isle Of Man IM4 1BB ,PER,30-Apr-18
18/00143/B,Replacement of existing glazed conservatory roof with tiles,21 The Park Onchan Isle Of Man IM3 1HP,PER,15-May-18
18/00145/B,Erection of an extension to replace existing conservatory (amendment to PA 17/00175/B),Ridgmont The Crofts Castletown Isle Of Man IM9 1LY,PER,22-Mar-18
18/00146/B,"Alterations, erection of a rear extension and installation of replacement roof tiles",Fairwinds 47 Garth Avenue Surby Port Erin Isle Of Man IM9 6QU,PER,03-Apr-18
18/00148/LAW,Installation of replacement windows and erection of a rear porch (retrospective),Holmleigh Main Road Kirk Michael Isle Of Man IM6 1AD,CLAWA,30-Apr-18
18/00149/D,Installation of signage in connection with exhibition site,"Goods Yard, Manx Electric Railway New Road Laxey Isle Of Man  ",PER,06-Apr-18
18/00150/B,"Demolition of existing outrigger to the rear of property and construction of replacement single storey outrigger with small two storey section, replacement of windows, and construction of garden room",28 The Crofts Castletown Isle Of Man IM9 1LZ,PER,03-Apr-18
18/00151/B,Installation of flue from a log burner (retrospective),21 River Walk Braddan Douglas Isle Of Man IM4 4TJ,PER,03-May-18
18/00152/B,"Variation of condition 1 of PA 13/91216/B for the erection of a two storey extension, to extend the period of approval for a further 4 years",Tanyard House Braaid Road St Marks Ballasalla Isle Of Man IM9 3AR,PER,03-Apr-18
18/00153/B,Erection of two storey extension to rear of property (amendment to PA 17/00761/B),Gys Yn Jiaas Main Road Colby Isle Of Man IM9 4NS ,PER,03-Apr-18
18/00154/B,Erection of a second floor sunroom extension,The Mount May Hill Ramsey Isle Of Man IM8 2HG,PER,25-May-18
18/00155/B,Alterations and erection of a side extension to dwelling,St Margarets Queens Grove Ramsey Isle Of Man IM8 2JE,PER,12-Apr-18
18/00156/B,Installation of first floor French doors with glass balustrade to flat roof,Bailrigg House Ballanard Road Douglas Isle Of Man IM2 5PT,PER,12-Apr-18
18/00157/B,Erection of an agricultural building to house livestock and farm machinery,Ardonan Nurseries Ardonan Lane Regaby Ramsey Isle Of Man IM7 3HN,PER,06-Sep-18
18/00159/B,Erection of an agricultural building to provide storage of agricultural machinery and animal feed,Field 214268 Summerhill Road Jurby Isle Of Man  ,REF,04-Jul-18
18/00162/LAW,Application to make lawful the use of Toll House as three self contained residential units / apartments (two additional) and use of Gatehouse as single residential unit,The Old Toll House King Edward Road Onchan Isle Of Man IM3 2JY ,PER,06-Jul-18
18/00163/D,Installation of illuminated signage (in association with approved Hotel PA 17/00823/B),Temporary Carpark Site Of Former Print Works Opposite Marks And Spencer Store Market Street Douglas Isle Of Man ,PER,27-Apr-18
18/00164/B,Erection of front porch to replace existing canopy,4 Little Meddow Andreas Isle Of Man IM7 4HY,PER,19-Apr-18
18/00165/B,Erection of a detached garage (amendments to approved PA 17/00098/B),Roslyn House Alexander Drive Douglas Isle Of Man IM2 3QP ,PER,02-May-18
18/00166/B,Replacement of existing annex roof with tiled roof,Manella Kerrowkeil Road Grenaby Ballasalla Isle Of Man IM9 3BB,PER,03-Apr-18
18/00167/D,Installation of illuminated signage,Summerhill Glen Summerhill Douglas Isle Of Man  ,PER,27-Apr-18
18/00168/B,Replacement of existing annex roof with tiled roof,Wyncardy 32 Cannan Avenue Kirk Michael Isle Of Man IM6 1HG,PER,16-Apr-18
18/00169/CON,Registered Building Consent for the demolition of outbuildings and wall,Outbuildings Eastfield Mansion House (care Home) Eastfield Douglas Isle Of Man IM1 4AU,PER,02-May-18
18/00170/B,Replacement of existing annex roof with tiled roof,West Wind Main Road Colby Isle Of Man IM9 4AD,PER,03-Apr-18
18/00171/B,Alterations and rear extension to property,Woodville Castletown Road Port St. Mary Isle Of Man IM9 5LT,PER,16-Apr-18
18/00172/B,Replacement of existing septic tank with domestic sewage treatment plant,North Star House West Baldwin Isle Of Man IM4 5EZ ,PER,19-Apr-18
18/00173/B,Replacement of existing pvc front door and side panels with pvc green finish door and clear side panels,Ashley Somerset Road Douglas Isle Of Man IM2 5BA,PER,16-May-18
18/00174/B,Creation of off road parking and vehicular access (retrospective),Thie-Cronk Croit E Quill Road Laxey Isle Of Man IM4 7JH,PER,30-May-18
18/00175/B,Installation of three first floor replacement windows,11 Parliament Street Ramsey Isle Of Man IM8 1AS,PER,18-Jul-18
18/00177/B,Installation of replacement roof tiles and removal of rear chimney stack,Mount Pleasant Main Road Colby Isle Of Man IM9 4AE,PER,03-Apr-18
18/00178/B,Widening of existing garage door,Lily Cottage Main Road Kirk Michael Isle Of Man IM6 1ER ,PER,16-Apr-18
18/00179/B,Installation of replacement roof tiles,Briarwood Glen Chass Road Glen Chass Port St. Mary Isle Of Man IM9 5PN,PER,03-Apr-18
18/00180/B,Replacement of front wooden door and top light with uPVC door and frame with top light,22 Hildesley Road Douglas Isle Of Man IM2 5AZ,PER,03-May-18
18/00181/B,"Alterations, erection of an extension to replace existing conservatory and extension of patio area",7 Carrick Bay View Colby Isle Of Man IM9 4DD ,PER,03-Apr-18
18/00182/B,Erection of a dwelling (amendments to PA 12/01690/B),White Cottage Pinfold Hill Laxey Isle Of Man IM4 7HN,PER,14-Jun-18
18/00183/LAW,Application for certificate of Lawful Development for installation of replacement windows on rear elevation,2 Roslyn Terrace Douglas Isle Of Man IM2 5DE,CLAWA,16-May-18
18/00184/B,Creation of a lower ground floor laundry for Hotel Complex with associated access,Mount Murray Golf Club Mount Murray Ballacutchel Road Mount Murray Douglas Isle Of Man  ,PER,06-Apr-18
18/00185/B,Erection of agricultural shed for housing of livestock and machinery storage,Ballayockey Ballayockey Lane Regaby Ramsey Isle Of Man IM7 3HP,PER,25-May-18
18/00186/B,Alterations and extension to rear of property,18 Princes Street Douglas Isle Of Man IM1 1BD,PER,17-May-18
18/00187/B,Single storey extension to rear of property,1 Aspen Drive Ballawattleworth Peel Isle Of Man IM5 1WS ,PER,27-Apr-18
18/00188/B,Erection of summer house within garden of property,Murtagh House Battery Road Peel Isle Of Man IM5 1UD ,PER,06-Apr-18
18/00189/B,"Removal of conditions 1 & 2 of 14/01078/B, Installation of timber fencing (retrospective), regarding Northern boundary fencing and addition planting of hedge",Horse And Plough Isle Of Man Business Park Douglas Isle Of Man IM2 2QZ,PER,03-May-18
18/00190/B,Replacement of conservatory with extension to kitchen and dining room and installation of flue,1 Parsonage Glebe St Johns Isle Of Man IM4 3LT,PER,17-May-18
18/00191/B,"Alterations, enlargement of gable window to a doorway and installation of an external staircase to side elevation",7 Birch Hill Crescent Onchan Isle Of Man IM3 3JA,REF,01-Jun-18
18/00192/B,Alterations and extension to existing pool and stables to create additional ancillary living accommodation,High Tilt Douglas Road Kirk Michael Isle Of Man IM6 1AS,PER,30-May-18
18/00193/B,Erection of car port over existing parking area,Curlew House Garey Ramsey Isle Of Man IM7 2EH ,PER,22-May-18
18/00194/B,Extension of existing conservatory,16 King Edward Park Onchan Isle Of Man IM3 2AE,PER,15-May-18
18/00195/B,Stabilisation scheme to repair and protect watercourse from soil erosion,1 Fairy Hill Close Ballafesson Port Erin Isle Of Man IM9 6TL,PER,06-Apr-18
18/00196/B,Construction of equestrian mange within existing garden of property,Halcyon Days Main Road Ballaugh Isle Of Man IM7 5EX,PER,25-Jun-18
18/00198/B,Erection of an extension to replace existing and extension to existing decking,Wildlife Ballamenagh Road Baldrine Isle Of Man IM4 6AG,PER,22-May-18
18/00199/LAW,Application for certificate of Lawful Development for installation of replacement windows,24 Church Street Peel Isle Of Man IM5 1HL,CLAWA,17-Apr-18
18/00201/B,Extension to form bay window at rear of property,Reayrt House Andreas Village Isle Of Man IM7 4HH ,PER,17-May-18
18/00202/B,Widening of vehicular access and relocation of pillar (retrospective),8 Whitebridge Road Onchan Isle Of Man IM3 4HS,PER,24-Apr-18
18/00203/B,Erection of porch,17 Cooil Breryk Ramsey Isle Of Man IM8 3HL ,PER,14-Jun-18
18/00204/B,"Alterations, erection of an extension to replace conservatory and installation of a flue",22 Ballagyr Park Peel Isle Of Man IM5 1UN,PER,17-Apr-18
18/00205/B,Conversion of garage into living accommodation and extension of entrance porch to allow wheelchair access,5 Cronk Y Berry Mews Douglas Isle Of Man IM2 6HQ,PER,17-May-18
18/00207/B,Removal of a chimney stack,80 Royal Avenue Onchan Isle Of Man IM3 1LB,PER,26-Apr-18
18/00208/LAW,"Application for certificate of Lawful Development for installation of a porch, window and dormer",Smeale Beg Smeale Andreas Isle Of Man IM7 3EB ,CLAWA,16-May-18
18/00210/B,Redevelopment of Sabrew and adjacent vacant plot to create 3 dwellings,Sabrew Main Road Sulby Isle Of Man IM7 2HF,REF,23-Oct-18
18/00211/C,Change of use of premises from retail to Class 2 Financial and Professional Services,Shop 3 Michael Street Peel Isle Of Man IM5 1HA ,PER,17-Apr-18
18/00212/B,"Alterations, erection of rear extension and refurbishment works",4 Peveril Terrace Peel Isle Of Man IM5 1PH,PER,17-Apr-18
18/00213/B,"Erection of flue, creation of new pedestrian access and associated landscaping works, replacement and extension of balcony with balustrading (retrospective)",16 Cronk Ny Greiney Douglas Isle Of Man IM2 5LW,PER,19-Sep-18
18/00214/B,Erection of a dwelling,Plot Adj To 25 Head Road Douglas Isle Of Man  ,PER,25-Jun-18
18/00215/B,Replacement of existing pebble dash render with a smooth painted render,How Yngren Douglas Street Castletown Isle Of Man IM9 1AY,PER,03-May-18
18/00216/B,Construction of a chimney,Balley Beg Lonan Church Road Laxey Isle Of Man IM4 7JX,PER,15-May-18
18/00217/B,"Alterations including replacement of conservatory with sun room, creation of french door and juliet balcony from master bedroom, installation of uPVC windows and removal of chimney",2 Cooil View Douglas Isle Of Man IM2 2HQ,PER,15-May-18
18/00218/B,"Erection of garden store, lower patio area and retaining wall",Thie Vooinjer Veg Croit E Quill Road Laxey Isle Of Man IM4 7JG ,PER,26-Apr-18
18/00220/B,Replacement of existing french windows with double glazed window and brick infill below.,Ballaseyre Barn Ballaseyre Andreas Isle Of Man IM7 4EN ,PER,15-May-18
18/00221/B,Alterations and single storey side extension to property,The Long House Lag Birragh Drive Onchan Isle Of Man IM3 2JW,PER,25-May-18
18/00222/B,Amendments to car park to provide 22 additional spaces for staff and visitor parking,Hospice Isle Of Man Strang Douglas Isle Of Man IM4 4RP ,PER,03-May-18
18/00223/B,Alterations and enhancements to new entrance and reception area to in-patient unit,Hospice Isle Of Man Strang Douglas Isle Of Man IM4 4RP ,PER,03-May-18
18/00224/B,Installation of a dormer extension to front elevation,42 Ballahane Close Port Erin Isle Of Man IM9 6EH,REF,30-Apr-18
18/00225/B,Erection of an extension,79 Lezayre Park Ramsey Isle Of Man IM8 2PU,PER,25-Jul-18
18/00226/B,Creation of a field access,Field 330341 Ballabrooie Patrick Road St Johns Isle Of Man  ,PER,15-Jun-18
18/00227/B,Erection of a double garage to replace existing single garage,Part Field 524027 Land At Rear Of Oakhill Cottages Oak Hill Port Soderick Isle Of Man  ,PER,23-Jul-18
18/00229/C,Additional use of residential dwelling as tourist accommodation,5 Mews Cottages Factory Lane Peel Isle Of Man IM5 1HF ,PER,26-Apr-18
18/00230/C,Change of use from retail/therapy to ice cream parlour,1 Market Hill Ramsey Isle Of Man IM8 1JT ,PER,14-Jun-18
18/00231/B,Erection of building for storage/maintenance of private motorcycle collection,Canaan Valley West Kimmeragh Road Bride Isle Of Man IM7 4BA,PER,14-Jun-18
18/00232/B,Replacement of existing UPVC rear window,4 Derby Road Douglas Isle Of Man IM2 3ET,PER,25-May-18
18/00233/B,"Alterations, installation of replacement roof tiles and replacement windows to front elevation",37 Stanley Terrace Christian Street Peel Isle Of Man IM5 1NP ,PER,16-Apr-18
18/00234/D,Erection of signage,Doctors Surgery Kensington Road GP Practice Westmoreland Road Douglas Isle Of Man IM1 4QA ,PER,27-Apr-18
18/00235/B,Removal of existing external doors and increase opening widths to curved entrance corridor,Doctors Surgery Kensington Road GP Practice Westmoreland Road Douglas Isle Of Man IM1 4QA ,PER,27-Apr-18
18/00236/B,Single storey extension to front elevation to provide ground floor wc,81 Anagh Coar Road Douglas Isle Of Man IM2 2AS,PER,14-Jun-18
18/00237/B,Erection of a detached garage to replace existing,Land Adjoining Rivendell Lhergy Cripperty Union Mills Isle Of Man  ,PER,01-Jun-18
18/00238/B,Replacement of existing stable and tack store with stables and implement store,Field 134425 Glen Auldyn Ramsey Isle Of Man  ,REF,25-Jun-18
18/00239/B,Alterations and single storey extension to existing kitchen,Greengates 5 First Avenue Douglas Isle Of Man IM2 6BA,PER,14-Jun-18
18/00240/B,Extensions and alterations to dwelling,Ballavarvane Farm Braaid Road St Marks Ballasalla Isle Of Man IM9 3AP,PER,16-Apr-18
18/00241/C,Additional use of residential property as tourist accommodation,South View Clannagh Road Santon Isle Of Man IM4 2HP ,PER,26-Apr-18
18/00242/B,Creation of a menage,Field 534213 Lower Sulby Farm Scollag Road Abbeylands Isle Of Man  ,PER,18-May-18
18/00243/B,Erection of a domestic storage shed,36 King Edward Park Onchan Isle Of Man IM3 2AB ,PER,06-Jul-18
18/00244/D,Installation of illuminated signage,West Coast Fitness Close Beg Ballawattleworth Peel Isle Of Man  ,PER,15-Jun-18
