Decisions issued under delegated authority 1/1/19 - 31/12/19,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Alterations and erection of an extension to side elevation,Dreemskerry Ballaoates Road Castleward Douglas Isle Of Man IM4 5EJ ,PER,11-Jul-19,19/00494/B
Additional use of residential flat as tourist living accommodation,Flat 1  Ascog Hall Stanley Mount East Ramsey Isle Of Man IM8 1NP,PER,04-Jul-19,19/00511/C
Alterations and erection of extension,Hillview Glen Auldyn Ramsey Isle Of Man IM7 2AG ,PER,12-Jun-19,19/00512/B
Erection of a rear extension,18 Ballanoa Meadow Santon Isle Of Man IM4 1HQ,PER,11-Jun-19,19/00514/B
Erection of a detached garden sunroom,18 Keeill Pharick Glen Vine Isle Of Man IM4 4EW ,PER,04-Jul-19,19/00516/B
"Roofing works, installation of replacement windows, replacement lead work and roof insulation (in association with 19/00518/CON)",King Williams College Science Building King Williams College Grounds Castletown Isle Of Man IM9 1TP ,PER,10-Jul-19,19/00517/GB
"Demolition works, alterations, erection of extension and creation of vehicular access (in association with 18/01112/CON)",51 Brunswick Road Douglas Isle Of Man IM2 3NW,PER,01-Mar-19,18/01111/B
Window and door alterations and rendering work to dwelling,4 Raad Bridjeen Reayrt Ny Cronk Peel Isle Of Man IM5 1GQ ,PER,23-Apr-19,19/00181/B
Replacement windows to front and rear of property in white double glazed upvc,21 Wesley Terrace Douglas Isle Of Man IM1 3HG,PER,24-May-19,19/00329/B
Replacement of existing conservatory roof with a tiled roof,2 Cronk Y Berry Drive Douglas Isle Of Man IM2 6HB,PER,18-Jul-19,19/00552/B
Erection of a replacement dwelling,Upper Rhenab Rhenab Road Cornaa Ramsey Isle Of Man IM7 1EL ,PER,02-Jul-19,19/00553/B
"Erection of a shed, with associated flue, and a mobile storage cabin (retrospective)",Field 131341 Main Road Sulby Isle Of Man  ,REF,24-Jan-19,18/01048/B
"Alterations, erection of extension, and installation of dormer windows and flue",24 Ormly Avenue Ramsey Isle Of Man IM8 3LQ,PER,25-Feb-19,19/00024/B
Extension of residential curtilage and erection of a shed,Field 335069 Rear To Falls Cottage Glen Rushen Road Glen Maye Isle Of Man  ,PER,04-Jul-19,19/00344/B
Installation of replacement front door (retrospective),36 Mill Street Castletown Isle Of Man IM9 1AG,PER,08-May-19,19/00345/B
Construction of slurry lagoon and associated works within field (retrospective),Field 324401 Top Road Crosby Isle Of Man  ,PER,23-Aug-19,18/01236/B
"Variation of condition one of PA 14/01156/REM. Reserved Matters Application relating to PA 13/00183/A for erection of a replacement dwelling, addressing siting, design, external appearance, internal layout and means of access, to extend the period of perm",Clypse Lodge Clypse Onchan Isle Of Man IM4 5BG,PER,24-May-19,19/00127/B
Alteration and extension to rear of property,22 Birchleigh Close Onchan Isle Of Man IM3 4EX,REF,05-Jun-19,19/00375/B
Installation of replacement front door,2 Wesley Terrace Ballasalla Isle Of Man IM9 2DB,PER,05-Jun-19,19/00376/B
Erection of front porch,71 Friary Park Road Ballabeg Castletown Isle Of Man IM9 4EP,PER,24-May-19,19/00378/B
"Installation of replacement windows on front and side elevation, door on rear elevation, and guttering with downpipes",Primrose Lodge Athol Park Port Erin Isle Of Man IM9 6ES,PER,03-May-19,19/00113/B
Erection of agricultural shed and demolition of existing agricultural shed,Cronk Vane Stoney Mountain Road Eairy Isle Of Man IM4 3HJ,PER,30-May-19,19/00145/B
Installation of replacement roof tiles,22 Mines Road Laxey Isle Of Man IM4 7NH,PER,30-Apr-19,19/00146/B
Erection of porch with roof tiled to match house,2 Barrule Terrace Barrule View Terrace Foxdale Isle Of Man IM4 3EW,PER,03-May-19,19/00148/B
Additional use of residential accommodation as self-catering tourist accommodation,Renscault Farm East Baldwin Isle Of Man IM4 5EP ,PER,12-Aug-19,19/00469/C
"Roofing works, window / door alterations to dwelling and creation of additional parking / turning area",Green Gables Laxey Road Baldrine Isle Of Man IM4 6HA,PER,10-Jun-19,19/00470/B
Replacement of existing glazed conservatory roof with tile,4 Eleanora Gardens Douglas Isle Of Man IM2 3NR,PER,26-Jun-19,19/00472/B
Installation of replacement windows to rear elevation with PVC units (retrospective),17 Thorny Road Douglas Isle Of Man IM2 5EG,PER,01-Mar-19,19/00002/B
Installation of illuminated signage,Jacksons Ltd Eden Business Park Cooil Road Braddan Isle Of Man IM4 2AZ ,PER,04-Mar-19,19/00052/D
Replacement windows and door on front elevation,50 Glenfaba Road Peel Isle Of Man IM5 1BX,PER,03-Apr-19,19/00089/B
Installation of 2m high security fencing to the north eastern boundary of car park,Sorting Office Spring Valley Industrial Estate Douglas Isle Of Man IM2 2AA,PER,08-Jan-19,18/00986/B
"Conversion of existing boarding house in to a dwelling including demolition of existing rear extension and wall, construction of kitchen extension, and creation of new vehicular access to rear lane.",16 Albert Street Douglas Isle Of Man IM1 2QA,PER,25-Oct-19,19/01021/B
Installation of a replacement front door and surrounding frame (retrospective),Fairholme Athol Park Port Erin Isle Of Man IM9 6EX,PER,18-Dec-19,19/01218/B
Installation of replacement roof slates (retrospective),61 Brunswick Road Douglas Isle Of Man IM2 3NW,PER,09-Dec-19,19/01219/B
Installation of replacement windows to front elevation,Stanley Hotel West Quay Ramsey Isle Of Man IM8 1DW,PER,02-Aug-19,19/00639/B
Replacement of existing hall window to front elevation with door.,St Georges Vicarage 16 Devonshire Road Douglas Isle Of Man IM2 3RB,PER,02-Dec-19,19/01025/B
"Alterations and extension to property, and erection of detached double garage.",Raby Farmhouse Main Road Glen Maye Isle Of Man IM5 3AU,PER,23-Dec-19,19/01027/B
Replace existing glazed conservatory roof with tile,20 Pinehurst Avenue Douglas Isle Of Man IM2 1PJ,PER,18-Nov-19,19/01087/B
Installation of replacement windows to front elevation,Meersbrook Quarterbridge Road Douglas Isle Of Man IM2 3RG,PER,18-Nov-19,19/01088/B
Erection of two new dwellings with associated parking and adjustments to vehicular access,Site Adjacent To Hanley Court North Shore Road Ramsey Isle Of Man  ,PER,16-Apr-19,18/00856/B
Registered Building consent for the demolition elements relating the application 18/01316/B,2 Osborne Terrace Douglas Isle Of Man IM1 3LH,PER,31-Jan-19,18/01317/CON
"Alterations, erection of first floor extension and creation of driveway and vehicular access",Reina Malvern Road Douglas Isle Of Man IM2 5AP,PER,29-May-19,19/00392/B
Alterations and erection of ground and first floor extension,7 Ballagale Avenue Surby Port Erin Isle Of Man IM9 6QJ,PER,10-Jun-19,19/00461/B
Chimney and flue alterations,34 Greeba Drive Onchan Isle Of Man IM3 1EW,PER,11-Jun-19,19/00476/B
Installation of a replacement rear roof including two roof windows (retrospective),5 Scarlett Road Castletown Isle Of Man IM9 1NT,PER,03-May-19,19/00153/B
Landscaping works to rear garden,Juniper House 1 Bradda West Lane Port Erin Isle Of Man IM9 6PW,PER,12-Jul-19,19/00589/B
Erection of replacement sunroom,20 Meadow Crescent Douglas Isle Of Man IM2 1NJ,PER,09-Jul-19,19/00590/B
Erection of garden room replacing existing garage at rear of property,Cair Vie Belle Vue Peel Isle Of Man IM5 1UH,PER,02-Jul-19,19/00591/B
Alterations and installation of flat roof with roof lights replacing existing domed roof,Hillberry House Hillberry Green Douglas Isle Of Man IM2 6DE,PER,10-Jul-19,19/00609/B
Alterations to create enclosed front porch from existing covered entrance,18 Robert Stephen Close Reayrt Y Sheear Douglas Isle Of Man IM2 6PJ ,PER,04-Jul-19,19/00611/B
Replacement of existing conservatory roof with tiled roof,67 Claughbane Drive Ramsey Isle Of Man IM8 2BL,PER,30-Jan-19,18/01344/B
"Alterations to property including installation of three dormer windows, a gable window, roof lights, change in roof finish",10 The Fairway Onchan Isle Of Man IM3 2EL,PER,01-Mar-19,19/00008/B
Alterations and formation of rear external landing and steps (retrospective),Amagary Eleanora Drive Douglas Isle Of Man IM2 3NN,PER,12-Mar-19,19/00103/B
Erection of a replacement storage building,Quiet Hills Jacks Lane Port E Vullen Ramsey Isle Of Man IM7 1AW,PER,23-Apr-19,19/00249/B
Replacement of two ground floor windows with a roller shutter door,10 Water Street Ramsey Isle Of Man IM8 1JP ,REF,23-Apr-19,19/00250/B
Alterations and erection of a portal frame agricultural building,Shenvalley Farm Foxdale Road St Marks Ballasalla Isle Of Man IM9 3AL,PER,30-Apr-19,19/00252/B
"Alterations, demolition of detached store and erection of extension to side and rear extensions",Cromford Eairy Isle Of Man IM4 3HU ,PER,06-Aug-19,19/00485/B
Removal of part wall to widen existing vehicular access (in association with 18/01282/CON),Crofton Mews The Crofts Castletown Isle Of Man IM9 1LW,PER,24-Jan-19,18/01279/B
Registered Building consent for the removal of part wall to widen existing vehicular access (in association with 18/01279/B),Crofton Mews The Crofts Castletown Isle Of Man IM9 1LW,PER,24-Jan-19,18/01282/CON
Installation of a replacement rear window,9 Woodburn Square Douglas Isle Of Man IM1 4DB ,PER,14-Jan-19,18/01286/B
Replacement of existing glazed conservatory roof with tile,10 Cronk Y Berry Mooar Douglas Isle Of Man IM2 6HJ,PER,01-Aug-19,19/00622/B
Erection of a front porch,Niarbyl Bridson Street Port Erin Isle Of Man IM9 6AN,PER,25-Sep-19,19/00624/B
"Alterations, erection of extension to replace conservatory and installation of a flue",4 Oakdale Douglas Isle Of Man IM2 7BT ,PER,11-Dec-19,19/01162/B
Erection of fencing with gate to rear,13 Victoria Road Castletown Isle Of Man IM9 1EN,PER,23-Dec-19,19/01163/B
Additional use of school car park for the parking of up to two minibuses (retrospective),New Foxdale Primary School Mines Road Foxdale Isle Of Man IM4 3EX,PER,24-May-19,18/00813/C
Additional use of school car park for the parking of up to four minibuses (retrospective),Braddan School Braddan Road Braddan Douglas Isle Of Man IM4 4TQ,PER,24-May-19,18/00815/C
Alterations and extension to provide additional living accommodation,Reayrt Y Jiass Orrisdale Road Ballasalla Isle Of Man IM9 3AE ,PER,14-Jun-19,19/00486/B
Alterations and erection of a rear extension,16 Baldrine Park Baldrine Isle Of Man IM4 6DD,PER,11-Jun-19,19/00487/B
"Alterations, erection of garden room with balcony deck area above",Minorca Chapel Minorca Hill Laxey Isle Of Man IM4 7DP ,PER,24-Dec-19,19/01232/B
Alterations and erection of first floor extension,Dhoor House Andreas Road Dhoor Ramsey Isle Of Man IM7 4ED ,PER,24-Dec-19,19/01253/B
Alterations and erection of single storey extension to front elevation,Struan Ballakillowey Road Colby Isle Of Man IM9 4BD,PER,25-Oct-19,19/00995/B
Removal of wall to widen existing vehicular access,Sunset View Peveril Road Peel Isle Of Man IM5 1PW,PER,09-Dec-19,19/01100/B
"Refurbishment works, removal of chimney stacks, replacement of roof slates with tiles and window / door alterations",Arnside Bay View Road Port Erin Isle Of Man IM9 6LF,PER,09-Dec-19,19/01101/B
Erection of an extension (amendment to PA 17/00441/B),10 Knock Rushen Scarlett Castletown Isle Of Man IM9 1TQ ,PER,20-Feb-19,19/00029/B
"Alterations, installation of a replacement shop front and installation of an extractor flue to rear elevation of building",Shop Units 2 & 3 Church Walk St Pauls Square Ramsey Isle Of Man IM8 1LA ,PER,08-Apr-19,19/00032/B
"Variation of condition one of PA 15/00235/B, Erection of a dwelling to replace existing building, to extend the period of permission by two years",Builders Yard  Corner Of Maine Avenue And Maine Road Port Erin Isle Of Man IM9 6LG,PER,08-Apr-19,19/00163/B
Erection of a garden equipment storage shed and extension to existing storage shed,Ballacorris Croft Clannagh Road Santon Isle Of Man IM4 2HP ,PER,04-Apr-19,19/00164/B
Installation of overhead heaters and radiator tubes located under pews (Registered Building Nos. 185),The Chapel King Williams College Grounds Castletown Isle Of Man IM9 1TP ,PER,28-May-19,19/00317/CON
Registered Building consent for the demolition of former repair shop and site clearance (in association with application 18/00957/B),Former Princes Motors Ltd Repair Shop Glen Road Laxey Isle Of Man IM4 7AR,PER,01-Mar-19,18/00958/CON
Erection of tractor storage shed,Union Mills Football Club Ballaoates Road Strang Douglas Isle Of Man IM4 4TE ,PER,15-Feb-19,18/01089/B
"Alterations and installation of rooflights, doors to rear of property, replacement of existing roof tiles and windows",Heatherlea Station Road Kirk Michael Isle Of Man IM6 1AE,PER,04-Jul-19,19/00478/B
Registered Building consent for the replacement of existing windows and internal works (in association with PA 19/00483/GB) Registered Building Nos. 187,2 Victoria Terrace Douglas Isle Of Man IM2 4EU,PER,21-Aug-19,19/00484/CON
Erection of two detached dwellings with associated garages and field access gates,Clypse Mooar Cottage Clypse Onchan Isle Of Man IM4 5BG,PER,02-Jul-19,19/00488/B
Erection of two detached dwellings with integral garages,Plots 85 & 86 Phase 2 Royal Park Ramsey Isle Of Man IM8 3UH ,PER,20-Jun-19,19/00549/B
"Alterations, extension and raising of roof to create a second floor to dwelling",The Rowans Quines Hill Port Soderick Isle Of Man IM4 1AU,REF,04-Jul-19,19/00550/B
Alterations and erection of side extension,60 Ormly Road Ramsey Isle Of Man IM8 3LJ,PER,07-Nov-19,19/00942/B
Installation of replacement roof tiles and removal of chimney stacks,1-32 Ayre View Bride Isle Of Man IM7 4AY,PER,18-Dec-19,19/01175/B
Erection of ancillary accommodation (retrospective),Gat Y Whing Glen Road Colby Isle Of Man IM9 4PA,PER,18-Dec-19,19/01185/B
Replacement of existing conservatory roof with tiled roof,17 Thirlmere Avenue Onchan Isle Of Man IM3 2DR,PER,18-Jan-19,18/01308/B
Alterations and renovation of property including repositioning of entrance door,White House 11 New Road Laxey Isle Of Man IM4 7BB,PER,05-Feb-19,18/01319/B
Alteration to an existing side window,1 Peveril Villas Main Road Ballasalla Isle Of Man IM9 2DA,PER,09-Jan-19,18/01232/B
Alterations and erection of a rear extension,6 King Orry Road Glen Vine Isle Of Man IM4 4ER,PER,14-Mar-19,18/01233/B
Erection of a car port over existing driveway,Chibbyr Dybber 7 Spaldrick Avenue Port Erin Isle Of Man IM9 6PE ,PER,28-Jun-19,18/01235/B
Alterations and extensions to dwelling including replacement windows to front elevation (in association with RB application 18/01281/CON),15 Stanley Terrace Douglas Isle Of Man IM2 4EP,PER,30-Apr-19,18/01280/B
Replacement of existing conservatory roof with a tiled roof.,29 Greeba Drive Onchan Isle Of Man IM3 1ER,PER,24-May-19,19/00384/B
Installation of a replacement shop front,67 Strand Street Douglas Isle Of Man IM1 2EN,PER,23-Apr-19,19/00261/B
Additional use of residential dwelling as tourist living accommodation,41 Castlemona Avenue Douglas Isle Of Man IM2 4EB,PER,15-May-19,19/00262/C
Removal of a chimney stack (retrospective),Thie-Ny-Chibbyr Eairy Isle Of Man IM4 3HU ,PER,21-May-19,19/00299/B
Replacement of existing conservatory roof with tiles,33 Ballanoa Meadow Santon Isle Of Man IM4 1HQ ,PER,20-Nov-19,19/01093/B
Variation of condition 1 of approval for dwelling (PA 15/00682/REM) to extend permission for a further 3 years,Agricultural Building Robin Hill Farm Cronk Y Dhooney Ballakilpheric Colby Isle Of Man  ,PER,20-Nov-19,19/01095/B
Alterations and erection of extension to dwelling,Ballatrollag Farmhouse Grenaby Road Ballabeg Castletown Isle Of Man IM9 4HE ,PER,02-Dec-19,19/01099/B
Replacement of existing conservatory roof with tiled roof.,2 Murrays Lake Grove Mount Murray Douglas Isle Of Man IM4 2GY ,PER,19-Dec-19,19/01016/B
Replacement of existing glazed conservatory roof with tile,3 Broogh Wyllin Shore Road Kirk Michael Isle Of Man IM6 1HU ,PER,13-Aug-19,19/00729/B
Erection of extension to rear elevation,22 Sunnybank Avenue Onchan Isle Of Man IM3 3BW,PER,13-Aug-19,19/00731/B
Erection of replacement detached garage and widening to vehicle access,Kimberley Athol Park Port Erin Isle Of Man IM9 6ES,PER,07-Nov-19,19/01032/B
Installation of non-illuminated signage,PricewaterhouseCoopers LLC 60 Circular Road Douglas Isle Of Man IM1 1BAE,PER,20-Nov-19,19/01036/D
Additional use of dwelling as tourist accommodation,Bramalea Highfield Drive Baldrine Isle Of Man IM4 6EE,PER,30-Oct-19,19/01038/C
Replacement of existing office building with new industrial unit and associated parking,Manx Metals Balthane Industrial Estate Balthane Ballasalla Isle Of Man IM9 2AQ ,PER,18-Feb-19,19/00006/B
Replacement of existing conservatory with sun lounge with insulated roof,Ballagorrey Beg Bungalow Glen Mona Ramsey Isle Of Man IM7 1HF ,PER,17-Apr-19,19/00177/B
Alterations to existing patio and replacement of two existing windows with window/door unit,Rock View Walpole Road Peel Isle Of Man IM5 1PE,PER,23-Apr-19,19/00175/B
Creation of single storey extension and replacement of existing flat roof with pitched roofs,7 Glen Park Drive Douglas Isle Of Man IM2 6HN,PER,05-Apr-19,19/00178/B
Creation of extension and alterations to existing parking.,26 Hampton Farm New Castletown Road Douglas Isle Of Man IM2 2DN ,PER,09-Apr-19,19/00180/B
Removal of two chimney stacks,11 Bay View Road Onchan Isle Of Man IM3 1HX,PER,17-Apr-19,19/00216/B
Creation of an outdoor equine arena,Field 534212 Scollag Road Abbeylands Isle Of Man  ,PER,16-Apr-19,19/00217/B
Upgrading works to former cow shed including works to roof and walls,Whitestrand Farm Lhergydhoo Peel Isle Of Man IM5 2AE ,PER,22-Oct-19,19/00567/B
"Installation of replacement windows, doors and roof tiles",1 Crossag Road Ballasalla Isle Of Man IM9 3DX,PER,13-Nov-19,19/00996/B
Additional use of residential appartment as tourist accommodation,Apartment 15 Piccadilly Court Queens Promenade Douglas Isle Of Man IM2 4NS ,PER,16-Oct-19,19/00998/C
Certificate of Lawful Use for the installation of decking in rear garden,25 Port E Chee Avenue Douglas Isle Of Man IM2 5EN,CLAWA,21-Oct-19,19/01000/LAW
"Alterations, erection of single storey rear extension, front and rear dormers",The Naul 16 Claughbane Avenue Ramsey Isle Of Man IM8 2BF ,PER,30-Oct-19,19/01001/B
Additional use of flat as tourist accommodation,Flat 9  Carlton Grove Queens Drive West Ramsey Isle Of Man IM8 2JA,PER,25-Oct-19,19/01004/C
Erection of garden room extension to side elevation and a storm porch extension to front elevation,Sandhurst Cottage Minorca Hill Laxey Isle Of Man IM4 7DX,PER,24-Dec-19,19/01239/B
Erection of extension at first floor level over existing garage,21 Ballagyr Park Peel Isle Of Man IM5 1UN,PER,03-Apr-19,18/01034/B
Erection of signage (in association with 19/00492/CON),1 - 3 Castle Street Castletown Isle Of Man IM9 1LF,PER,11-Jun-19,19/00491/D
Registered Building consent for the erection of signage (in association with 19/00491/D) Registered Building Nos. 68 & 69,1 - 3 Castle Street Castletown Isle Of Man IM9 1LF,PER,21-Jun-19,19/00492/CON
"Alterations, installation of replacement windows and entrance doors, curtain walling alteration and remodelling of public entrances to improve accessibility with inclusion of canopies",Markwell House Market Street Douglas Isle Of Man IM1 2RZ ,PER,27-Jun-19,19/00557/B
Alterations and erection of second storey extension to garage to provide residential and tourism accommodation,Garage Store Creg-Dy-Shee Lhargan Port St. Mary Isle Of Man IM9 5AR ,REF,01-Aug-19,19/00560/B
"Alterations, erection of extension and raising of roof with associated dormers",Elmwood Honna Road Surby Port Erin Isle Of Man IM9 6QW,PER,10-Jul-19,19/00562/B
Erection of a roof canopy / gazebo to an existing patio / walled area,Rockwood Land Adjacent To Ramsey Road Laxey Isle Of Man IM4 7PY ,PER,02-Jul-19,19/00565/B
Erection of a shed to provide agricultural storage and workshop,Field 224189 Track Parallel To Quarry Bends Ballaugh Isle Of Man  ,PER,26-Sep-19,19/00891/B
"Alterations, demolition of garage and erection of double garage with sunroom and terrace above",Lhie Ny Greiney Darragh Port Erin Isle Of Man IM9 6JB,PER,22-Nov-19,19/00892/B
Conversion of redundant milking parlour into a general purpose agricultural building,Whitestrand Farm Lhergydhoo Peel Isle Of Man IM5 2AE ,PER,22-Oct-19,19/00566/B
Replacement of existing glazed conservatory roof with tile,7 Wentworth Close Onchan Isle Of Man IM3 2JU ,PER,23-Jul-19,19/00570/B
Installation of air source heat pump,1 Cronk Y Berry Beg Douglas Isle Of Man IM2 6HA,PER,04-Jul-19,19/00604/B
Additional use of residential dwelling as tourist accommodation,64 Erin Way Port Erin Isle Of Man IM9 6EF ,PER,12-Jul-19,19/00606/C
Erection of mobile classroom,Ballakermeen High School St Catherines Drive Douglas Isle Of Man IM1 4BE ,PER,12-Jul-19,19/00629/B
Alterations and erection of garage/workshop extension and rear porch extension,Pomeroy Richmond Road Ramsey Isle Of Man IM8 3PB,PER,10-Jul-19,19/00631/B
Additional use as tourist accommodation,Apartment 1  Imperial House 5 Shore Road Peel Isle Of Man IM5 1AH,PER,22-Aug-19,19/00789/C
Alteration and extension to rear of property,22 Birchleigh Close Onchan Isle Of Man IM3 4EX,PER,22-Aug-19,19/00792/B
"Installation of a boiler flue, window alteration and replacement of existing kitchen flue (retrospective) (in association with 18/01101/CON)",The George Hotel The Parade Castletown Isle Of Man IM9 1LG,PER,16-Apr-19,18/01100/GB
"Registered Building consent for the installation of a boiler flue, window alteration and replacement of existing kitchen flue (retrospective) (in association with 18/01100/GB) Registered Building Nos. 38",The George Hotel The Parade Castletown Isle Of Man IM9 1LG,PER,16-Apr-19,18/01101/CON
Installation of retaining walls with raised patios and associated steps (retrospective),Roseneath Ramsey Road Laxey Isle Of Man IM4 7PD,PER,15-Mar-19,19/00109/B
"Replacement of existing porch, installation of two patio doors in place of windows and alterations to two windows (in association with 19/00142/CON)",Balleira Farm Balleira Road Kirk Michael Isle Of Man IM6 1EE,PER,25-Mar-19,19/00139/B
Removal of existing render on both gable ends and repoint exposed stone walls and change to include additional use of residential dwelling as tourist accommodation,Riverside Glen Chass Road Glen Chass Port St. Mary Isle Of Man IM9 5PN,PER,03-May-19,19/00144/B
Installation of replacement windows to rear elevation,The Waverley Guest House 23 Hutchinson Square Douglas Isle Of Man IM2 4HP,PER,30-Oct-19,19/00930/B
Alterations and erection of extension to rear of dwelling,31 Christeens Way Ballakillowey Colby Isle Of Man IM9 4BG ,PER,01-Oct-19,19/00931/B
Erection of information board,Northern End Of Disused Railway Line Mines Road Foxdale Isle Of Man  ,PER,01-Oct-19,19/00932/D
"Landscaping and removal of chimney stack (part retrospective), alterations, installation of two dormers, addition of flat roof, creation of off road parking and vehicle access",Woodford Highfield Drive Baldrine Isle Of Man IM4 6EE,PER,10-Oct-19,19/00933/B
lterations and erection of rear and side extensions,Ballachesed St Marks Ballasalla Isle Of Man IM9 3AH ,REF,04-Jul-19,19/00110/B
Alterations to building to provide additional entrance doorways,Unit 1 Isle Of Man Food Park Mill Road Peel Isle Of Man IM5 1TD ,PER,04-Apr-19,19/00112/B
Installation of a flue,28 Hilltop Rise Douglas Isle Of Man IM2 2LG,PER,21-May-19,19/00304/B
"Rendering works, alteration to front facade parapet and installation of first floor window to rear elevation (with reference to PA 18/00508/B)",4 The Crofts Castletown Isle Of Man IM9 1LY,PER,18-Jun-19,19/00305/B
Additional use of residential dwelling as tourist living accommodation,Nelsons Cottage 24 Market Street Peel Isle Of Man IM5 1AD,PER,15-May-19,19/00306/C
Window alterations and erection of side extension,Brookvue Ballaughton Lane Douglas Isle Of Man IM2 1NB ,PER,02-May-19,19/00308/B
Erection of a replacement summerhouse,Hawthorn Cottage Maughold Isle Of Man IM7 1AS ,PER,23-Jul-19,19/00674/B
Conversion and extension of existing single garage to provide additional living accommodation ancillary to existing property (retrospective amendment to approved PA 18/00882/B),Cronk Breck Bernahara Road Andreas Isle Of Man IM7 3HH ,PER,23-Jul-19,19/00676/B
Erection of detached garage,1 Ballanard Woods Ballanard Road Douglas Isle Of Man IM2 5PQ ,PER,30-Sep-19,19/00798/B
Erection of detached dwelling with external heat pump and solar panels (amendment to PA 19/00636/B),Plot 37 Grove Park Clifton Drive Ramsey Isle Of Man  ,PER,17-Dec-19,19/01170/B
"Alterations, erection of a two storey extension to side elevation and installation of a flue",38 Ard Reayrt Laxey Isle Of Man IM4 7QP ,PER,20-Feb-19,18/01000/B
Conversion of existing offices to provide ground floor office and seven residential apartments,5  & 6 Goldie Terrace Douglas Isle Of Man IM1 1EB ,PER,20-Feb-19,18/00982/B
Alterations and erection of a two storey extension to side elevation,1 The Sycamores  Saint Marys Road Port Erin Isle Of Man IM9 6JJ,PER,04-Jan-19,18/01156/B
Erection of an agricultural building for the storage of agricultural machinery,Field 320909 Top Road Crosby Isle Of Man  ,REF,17-Apr-19,18/01157/B
"Alterations, erection of rear and first floor extensions, erection of detached garage and removal of existing and creation of new driveway and access",6 Church View Braddan Douglas Isle Of Man IM4 4TF,PER,10-Jan-19,18/01237/B
Installation of replacement front door,20 Bridge Street Peel Isle Of Man IM5 1NF,PER,04-Jan-19,18/01239/B
"Alterations, demolition of existing porch and erection of an extension",Cronk E Dhooney Farmhouse Cronk Y Dhooney Ballakilpheric Colby Isle Of Man IM9 4BS,PER,12-Sep-19,19/00853/B
Additional use of residential apartment as tourist living accommodation,Flat 2 1st Floor  Lyndley North Shore Road Ramsey Isle Of Man IM8 3AN,PER,04-Sep-19,19/00854/C
Alterations and erection of extension with flue and erection of detached building with flue to provide a hobby studio,28 Cronk Cullyn Colby Isle Of Man IM9 4NQ ,PER,12-Sep-19,19/00856/B
"Alterations, erection of extension and installation of a flue",20 Ballamillaghyn Estate Mount Rule Douglas Isle Of Man IM4 4HX,PER,01-Oct-19,19/00857/B
