Planning Application No,Proposal,Property Address,Decision,Date decision issued
19/01217/B,Installation of a replacement front door with side and top lights,6 Church Street Peel Isle Of Man IM5 1HL,PER,07-Apr-20
19/01220/B,Erection of garden room,8 Mourne View Peel Isle Of Man IM5 1UJ,PER,24-Feb-20
19/01221/C,Additional use of residential property as tourist accommodation,Europa Grove Mount Lane Ramsey Isle Of Man IM8 3HQ,PER,17-Jan-20
19/01223/B,Conversion from office to restaurant (Class 3) and a self-contained residential unit (alterations to approved PA 19/00690/B),Harbour Mews Off Parliament Square Castletown Isle Of Man IM9 1LA ,PER,06-Jan-20
19/01227/B,"Erection of a front porch and rear structure, comprising of sheds and greenhouse, attached to an existing barn (retrospective)",Ballabridson Cottage Dalby Isle Of Man IM5 3BR ,PER,29-Jan-20
19/01228/B,Replacement of existing glazed conservatory roof with tile,16 Pinehurst Avenue Douglas Isle Of Man IM2 1PJ,PER,07-Jan-20
19/01231/B,Removal of a wall (retrospective) and erection of fencing with pedestrian gate,Sunnybank House West Baldwin Isle Of Man IM4 5HD ,PER,07-Feb-20
19/01233/B,Alterations and erection of side extension to replace existing detached garage,31 Eskdale Road Onchan Isle Of Man IM3 2AH,REF,09-Mar-20
19/01235/B,Window / door alterations and creation of an access ramp,Terminus Tavern Strathallan Crescent Douglas Isle Of Man IM2 4NR,PER,24-Jan-20
19/01236/B,Removal of condition 4 from approved PA 19/00117/B,15 - 17 Duke Street Douglas Isle Of Man IM1 2BB,PER,06-Jan-20
19/01237/B,Creation of off road parking,61 Port E Chee Avenue Douglas Isle Of Man IM2 5EU,PER,07-Feb-20
19/01238/B,Installation of replacement windows,Flat 4   8 Drury Terrace Douglas Isle Of Man IM2 3HY,PER,24-Jan-20
19/01241/B,Erection of cabin with associated parking and access (retrospective),Cloughwilly Cottage Tosaby Road St Marks Ballasalla Isle Of Man IM9 3AN,REF,06-Jan-20
19/01244/B,Installation of replacement windows,2-3 Bourne Place Ramsey Isle Of Man IM8 1JW ,PER,06-Jan-20
19/01245/B,Installation of a rear dormer window,3 Ballamillaghyn Estate Mount Rule Douglas Isle Of Man IM4 4HU,PER,07-Feb-20
19/01246/B,Installation of replacement windows (retrospective),11 Kingswood Grove Douglas Isle Of Man IM1 3LY,PER,06-Jan-20
19/01247/B,Installation of replacement windows and doors to front elevation,25 Palace Terrace Queens Promenade Douglas Isle Of Man IM2 4NF ,PER,14-Jan-20
19/01248/B,Replacement of existing conservatory roof with tiles,15 Orchid Close Abbeyfields Douglas Isle Of Man IM2 7EN,PER,13-Jan-20
19/01249/B,Replacement of existing conservatory roof with tiles,6 Larch Hill Douglas Isle Of Man IM2 5NQ,PER,13-Jan-20
19/01250/B,Installation of a heat pump to replace existing boiler,Rosecroft Malew Street Castletown Isle Of Man IM9 1LT ,PER,06-Jan-20
19/01251/B,Erection of shed to replace existing,Oak Hill Mansion Ronague Road Ballabeg Castletown Isle Of Man IM9 4HF ,PER,02-Jan-20
19/01252/B,Installation of a heat pump to replace existing boiler,Brookvue Ballaughton Lane Douglas Isle Of Man IM2 1NB ,PER,02-Jan-20
19/01254/C,Additional use of residential property for tourist accommodation,White House Mount Gawne Road Port St. Mary Isle Of Man IM9 5LX,PER,13-Jan-20
19/01255/GB,"Alterations, installation of soil ventilation pipe (SVP) to side elevation, replacement of two rear windows and removal of existing mechanical and electrical (M&E) equipment and enclosure and installation of new M&E equipment with enclosure screen to rear",Shop The Co-Operative Food Store The Parade Castletown Isle Of Man IM9 1LG,PER,14-Jul-20
19/01256/CON,"Registered Building consent for alterations, installation of soil ventilation pipe (SVP) to side elevation, replacement of two rear windows and removal of existing mechanical and electrical (M&E) equipment and enclosure and installation of new M&E equipme",Shop The Co-Operative Food Store The Parade Castletown Isle Of Man IM9 1LG,PER,15-Jul-20
19/01257/LAW,Certificate of Lawful Development for alterations and erection of extension to rear elevation,Stoneleigh Beach Road Port St. Mary Isle Of Man IM9 5ND,CLAWA,20-Jan-20
19/01259/B,Erection of rear extension and creation of a window from existing doorway to side elevation,Balla Treljah House Treljah Lane Glen Maye Isle Of Man IM5 3AY,PER,11-Mar-20
19/01260/B,Alterations  and erection of single storey extension,53 Ormly Road Ramsey Isle Of Man IM8 3LH,PER,10-Feb-20
19/01261/B,"Alterations and erection of two storey extension, detached garage and boundary wall",Thie Corneil Brookfield Crescent Ramsey Isle Of Man IM8 2AF,PER,17-Jan-20
19/01262/B,Installation of a heat pump,Hazeldene 2 Ballaquinnea Cottages Braaid Road Glen Vine Isle Of Man IM4 2AS,PER,17-Jan-20
19/01263/GB,"Alterations and refurbishment works including demolition of garage, replacement French doors, provision of balance boiler flue and external soil pipe connection to rear elevation, roofing and rendering works and additional use as tourist accommodation (in",Thornbank Falcon Cliff Terrace Douglas Isle Of Man IM2 4AY,PER,16-Jan-20
19/01264/CON,"Registered Building consent for alterations and refurbishment works including demolition of garage, replacement French doors, provision of balance boiler flue and external soil pipe connection to rear elevation, roofing and rendering works (in association",Thornbank Falcon Cliff Terrace Douglas Isle Of Man IM2 4AY,PER,16-Jan-20
19/01265/GB,Re-rendering of front elevation and replacement of existing roof tiles (in association with PA 19/01266/CON),Tulloch House 2 The Parade Castletown Isle Of Man IM9 1LG,PER,02-Jan-20
19/01266/CON,"Registered Building consent for re-rendering of front elevation, replacement of existing roof tiles, and internal refurbishment works (in association with PA 19/01265/GB) Registered Building Nos. 71",Tulloch House 2 The Parade Castletown Isle Of Man IM9 1LG,PER,02-Jan-20
19/01267/B,Alterations and erection of extension to rear elevation,Creg-Dy-Shee 24 Devonshire Crescent Douglas Isle Of Man IM2 3RD,PER,17-Jan-20
19/01268/B,"Alterations, erection of link extension to garage and amendments to rear patio area",Homecroft Ballavitchel Road Crosby Isle Of Man IM4 2DN,PER,06-Jan-20
19/01269/B,Window and door alterations to rear elevation,52 St Catherines Drive Douglas Isle Of Man IM1 4BF,PER,24-Jan-20
19/01270/B,Erection of rear extension and rear dormer window,St Elmo 9 Keeill Pharick Glen Vine Isle Of Man IM4 4EW ,PER,17-Jan-20
19/01271/B,"Replacement of existing front and rear balconies with extended balconies, alterations to window openings and creation of a rear garden room",Cameron Court Fort Island Road Derbyhaven Isle Of Man IM9 1TZ,PER,06-Jan-20
19/01272/B,"Alterations, erection of rear two storey extension and provision for the installation of temporary posts and floor barriers",Veg Veen Cottage Glen Road Laxey Isle Of Man IM4 7AN,PER,29-Jan-20
19/01273/B,Erection of extension to rear elevation,16 Berry Woods Grove Douglas Isle Of Man IM2 7BX,PER,14-Apr-20
19/01274/B,Installation of a heat pump to replace existing boiler,The Fairways Rowany Drive Port Erin Isle Of Man IM9 6LN,PER,31-Jan-20
19/01275/B,Erection of a porch and detached double garage with storage above,Reservoir House Ballagawne Ballabeg Castletown Isle Of Man IM9 4HL ,PER,24-Feb-20
19/01276/B,Installation of a heat pump to replace boiler,10 The Crescent Douglas Isle Of Man IM2 5ET,PER,20-Jan-20
19/01277/B,Conversion of boarding house to provide five self-contained apartments,19 Waterloo Road Ramsey Isle Of Man IM8 1DT,REF,24-Feb-20
19/01278/B,Installation of replacement windows and doors and formation of rear bifold doors,23 Selborne Drive Douglas Isle Of Man IM2 3LR,PER,17-Jan-20
19/01279/B,Erection of rear extension with associated flue,8 Carrick Park Sulby Isle Of Man IM7 2EX ,PER,11-Feb-20
19/01285/D,Installation of illuminated signage (retrospective),Athol Park Guest House Athol Park Port Erin Isle Of Man IM9 6EX ,REF,02-Jan-20
19/01286/GB,"Alterations, installation of replacement roof slates to match existing and associated lead work to parapet, replace two roof lights and installation of four new roof lights, and replacement windows to ends of lantern roof structures with new sections of g",New Market Hall Market Hill Douglas Isle Of Man IM1 2BH ,PER,02-Jan-20
19/01287/CON,"Registered Building consent for alterations, installation of replacement roof slates to match existing and associated lead work to parapet, replace two roof lights and installation of four new roof lights, and replacement windows to ends of lantern roof s",New Market Hall Market Hill Douglas Isle Of Man IM1 2BH ,PER,02-Jan-20
19/01288/B,"Replacement windows to front and rear elevations, replacement front and rear doors.",7 Rivers Court Glen Road Laxey Isle Of Man IM4 7AG,PER,22-Jan-20
19/01289/B,Replacement of ground floor bay window sliding sash windows with PVC units,12 Richmond Grove Douglas Isle Of Man IM1 3JZ,PER,06-Jan-20
19/01291/B,Erection of flat roof dormer to rear of dwelling,Annandale 69 Slieau Curn Park Kirk Michael Isle Of Man IM6 1EW ,REF,29-Jan-20
19/01293/B,"Installation of replacement roof light, windows and doors, and creation of two roof lights and two dormers",Rotherham 2 Sherwood Terrace Douglas Isle Of Man IM2 4EN,PER,22-Jan-20
19/01294/B,Installation of replacement ground floor shop windows with PVC units,Shop Seamount Bay View Road Port St. Mary Isle Of Man IM9 5AG ,PER,09-Mar-20
19/01295/B,Alterations and erection of extensions to provide living space and garage,46 Harcroft Meadow Douglas Isle Of Man IM2 1JT ,PER,09-Mar-20
19/01296/B,Erection of dwelling with integral double garage within grounds of existing property,West View Shore Road Port Erin Isle Of Man IM9 6HL,REF,12-Nov-20
19/01297/B,Erection of a first floor terrace to rear elevation (retrospective),20 Belgravia Road Onchan Isle Of Man  ,PER,16-Mar-20
19/01298/B,Installation of a replacement front door,13 Albany Road Douglas Isle Of Man IM2 3NP,REF,06-Jan-20
19/01299/C,Change of use of ground floor shop (Class 1) and first floor residential to an office (Class 4),48 Michael Street Peel Isle Of Man IM5 1HD,PER,03-Feb-20
19/01300/B,Erection of an extension over existing garage,6 Maple Avenue Ballawattleworth Estate Peel Isle Of Man IM5 1WP ,PER,02-Jan-20
19/01301/B,Widening of existing vehicular access and driveway,Carla Beck 6 Devonshire Crescent Douglas Isle Of Man IM2 3RD,PER,17-Jan-20
19/01302/B,Installation of replacement windows to front elevation,100 Malew Street Castletown Isle Of Man IM9 1LS,PER,17-Jan-20
