"PA Ref","Proposal","Property Address","Decision","Decision Issued","Year"
"22/00767/B","Conversion of four apartments into a single residential dwelling and the erection of new terraced residential dwelling","104 Summerhill Road Onchan Isle Of Man IM3 1NJ","PER","25-Nov-22","2022"
"22/00768/B","First floor pitched roof extension on top of existing rear single storey extension with associated works","3 Grafton Street Douglas Isle Of Man IM2 3HD","PER","04-Nov-22","2022"
"22/00769/B","Extension of dropped kerb to widen existing vehicular access and provide additional off street parking space including re-surfacing of existing hardstanding","Seabridge 16 Bowring Road Ramsey Isle Of Man IM8 3EJ","PER","21-Oct-22","2022"
"22/00770/B","Erection of stable, feed store and field shelter.","Field 510788 Old Castletown Road Santon Isle Of Man IM4 1HG ","REF","26-Oct-22","2022"
"22/00771/B","Installation of replacement windows and doors","2 Marlborough Terrace Douglas Isle Of Man IM2 3QJ","PER","12-Aug-22","2022"
"22/00772/B","Replacement of high level fencing to school play ground","Laxey School Quarry Road Laxey Isle Of Man IM4 7DU","PER","29-Jul-22","2022"
"22/00773/CON","Registered building consent for the restoration of the crenellations to the Tower and Hall including the installation of stone copings throughout and reinstatement of stone banding on the Tower - RB1","Bishopscourt Mansion House Bishopscourt Kirk Michael Isle Of Man IM6 2EZ ","PER","12-Aug-22","2022"
"22/00774/B","Erection of a single storey rear extension","56 Royal Avenue Onchan Isle Of Man IM3 1LB","PER","07-Oct-22","2022"
"22/00775/CON","Registered building consent for restoration works to farmhouse (RB336)","Ballavarry Farm Bernahara Road Andreas Isle Of Man IM7 3HH","PER","12-Aug-22","2022"
"22/00776/C","Proposed additional use of residential dwelling as tourist accommodation","5 Springfield Terrace Castletown Isle Of Man IM9 1AW","PER","05-Sep-22","2022"
"22/00777/B","Erection of an extension","4 Murrays Lake Drive Mount Murray Douglas Isle Of Man IM4 2GZ","PER","18-Nov-22","2022"
"22/00778/B","Installation of two Air Source Heat Pumps","Lhergy Vreck Farm Douglas Road Kirk Michael Isle Of Man IM6 1AS","PER","03-Oct-22","2022"
"22/00779/B","Erection of ground and first floor extension to dwelling","7 Ballatessan Meadow Peel Isle Of Man IM5 1DU ","PER","09-Nov-22","2022"
"22/00780/B","Alterations including replacement roofing and installation of dome roof windows to outbuilding","California Cottage Glen Road Colby Isle Of Man IM9 4NU ","PER","07-Oct-22","2022"
"22/00781/B","Erection of a detached dwelling","Plot 1 Field Adjcent To Beechfield Glen Auldyn Ramsey Isle Of Man  ","PER","21-Dec-22","2022"
"22/00783/B","Demolition of existing dwelling and erection of replacement 2 storey detached dwelling with pitched roofs and solar panels with integrated garage and front and rear terrace with balustrade surround","Tamarisk Main Road Kirk Michael Isle Of Man IM6 1AJ","PER","16-Nov-22","2022"
"22/00784/CON","Registered Building Consent for the demolition of existing property and erection of replacement dwelling (in association with PA 22/00783/B)","Tamarisk Main Road Kirk Michael Isle Of Man IM6 1AJ","PER","18-Nov-22","2022"
"22/00785/B","Replacement of existing gas boiler with an air source heat pump","Audley House Main Road Union Mills Isle Of Man IM4 4AG ","PER","11-Oct-22","2022"
"22/00786/D","Installation of a non Illuminated Site Sales Board","Bayqueen Hotel The Promenade Port St Mary Isle Of Man IM9 5DG ","PER","06-Sep-22","2022"
"22/00787/B","Installation of replacement door and window to side elevation and internal reconfiguration to reception area","Jurby School School Close Jurby Isle Of Man IM7 3BJ","PER","12-Aug-22","2022"
"22/00788/B","Alterations to School Yard Entrance Lobby including new entrance door and replacement window","Jurby Primary School School Close Jurby Isle Of Man IM7 3BJ","PER","12-Aug-22","2022"
"22/00790/C","Change of Use: for additional use as tourist accommodation","49 Scarlett Road Castletown Isle Of Man IM9 1PN ","PER","17-Aug-22","2022"
"22/00791/B","Alterations including rendering, replacement roofing with installation of velux roof lights","1 Frederick Street Douglas Isle Of Man IM1 2EY","PER","29-Jul-22","2022"
"22/00792/B","Alterations and refurbishment to existing dwelling with additional use for tourist accommodation","Bridge Cottage Bridge Street Castletown Isle Of Man IM9 1AX ","PER","17-Aug-22","2022"
"22/00793/B","Erection of a double storey front extension with balcony and external stairs, a single storey rear extension installation of dormer window to the front elevation and  replacement flat roof to the conservatory and installation of 2 replacement french doors","The Garelly Earystane Colby Isle Of Man IM9 4HN ","REF","23-Nov-22","2022"
"22/00794/B","Erection of a Sun lounge extension to rear of property and extension of existing hard standing area to front of property","4 Grove Mount Ramsey Isle Of Man IM8 3HQ","PER","19-Aug-22","2022"
"22/00795/B","Erection of a double storey rear extension and a single storey side extension.","85 Cronk Grianagh Estate Douglas Isle Of Man IM4 4RR ","PER","21-Sep-22","2022"
"22/00796/B","Cladding and window alterations to existing first floor front elevation and installation of a flue.","Ballamar Clifton Road Port St Mary Isle Of Man IM9 5EL ","PER","21-Sep-22","2022"
"22/00797/B","Remove of existing chimney stack","Glen View Cottage Main Road Ballaugh Isle Of Man IM7 5EF","PER","13-Oct-22","2022"
"22/00798/B","Erection of car port (Retrospective)","The Granary Ballachrink Farm Dalby Isle Of Man IM5 3BN ","PER","14-Nov-22","2022"
"22/00799/B","Installation of 2 ponds and associated works","Manx Telecom Corporate Headquarters Isle Of Man Business Park Douglas Isle Of Man IM2 2QJ ","PER","29-Jul-22","2022"
"22/00800/B","Formation of bowling green and construction of associated pavilion, shelters, car parking and landscaping","Field Numbers  411628, 411629 (now 414759) & 411638 Station Road Port St Mary Isle Of Man ","WDN","22-Aug-22","2022"
"22/00801/B","Variation of Condition 5 of 18/01022/B, in order to permit pedestrian and vehicular access from existing access onto the public highway, through the parking area, to the land to the west for the purposes of a separately proposed community facility (bowlin","Part Field 411629 (know 414759) Station Road Port St Mary Isle Of Man IM9 5LF ","WDN","22-Aug-22","2022"
"22/00802/B","Erection of rear single storey flat roof extension with bi-fold doors and installation of raised patio and extension of existing driveway hardstanding to the side elevation.","1 Eskdale Road Onchan Isle Of Man IM3 2AL","PER","30-Aug-22","2022"
"22/00804/B","Replacement of roof to outbuilding (retrospective)","4 Hope Street Castletown Isle Of Man IM9 1AS","PER","21-Sep-22","2022"
"22/00805/B","Widening of vehicle access to the front elevation and replacement of single storey side garage with the erection of replacement 2 storey extension with pitched roof and erection of single storey pitched roof conservatory and raised decking and ballustrade","Thie-Ny-Corneil Peveril Avenue Peel Isle Of Man IM5 1QB","PER","03-Oct-22","2022"
"22/00806/GB","Replacement of part of rear external wall, replacement of roof to corridor, works to cell roofs, and change of use of building to hotel reception (class3.1) and exhibition / community space (class 4.3) (in association with 22/00808/CON)","Former Police Station The Quay Castletown Isle Of Man IM9 1LD","PER","24-Nov-22","2022"
"22/00807/B","Installation of a flue","3 Royal Park Ramsey Isle Of Man IM8 3UF ","PER","26-Aug-22","2022"
"22/00808/CON","External and internal alterations to building including replacement of corridor roof, works to cell roofs, replacement floors and works in connection with a change of use of building to hotel reception and community exhibition space(in association with PA","Former Police Station The Quay Castletown Isle Of Man IM9 1LD","PER","02-Dec-22","2022"
"22/00809/B","Erection of replacement conservatory to the rear, installation of ground floor level window and removal of gate pillar at the front entrance with associated works","1 Hamilton Close Lower Foxdale Isle Of Man IM4 3BA","PER","27-Oct-22","2022"
"22/00810/B","Removal of flat and pitched roof over ground floor yard with associated works and installation of french doors to side elevation","New Inn New Road Laxey Isle Of Man IM4 7HS","PER","07-Oct-22","2022"
"22/00811/B","Planting of trees to part of field (Retrospective)","Field 334104 Creggan Moar House Lhagg Road Dalby Isle Of Man IM5 3BU","PER","05-Aug-22","2022"
"22/00812/B","Erection of dwelling","Field 434091 Plot C43, Phase 3 Of Approved Residential Development, Between Railway Line And By-pass Douglas Road Ballasalla  ","PER","08-Nov-22","2022"
"22/00814/B","Variation of condition 3 of PA 15/00613/C to increase the number of children on site from 41 to 56.","Play Centre Alexandra Road Castletown Isle Of Man IM9 1TE ","PER","10-Nov-22","2022"
"22/00815/B","Installation of a replacement front door","24 Stanley Road Peel Isle Of Man IM5 1NY","PER","17-Aug-22","2022"
"22/00816/B","Second floor extension to front and rear with balcony to the front, erection of single story extension to the front and side with glazed balcony  and the installation of replacement doors windows and roof","Southwinds Church Road Onchan Isle Of Man IM3 1BF","PER","04-Nov-22","2022"
"22/00817/B","Demolition of single storey side extension and rebuilding of gable wall and removal of kitchen door entrance with associated works","The Old Police Station Andreas Village Isle Of Man IM7 4EZ ","PER","04-Aug-22","2022"
"22/00818/B","Erection of rear extension to dwelling","12A Bromet Road Castletown Isle Of Man IM9 1BR ","PER","17-Aug-22","2022"
"22/00819/B","Replacement Dwelling and Integral Garage","The Warren Clannagh Road Santon Isle Of Man IM4 2HP ","PER","11-Oct-22","2022"
"22/00820/B","Installation of replacement windows and doors","Peel Post Office Douglas Street Peel Isle Of Man IM5 1BB ","PER","26-Oct-22","2022"
"22/00821/B","Creation of new driveway and parking in front garden and to side of dwelling","9 Western Avenue Douglas Isle Of Man IM1 4EP","PER","14-Nov-22","2022"
"22/00822/B","Alterations, erection of rear extension, and use of garage as storage, associated bicycle storage to replace a lost parking space and use as a dog grooming business","22 Alberta Drive Onchan Isle Of Man IM3 1LS","PER","18-Nov-22","2022"
"22/00823/B","Creation of a skate park and erection of surrounding fence","Skateboard Park Glen Road Laxey Isle Of Man IM4 7AH","PER","22-Aug-22","2022"
"22/00824/D","Installation of illuminated and non illuminated signage","The Chapel Nursery Avenue Onchan Isle Of Man IM3 4HG ","PER","12-Oct-22","2022"
"22/00825/B","Variation of condition one of PA 18/00602/B, Erection of a detached dwelling with associated landscaping, creation of an additional driveway and alterations to existing vehicular access, to extend the period of permission by four years","Ashbourne House Ballacraine St Johns Isle Of Man IM4 3NF ","PER","14-Sep-22","2022"
"22/00829/B","Installation of flue for woodburner","33 Glebe Aalin Ballaugh Isle Of Man IM7 5BX","PER","23-Aug-22","2022"
"22/00830/B","Installation of replacement windows and door to front elevation","56 Patrick Street Peel Isle Of Man IM5 1BS","PER","14-Dec-22","2022"
"22/00833/B","Proposed new dormer window","Lower Ballahowin Braaid Road St Marks Ballasalla Isle Of Man IM9 3AR","PER","17-Aug-22","2022"
"22/00835/B","Erection of bollards to the front of the property and rendering of external front wall","2 - 3 Castle Quay Castletown Isle Of Man IM9 1AU ","REF","06-Sep-22","2022"
"22/00836/B","Creation of hardstanding in part of field 534374 (Retrospective)","Field 534374 Creg-Ny-Baa Back Road Creg Ny Baa Onchan Isle Of Man  ","REF","07-Oct-22","2022"
"22/00838/B","Creation of boundary wall","Cronk-E-Chule Wheel Hill Laxey Isle Of Man IM4 7NL","PER","04-Aug-22","2022"
"22/00839/MCH","Minor Change application to PA 19/01084/B to replace rosemary roof tiles with natural slate tiling and to install external steps to side elevation to suite change in site levels","Linksfield Bradda West Road Spaldrick Port Erin Isle Of Man IM9 6PN","PER","16-Aug-22","2022"
"22/00840/B","Drill a borehole to test for a viable potable water supply to replace existing shallow spring","Field 324404 Braaid Farm Top Road Crosby Isle Of Man IM4 4HJ ","PER","14-Nov-22","2022"
"22/00842/B","Removal of an existing chimney","15 Baldrine Park Baldrine Isle Of Man IM4 6DD","PER","14-Sep-22","2022"
"22/00843/B","Erection of summer house with decking (Retrospective)","Ballawillyn Cottage Patrick Road St Johns Isle Of Man IM4 3BR","PER","13-Sep-22","2022"
"22/00844/B","Installation of lighting to Prospect Hill elevation","Standard Bank House 1 Circular Road Douglas Isle Of Man IM1 1SB","PER","30-Sep-22","2022"
"22/00845/B","Installation of replacement front door (retrospective)","46 Main Road Onchan Isle Of Man IM3 1AL ","PER","17-Aug-22","2022"
"22/00847/B","Erection of a summerhouse in rear garden to be used as a therapy room","1 Springfield Rise Foxdale Isle Of Man IM4 3JX ","PER","15-Nov-22","2022"
"22/00849/B","Loft conversion involving the raising of existing roof and installation of dormers and erection of a porch extension","South View Clannagh Road Santon Isle Of Man IM4 2HP ","PER","13-Sep-22","2022"
"22/00850/B","Conversion of retail space and existing residential units into a total of 5 self-contained apartments and the installation of replacement windows and doors, replacement pitched roofs and flat roofs to the rear, installation of balustrade to the rear, and ","58-60 Strand Street Douglas Isle Of Man IM1 2EL ","PER","24-Nov-22","2022"
"22/00851/MCH","Minor Change application to PA 21/00359/B involving the installation of an additional door to West Elevation","West Loghan Cottage West Loughan Jurby Isle Of Man IM7 3EZ ","PER","19-Aug-22","2022"
"22/00853/B","Alterations to convert existing roof space into additional bedrooms and en suite bathrooms together with replacement / enlarged of dormer windows to rear elevation","Longfield Old Castletown Road Port Soderick Isle Of Man IM4 1BB","PER","26-Sep-22","2022"
"22/00854/B","Erection of a single storey extension to rear of property","3 Victoria Way Castletown Isle Of Man IM9 1DX ","PER","17-Aug-22","2022"
"22/00855/B","Erection of pitched roof porch to the front elevation and erection of first floor pitched roof extension above existing garage/utility and single storey pitched roof extension to the rear with bi-fold doors","23 Farmhill Meadows Douglas Isle Of Man IM2 2LJ","PER","13-Oct-22","2022"
"22/00856/C","Additional use of residential property as tourist accommodation","La Petite Colline Snaefell Road Agneash Isle Of Man IM4 7NR","PER","23-Aug-22","2022"
"22/00857/B","Erection of replacement rear rendered wall and widening of access gate","16 Castle Street Peel Isle Of Man IM5 1AN ","PER","13-Oct-22","2022"
"22/00859/B","Erection of extension, removal of a chimney stack, replacement of kitchen and porch flat roofs with pitched roofs and alteration to existing windows and installation of additional windows","Hazeldene Orrisdale Kirk Michael Isle Of Man IM6 2HL ","PER","12-Oct-22","2022"
"22/00860/B","Installation of replacement door to existing window","Trinity House Marathon Avenue Douglas Isle Of Man IM2 4JA ","PER","09-Aug-22","2022"
"22/00861/C","Additional use of Childcare or Education (class 4.2) as well as existing Community Facilities use (class 4.3)","Millennium Hall Old Church Road Crosby Isle Of Man IM4 2HA ","PER","06-Sep-22","2022"
"22/00863/B","Removal of rear chimney stack","3 & 5 Allan Street Douglas Isle Of Man IM1 3DQ","PER","12-Oct-22","2022"
"22/00864/D","Erection of two non-illuminated signs (Retrospective)","92 Bucks Road Douglas Isle Of Man IM1 3AG ","PER","19-Aug-22","2022"
"22/00866/B","Reinstatement of pole with weather vane on top in the same position as removed pole","Municipal Gardens Derby Square Douglas Isle Of Man IM1 3LS","PER","13-Oct-22","2022"
"22/00867/CON","Installation of stair-lift from ground to first floor - RB 250","Whitehouse Main Road Kirk Michael Isle Of Man IM6 2HH","PER","17-Aug-22","2022"
"22/00869/CON","Registered Building consent for demolition elements to PA 22/00880/B","Scotland House North Quay Douglas Isle Of Man IM1 4LE","PER","07-Nov-22","2022"
"22/00870/B","Erection of a single storey rear extensions one pitched roof and one with a flat roof and installation of replacement windows and a bi-fold door and the erection of a pitched roof front porch","10 Rheast Mooar Avenue Ramsey Isle Of Man IM8 3LR","PER","20-Sep-22","2022"
"22/00872/B","Erection of detached garage (retrospective)","6 Fisher Close Crosby Isle Of Man IM4 2EF ","REF","27-Oct-22","2022"
"22/00874/A","Approval in principle for the erection of a detached dwelling","Charnwood House Bradda West Lane Port Erin Isle Of Man IM9 6PW","REF","02-Dec-22","2022"
"22/00876/B","Construction of new balcony to first floor of coffee house and additional parking at ground floor (retrospective)","Retail Unit  Crosby Meadows Crosby IM4 2EE","REF","26-Oct-22","2022"
"22/00877/B","Erection of single storey flat roof extension to the rear, replacement windows, rendering and removal of both chimney stacks.","15 Central Drive Onchan Isle Of Man IM3 1ES","PER","21-Sep-22","2022"
"22/00878/B","Demolition and erection of replacement 2 storey dwelling","29 Maghergarran Port Erin Isle Of Man IM9 6BZ","PER","23-Nov-22","2022"
"22/00880/B","Conversion of office building (class 2.1) to mixed use office and residential (class 3.3) involving alterations including removal of rear extension; new rear extension and fire escape stair; replacement windows, roof finish including solar slates and rain","Scotland House North Quay Douglas Isle Of Man IM1 4LE","PER","17-Nov-22","2022"
"22/00881/B","Erection of ground floor utility room extension","The Nook Croit E Caley Colby Isle Of Man IM9 4AP ","PER","04-Nov-22","2022"
"22/00883/B","Erection of single storey flat roof extension to the rear (Retrospective)","45 Fuchsia Grove Ballasalla Isle Of Man IM9 2DT","PER","26-Oct-22","2022"
"22/00886/B","Erection of a single storey flat roof extension to the rear","Bay View Park Road Port St Mary Isle Of Man  ","PER","10-Oct-22","2022"
"22/00887/MCH","Minor Change application to PA 21/01304/B involving application of render to approved brick rear extension walls","3 Ballamaddrell Port Erin Isle Of Man IM9 6AS","PER","30-Sep-22","2022"
"22/00888/B","Variation of condition two of PA 14/01294/C to amend operating times from 08.30 -16.30 to 08.00 - 18.00","Hall Trinity Laxey Nursery Shore Road Laxey Isle Of Man IM4 7DJ ","PER","19-Aug-22","2022"
"22/00889/B","Erection of two wooden structure beach huts","Southlands Resource Centre Church Road Port St Mary Isle Of Man IM9 5NL ","PER","14-Sep-22","2022"
"22/00890/CON","Replacement of external spot lights on Athol Street and Prospect Hill elevations. Registered Building Nos. 290","2 Athol Street Douglas Isle Of Man IM1 1JA","PER","21-Sep-22","2022"
"22/00892/B","Alterations and construction of single storey pitched-roof extension","Mill Cottage Golden Meadow Mill Road Castletown Isle Of Man IM9 1TF ","PER","20-Sep-22","2022"
"22/00893/B","Alterations, erection of single storey rear extension, installation of a dormer window and flue","3 Milner Close Port Erin Isle Of Man IM9 6BG","PER","21-Sep-22","2022"
"22/00894/B","Demolition of existing and erection of replacement porch","Cronk Breck Cottage Station Road Ballaugh Isle Of Man IM7 5AH","PER","21-Sep-22","2022"
"22/00895/B","Installation of replacement windows and front door","6 Stanley Road Peel Isle Of Man IM5 1NX","PER","07-Oct-22","2022"
"22/00896/B","Installation of replacement windows to North East and South West elevations, creation of an additional window to North East elevation and replacement of window with double doors with over light to South West elevation (retrospective)","18 Berkeley Street Douglas Isle Of Man IM2 3QA","PER","21-Sep-22","2022"
"22/00897/B","Erection of children's nursery building with apartment over (amended from approved PA 21/01262/B)","Field 434091 Douglas Road Ballasalla Isle Of Man  ","PER","15-Nov-22","2022"
"22/00898/D","Installation of two non illuminated replacement Barclays signage and one non illuminated Eagle Court sign","Eagle Court 25 - 27 Circular Road Douglas Isle Of Man IM1 1AD","PER","03-Oct-22","2022"
"22/00899/B","Erection of stables and the change of use of the land for the keeping of horses and associated equestrian activities.","Field 431259 And Part Of Field 431256 St Marks Ballasalla Isle Of Man  ","WDN","09-Dec-22","2022"
"22/00900/B","Installation of spiral staircase to replace exiting wooden stairs (retrospective)","19 Factory Lane Peel Isle Of Man IM5 1NA","PER","17-Aug-22","2022"
"22/00903/B","Erection of rear extension with pitched roof and installation of pitched roof to cover one integrated garage and replacement flat roof to remaining integrated garage. Removal of front porch and replacement of front entrance with installation of re-sited d","Greenlands Barnell Lane Patrick Village Isle Of Man IM5 3AN","PER","07-Nov-22","2022"
"22/00904/B","Re-rendering of property from pebble dash to smooth render","Fy Yerrey 29 Whitebridge Road Onchan Isle Of Man IM3 4HJ","PER","20-Sep-22","2022"
"22/00907/B","Demolition of the existing single storey lean-to garage and replaced with a two storey side extension and erection of a rear single storey extension","Westfield 21 Arbory Road Castletown Isle Of Man IM9 1ND","PER","06-Sep-22","2022"
"22/00908/C","Change of Use for additional use as tourist accommodation as well as residential use","4 Quay Lane Castletown Isle Of Man IM9 1LE","PER","06-Sep-22","2022"
"22/00909/B","Installation tubular mono-pile into the seabed with associated footbridge access from the pier","King Edward Viii Pier  Douglas Harbour Douglas Isle Of Man  ","PER","03-Oct-22","2022"
"22/00914/B","Widening of existing access and creation of a new additional access (retrospective)","19 Highfield Crescent Onchan Isle Of Man IM3 3BX","PER","02-Nov-22","2022"
"22/00915/B","Erection of extension and terrace to dwelling","Woodlands House Lower Foxdale Isle Of Man IM4 3AY ","REF","15-Nov-22","2022"
"22/00916/B","Erection of two polytunnels for commercial use","Field 134305 Glen Duff House Lezayre Road Ramsey Isle Of Man  ","PER","09-Dec-22","2022"
"22/00917/B","Erection of a detached building for garaging of a camper van, storage of gardening equipment and use as a log store","Archallagan Glen Mona Loop Road Glen Mona Ramsey Isle Of Man IM7 1HG","PER","22-Sep-22","2022"
"22/00918/B","Conversion of two apartments into one residential property including alteration to window openings on front elevation, alteration to door opening on rear elevation and new windows throughout. Installation of roof mounted solar panels on front elevation. I","10 & 10A Castle Street,  Peel IM5 1AN","PER","26-Sep-22","2022"
"22/00921/B","Installation of replacement windows to front elevation","59 Douglas Street Peel Isle Of Man IM5 1BD","REF","09-Dec-22","2022"
"22/00924/B","Installation of replacement windows and doors","Croit Ny Marrey Shore Road Port Erin Isle Of Man IM9 6HL","PER","19-Oct-22","2022"
"22/00926/B","Alterations including installation of glazed veranda to existing roof terrace, replacement external spiral staircase and single storey extension to side and rear elevations","Ash Lodge Patrick Road St Johns Isle Of Man IM4 3BR","PER","16-Sep-22","2022"
"22/00927/B","Replace existing Fossil fuel boiler with installation of Air Source Heat Pump for heating and hot water","Lakelands Westhill Village Jurby Road Ramsey Isle Of Man IM8 3TD ","PER","21-Sep-22","2022"
"22/00928/MCH","Minor Change application to PA 21/00834/B involving the reduction of the extent of the proposed works as previously approved","Fairways House Glen Vine Road Glen Vine Isle Of Man IM4 4HF","PER","12-Aug-22","2022"
"22/00929/B","Conversion of building from offices (Class 2.1) to residential (Class 3.3)","The Warehouse 1A Queen Street Castletown Isle Of Man IM9 1PB ","PER","06-Oct-22","2022"
"22/00930/CON","Registered Building consent for demolition elements to PA 22/00929/B","The Warehouse 1A Queen Street Castletown Isle Of Man IM9 1PB ","PER","03-Oct-22","2022"
"22/00931/B","Installation of a dormer to front elevation","9 Westminster Drive Douglas Isle Of Man IM1 4EG","PER","24-Nov-22","2022"
"22/00932/B","Erection of detached garage on parking area","Lavender Cottage Tosaby Road Eairy Isle Of Man IM4 3HW","PER","21-Sep-22","2022"
"22/00934/B","Installation of balustrade around edge of roof over single storey side extension to create a roof terrace and installation of a first floor doorway to access the terrace","5 Reayrt Ny Glionney Close Laxey Isle Of Man IM4 7LE ","PER","13-Oct-22","2022"
"22/00935/B","Barn Conversion to provide ancillary accommodation and tourist accommodation (class 3.6)","The Glaicke Glen Road Ballaugh Isle Of Man IM7 5JG","PER","14-Sep-22","2022"
"22/00936/B","Installation of windows replacing existing cladding to rear dormer","2 Osborne Terrace Douglas Isle Of Man IM1 3LH","PER","12-Oct-22","2022"
"22/00937/B","Erection of a front porch","21 Westbourne Drive Douglas Isle Of Man IM1 4AY","PER","14-Sep-22","2022"
"22/00939/B","Erection of an additional fence to rear boundary of the property","Shelton Alexander Drive Douglas Isle Of Man IM2 3QN ","PER","14-Sep-22","2022"
"22/00940/B","Installation of replacement windows to garage door, removal of extended chimney stack and widening of driveway access with associated works","72 Ard Reayrt Laxey Isle Of Man IM4 7QQ ","PER","15-Nov-22","2022"
"22/00941/B","Alterations, erection of a terrace rear elevation and installation of a flue (retrospective)","8 Balladoyne Estate St Johns Isle Of Man IM4 3LX","PER","03-Oct-22","2022"
"22/00942/B","Erection of a site cabin.","Gas Bottling Plant Peel Road Industrial Estate Braddan Douglas Isle Of Man IM4 4LF ","PER","21-Oct-22","2022"
"22/00944/B","Replacement Utility Roof & Glazing; Replacement Windows","16 Circular Road Peel Isle Of Man IM5 1ND","PER","06-Oct-22","2022"
"22/00947/B","Replacement of two roof lights","12 Hilary Park Douglas Isle Of Man IM2 3EF","PER","14-Sep-22","2022"
"22/00949/B","Erection of retaining wall with associated planting and post and wire fencing in association with PA 20/01434/REM -Erection of new dwelling","Adjacent To Ballaragh Old Farmhouse  Ballaragh Road Ballaragh IM4 7PW","PER","09-Dec-22","2022"
"22/00951/LAW","Certificate of lawful development for erection of a polytunnel","Field 234138 Little London Kirk Michael Isle Of Man  ","CLAWA","30-Aug-22","2022"
"22/00952/B","Extension to existing vehicle hardstanding to front elevation","37 Gibbs Grove Grove Park Ramsey Isle Of Man IM8 3LE ","PER","13-Oct-22","2022"
"22/00953/B","Alterations to front entrance porch","13 Highfield Crescent Onchan Isle Of Man IM3 3BL","PER","21-Sep-22","2022"
"22/00954/GB","Installation of replacement windows (in association with 22/00955/CON)","The IOM Islamic Association 20 Finch Road Douglas Isle Of Man IM1 2PS","REF","06-Sep-22","2022"
"22/00955/CON","Registered Building consent for Installation of replacement windows (in association with 22/00954/GB) Registered Building Nos 100","The IOM Islamic Association 20 Finch Road Douglas Isle Of Man IM1 2PS","REF","06-Sep-22","2022"
"22/00956/B","Alterations to existing windows and doors, alterations to bay window roofs, installation of cladding and installation of roof sun tunnels","High Lea Ballakillowey Road Colby Isle Of Man IM9 4BD","PER","21-Oct-22","2022"
"22/00957/B","Installation of replacement windows, demolition of rear porch and erection of replacement terrace with balustrade surround","Casa Mia Main Road Glen Vine Isle Of Man IM4 4AZ","PER","03-Oct-22","2022"
"22/00959/B","Erection of temporary marquee, (between the dates of 1st September and 31st March), to provide additional covered display space at Garden Centre","Ramsey Garden Centre Albert Road Ramsey Isle Of Man IM8 1JB ","PER","24-Nov-22","2022"
"22/00960/B","Alterations to approved PA 21/01139/B to include erection of single storey extension to side elevation, and installation of a flue.","The Close Bernahara Road Andreas Isle Of Man IM7 2EL ","PER","26-Sep-22","2022"
"22/00962/GB","Creation of an underground garage","Harold Tower Fort Anne Road Douglas Isle Of Man IM1 5BN ","PER","02-Dec-22","2022"
"22/00963/CON","Registered Building consent for the creation of an underground garage within grounds (in association with PA 22/00962/GB) Registered Building Nos. 179","Harold Tower Fort Anne Road Douglas Isle Of Man IM1 5BN ","WDN","07-Nov-22","2022"
"22/00964/LAW","Application for certificate of lawfulness for long term residential usage of property","Boundary Cottage Nassau Road Regaby Ramsey Isle Of Man IM7 4AL","CLAWA","15-Sep-22","2022"
"22/00965/B","Erection of double garage to side elevation with roof terrace, erection of front porch and the installation of replacement windows and bi-fold door to rear projection","Cooil Shellagh Douglas Road Kirk Michael Isle Of Man IM6 1AU","PER","20-Oct-22","2022"
"22/00966/B","Demolition of existing flat roof extension on the northeast elevation and erection of a replacement pitched roof extension with stone cladding. Demolition of a chimneystack, a terrace and a rear porch and installation of new PVC fascias and PVC windows. R","Brae Villa Tromode Road Douglas Isle Of Man IM2 5EJ","PER","25-Nov-22","2022"
"22/00969/B","Alterations, demolition of existing conservatory, erection of extension, installation of an external canopy, creation of outdoor terrace with access ramp and external wall and a gate to create an outdoor courtyard","Croit Vane Corlea Road Ballasalla Isle Of Man IM9 3BA","PER","21-Oct-22","2022"
"22/00970/B","Erection or rear ground floor extension and removal of a chimney stack","10 Snaefell Crescent Onchan Isle Of Man IM3 4NJ","PER","15-Sep-22","2022"
"22/00972/B","Proposed alterations and extension to dwelling to create additional living accommodation, together with access alterations.","Ballagrest Bride Road Ramsey Isle Of Man IM7 4AB","PER","21-Sep-22","2022"
"22/00973/B","Removal of chimney stack and erection of single storey side extension","Tara Highfield Drive Baldrine Isle Of Man IM4 6ED","PER","13-Oct-22","2022"
"22/00976/B","Alteration and extension to existing outbuilding to provide additional first floor ancillary accommodation and overall additional tourist accommodation (class 3.6)","Lower Ballahowin Braaid Road St Marks Ballasalla Isle Of Man IM9 3AR","REF","13-Oct-22","2022"
"22/00977/C","Additional use as Tourist accommodation including existing use as residential","14 Lake Lane Peel Isle Of Man IM5 1AU","PER","12-Oct-22","2022"
"22/00978/B","Erection of memorial plaque and siting of recovered cannon","The Harbour Masters Office 2 The Quay Castletown Isle Of Man IM9 1LD","PER","21-Sep-22","2022"
"22/00979/B","Installation of a flue","15 Second Avenue Douglas Isle Of Man IM2 6AW","PER","12-Oct-22","2022"
"22/00980/B","Installation of grassy mounds for play area.","St Marys School St Marys Road Douglas Isle Of Man IM2 5RB","PER","03-Oct-22","2022"
"22/00981/C","Change of Use from Offices (Class 2.1) to a Mixed Use Premises (Classes 1.1Shops, 1.2Financial and professional services 1.3 Food and drink 1.4 Hot food take away & Class 4.1 Clinics or health centres, 4.2 Childcare or education 4.3 Other community facili","14 - 16 Nelson Street Douglas Isle Of Man IM1 2AL ","PER","01-Nov-22","2022"
