"PA Ref","Proposal","Property Address","Decision","Decision Issued","Year"
"16/00014/B","Removal of a chimney stack","3 & 4 Roslyn Terrace Douglas Isle Of Man IM2 5DE","PER","18-Feb-16","2016"
"16/00015/B","Alterations, erection of an extension and improvement works to existing front and rear vehicular accesses","Fairmont Coburg Road Ramsey Isle Of Man IM8 3EH","PER","18-Feb-16","2016"
"16/00022/B","Installation of replacement windows","Ballagarey Methodist Chapel St Marks Ballasalla Isle Of Man IM9 3AH ","PER","09-Feb-16","2016"
"16/00336/B","Erection of a replacement conservatory roof with light weight roof tiles","6 Ballaterson Crescent Peel Isle Of Man IM5 1BL","PER","25-Apr-16","2016"
"16/00335/B","Alteration and widening of vehicular access","Field 134001 Bride Road Ramsey Isle Of Man  ","PER","24-Jun-16","2016"
"16/00338/B","Re-location of WW2 air raid shelter from Cliffe Cottage to site at Daisy Field (Retrospective)","Field 314321  Battery Road Peel Isle Of Man  ","PER","25-Apr-16","2016"
"16/00905/B","Garden Summer House","43 Cronk Avenue Onchan Isle Of Man IM3 3DE","PER","31-Oct-16","2016"
"16/00981/D","Application for 2no. internally illuminated fascia signs","Unit 24 The Village Walk Onchan Isle Of Man IM3 4EB","PER","27-Oct-16","2016"
"16/01034/C","Additional use of a ground floor room as a physiotherapy treatment room","7 Church Street Peel Isle Of Man IM5 1HN","PER","18-Nov-16","2016"
"16/01036/B","Creation of a balcony over existing annex and installation of a roller shutter door to rear boundary wall","5 Richmond Grove Douglas Isle Of Man IM1 3LA","PER","18-Nov-16","2016"
"16/01097/B","Replacement of existing glazed conservatory roof with tiles","3 Seafield Crescent Onchan Isle Of Man IM3 3BY","PER","01-Nov-16","2016"
"16/01154/B","Erection of porch.","11 Close Cam Port Erin Isle Of Man IM9 6NB","PER","21-Nov-16","2016"
"16/01196/B","Installation of a flue","12 Governors Hill Douglas Isle Of Man IM2 7AW","PER","05-Dec-16","2016"
"16/00339/B","Erection of a porch extension","Kerrowmoar Jurby Road Ramsey Isle Of Man IM8 3NZ","PER","24-May-16","2016"
"16/00699/B","Erection of an extension","Harwood Summerhill Douglas Isle Of Man IM2 6BH","PER","15-Aug-16","2016"
"16/00756/CON","Registered building consent for the installation of a wood burning stove to the ground floor sitting room and installation of a flue and cowl to the chimney of RB No 184 (retrospective)","Church Cottage St Marks Ballasalla Isle Of Man IM9 3AH ","PER","23-Aug-16","2016"
"16/00854/B","Blocking up of a rear doorway (retrospective)","41 King Orry Road Glen Vine Isle Of Man IM4 4FL ","PER","07-Sep-16","2016"
"16/00856/B","Creation of an additional window","Apartment 16 Majestic Apartments King Edward Road Onchan Isle Of Man IM3 2BD ","PER","07-Sep-16","2016"
"16/00857/B","Erection of a detached dwelling with garage","Plot 3 - Field 614664 Ballaragh Road Laxey Isle Of Man IM4 7PH ","PER","07-Nov-16","2016"
"16/00858/B","Creation of two additional windows","St James's Chambers Corner St George's Street And Athol Street Douglas Isle Of Man ","PER","07-Sep-16","2016"
"16/00959/C","Temporary change of use of ground floor to office use for the scanning of documents","Douglas Post Office Regent Street Douglas Isle Of Man IM1 2EA ","PER","13-Oct-16","2016"
"16/00961/B","Erection of an attached car port and widening of existing driveway and vehicular access","30 Majestic Close Onchan Isle Of Man IM3 2JH","PER","04-Nov-16","2016"
