Decisions issued under delegated authority 1/1/17 - 31/12/17,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Application to make lawful the installation of replacement windows,Flat 4   65 Bucks Road Douglas Isle Of Man IM1 3EF,CLAWR,17-Aug-17,17/00635/LAW
Alterations and additions including single storey infill between garage and main house,Orchard House Cronk Liauyr Douglas Isle Of Man IM2 5LR,PER,30-Aug-17,17/00751/B
Installation of illuminated and non illuminated signage,Manx Telecom 15 - 17 Strand Street Douglas Isle Of Man IM1 2ED,PER,29-Nov-17,17/00856/D
Installation of illuminated and non-illuminated signage,62-66 Strand Street Douglas Isle Of Man IM1 2EW,PER,05-Oct-17,17/00902/D
Erection of a detached garage with playroom above and installation of replacement windows and door to dwelling,Ballacregga Barn Agneash Isle Of Man IM4 7NS ,PER,27-Oct-17,17/00959/B
Creation of additional driveway and associated works,6 Close Corneil Port Erin Isle Of Man IM9 6BN,PER,24-Nov-17,17/01056/B
Demolition of outbuildings and erection of extension to rear of property,16 Berkeley Street Douglas Isle Of Man IM2 3QA,PER,15-Dec-17,17/01098/B
Installation of illuminated and non-illuminated signage,Filling Station New Road Laxey Isle Of Man IM4 7BB,PER,30-Aug-17,17/00692/D
Erection of illuminated wall mounted signage and two free standing illuminated signs,Manx Museum Kingswood Grove Douglas Isle Of Man IM1 3LY ,PER,14-Jul-17,17/00586/D
"Erection of new dwelling with associated access, landscaping and drainage",Plot 1 Field 432503 Phildraw Road Ballasalla Isle Of Man  ,PER,14-Jul-17,17/00594/B
Erection of a storage building with associated paths and landscaping,The Nunnery Old Castletown Road Douglas Isle Of Man IM2 1QB,PER,23-Nov-17,17/00951/B
Replacement of existing polycarbonate conservatory roof with tiled roof,3 The Meadows Douglas Isle Of Man IM2 1NQ,PER,08-Jun-17,17/00332/B
Installation of three illuminated signs,Shoprite Derby Road Peel Isle Of Man IM5 1HP,PER,26-May-17,17/00444/D
Removal of chimneys at Victoria Mall and 67 Parliament Street,Victoria Mall Parliament Street Ramsey Isle Of Man IM8 1AZ ,REF,16-Mar-17,17/00014/B
"Alterations, partial demolition and rebuild including extensions at ground and first floor levels",Dolls House Great Meadow Castletown Isle Of Man IM9 4EB ,PER,20-Jun-17,17/00507/B
"Alterations and refurbishment to create 11 bedroom hostel, including construction of a bike storage room, alterations to the existing side entrance, and creation of 7 motorbike spaces in existing parking space.",38 Murrays Road Douglas Isle Of Man IM2 3HW ,PER,11-Aug-17,17/00687/B
"Alterations, installation of replacement windows, creation of additional rear parking with associated rear garage door opening",48 Woodbourne Road Douglas Isle Of Man IM1 3AN,PER,05-Oct-17,17/00903/B
"Alterations, erection of extension and creation of first floor living space to dwelling",Carraghyn Glenlough Circle Glen Vine Isle Of Man IM4 4AX,PER,19-Dec-17,16/00903/B
Extension of existing driveway (Retrospective),7 Derwent Drive Onchan Isle Of Man IM3 2DF,PER,23-Jan-17,16/01167/B
Erection of external staircase and installation of ramps,Palatine Group Practice Strang Corner Field Strang Douglas Isle Of Man IM2 3TD ,PER,04-Apr-17,17/00219/B
Additional use of approved conversion of outbuilding to a dwelling to provide tourist accommodation,Upper Garth Garth Road Crosby Isle Of Man IM4 2HB,PER,05-Apr-17,17/00239/C
Conversion of existing hotel/guest house to provide nine apartments and office accommodation (Decision dependent on a legal agreement),Marina Hotel 47 Loch Promenade Douglas Isle Of Man IM1 2LZ,PER,24-May-17,16/01163/B
Installation of replacement windows and door to front elevation,14 Market Street Peel Isle Of Man IM5 1AD,PER,26-Apr-17,17/00252/B
Relocation of existing side entrance,Jaks Bar And Steakhouse 43 Loch Promenade Douglas Isle Of Man IM1 2LZ,PER,12-Apr-17,17/00253/B
Creation of a driveway and vehicular access,27 Fairfield Avenue Onchan Isle Of Man IM3 4BG,PER,05-Apr-17,17/00255/B
"Variation of condition 1 of PA 12/01690/B for the erection of a replacement dwelling, to extend the period of permission for a further 2 years",White Cottage Pinfold Hill Laxey Isle Of Man IM4 7HN,PER,11-May-17,17/00284/B
Alteration to conservatory roof (amendment to PA16/00136/B Alterations and erection of a first floor extension to dwelling),5 Norwood Drive Douglas Isle Of Man IM2 5HJ,PER,13-Jun-17,17/00383/B
Replacement of existing polycarbonate roof to rear annex with tiled roof,49 Buttermere Drive Onchan Isle Of Man IM3 2EB ,PER,11-May-17,17/00387/B
Erection of non-illuminated signage,Global House Isle Of Man Business Park Douglas Isle Of Man IM2 2QZ,PER,26-May-17,17/00388/D
"Replacement of existing front door with composite door, UPVC outer frame and glazed top light",42 Hildesley Road Douglas Isle Of Man IM2 5AY,PER,26-May-17,17/00431/B
Replacement of existing conservatory polycarbonate roof with tiled roof,9 Ballacriy Park Colby Isle Of Man IM9 4LT,PER,30-Jun-17,17/00446/B
"Replacement of existing bay window with white upvc casement, new pitched roof over bay and construction of extension to porch",1 Governors Road Onchan Isle Of Man IM3 1AX,PER,20-Jun-17,17/00515/B
Demolition of existing flats and erection of a pair of semi-detached dwellings with integral garages,145 & 147 Royal Avenue Onchan Isle Of Man IM3 1LG ,PER,21-Jul-17,17/00624/B
Construction of a ramp and handrail to side of school entrance,Kewaigue School Kewaigue Douglas Isle Of Man IM2 1QH ,PER,27-Jul-17,17/00655/B
Single storey rear extension and extension at first floor level over garage and kitchen,32 Ashlar Drive Union Mills Isle Of Man IM4 4LL,PER,17-Aug-17,17/00712/B
Change of use of former sorting office to a commercial gym,Unit 9 Gladstone Park Industrial Estate Ramsey Isle Of Man IM8 2LA ,PER,14-Aug-17,17/00735/C
"Change of use of site for the processing and storage of firewood, storage of related equipment, all in connection with landscaping and tree care company (retrospective)",Close Lake Jurby Road Andreas Isle Of Man IM7 2EJ ,PER,13-Sep-17,17/00739/C
Two storey extension to rear of property,Gys Yn Jiars Main Road Colby Isle Of Man IM9 4NS ,PER,24-Aug-17,17/00761/B
Creation of new off road parking area in portion of existing front garden,10 Julian Road Douglas Isle Of Man IM2 6EP,PER,22-Sep-17,17/00786/B
Alterations and erection of extension,1 Daisy Bank Cronk Road Port St. Mary Isle Of Man IM9 5AS,PER,06-Oct-17,17/00817/B
"Alterations, erection of extension and installation of decking and a first floor balcony",Upper Ballanea Ballaleigh Road Kirk Michael Isle Of Man IM6 1HH,PER,23-Nov-17,17/00818/B
Alterations to existing entrance lobby doors and installation of entrance canopies,Hospice Isle Of Man Strang Douglas Isle Of Man IM4 4RP ,PER,22-Sep-17,17/00819/B
Creation of parking to rear yard and additional use of ground floor shop (Class 1) as living accommodation,5 Brunswick Road Douglas Isle Of Man IM2 3LH,PER,14-Sep-17,17/00820/B
Installation of a flue and intake duct,Unit 10 New Units Balthane Industrial Estate Balthane Ballasalla Isle Of Man IM9 2AX ,PER,17-Oct-17,17/00830/B
Relocation of a shipping container for onsite storage,Land Adj To Bowling Green Nobles Park Douglas Isle Of Man  ,PER,24-Nov-17,17/00899/B
Installation of illuminated and non-illuminated signage.,29 - 31 Main Road Onchan Isle Of Man IM3 1AP,PER,10-Jan-17,16/01201/D
 Variation of condition 1 of PA 12/1391/B Repositioning of existing vehicular access and creation of new driveway; to extend period of permission for a further 4 years,Brickfield Poortown Road Peel Isle Of Man IM5 1QG,PER,08-May-17,16/01282/B
Registered building consent for the rerouting of existing restaurant kitchen ventilation duct RB 186 (in connection with PA 16/01286/GB),The Barbary Coast Douglas Chambers North Quay Douglas Isle Of Man IM1 4LA ,PER,13-Jul-17,16/01285/CON
Replacement of existing conservatory roof with tiled roof,Iona Pinfold Hill Laxey Isle Of Man IM4 7HN,PER,23-Jan-17,16/01336/B
Installation of a dormer window,2 Kermode Close Crosby Isle Of Man IM4 4BS,PER,26-Jan-17,16/01399/B
"Alterations, driveway works, installation of replacement windows, roof lights and erection of fencing",Glenwood Glen Road Laxey Isle Of Man IM4 7AH,PER,15-Nov-17,17/00932/B
First floor extension over existing garage to provide hobby/store room,Ballagarrow House Glen Auldyn Ramsey Isle Of Man IM7 2AF ,PER,29-Nov-17,17/00973/B
"Alterations to dwelling including replacement windows and doors, installation of self-coloured render system, creation of balcony and erection balustrading to terrace and balcony areas (amendments to PA 15/01228/B)",Silverdale Lodge Silverdale Road Ballasalla Isle Of Man IM9 3DT,PER,31-Oct-17,17/00997/B
Alterations and erection of extension to replace existing conservatories,85 King Edward Road Onchan Isle Of Man IM3 2AS,PER,27-Oct-17,17/00998/B
Replacement of existing annex polycarbonate roof with tiled roof,46 Campion Way Douglas Isle Of Man IM2 7DU,PER,06-Nov-17,17/01026/B
"Variation of condition 1 of PA13/91226/B for the demolition of existing buildings and construction of four duplex apartments each with double garages, to extend the period of approval for a further four years (in connection with registered building applic",Vine Villa 8 Derby Square Douglas Isle Of Man IM1 3LS ,PER,06-Nov-17,17/01031/GB
Rerouting of existing restaurant kitchen ventilation duct RB 186 (in connection with PA 16/01285/CON),The Barbary Coast Douglas Chambers North Quay Douglas Isle Of Man IM1 4LA ,PER,13-Jul-17,16/01286/GB
Installation of a replacement window and garage door to front elevation,Thie Foillan Shore Road Underway Port St. Mary Isle Of Man IM9 5DX,PER,13-Feb-17,16/01390/B
Alterations to existing sun room,Ambridge House 27 Abbots Way Abbotswood Ballasalla Isle Of Man IM9 3EQ ,PER,24-Jan-17,16/01391/B
Installation of bi-folding doors and amended external decking,Keayn Reayrt Croit E Quill Road Laxey Isle Of Man IM4 7JD,PER,18-Jul-17,17/00498/B
Two storey extension to side of property including new vehicular access,1 Buttermere Drive Onchan Isle Of Man IM3 2ED,PER,23-Jan-17,16/01359/B
Conversion of existing conservatory into a sun room,14 Slieau Curn Park Kirk Michael Isle Of Man IM6 1EH,PER,24-Jan-17,16/01385/B
