Decisions issued under delegated authority 1/1/11 - 31/12/11,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Conversion of existing barn to provide three tourist accommodation units,Barn Treljah Lane Glen Maye Isle Of Man  ,PER,28-Mar-11,10/01000/B
Extension to dwelling,5 Links Close Peel Isle Of Man IM5 1DG,PER,29-Jul-11,11/00848/B
Conversion of existing dwelling into four apartments,4 Mona Street Douglas Isle Of Man IM1 2QD,PER,20-Apr-11,10/01755/B
Alterations and extensions to dwelling and creation of additional vehicular access and hard standing,12 Howe Road Onchan Isle Of Man IM3 2BB,PER,08-Apr-11,11/00102/B
Installation of solar panel,2 Glen Close Glen Maye Isle Of Man IM5 3BF ,PER,24-Jun-11,11/00585/B
Erection of a detached garage with garden store/workshop at rear of dwelling,Myrtle Villa Main Road Ballaugh Isle Of Man IM7 5EF ,PER,24-Jan-11,10/01756/B
Installation of replacement windows and doors to front and rear elevations,Helmshore House Bay View Road Port St. Mary Isle Of Man IM9 5AG,PER,13-Jun-11,11/00583/B
Alterations and extension to dwelling (comprising amendments to PA 08/01300B),Thie Ny Feeaih Lezayre Road Ramsey Isle Of Man IM8 2TD,PER,14-Jan-11,10/01740/B
Demolition of existing garage to create open courtyard parking and installation of a roller shutter door and doorway for access,36 Arbory Street Castletown Isle Of Man IM9 1LN,PER,14-Mar-11,11/00146/B
Installation of replacement windows and doors,5 Peveril Road Peel Isle Of Man IM5 1NU,PER,24-Jun-11,10/00945/B
Erection of a conservatory to dwelling,16 King Edward Park Onchan Isle Of Man IM3 2AE,PER,25-Jan-11,10/01777/B
Erection of a stable block and all weather manege,Field Number 614732  Baldrine Farm Baldrine Road Baldrine Isle Of Man  ,PER,14-Feb-11,10/01576/B
Alterations and extensions to dwelling house,Ballamoar Beg Main Road Ballaugh Isle Of Man IM7 5EF,PER,01-Mar-11,10/01107/B
Installation of replacement windows to front elevation,17 Victoria Road Port St. Mary Isle Of Man IM9 5AF,PER,28-Apr-11,11/00263/B
"Installation of replacement front fascia and entrance doors, and of new lighting and retractable awning",58 - 60 Strand Street Douglas Isle Of Man IM1 2EL ,PER,25-Aug-11,11/00708/B
Erection of a five storey building to provide nine apartments and associated parking,Windsor House / Brobourne Hotel Promenade Port Erin Isle Of Man ,PER,30-Aug-11,09/01388/B
Additional use of quarry floor for storage and maintenance of construction plant and cabins (Retrospective),Quarry Dreemskerry Hill Dreemskerry Ramsey Isle Of Man IM7 1BE ,REF,24-May-11,10/01695/C
Relocation of vehicular access onto highway,Whitebridge House  58 Whitebridge Road Onchan Isle Of Man IM3 4HP,PER,08-Mar-11,10/01847/B
"Alterations, erection of extension and installation of replacement windows to dwelling",Woodville Castletown Road Port St. Mary Isle Of Man IM9 5LT,REF,29-Jun-11,11/00709/B
Alterations to existing field access,Margher E Kew Hibernia Ramsey Isle Of Man IM7 1ER ,PER,07-Mar-11,10/01129/B
Extension to existing kennels to provide isolation pens and storage,Ballagare Farm Baldhoon Road Laxey Isle Of Man IM4 7QJ ,PER,11-Jan-11,10/01070/B
"Erection of raised decking, landing and steps (Retrospective)",33 Farmhill Park Douglas Isle Of Man IM2 2ED,PER,26-Jan-11,10/01168/B
Application for a certificate of lawfulness seeking removal of an agricultural workers occupancy condition,Ballacorris Croft Clannagh Road Santon Isle Of Man IM4 2HP ,CLAWA,10-Jan-11,10/01158/LAW
Use of hardstanding for external storage (Retrospective),Land Adjacent To Garage Rear Of 73 Westbourne Drive Douglas Isle Of Man  ,REF,21-Mar-11,10/00462/R
Installation of a septic tank,Regaby Works Nassau Road Regaby Ramsey Isle Of Man IM7 4AL,PER,07-Feb-11,10/00644/B
Variation of condition 4 of approved PA 92/01118/B,Gorse Mill Cottage Druidale Ballaugh Isle Of Man IM7 5JA ,REF,01-Sep-11,09/01951/C
Additional use of retail unit as office accommodation,Unit 5  Tower House Loch Promenade Douglas Isle Of Man IM1 2LZ,PER,22-Feb-11,10/00522/C
Erection of illuminated signage,Nobles Park Pavilion Nobles Park Douglas Isle Of Man IM2 4BD ,REF,06-May-11,10/00526/D
Change of use of warehouse and store to recreational sporting use (Retrospective),Warehouse And Store Falcon Cliff Terrace Lane Douglas Isle Of Man IM2 4AX ,REF,11-Jan-11,10/00416/R
Installation of a replacement window,Flat 3  Withington Court Withington Road Douglas Isle Of Man IM2 3BE,PER,28-Mar-11,11/00175/B
Installation of replacement windows to front and rear elevations,5 Railway Terrace Douglas Isle Of Man IM1 4LT,PER,07-Apr-11,11/00176/B
Extension to dwelling,Kerrowcottle Cottage Gleneedle Lower Foxdale Isle Of Man IM4 3BF ,PER,23-Mar-11,11/00177/B
Erection of a detached garage,Ballig Barn  West Baldwin Isle Of Man IM4 5EU ,PER,28-Apr-11,11/00179/B
Erection of a replacement dwelling,Perth Cottage St Judes Road Andreas Isle Of Man IM7 3HF,REF,28-Apr-11,11/00181/B
Reserved Matters Application for conversion of former mill to a dwelling and construction of garage and store,The Old Mill Harbour Road Santon Isle Of Man IM4 1HF ,PER,06-May-11,10/01432/REM
Erection of entrance signage,Ballakaighen Farm Whitebridge Road Onchan Isle Of Man IM4 6AD ,PER,13-Jan-11,10/01728/D
Alterations and erection of a first floor extension to dwelling,Moaney Woods Farm Lonan Church Road Laxey Isle Of Man IM4 7JX,PER,14-Jan-11,10/01749/B
Alterations and erection of an extension to dwelling,Grasmere Park Avenue Douglas Isle Of Man IM2 5HR,PER,06-Jan-11,10/01750/B
Erection of an extension to rear elevation of dwelling,39 Cedar Walk Douglas Isle Of Man IM2 5NH,PER,06-Jan-11,10/01751/B
Creation of a porch to front elevation of dwelling,53 Larivane Meadows Andreas Isle Of Man IM7 4JF,PER,21-Feb-11,11/00047/B
"Erection of a porch to front elevation, an extension to rear elevation and widen existing driveway",18 Thirlmere Avenue Onchan Isle Of Man IM3 2DP,PER,21-Feb-11,11/00048/B
Installation of windows to replace existing garage doors on front elevation,26 Queen Street Castletown Isle Of Man IM9 1PA,PER,19-Apr-11,11/00055/B
Erection of advertising signage (in association with 11/00059CON),18a-20 Victoria Street & 41-45 Duke Street Douglas Isle Of Man IM1 2LE ,PER,21-Feb-11,11/00058/D
Registered Building Consent for erection of advertising signage (RB no 223 in association with 11/00058D),18A-20 Victoria Street & 41-45 Duke Street  Douglas Isle Of Man IM1 2LE ,PER,21-Feb-11,11/00059/CON
Alterations and extensions to dwelling including attached garage and store,Geay Varrey Clay Head Road Baldrine Isle Of Man IM4 6DL,PER,25-Feb-11,11/00062/B
Replace existing roof tiles with slate,Hedges Port Lewaigue Close Port Lewaigue Ramsey Isle Of Man IM7 1AH,PER,28-Feb-11,11/00063/B
Raise the eaves and ridge level to the northern corner of existing building,JCK Workshop Port View Port Way Balthane Industrial Estate Ballasalla Isle Of Man IM9 2AJ ,PER,01-Mar-11,11/00105/B
Installation of roof light to replace existing dormer,Bollindene Tennis Road Douglas Isle Of Man IM2 3LN,PER,25-Jan-11,10/01745/B
Erection of a single storey extension to side elevation,6 Creggans Avenue Peel Isle Of Man IM5 1DE,PER,06-Jan-11,10/01747/B
Installation of replacement windows and door to front elevation,Seabank 4 Shore Road Castletown Isle Of Man IM9 1BF,PER,18-Jan-11,10/01788/B
Reserved Matters application for the erection of a replacement farm house,Part Of Field 614468 Ballacollister Road Laxey Isle Of Man  ,PER,21-Jan-11,10/01790/REM
Approval in principle for the erection of an agricultural workers dwelling,Field 612263 Ballagawne Road Baldrine Isle Of Man  ,PER,11-Jan-11,10/01379/A
"Erection of a detached vehicle store, creation of a vehicular access and driveway",75 Claughbane Drive Ramsey Isle Of Man IM8 2BL,PER,03-Feb-11,10/01869/B
Erection of a detached dwelling with integral garage (comprising amendments to PA 10/00483/REM),Land At Thie Gretch Ballaragh Road Laxey Isle Of Man  ,PER,31-Jan-11,10/01870/B
Installation of a replacement window,The Old Coach House Bishopscourt Kirk Michael Isle Of Man IM6 2EY ,PER,21-Feb-11,11/00037/B
Replace an existing window with a smaller window to rear elevation of dwelling,27 Greeba Avenue Glen Vine Isle Of Man IM4 4EE,PER,21-Feb-11,11/00039/B
"Creation of a field access, track and turning circle",Field 531068 Scollag Road Abbeylands Isle Of Man  ,PER,21-Mar-11,11/00042/B
Alterations and extensions to dwelling,10 Ballamillaghyn Estate Mount Rule Douglas Isle Of Man IM4 4HU,PER,28-Feb-11,11/00077/B
First floor extension over existing garage to provide roof space storage,Lock Up Garages Off Ballure Road Ramsey Isle Of Man IM8 1NB,REF,01-Apr-11,11/00079/B
"Extension to dwelling, alterations to ground levels within part of rear garden and erection of pergola, covered canopy and fencing",Glenmore Belmont Hill Douglas Isle Of Man IM1 4NX ,PER,14-Mar-11,11/00107/B
Erection of a front porch,22 Hillcroft Rise Douglas Isle Of Man IM2 7EE ,REF,14-Mar-11,11/00108/B
"Alterations and extension to storage building to create a helicopter hangar and store (comprising amendments to PA's 09/000293B, 09/01988B and 10/00907B)",Ballaman Ballnahowe Port Erin Isle Of Man IM9 6JF ,PER,01-Mar-11,11/00113/B
Extension to dwelling,79 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JF,PER,01-Mar-11,11/00114/B
Erection of a single storey extension to side and rear elevation,1 Ballacottier Meadow Douglas Isle Of Man IM2 2QX ,PER,01-Mar-11,11/00117/B
Installation of replacement windows,Glen Grawe House 28 New Road Laxey Isle Of Man IM4 7BF,PER,14-Mar-11,11/00127/B
Erection of a first floor extension over existing garage,The Cottage Dalby Isle Of Man IM5 3BR ,PER,07-Jun-11,11/00128/B
"Alterations, erection of extension and detached garage with living accommodation above",Cooil Grianagh Truggan Road Port St. Mary Isle Of Man IM9 5AX,PER,14-Feb-11,10/01836/B
Erection of an extension to dwelling,17 Governors Road Onchan Isle Of Man IM3 1AX,PER,28-Jan-11,10/01839/B
Installation of replacement windows,Methodist Chapel Main Road Kirk Michael Isle Of Man IM6 1AH,PER,28-Jan-11,10/01640/B
"Registered Building consent for internal alterations to the South Clergy Vestry, electrical re-wiring and installation of lighting scheme to the main body of the Cathedral and installation of kitchen facilities to the North Transept. Registered Building N",St Germans Cathedral Derby Road Peel Isle Of Man IM5 1HH,PER,26-Jan-11,10/01641/CON
Block up existing and creation of a new vehicular access,The Old Stable Rear Of  Sea View 59 Governors Road Onchan Isle Of Man IM3 4AE,PER,28-Feb-11,11/00089/B
Erection of dormer providing access to new balcony over existing bay window,Westport Devonshire Road Douglas Isle Of Man IM2 3QY,PER,25-Jan-11,10/01627/B
Installation of replacement windows and door,Olly's High Street Port St. Mary Isle Of Man IM9 5DW,PER,06-Jan-11,10/01655/B
Erection of linked ancillary accommodation and sun lounge extension (Amendments to PA 10/01062/B),15 Sunnybank Avenue Onchan Isle Of Man IM3 3BW,PER,11-Jan-11,10/01657/B
Erection of an extension to dwelling,46 Turnberry Avenue Onchan Isle Of Man IM3 2JX,PER,07-Feb-11,10/01811/B
Continuation of existing car parking use (approved under 08/01696B),Site Between 40 Peel Road And Drinkwater Lane  Douglas Isle Of Man IM1 4LY,REF,28-Jan-11,10/01803/C
Additional use of residential property as self catering tourist accommodation,28 Bridge Street Peel Isle Of Man IM5 1NQ,PER,14-Feb-11,11/00008/C
"Erection of a building for use as business headquarters, incorporating office space, warehousing / storage space and display / demonstration space, with associated drainage works, car parking and landscaping","Part Of Field 521895, Between Isle Of Man Business Park And Cooil Road Douglas Isle Of Man  ",PER,10-Jan-11,10/01676/B
"Installation of replacement windows, front door and surround",Ribblesdale 5 Shore Road Castletown Isle Of Man IM9 1BF,PER,13-Jan-11,10/01733/B
Alterations and erection of a two storey extension to office,Beach House Bay View Road Port St. Mary Isle Of Man IM9 5AE,PER,08-Mar-11,10/01797/B
Installation of replacement windows and door,Greystones Cregneash Isle Of Man IM9 5PS ,PER,18-Jan-11,10/01799/B
Alterations and extension to rear elevation,Albany House  9 Albany Road Peel Isle Of Man IM5 1JS,PER,22-Feb-11,10/01813/B
Extension to and conversion of existing warehouse/garage to a dwelling,Warehouse & Garage Kensington Lane Douglas Isle Of Man IM1 3ES,PER,24-Jun-11,10/01242/B
Installation of roof lights to dwelling,Reayrt Aalin Beaumont Road Ramsey Isle Of Man IM8 2HW,PER,23-Mar-11,11/00203/B
Erection of a detached garage/store and amendments to vehicular access,Eskadale King Edward Road Onchan Isle Of Man IM4 6AB,PER,24-Mar-11,11/00204/B
Erection of advertising signage,Shoprite Derby Road Peel Isle Of Man IM5 1HP,PER,06-Jan-11,10/01785/D
Conversion of former guest house to four apartments including replacement windows,Fairfield House 5 Clifton Terrace Douglas Isle Of Man IM2 3HU,PER,06-Jan-11,10/01787/B
Conversion of existing outbuilding to tourist accommodation,Ash Villa Andreas Village Isle Of Man IM7 4HE ,PER,08-Mar-11,11/00052/B
Alterations and extension to entrance and loading bay,Shoprite Bridson Street Port Erin Isle Of Man IM9 6AL,PER,25-Feb-11,11/00064/B
Installation of roof lights,Nadine House  13 North Quay Douglas Isle Of Man IM1 4LE,PER,01-Mar-11,10/01706/B
Continuation of existing car parking use (approved under PA 08/01696B),Vacant Site At Allan Bank Junction Of Circular Road And Peel Road  Douglas Isle Of Man IM1 1AY,PER,26-Jan-11,10/01804/C
Installation of replacement windows to front elevation,8 Woodbourne Villas Alexander Drive Douglas Isle Of Man IM2 3QG ,PER,14-Jan-11,10/01807/B
Erection of replacement sun room,27 Scarlett Road Castletown Isle Of Man IM9 1NS,PER,24-Jan-11,10/01809/B
Erection of a dwelling (comprising amendments to 06/01756 REM),Plot 3 - Field 614664 Ballaragh Road Laxey Isle Of Man IM4 7PH ,PER,31-Jan-11,10/01860/B
Extension to rear elevation of dwellings,3 & 5 The Crofts Glen Vine Isle Of Man IM4 4FB,PER,08-Mar-11,10/01844/B
Alterations and extensions to dwelling,24 Ballanoa Meadow Santon Isle Of Man IM4 1HQ,PER,24-Jan-11,10/01845/B
Continuation of existing car park use (approved under PA 08/02279/B),Vacant Site (formally Occupied By Greeba Works) South Of Markwell House Market Street Douglas Isle Of Man  ,PER,31-Jan-11,10/01875/C
"Alterations, replacement of garage door with window and erection of extensions and replacement garage to dwelling",Kairdee Cornaa Ramsey Isle Of Man IM7 1EQ ,PER,01-Mar-11,11/00009/B
