Decisions issued under delegated authority 1/1/14 - 31/12/14,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Installation of replacement windows,Flat 12 Marlborough Ct Apts South Wing Castle Terrace Central Promenade Douglas Isle Of Man IM2 4LH ,PER,17-Jul-14,14/00658/B
Alterations and erection of extension to rear elevation of dwelling,32 Victoria Avenue Douglas Isle Of Man IM2 4AN,PER,17-Jul-14,14/00659/B
Alterations to form access ramp and new rear entrance door to Library area,St Ninians High School Ballaquayle Road Douglas Isle Of Man IM2 5RA ,PER,17-Jul-14,14/00662/B
Erection of an entrance porch,The Hawthorn Main Road Greeba Isle Of Man IM4 3LF,PER,11-Jul-14,14/00664/B
"Alterations, erection of an extension and dormer extension to dwelling",44 Cronk Y Berry Douglas Isle Of Man IM2 6ET,REF,18-Jul-14,14/00665/B
"Vehicular access alterations, driveway extension, installation of a patio and erection of a first floor extension to garden store and workshop",Birchleigh House Hillberry Road Onchan Isle Of Man IM3 4EU,PER,28-Jul-14,14/00667/B
Re-positioning field access to include visibility splays,Field 312848 Kerrow Glass Mill Road Greeba Isle Of Man IM4 2LB ,PER,03-Nov-14,14/01117/B
installation of replacement windows,Surfside Falcon Hill Port Erin Isle Of Man IM9 6HG,PER,22-Dec-14,14/01309/B
Erection of extension to replace existing conservatory and installation of garage door to replace existing window,3 Laurel Avenue Onchan Isle Of Man IM3 3JD,PER,23-Dec-14,14/01310/B
Alteration of existing door opening into a window,Grest Home Andreas Road Ramsey Isle Of Man IM7 4EA,PER,14-Mar-14,13/91525/B
Erection of a replacement storage/potting shed /sales building,Greeba Plant Centre  Norfolk Nurseries Main Road Greeba Isle Of Man IM4 3LF,PER,28-Feb-14,14/00072/B
Erection of an attached garage to replace existing detached garage,1 Cardle Cottages Known As 2 Cardle Cottages Corony Ramsey Isle Of Man IM7 1ES ,PER,09-May-14,14/00153/B
Alterations to vehicular access (comprising amendment to PA 13/91481/B),Eaglehurst Belmont Hill Douglas Isle Of Man IM1 4NY,PER,18-Mar-14,14/00155/B
Erection of a conservatory to rear elevation,Ballakelly Farm Old Castletown Road Santon Isle Of Man IM4 1HP ,PER,18-Jun-14,14/00507/B
"Alterations, installation of replacement windows and door and erection of an extension to rear of dwelling",26 Hope Street Castletown Isle Of Man IM9 1AP,PER,10-Feb-14,14/00008/B
Erection of a detached garage for rescue vehicles,Car Park Douglas Fire Station Peel Road Douglas Isle Of Man IM1 5ED,PER,14-Mar-14,14/00010/B
Bricking up and rendering existing rear kitchen door,59 Wybourn Grove Onchan Isle Of Man IM3 4AU,PER,16-Jul-14,14/00619/B
Removal of section of existing canopy over ramped access to south east school entrance and fitting of new fascia,Ballakermeen High School St Catherines Drive Douglas Isle Of Man IM1 4BE ,PER,16-Jul-14,14/00620/B
Erection of a ground floor extension to side and rear elevations including installation of external flue on proposed side extension and installation of roof dormer,127 Royal Avenue Onchan Isle Of Man IM3 1LD,PER,04-Sep-14,14/00621/B
Installation of replacement windows to side and rear elevations,Whitehouse Hotel Tynwald Road Peel Isle Of Man IM5 1LA,PER,18-Jul-14,14/00626/B
Variation of condition 1 of approved development of two replacement dwellings (PA 09/02062/B) to extend period of permission,"Sycamore House, The Bungalow Former Lezayre Tea Rooms  Glen Duff Ramsey Isle Of Man IM7 2AT ",PER,07-Aug-14,14/00774/B
Widening of vehicular access and paving to provide increased parking and turning area,16 Norwood Drive Douglas Isle Of Man IM2 5HN,PER,07-Aug-14,14/00775/B
Registered Building consent for the removal of a coal fire place (Registered Building Nos. 210),Flat 1 4 Harris Terrace Douglas Isle Of Man IM1 3LZ ,PER,03-Jun-14,14/00464/CON
Installation of a flue to dwelling,2 Cronk Y Thatcher Colby Isle Of Man IM9 4LN,PER,03-Jun-14,14/00466/B
Installation of replacement windows to front elevation of dwelling,7 Roslyn Terrace Douglas Isle Of Man IM2 5DE,PER,02-Jun-14,14/00467/B
Conversion of existing garage into additional living accommodation,23 Bollan Drive Glen Vine Isle Of Man IM4 4FE,PER,07-Aug-14,14/00777/B
Erection of extension to rear elevation (comprising amendment to PA 13/91319/B),26 Turnberry Avenue Onchan Isle Of Man IM3 2JX ,PER,12-Sep-14,14/00923/B
Alterations and extensions to dwelling,33 King Edward Park Onchan Isle Of Man IM3 2AB,PER,29-Sep-14,14/00925/B
Erection of a two storey extension to replace porch to front elevation of dwelling,5 Manor Hill Douglas Isle Of Man IM2 2NZ,PER,18-Sep-14,14/00964/B
"Alterations including installation of replacement windows and doors, creation of French doors to front elevation, removal of a chimney stack and raising of gable roof to rear elevation of dwelling",6 Stanley Terrace Douglas Isle Of Man IM2 4EP,PER,17-Oct-14,14/00965/B
Alteration and extension to existing garage,19 Brewery Wharf Castletown Isle Of Man IM9 1EU,PER,24-Jan-14,13/91485/B
Installation of illuminated signage,The Former Douglas And Clarendon Hotels North Quay Douglas Isle Of Man IM1 4LA,PER,21-Oct-14,14/00973/D
Installation of a flue to dwelling,1 Hillcroft Douglas Isle Of Man IM2 7DP,PER,18-Sep-14,14/00974/B
Replacement of existing glazed conservatory roof with light weight roof tiles,8 Ballaughton Meadows Douglas Isle Of Man IM2 1JG,PER,01-Oct-14,14/01017/B
Erection of a single storey extension to side elevation,1 Royal Park Ramsey Isle Of Man IM8 3UF ,PER,14-Oct-14,14/01018/B
Alteration to rear annexe roof to create additional head room,The Vale Minorca Vale Laxey Isle Of Man IM4 7DZ,PER,01-Oct-14,14/01019/B
Removal of existing decking and erection of new raised terrace and retaining wall,26 Sunnybank Avenue Onchan Isle Of Man IM3 3BP,PER,14-Oct-14,14/01020/B
Alterations and extension to chapel building,Ballagarey Methodist Chapel St Marks Ballasalla Isle Of Man IM9 3AH ,PER,03-Oct-14,14/01021/B
Installation of flue to rear elevation,17 St Stephens Meadow Sulby Isle Of Man IM7 3DA ,PER,31-Oct-14,14/01109/B
Removal of existing glazed conservatory roof and replace with a tiled roof,1 Scarlett Close Castletown Isle Of Man IM9 1NY,PER,07-Apr-14,14/00215/B
Installation of replacement windows to front and side elevations,Lakemba Apartments The Esplanade Central Promenade Douglas Isle Of Man IM2 4LR ,PER,20-Jun-14,14/00217/B
Registered Building consent for the installation of a replacement window (In association with 14/00262/GB) Registered Building Nos. 10,Mysore Cottages 41 Waterloo Road Ramsey Isle Of Man IM8 1DX,PER,23-Apr-14,14/00263/CON
Erection of a single and two storey extension to rear elevation of dwelling,Carraghan Lower Dukes Road Douglas Isle Of Man IM2 4BH ,REF,16-Apr-14,14/00265/B
Demolition of existing double garage and erection of new single and two storey extensions to provide replacement garage and additional living accommodation,Corrody The Old School House  Tholt Y Will Sulby Isle Of Man IM7 2BF ,PER,31-Jul-14,14/00734/B
Installation of replacement windows to front elevation,Myrtle Cottage Main Road Ballasalla Isle Of Man IM9 2DA,PER,22-Jul-14,14/00735/B
Replacement of existing glazed conservatory roof with light weight roof tiles,32 St Runius Way Glen Vine Isle Of Man IM4 4FG,PER,28-Jul-14,14/00736/B
"Erection of garage with roof terrace over, to rear elevation",6 Princes Road Douglas Isle Of Man IM2 4HG,PER,30-Sep-14,14/00278/B
Registered Building Consent for installation of window signage (RB no 20 in association with 14/00264/D),Corner Of 24 Church Street And Nelson Street  Douglas Isle Of Man IM1 2AB,PER,17-Apr-14,14/00294/CON
Replacement of existing glazed conservatory roof with light weight roof tiles,29 Rhenwyllan Close Port St. Mary Isle Of Man IM9 5NJ,PER,12-May-14,14/00380/B
Erection of a first floor extension over garage and sun room extension to rear elevation,11 Springfield Rise Foxdale Isle Of Man IM4 3JX ,PER,12-May-14,14/00382/B
Alterations to existing entrance doorway with creation of access ramp and installation of a canopy,Princess Towers Promenade Port Erin Isle Of Man IM9 6LH,PER,18-Jul-14,14/00722/B
Rendering works and window alterations to dwelling,1 Westlands Avenue Ramsey Isle Of Man IM8 3PS,PER,18-Jul-14,14/00723/B
Alterations to dwelling including creation of bay windows and replacement of a balcony,Walton House Bridge Road Ballasalla Isle Of Man IM9 3DA,PER,20-Jun-14,14/00579/B
Erection of replacement front boundary wall,Inglewood Little Switzerland Douglas Isle Of Man IM2 6AG,PER,14-Aug-14,14/00739/B
Installation of replacement windows and creation of a fire escape doorway from existing window onto rear flat roof,6 Malew Street Castletown Isle Of Man IM9 1AB,PER,11-Sep-14,14/00837/B
Creation of off road parking and vehicular access to dwelling,16 Second Avenue Onchan Isle Of Man IM3 4LE,REF,21-Aug-14,14/00839/B
Demolition of existing detached garage and erection of a new garage extension to existing dwelling,Thalassa Christeens Way Ballakillowey Colby Isle Of Man IM9 4BG,PER,24-Nov-14,14/01173/B
Installation of replacement windows,Glen View Glen Wyllin Kirk Michael Isle Of Man IM6 1AL ,PER,14-Nov-14,14/01175/B
Change of use of land from approved Public Open Space to private residential land to be used in conjunction with adjacent dwellings,Land At Glebe Aalin Close Ballaugh Isle Of Man  ,PER,14-Aug-14,14/00795/C
Erection of  a double garage with living accommodation above to replace existing garage,Lavender Cottage Tosaby Road Eairy Isle Of Man IM4 3HW,REF,10-Jan-14,13/91393/B
Creation of boreholes for the extraction of groundwater,Eary Cushlin Dalby Isle Of Man IM5 3BW ,PER,10-Feb-14,13/91531/B
Additional use of residential apartment as tourist accommodation,45 Spectrum Apartments Central Promenade Douglas Isle Of Man IM2 4LL ,PER,17-Jul-14,14/00645/C
"Installation of replacement windows to first, second and third floor on front elevation",12 Mona Street Douglas Isle Of Man IM1 2QD,PER,22-Jul-14,14/00690/B
Installation of replacement windows to front elevation,5 Drury Terrace Douglas Isle Of Man IM2 3HY,PER,31-Jul-14,14/00728/B
Installation of illuminated and non-illuminated signage and erection of a column sign,Office Building Site Adjacent To Buchanan BMW & Dandara Head Office Vicarage Rise Isle Of Man Business Park Douglas Isle Of Man ,PER,12-Dec-14,14/01244/D
"Alterations, erection of a two storey extension and creation of a terrace to dwelling",Brunswick Lodge Brunswick Road Douglas Isle Of Man IM2 3LL,PER,12-Dec-14,14/01246/B
Replacement of existing glazed conservatory roof with light weight roof tiles,9 Vicarage Park Douglas Isle Of Man IM2 2QB ,PER,23-Dec-14,14/01329/B
Approval in principle for to divide current residential plot into two separate plots and erection of a new dwelling on newly created plot accessed via existing driveway,The Old Rectory Station Road Ballaugh Isle Of Man IM7 5AH,PER,31-Jan-14,13/91275/A
Installation of steel flue to side elevation,Ballachurry Beg Summerhill Road Jurby Isle Of Man IM7 3BS ,PER,31-Jan-14,13/91496/B
"Installation of replacement and additional windows and doors, enlargement of rear dormer, erection of rear external staircase and creation of rear parking space",118 Woodbourne Road Douglas Isle Of Man IM2 3BA,PER,28-Feb-14,13/91498/B
Installation of replacement doors and windows to front side and rear elevations,44 Main Road Onchan Isle Of Man IM3 1AN ,PER,16-Jun-14,14/00435/B
"Registered Building Consent for installation of two replacement roof lights, French doors to replace existing window and blocking up kitchen door (RB no 129 in association with 14/00810/GB)",27 Governors Road Onchan Isle Of Man IM3 1AY,PER,03-Oct-14,14/00811/CON
"Alterations, erection of a two storey extension, creation of a turning area and widening of driveway, and vehicular access alterations to dwelling",Orryside Main Road Colby Isle Of Man IM9 4NG,REF,03-Nov-14,14/01125/B
"Alterations, erection of a first floor extension and roof dormer to rear elevation of dwelling",15 Sandringham Drive Onchan Isle Of Man IM3 4HH,REF,30-Oct-14,14/01126/B
Installation of replacement windows and door to dwelling,Cranford Breeze Hill Laxey Isle Of Man IM4 7DL,PER,30-Oct-14,14/01127/B
Installation of replacement windows,5 Cassa Field Church View Onchan Isle Of Man IM3 1BU ,REF,01-Dec-14,14/01153/B
Erection of a sun room extension to replace existing conservatory,3 Groudle View Onchan Isle Of Man IM3 2EX,PER,06-Nov-14,14/01154/B
Alterations to timber 'video cabin' and refurbishment and reconfiguration of car park and entrance area with associated landscaping and planting,Car Park Rushen Abbey Abbey Road Lane Ballasalla Isle Of Man  ,PER,06-Jan-14,13/91342/B
Installation of replacement windows and doors,Rose Cottage/Quirks Croft Cregneash Isle Of Man IM9 5PT ,PER,10-Feb-14,13/91460/B
Alterations and extensions to dwelling,103 Silverburn Crescent Ballasalla Isle Of Man IM9 2ED,PER,22-Jan-14,13/91463/B
Approval in principle to replace existing Nissan Hut with a dormer bungalow,Field 614992 Adjacent To Riverside Cottage  Glen Roy Laxey Isle Of Man  ,REF,20-Mar-14,13/91465/A
Additional use of existing converted residential barn as tourist accommodation,Little Ballakewin Foxdale Road Ballasalla Isle Of Man IM9 3ET,PER,22-Aug-14,14/00802/C
Re-instatement of railings to first floor front elevation of dwellings,66 & 67  Derby Square Douglas Isle Of Man IM1 3LR,PER,14-Aug-14,14/00803/B
Installation of replacement windows,La Mona Lisa Restaurant Glen Road Laxey Isle Of Man IM4 7AB,PER,23-Dec-14,14/01300/B
Erection of a single storey extension to replace existing utility room extension,Belmont Belmont Road Douglas Isle Of Man IM1 4NS,PER,14-Mar-14,13/91526/B
Alterations and extensions to dwelling,Close Mooar Glen Darragh Road Glen Vine Isle Of Man IM4 4BE,PER,07-Apr-14,13/91529/B
Alterations and garden room extension and linked replacement outbuilding to provide garaging/office and storage accommodation,Sunnycroft Rhendhoo Road Jurby Isle Of Man IM7 3HB,PER,11-Apr-14,14/00227/B
Erection of signage,30 Athol Street Douglas Isle Of Man IM1 1JB,PER,17-Jun-14,14/00547/D
Erection of single storey extension to rear and two additional windows to side elevation,74 Erin Way Port Erin Isle Of Man IM9 6EF ,PER,13-Nov-14,14/00628/B
Replacement of existing glazed conservatory roof with roof tiles,34 St Runius Way Glen Vine Isle Of Man IM4 4FG,PER,28-Aug-14,14/00896/B
Registered Building consent for the installation of two roof lights (in association with 14/00977/B) Registered Building Nos. 108,6 Charles Street Peel Isle Of Man IM5 1AF,PER,01-Dec-14,14/01152/CON
"Alterations, rebuilding of a collapsed Manx stone wall, installation of road markings and resurfacing of car park entrance",Site In South Barrule Plantation Shoulder Road Foxdale Isle Of Man  ,PER,29-Dec-14,14/01220/B
Removal of a chimney stack,29 Bowling Green Road Castletown Isle Of Man IM9 1EB,PER,26-Nov-14,14/01222/B
Erection of garage on footprint of rear parking area,Bay Crest 3 Primrose Terrace Port St. Mary Isle Of Man IM9 5AP,PER,30-Sep-14,14/00906/B
Variation of conditions 1 & 2 of PA 12/00371/A (approval in principle to erect a dwelling) to extend period of permission,Land Adjacent To Kerrowkeil Patrick Road St Johns Isle Of Man  ,PER,12-Sep-14,14/00908/B
`Conversion of lower ground floor to provide ancillary and tourist living accommodation to dwelling,2 High Street Port St. Mary Isle Of Man IM9 5DR,PER,22-Dec-14,14/01177/B
Replacement of existing glazed annexe roof with light weight roof tiles,Iona Ramsey Road Laxey Isle Of Man IM4 7PT,PER,15-Dec-14,14/01287/B
Conversion of ground floor retail space into three separate units for class 3 use (food and drink) and erection of external access ramp to front elevation (in association with 14/01289/CON),Former Douglas Hotel/ Clarendon Hotel    North Quay Douglas Isle Of Man  ,PER,18-Dec-14,14/01288/GB
Registered Building Consent conversion of ground floor retail space into three separate units for class 3 use (food and drink) and erection of external access ramp to front elevation (RB no 186 in association with 14/01288/GB),Former Douglas Hotel /Clarendon Hotel  North Quay Douglas Isle Of Man  ,PER,18-Dec-14,14/01289/CON
Alterations and extension to dwelling,19 Cleiy Rhennee Kirk Michael Isle Of Man IM6 1HT,PER,18-Dec-14,14/01291/B
Alterations and extensions to dwelling including the creation of first floor living accommodation and stair access,Hillberry House Hillberry Green Douglas Isle Of Man IM2 6DE,PER,15-Dec-14,14/01292/B
Alterations and erection of an extension to dwelling,2 Shirragh Way Port Erin Isle Of Man IM9 6FA,PER,06-Jan-14,13/91413/B
Erection of a first floor extension to dwelling,7 Stevenson Way Douglas Isle Of Man IM2 2EL,PER,03-Mar-14,13/91414/B
Landscaping works to rear of dwelling (retrospective),Milner Mount Bradda West Road Spaldrick Port Erin Isle Of Man IM9 6PN,PER,14-Feb-14,13/91416/B
Erection of a single storey extension to provide new sensory room,Pre-School Assessment Centre Pulrose Road Douglas Isle Of Man IM2 1AT,PER,09-Jan-14,13/91423/B
Erection of single storey extension to replace existing conservatory,3 Coburn Drive Ramsey Isle Of Man IM8 3PT,PER,24-Jan-14,13/91490/B
Erection of a two storey extension to side elevation,53 Murrays Lake Drive Mount Murray Douglas Isle Of Man IM4 2HZ,PER,31-Jan-14,13/91494/B
Variation of condition 2 of permitted approval in principle application for three dwellings (PA 12/00525/A) in order to extend period of permission by two years,"Field 432533, 432534 & 432535 Phildraw Road Ballasalla Isle Of Man  ",PER,22-May-14,14/00401/A
Construction of a single storey sun room extension to rear elevation,21 Alberta Drive Onchan Isle Of Man IM3 1LT,PER,22-May-14,14/00404/B
Erection of a log cabin to be used in conjunction with the pre-school nursery,Old Chapel  Main Road Union Mills Isle Of Man IM4 4AD,PER,22-May-14,14/00405/B
Conversion of existing redundant stone barn into tourist accommodation,Agricultural Building  Ballachrink Farm Ballanicholas Garth Crosby Isle Of Man  ,PER,24-Jun-14,14/00406/B
"Installation of replacement windows, door, cladding and fascia to front porch",2 Willow Terrace Port St Mary Isle Of Man IM9 5DY,PER,03-Jun-14,14/00411/B
Replacement of existing glazed conservatory roof with light weight roof tiles,Palm Villa Station Road Kirk Michael Isle Of Man IM6 1AE,PER,16-May-14,14/00414/B
Alterations and single storey extension to rear elevation (amendment to PA 13/91021/B),34 High View Road Douglas Isle Of Man IM2 5BH,PER,17-Jun-14,14/00562/B
Relocation of nursery classroom unit,Rushen Primary School Church Road Port St. Mary Isle Of Man IM9 5LW ,PER,20-Jun-14,14/00582/B
Alterations and extensions to dwelling,45 Sea Cliff Road Onchan Isle Of Man IM3 2JD,PER,09-May-14,14/00344/B
Erection of a two storey extension to side and single storey extension to rear elevation,30 Larivane Meadows Andreas Isle Of Man IM7 4JD ,PER,22-May-14,14/00445/B
Replacement of existing glazed conservatory roof with roof tiles,18 Sunnybank Avenue Onchan Isle Of Man IM3 3BW,PER,28-Aug-14,14/00886/B
Demolition of redundant workshop to enable extension of existing car park (in association with 14/00889/CON),Cannons Court Water Street Ramsey Isle Of Man IM8 1JP,REF,27-Oct-14,14/00888/B
Erection of a detached dwelling to replace existing dwelling,Cranford Cronk Y Voddy St Johns Isle Of Man IM4 3NS ,PER,26-Jun-14,14/00583/B
Erection of an extension to dwelling,27 Cleiy Rhennee Kirk Michael Isle Of Man IM6 1HT,PER,26-Jun-14,14/00585/B
Rendering works and erection of an extension to dwelling,12 Sunnybank Avenue Onchan Isle Of Man IM3 3BW,PER,26-Jun-14,14/00586/B
Erection of extension to side elevation and creation of off road parking space and access,2 Mill Cottages Mill Road Ballasalla Isle Of Man IM9 2EG,PER,08-Jul-14,14/00649/B
Installation of replacement windows to front and rear elevations,10 Kensington Road Douglas Isle Of Man IM1 3ER,PER,11-Jul-14,14/00651/B
Erection of a dwelling with attached garage,Plot 1 Off Station Road St Johns Isle Of Man  ,REF,17-Jul-14,14/00652/B
Alterations and installation of roof lights to dwelling,147 Woodbourne Road Douglas Isle Of Man IM2 3AZ,PER,27-Oct-14,14/00924/B
Replacement of existing glazed conservatory roof with roof tiles,Rhianfa Ballafayle Maughold Isle Of Man IM7 1ED ,PER,30-Sep-14,14/00963/B
Widening of existing vehicular access and driveway,Barrule View Main Road Glen Vine Isle Of Man IM4 4AY,PER,24-Sep-14,14/00989/B
Registered Building consent for the demolition of redundant workshop to enable extension of existing car park (in association with 14/00888/B),Cannons Court Water Street Ramsey Isle Of Man IM8 1JP,REF,27-Oct-14,14/00889/CON
Construction of a replacement lean-to tiled roof and window alterations to existing conservatory,Heatherlea Clifton Road North Port St. Mary Isle Of Man IM9 5HB,PER,12-Sep-14,14/00935/B
Erection of conservatory to replace existing extension,Brook Cottage Main Road Colby Isle Of Man IM9 4AD,PER,16-Sep-14,14/00936/B
Alterations and erection of a ground floor extension to replace existing,Flat 1 Mount Rule House Mount Rule Douglas Isle Of Man IM4 4HP ,PER,06-Nov-14,14/01148/B
Installation of replacement windows to rear elevation,Compton Court - Flat 10 4 Clarence Terrace Central Promenade Douglas Isle Of Man IM2 4LS ,PER,10-Oct-14,14/00999/B
Demolition of attached garage and erection of a replacement detached garage and alterations to dwelling (comprising amendment to PA 14/00793/B),Greenfields Main Road Colby Isle Of Man IM9 4AE ,PER,30-Sep-14,14/01008/B
Construction of replacement culvert,Access Road  South Barrule Plantation Barrule Road Foxdale Isle Of Man  ,PER,03-Oct-14,14/01009/B
Erection of a replacement garage with store room over,2 The Promenade Castletown Isle Of Man IM9 1BJ,PER,20-Oct-14,14/01011/B
Reconstruction of existing retaining wall,Myrtle Cottage Darragh Port Erin Isle Of Man IM9 6JB ,PER,09-May-14,14/00085/B
Erection of a detached garage with utility to replace existing garage,Thie Jeant Qualtroughs Lane Ballafesson Port Erin Isle Of Man IM9 6TP,PER,04-Jun-14,14/00312/B
"Registered Building consent for internal works to provide a kitchen, storage and changing area, removal / re organising of pews and inner door alterations. (Registered Building Nos. 248)",St Michaels Church Main Road Kirk Michael Isle Of Man IM6 1ER ,PER,13-Jun-14,14/00314/CON
Installation of replacement windows,12 Marlborough Court Apts South Wing Castle Terrace Central Promenade Douglas Isle Of Man IM2 4LH ,REF,12-May-14,14/00316/B
Variation of condition 1 of PA 10/01822/B (erection of a replacement dwelling) to extend period of permission,Thornfield Clay Head Road Baldrine Isle Of Man IM4 6DL ,PER,16-Sep-14,14/00954/B
Erection of an agricultural building for animal feed storage,Ballalough Farm West Baldwin Isle Of Man IM4 5HD ,PER,30-Sep-14,14/00962/B
"Installation of replacement windows to front, side and rear elevations",125 Woodbourne Road Douglas Isle Of Man IM2 3AU,PER,29-Dec-14,14/01325/B
Erection of four detached dwellings (change of house types from those approved under PA 13/91289/B),"Plots 18, 19, 20 & 21 Slieau Whallian View Field 314444 Between Poortown Road & QE11High School East Of Reayrt Ny Cronk  Peel Isle Of Man  ",PER,30-Dec-14,14/01326/B
Replacement of existing conservatory roof with light weight roof tiles,Ballakelly Glen Vine Road Glen Vine Isle Of Man IM4 4HQ,PER,03-Mar-14,14/00088/B
Creation of parking space and vehicular access in front garden,Aingarth Bay View Road Port Erin Isle Of Man IM9 6LG,PER,11-Apr-14,14/00091/B
Alteration to existing shop front to create an access door,Ground Floor Shop Stanley House 7 - 9 Market Hill Douglas Isle Of Man IM1 2BF ,PER,20-Jun-14,14/00496/B
Erection of a detached timber garage to replace existing (retrospective),Dhoon Beg Main Road Kirk Michael Isle Of Man IM6 1ER ,PER,18-Sep-14,14/00961/B
Installation of replacement windows to front and rear elevations and replacement front door,17 Upper Dukes Road Douglas Isle Of Man IM2 4AZ,PER,21-Nov-14,14/01180/B
Refurbishment works and installation of a replacement window (In association with 13/00906/CON),Compton House 9 Castle Street Castletown Isle Of Man IM9 1LF,PER,21-Feb-14,13/00905/GB
Reserved Matters application for the erection of two replacement detached dwellings with associated parking,Clypse Mooar Cottages Clypse Onchan Isle Of Man IM4 5BG,REF,02-Jun-14,13/91198/REM
Demolition of existing garage workshop and erection of a dwelling,20 Stanley Mount Peel Isle Of Man IM5 1NE ,PER,18-Jun-14,14/00421/B
Alterations and erection of an extension to provide garage and first floor living accommodation,19 First Avenue Douglas Isle Of Man IM2 6BA,PER,14-Feb-14,13/91456/B
Erection of a detached garage and workshop,Glen Dawn Ballagawne Ballabeg Castletown Isle Of Man IM9 4HL,PER,31-Jan-14,13/91458/B
Conversion from retail use to a cafe,31 Duke Street Douglas Isle Of Man IM1 2AZ,PER,28-Feb-14,14/00070/B
Replacement of existing glazed conservatory roof with slate / tiles,Ballaveare Farm Old Castletown Road Port Soderick Isle Of Man IM4 1BB,PER,28-Feb-14,14/00071/B
Installation of sun tubes and replacement roof tiles,New Foxdale Primary School Mines Road Foxdale Isle Of Man IM4 3EX,PER,18-Jun-14,14/00324/B
Erection of two detached dwellings with integral garages to replace existing dwelling (comprising amendments to PA 12/00995/B),Brambley Cottage 11 Cronk Road Union Mills Isle Of Man IM4 4NJ,PER,24-Jun-14,14/00352/B
