"id","lat","lon","name","name:en","name:gv","highway","railway","place","natural"
"10135859523","54.251675","-4.637017","Lhiannag","","Lhiannag","","","locality",""
"10135859529","54.234598","-4.665586","Cass Strooan","","Cass Strooan","","","locality",""
"10135859530","54.231674","-4.67524","Lhoob y Reeast","","Lhoob y Reeast","","","locality",""
"10141404654","54.218673","-4.397937","Gob y Rheynn","","Gob y Rheynn","","","locality",""
"10141404655","54.207527","-4.401404","Gob ny Silvas","","Gob ny Silvas","","","locality",""
"10141404656","54.202788","-4.396097","Gob ny Stowell","","Gob ny Stowell","","","locality",""
"10141404660","54.185148","-4.401903","Yn Scregganagh","","Yn Scregganagh","","","locality",""
"10141404661","54.178313","-4.409569","Ooigyn Dhoo","","Origin Dhoo","","","locality",""
"10141404662","54.177661","-4.411943","Baih Doo","","Bait Doo","","","","bay"
"10141524228","54.125755","-4.517309","Coolebegad","","Coolebegad","","","","bay"
"10141524229","54.126942","-4.517468","Rebog","","Rebog","","","","bay"
"10141524230","54.125827","-4.522899","Keristal","","Keristal","","","","bay"
"10141524231","54.11514","-4.532955","Stuiden","","Stuiden","","","locality",""
"10141524232","54.115936","-4.531723","Gob Lhiack","","Gob Lhiack","","","locality",""
"10141524235","54.100682","-4.56266","Purt Veg","","Purt Veg","","","","bay"
"10141524236","54.100531","-4.569004","Traie ny Sloat","","Traie ny Sloat","","","locality",""
"10141570924","54.053535","-4.625038","Dreswick Rocks","","Ellan Vretyn","","","locality",""
"10141570925","54.054242","-4.632149","Gullet ny Guiy","","Gullet ny Guiy","","","locality",""
"10141570927","54.053222","-4.633354","Skerrans","","Skerranes","","","locality",""
"10141570929","54.060717","-4.628562","Creg Ineen Thalleyr","","Creg Ineen Thalley","","","locality",""
"10141570930","54.069549","-4.621311","Chibbyr Drine","","Chibbyr Drine","","","locality",""
"10141570935","54.075243","-4.690506","Skeir Lea","","Skier Lea","","","","bay"
"10141570936","54.073382","-4.689126","Ghaw Cortagh","","Ghaw Cortagh","","","","bay"
"10141570937","54.079239","-4.690774","Poyll Richie","","Poyll Richie","","","locality",""
"10141570938","54.081289","-4.697191","Poyll Breinn","","Poyll Breinn","","","","bay"
"10141570939","54.080185","-4.71386","Cronnag","","Cronnag","","","locality",""
"10141570942","54.075422","-4.736354","Creg y Chreel","","Creg y Chreel","","","locality",""
"10141570945","54.072393","-4.735117","Creg y Leech","","Creg y Leech","","","locality",""
"10145016489","54.061954","-4.75368","Kione y Choggan","","Kione y Choggan","","","locality",""
"10145016494","54.0482","-4.826484","Ghaw Lang","","Ghaw Lang","","","locality",""
"10145016496","54.067909","-4.79168","Clet Aldrick","","Clet Aldrick","","","locality",""
"10145016498","54.109868","-4.747913","Cronk Aittin","","Cronk Aittin","","","locality",""
"10145016500","54.117277","-4.746808","Gub ny Traie Ruy","","Gub ny Traie Ruy","","","locality",""
"10145016501","54.119208","-4.744376","Eairnyerey","","Eairnyerey","","","locality",""
"10145016503","54.125203","-4.739252","Garroo Clagh","","Garroo Clagh","","","locality",""
"10145016504","54.128571","-4.735675","Ny Pheastul","","Ny Pheastul","","","locality",""
"10145016505","54.127499","-4.731194","Burroo Mooar","","Burroo Mooar","","","locality",""
"10145016507","54.131526","-4.736861","Stroin Vuigh","","Stroin Vuigh","","","locality",""
"10145016508","54.132586","-4.733184","Creg Venagh","","Creg Venagh","","","locality",""
"10145016509","54.134305","-4.733827","Grinnah Doo","","Grinnagh Doo","","","locality",""
"10145016510","54.138025","-4.730089","Garey Beg","","Garey Beg","","","locality",""
"10145016511","54.135645","-4.730626","Lag ny Keeilley","","Lag ny Keeiley","","","locality",""
"10145016512","54.137436","-4.731435","Ooig ny Seyir","","Ooig ny Seyir","","","locality",""
"10145016513","54.139214","-4.730812","Con Shellagh","","Con Shellagh","","","locality",""
"10145016514","54.136812","-4.732159","Geinnagh Vane","","Geinnagh Vane","","","locality",""
"10145016515","54.13109","-4.720062","Cregyn Doo","","Cregyn Doo","","","locality",""
"10145016516","54.133763","-4.724965","Burroo Sodjey","","Burroo Sodjey","","","locality",""
"10145032817","54.131938","-4.728903","Burroo Meanagh","","Burroo Meanagh","","","locality",""
"10145032819","54.135364","-4.724884","Beeay-feayn ny Geay","","Beeay-feayn ny Geay","","","locality",""
"10145032820","54.121729","-4.736198","Gob ny Beinn","","Gob ny Beinn","","","locality",""
"10145032823","54.146076","-4.734088","Gob ny Ushtey","","Gob ny Ushtey","","","locality",""
"10145032824","54.147536","-4.733706","Gob Breac","","Gob Breac","","","locality",""
"10145032825","54.148807","-4.733043","Dul Ushtey","","Dul Ushtey","","","locality",""
