"osm_id","osm_type","osm_url","lat","lon","addr:postcode","source:addr:postcode"
"505512377","node","https://osm.org/node/505512377","54.157875","-4.478294","IM2 4EN",""
"505824249","node","https://osm.org/node/505824249","54.162918","-4.471626","IM2 4NA",""
"505873456","node","https://osm.org/node/505873456","54.161657","-4.483319","IM2 3BF",""
"549539655","node","https://osm.org/node/549539655","54.224187","-4.697042","IM5 1AH",""
"549539673","node","https://osm.org/node/549539673","54.222902","-4.692098","IM5 1HE",""
"685338695","node","https://osm.org/node/685338695","54.155057","-4.484651","IM1 3AL",""
"685338697","node","https://osm.org/node/685338697","54.155","-4.484625","IM1 3AL",""
"685338699","node","https://osm.org/node/685338699","54.154605","-4.484485","IM1 3AJ",""
"685338705","node","https://osm.org/node/685338705","54.155503","-4.484865","IM1 3AL",""
"685338707","node","https://osm.org/node/685338707","54.155448","-4.484836","IM1 3HH",""
"685338708","node","https://osm.org/node/685338708","54.155393","-4.484808","IM1 3AL",""
"685338709","node","https://osm.org/node/685338709","54.155338","-4.48478","IM1 3AL",""
"685338711","node","https://osm.org/node/685338711","54.155285","-4.484753","IM1 3AL",""
"685338712","node","https://osm.org/node/685338712","54.155228","-4.484727","IM1 3AL",""
"685338715","node","https://osm.org/node/685338715","54.155171","-4.484702","IM1 3AL",""
"685338717","node","https://osm.org/node/685338717","54.155114","-4.484676","IM1 3AL",""
"685338721","node","https://osm.org/node/685338721","54.155558","-4.484893","IM1 3AL",""
"685502583","node","https://osm.org/node/685502583","54.162205","-4.472222","IM2 4NA",""
"685516475","node","https://osm.org/node/685516475","54.326936","-4.382272","IM8 3BA",""
"727475963","node","https://osm.org/node/727475963","54.147836","-4.482691","IM1 4LE",""
"727476126","node","https://osm.org/node/727476126","54.148907","-4.47863","IM1 2AY",""
"727751272","node","https://osm.org/node/727751272","54.153558","-4.478861","IM1 2HE",""
"763370807","node","https://osm.org/node/763370807","54.085979","-4.75731","IM9 6AH",""
"896317797","node","https://osm.org/node/896317797","54.248337","-4.63995","IM5 2AQ",""
"916257505","node","https://osm.org/node/916257505","54.170687","-4.445902","IM3 2AR",""
"936625322","node","https://osm.org/node/936625322","54.148026","-4.478993","IM1 2BQ",""
"939199118","node","https://osm.org/node/939199118","54.164052","-4.468746","IM2 4NF",""
"939413216","node","https://osm.org/node/939413216","54.155649","-4.478281","IM1 2NH",""
"943822599","node","https://osm.org/node/943822599","54.149312","-4.477585","IM1 2LH",""
"948471959","node","https://osm.org/node/948471959","54.117134","-4.580154","IM4 1EH","Isle of Man Government Land Registry Land Transactions"
"961630750","node","https://osm.org/node/961630750","54.142335","-4.653741","IM9 3BA",""
"1069288852","node","https://osm.org/node/1069288852","54.154674","-4.505548","IM2 1HE",""
"1069288889","node","https://osm.org/node/1069288889","54.161261","-4.482052","IM2 5DF",""
"1184382018","node","https://osm.org/node/1184382018","54.320422","-4.378953","IM8 1LE",""
"1185772892","node","https://osm.org/node/1185772892","54.321017","-4.379766","IM8 1LA",""
"1198251769","node","https://osm.org/node/1198251769","54.069336","-4.73713","IM9 5EJ",""
"1275896084","node","https://osm.org/node/1275896084","54.285321","-4.582809","IM6 1EN","Isle of Man Government Land Registry Land Transactions"
"1275896088","node","https://osm.org/node/1275896088","54.285275","-4.58271","IM6 1EN","Isle of Man Government Land Registry Land Transactions"
"1275896100","node","https://osm.org/node/1275896100","54.285404","-4.582892","IM6 1EJ","Isle of Man Government Land Registry Land Transactions"
"1283209178","node","https://osm.org/node/1283209178","54.286147","-4.584314","IM6 1EG","Isle of Man Government Land Registry Land Transactions"
"1283209295","node","https://osm.org/node/1283209295","54.286106","-4.584394","IM6 1AB","Isle of Man Government Land Registry Land Transactions"
"1283209339","node","https://osm.org/node/1283209339","54.28621","-4.584228","IM6 1ED","Isle of Man Government Land Registry Land Transactions"
"1283264563","node","https://osm.org/node/1283264563","54.287262","-4.586459","IM6 1EE","Isle of Man Government Land Registry Land Transactions"
"1289483662","node","https://osm.org/node/1289483662","54.152766","-4.47934","IM1 2ER",""
"1666028132","node","https://osm.org/node/1666028132","54.086641","-4.756079","IM9 6AL",""
"1774047779","node","https://osm.org/node/1774047779","54.320678","-4.37877","IM8 1LH",""
"1950174701","node","https://osm.org/node/1950174701","54.117896","-4.586479","IM4 1EN",""
"1974486110","node","https://osm.org/node/1974486110","54.167876","-4.457495","IM3 1NN","Isle of Man Government Land Registry Land Transactions"
"2689679569","node","https://osm.org/node/2689679569","54.077522","-4.73928","IM9 5AE",""
"2725439539","node","https://osm.org/node/2725439539","54.188757","-4.570515","IM4 2DN",""
"2935278200","node","https://osm.org/node/2935278200","54.321186","-4.379892","IM8 1LA",""
"3028469410","node","https://osm.org/node/3028469410","54.151397","-4.483307","IM1 1QD",""
"3095361477","node","https://osm.org/node/3095361477","54.150004","-4.499005","IM2 1AB",""
"3602796500","node","https://osm.org/node/3602796500","54.145634","-4.58672","IM9 3AS",""
"4115148160","node","https://osm.org/node/4115148160","54.120315","-4.581489","IM4 1EJ",""
"4143616747","node","https://osm.org/node/4143616747","54.149828","-4.495099","IM1 5EB",""
"4197755659","node","https://osm.org/node/4197755659","54.149019","-4.476393","IM1 2LR",""
"4200367948","node","https://osm.org/node/4200367948","54.149287","-4.476666","IM1 2LN",""
"4633496982","node","https://osm.org/node/4633496982","54.151945","-4.490281","IM1 4QA",""
"4633496985","node","https://osm.org/node/4633496985","54.151841","-4.490634","IM1 4BR",""
"4720363784","node","https://osm.org/node/4720363784","54.358738","-4.52233","IM7 3BD",""
"4770205299","node","https://osm.org/node/4770205299","54.147536","-4.484474","IM1 1JE",""
"4969122524","node","https://osm.org/node/4969122524","54.32132","-4.381638","IM8 1JS",""
"5159163410","node","https://osm.org/node/5159163410","54.147109","-4.485501","IM1 5AF",""
"5159163411","node","https://osm.org/node/5159163411","54.147056","-4.485416","IM1 5AF",""
"5159244165","node","https://osm.org/node/5159244165","54.083975","-4.763263","IM9 6HL",""
"5160576843","node","https://osm.org/node/5160576843","54.085137","-4.759867","IM9 6HF",""
"5161120724","node","https://osm.org/node/5161120724","54.166558","-4.464145","IM2 4NP",""
