"id","lat","lon","name","name:en","name:gv","ref","highway"
"25986498","","","Thornhill Close","Thornhill Close","Close ny Cronk Drine","","residential"
"25986500","","","Groudle View","","","","unclassified"
"25986501","","","Falcon Street Lane","Falcon Street Lane","Lhoan Straid Shirragh","","service"
"25986502","","","Fistard Grove","Fistard Grove","Keyll Fistard","","residential"
"25986503","","","Crossag Close","Crossag Close","","","unclassified"
"25986504","","","Ballure Grove","","","","unclassified"
"25986505","","","Little Switzerland","","","","residential"
"25986506","","","Finch Road","","","B64","secondary"
"25986510","","","First Avenue","","","","footway"
"25986511","","","Rearyt Carnane","","Rearyt Carnane","","residential"
"25986514","","","Lakeside Road","","","","residential"
"25986520","","","Glen Darragh Gardens","","","","unclassified"
"25986521","","","Maple Avenue","","","","residential"
"25986522","","","Ballaugh Glen Road","Ballaugh Glen Road","","","unclassified"
"25986523","","","Maghergarran","","","","residential"
"25986525","","","Garey Road","Garey Road","","D47","unclassified"
"25986527","","","Cooyrt Balleigh","","","","residential"
"25986528","","","Cronk Grianagh","","Cronk Grianagh","","residential"
"25986529","","","Willow Close","Willow Close","Close Shelee","","residential"
"25986530","","","Berry Woods Avenue","","","","residential"
"25986531","","","Hillside Avenue","Hillside Avenue","Astyl ny Lhargagh","","unclassified"
"25986532","","","Victoria Road","","","","tertiary"
"25986533","","","Birchleigh Close","","","","residential"
"25986534","","","Cronk Cardle","","","","unclassified"
"25986535","","","Tynwald Road","","","","residential"
"25986538","","","Port Cornaa Road","","","","unclassified"
"25986540","","","Onchan Main Road","","","A2","trunk"
"25986543","","","Marine Gardens","","","","unclassified"
"25986545","","","Vollan Crescent","","","","unclassified"
"25986546","","","Ballacottier Road","Ballacottier Road","","","unclassified"
"25986547","","","Cumberland Road","","","","residential"
"25986549","","","Queen's Drive East","","","","unclassified"
"25986550","","","Elm Drive","","","","residential"
"25986552","","","Regaby Road West","","","B7","secondary"
"25986553","","","Bemahague Road","","","","footway"
"25986554","","","Creggan Aashen","","Creggan Aashen","","unclassified"
"25986555","","","Governors Hill","","","","residential"
"25986556","","","Santon Main Road","Santon Main Road","","A5","trunk"
"25986559","","","Cooill Veg","","Cooill Veg","","residential"
"25986562","","","The Hope","","","","residential"
"25986563","","","Friary Park","","","","residential"
"25986565","","","Clagh Vane","","","","unclassified"
"25986566","","","Summer Hill","","","","primary"
"25986572","","","Ballacurry Road","Ballacurry Road","","D55","track"
"25986577","","","Farmhill Gardens","","","","residential"
"25986578","","","Carrick Park","","","","residential"
"25986579","","","Groudle Old Road","","","","service"
"25986581","","","Vicarage Road","Vicarage Road","Raad Thie ny Taggyrt","A6","trunk"
"25986582","","","Ballavartyn Road","Ballavartyn Road","","","unclassified"
"25986586","","","Ballacriy Park","","","","residential"
"25986590","","","Pinehurst Avenue","","","","residential"
"25986591","","","Meadow Crescent","","","","residential"
"25986593","","","Bank Hill","","","A33","primary"
"25986594","","","Hawthorn Grove","Hawthorn Grove","","","residential"
"25986595","","","Balladoyne","","Balladoyne","","residential"
"25986597","","","Brecken Bank","","","","unclassified"
"25986598","","","Kerroo Coar","","","","residential"
"25986601","","","Ballafurt Road","","","","residential"
"25986602","","","Close Eyreton","","","","residential"
"25986603","","","Chapel Lane","","","","unclassified"
"25986604","","","Cronk Drean","","Cronk Drean","","residential"
"25986605","","","Patrick Road","Patrick Road","Bayr Keeill Pherick","A30","primary"
"25986606","","","Stoney Road","","","","footway"
"25986608","","","Strang Close","","","","residential"
"25986610","","","Ballafletcher Farm Road","","","","service"
"25986612","","","Old Castletown Road","","","A25","primary"
"25986613","","","The Paddocks","","","","unclassified"
"25986614","","","Creggan Lea","","Creggan Lea","","residential"
"25986615","","","East Baldwin Road","","","B21","secondary"
"25986616","","","Mines Road","","","","unclassified"
"25986618","","","Hanley Villas","","","","residential"
"25986619","","","Manor Hill","Manor Hill","Reayrt Y Vannor","","residential"
"25986621","","","Lower Cronk Orry","","","","residential"
"25986622","","","The Meadows","","","","residential"
"25986623","","","Links Close","Links Close","","","residential"
"25986624","","","Seafield Avenue","Seafield Avenue","Astyl Magher Marrey goll gys","","residential"
"25986630","","","Tromode Heights","","","","residential"
"25986636","","","Ashley Road","","","","unclassified"
"25986637","","","Close Quirk","","","","residential"
"25986638","","","Maine Avenue","Maine Avenue","","","residential"
"25986643","","","Ayre View","","","","unclassified"
"25986644","","","The Downs","","","","residential"
"25986646","","","Silverdale Road","","","B50","secondary"
"25986647","","","Park Close","","","","unclassified"
"25986649","","","Christian Street","","","A4","primary"
"25986653","","","Ramsey Road","Ramsey Road","","A2","trunk"
"25986654","","","Baymount Road","","","","residential"
"25986656","","","Murrays Road","","","","unclassified"
"25986657","","","Ballaquane Park","","","","residential"
"25986659","","","Stowell Place","","","","residential"
"25986660","","","Kiondroghad Road","","Bayr Kione Droghad","A19","primary"
"25986661","","","Mill Road","","","","unclassified"
"25986663","","","Ballaterson Fields","","","","residential"
"25986664","","","Green Lane","Green Lane","Lhoan Yn Aaie","","unclassified"
"25986665","","","Royal Avenue West","","","B48","secondary"
"25986667","","","Ballacriy Park","","","","residential"
"25986670","","","Ormly Grove","","","","residential"
"25986671","","","Sea View Road","","","","residential"
"25986672","","","The Laurels","","","","residential"
"25986674","","","Mountain View","","","","residential"
"25986675","","","Shore Road","Shore Road","Bayre y Traie","","unclassified"
"25986677","","","Ballabrooie Road","","","C5","unclassified"
"25986679","","","King Edward Close","","","","unclassified"
"25986681","","","Copse Hill","","","","residential"
"25986686","","","Balllaquark","","","","residential"
"25986689","","","Hill Top Rise","","","","residential"
"25986690","","","Kerroocruin","","","","residential"
"25986697","","","Hillberry Meadows","","","","residential"
"25986698","","","Queens Terrace","","","","unclassified"
"25986700","","","Malew Street","Malew Street","Straid Valen","","residential"
"25986701","","","Hollin Bank","","","","unclassified"
"25986702","","","Clifton Road North","Clifton Road North","Raad Clifton Twoaie","","residential"
"25986705","","","Ballacrye Road","","","B9","secondary"
"25986707","","","Marashen Crescent","Marashen Crescent","Corran Vagher Aittin","","residential"
"25986709","","","Palace View Terrace","","","","unclassified"
"25986711","","","Ballaquayle Road","Ballaquayle Road","Bayr Valley 'c Phaayl","A22","primary"
"25986712","","","Foxdale Road","","","A24","primary"
"25986715","","","Mourne View Road","","","","residential"
"25986717","","","Blackberry Lane","","","B34","secondary"
"25986719","","","Abbots Drive","","","","residential"
"25986720","","","Hillberry Meadows","","","","residential"
"25986721","","","Maitland Terrace Lane","","","","unclassified"
"25986722","","","Saint Olave's Close","","","","residential"
"25986724","","","Julian Road","","","","residential"
"25986727","","","Little Meddow","Little Meddow","","","residential"
"25986728","","","River Meadow Land","River Meadow Land","Claddagh","B8","secondary"
"25986729","","","Bretney Road","","","B3","secondary"
"25986732","","","Avondale Road","Avondale Road","","A38","trunk"
"25986733","","","Beeton's Lane","","","","unclassified"
"25986735","","","Stoney Road","","","","residential"
"25986736","","","Doves Croft","","","","residential"
"25986737","","","Hibbin Close","","","","residential"
"25986739","","","Cooil Breryk","","","","residential"
"25986740","","","Ballaughton Meadow","Ballaughton Meadow","Lheeannee Ballaughton","","residential"
"25986742","","","Athol Place","Athol Place","","","unclassified"
"25986745","","","Ballacrosha Estate","","","","service"
"25986746","","","Western Avenue","","","","unclassified"
"25986747","","","Ballanard Road","","","A22","primary"
"25986749","","","Bircham Avenue Close","","","","residential"
"25986751","","","Ballamaddrell","","","","residential"
"25986752","","","Sunnydale Avenue","","","","residential"
"25986753","","","King Edward Park","","","","unclassified"
"25986755","","","Y Vaarny Yiarg","","Y Vaarny Yiarg","","residential"
"25986756","","","Manor Drive","","","","residential"
"25986757","","","Vicarage Road","Vicarage Road","Raad Thie ny Taggyrt","A6","trunk"
"25986759","","","Ivydene Avenue","","","","residential"
"25986760","","","Shipyard Road","","","","residential"
"25986761","","","Reayrt Aalin","","Reayrt Aalin","","residential"
"25986764","","","Promenade Back Lane","Promenade Back Lane","","","service"
"25986766","","","Ashfield Avenue","","","","residential"
"25986768","","","Arbory Road","","","","unclassified"
"25986770","","","Castletown Road","Castletown Road","Raad Balley Chashtal","A5","primary"
"25986772","","","Dodd's Lane","","","","service"
"25986774","","","Governors Hill","","","","residential"
"25986776","","","Cooil Ny Chibbyr","","Cooil Ny Chibbyr","","residential"
"25986777","","","Atholl Street","","","","residential"
"25986778","","","Banks Howe","","","","residential"
"25986779","","","Lheannag Park","","","","residential"
"25986781","","","Ballamaddrell","","","","residential"
"25986783","","","Clarke Street","","","","residential"
"25986785","","","Howe Road","","","","unclassified"
"25986787","","","Hawthorn Close","","","","residential"
"25986788","","","Princes Road","","","","unclassified"
"25986789","","","Reginald Close","","","","residential"
"25986790","","","Marine Drive","","","A37","primary"
"25986792","","","Douglas Road","Douglas Road","","A3","trunk"
"25986794","","","Ballagyr Park","","","","residential"
"25986795","","","Woodburn Square","Woodburn Square","Raad Strooan ny Kelley","","unclassified"
"25986799","","","Ballabrooie Drive","","","","unclassified"
"25986800","","","Ballacanell","","","","unclassified"
"25986801","","","Ballacriy Park","","","","residential"
"25986804","","","Balleigh Park","","","","residential"
"25986805","","","Rowan Avenue","Rowan Avenue","Keyll Keirn","","residential"
"25986806","","","Belle Vue Park","","","","residential"
"25986808","","","Sea Terminal","","","A8","primary"
"25986809","","","Bathurst Street","","","","residential"
"25986812","","","Orchard View","","","","residential"
"25986813","","","Foxglove Close","","","","residential"
"25986815","","","Upper Rencell","","","","unclassified"
"25986819","","","Ashley Park","","","","residential"
"25986821","","","James Road","","","","unclassified"
"25986822","","","Olaf's Close","Olaf's Close","Close Olaf","","residential"
"25986824","","","Bircham Avenue","","","","residential"
"25986825","","","Mullinaragher Road","","","","unclassified"
"25986831","","","Kionslieu Hill","","","","unclassified"
"25986832","","","Eyreton Road","","","A23","primary"
"25986833","","","Sound Road","Sound Road","Bayr Y Cheyllys","","unclassified"
"25986837","","","Snugborough Avenue","","","","residential"
"25986838","","","School Hill Avenue","School Hill Avenue","","","residential"
"25986839","","","Woodlands View","","","","residential"
"25986840","","","Ballakillowey","","","","residential"
"25986841","","","Dalby Road","Dalby Road","","A27","primary"
"25986843","","","Ballakermeen Avenue","","","","residential"
"25986852","","","Ballacriy Park","","","","residential"
"25986854","","","Ballavale Road","","","B25","secondary"
"25986856","","","Harcroft Meadow","Harcroft Meadow","Lheeannee Harcroft","","residential"
"25986857","","","Ballasalla Main Road","Ballasalla Main Road","","A26","primary"
"25986859","","","Claughbane Drive","","","","unclassified"
