"SubUnit_Name","House_Number","House_Name","Street_Name","Locality","Town","Postcode","Parish"
""," 4","Thie Ny Marrey","Glen Close","Glen Maye","Patrick","IM5 3BF","Patrick"
""," 10","","Glen Darragh Gardens","","Glen Vine","IM4 4DD","Marown"
""," 14","","Glen Darragh Gardens","","Glen Vine","IM4 4DD","Marown"
""," 3","","Glen Darragh Gardens","","Glen Vine","IM4 4DD","Marown"
""," 7","","Glen Darragh Gardens","","Glen Vine","IM4 4DD","Marown"
"","","Bajanour Studio And Barn","Glen Darragh Road","","Glen Vine","IM4 4BE","Marown"
"","","Close Mooar","Glen Darragh Road","","Glen Vine","IM4 4BE","Marown"
"","","Parcel Of Land Adjacent To Riversdene","Glen Darragh Road","","Glen Vine","IM4 4BE","Marown"
"","","Thie Darragh","Glen Darragh Road","","Glen Vine","IM4 4BE","Marown"
"","","Redwood","Glen Darragh Road","Glen Vine","Marown","IM4 4BE","Marown"
"","","Arbor House","Glen Duff","","Lezayre","IM7 2AT","Lezayre"
"","","Glen Duff Farm","Glen Duff","","Lezayre","IM7 2AT","Lezayre"
"","","Plot Of Land","Glen Duff","","Lezayre","","Lezayre"
"","","Plot Of Land","Glen Duff","","Lezayre","IM7 2AT","Lezayre"
"","","Plot Of Land Adjacent To Arbor House","Glen Duff","","Lezayre","IM7 2AT","Lezayre"
"","","Bollan Bane","Glen Elfin Road","","Ramsey","IM8 2HF","Maughold"
"","","Cushag","Glen Elfin Road","","Ramsey","IM8 2HF","Maughold"
"","","Glen Villa","Glen Elfin Road","","Ramsey","IM8 2HF","Maughold"
""," 10","","Glen Elfin Road","","Ramsey","IM8 2HF","Maughold"
""," 5","","Glen Elfin Road","","Ramsey","IM8 2HF","Maughold"
""," 7","","Glen Elfin Road","","Ramsey","IM8 2HF","Maughold"
""," 9","","Glen Elfin Road","","Ramsey","IM8 2HF","Maughold"
"APARTMENT 7","","Sheridan Apartments","Glen Falcon Road","","Douglas","IM2 3HA","Onchan"
"Apartment 6","","Sheridan Apartments","Glen Falcon Road","","Douglas","IM2 3HA","Onchan"
""," 1","","Glen Falcon Road","","Douglas","IM2 3EY","Onchan"
""," 2","Shop Premises","Glen Falcon Road","","Douglas","IM2 3EY","Onchan"
""," 4-5","","Glen Falcon Road","","Douglas","IM2 3EY","Onchan"
""," 1","","Glen Falcon Terrace","","Douglas","IM2 3HR","Onchan"
""," 11","","Glen Falcon Terrace","","Douglas","IM2 3HR","Onchan"
""," 13","","Glen Falcon Terrace","","Douglas","IM2 3HR","Onchan"
""," 14","","Glen Falcon Terrace","Murrays Road","Douglas","IM2 3HT","Onchan"
""," 14","","Glen Falcon Terrace","Murrays Road","Douglas","IM2 3HR","Onchan"
""," 18","","Glen Falcon Terrace","","Douglas","IM2 3HR","Onchan"
""," 6","","Glen Falcon Terrace","Murrays Road","Douglas","IM2 3HR","Onchan"
""," 6","","Glen Falcon Terrace","","Douglas","IM2 3HR","Onchan"
""," 7","","Glen Falcon Terrace","","Douglas","IM2 3HR","Onchan"
""," 9","","Glen Falcon Terrace","","Douglas","IM2 3HR","Onchan"
"","","Portions Of Land At","Glen Garwick","","Baldrine","IM4 6DT","Lonan"
"","","Glen Helen Lodge","Glen Helen","","German","IM4 3NP","German"
"","","The Old Coach House","Glen Helen","Ballavaish","German","IM4 3NP","German"
"","","Laurel Bank","Glen Helen Road","","German","","German"
"","","Ballig Farm House","Glen Helen Road","","St Johns","IM4 3NG","German"
"","","Bridge House","Glen Helen Road","Ballig Bridge","St Johns","IM4 3NH","German"
"","","Glen Moar Mills","Glen Helen Road","Laurel Bank","St Johns","IM4 3NN","German"
"","","Laurel Bank Pumping Station","Glen Helen Road","Laurel Bank","St Johns","IM4 3NJ","German"
"","","Laurel Cottage","Glen Helen Road","Laurel Bank","St Johns","IM4 3NJ","German"
"","","Ta-Thie-Ain","Glen Helen Road","Laurel Bank","St Johns","IM4 3NN","German"
""," 7","","Glen Hill","Ashlar Drive","Union Mills","IM4 4JZ","Braddan"
"","","Ballellin Farmhouse","Glen Loop Road","Glen Mona","Maughold","IM7 1HJ","Maughold"
"","","Kelway","Glen Lough Circle","","Glen Vine","IM4 4AX","Marown"
"","","Falls Cottage","Glen Maye","","Patrick","","Patrick"
"","","Former Methodist Church Hall","Glen Maye","","Patrick","","Patrick"
"","","Land","Glen Maye","","Patrick","","Patrick"
"","","Land At Ballachrink Farm","Glen Maye","","Patrick","","Patrick"
"","","Parcel Of Land","Glen Maye","","Patrick","","Patrick"
"","","The Henfield And Orchard","Glen Maye","","Patrick","","Patrick"
"","","Elm Cottage","Glen Maye Hill","","Glen Maye","IM5 3BE","Patrick"
"","","Glen Cottage","Glen Maye Hill","","Glen Maye","IM5 3BE","Patrick"
"","","Glen View","Glen Maye Hill","","Glen Maye","IM5 3BE","Patrick"
"Land to rear of","","Glen View","Glen Maye Hill","","Glen Maye","","Patrick"
"","","Maye Cottage","Glen Maye Hill","","Glen Maye","IM5 3BE","Patrick"
"Land to rear of","","Rosemount Cottage","Glen Maye Hill","","Glen Maye","","Patrick"
"","","Glenville","Glen Maye Hill","Glen Maye","Patrick","IM5 3BE","Patrick"
"","","Plot 12","Glen Maye Park","","Glen Maye","IM5 3AX","Patrick"
"","","Plot 12A","Glen Maye Park","","Glen Maye","IM5 3DA","Patrick"
""," 10","","Glen Maye Park","","Glen Maye","IM5 3AX","Patrick"
""," 11","","Glen Maye Park","","Glen Maye","IM5 3AX","Patrick"
""," 12","Kintara","Glen Maye Park","","Glen Maye","IM5 3AX","Patrick"
""," 12a","","Glen Maye Park","","Glen Maye","IM5 3DA","Patrick"
""," 13","","Glen Maye Park","","Glen Maye","IM5 3AX","Patrick"
""," 7","","Glen Maye Park","","Glen Maye","IM5 3AX","Patrick"
""," 8","","Glen Maye Park","","Glen Maye","IM5 3AX","Patrick"
"","","Cronk Ard","Glen Maye Park","Glen Maye","Patrick","IM5 3AX","Patrick"
""," 12a","","Glen Maye Park","Glen Maye","Patrick","IM5 3AX","Patrick"
""," 3","","Glen Maye Park","Glen Maye","Patrick","IM5 3AX","Patrick"
""," 4","","Glen Maye Park","Glen Maye","Patrick","IM5 3AX","Patrick"
""," 5","","Glen Maye Park","Glen Maye","Patrick","IM5 3AY","Patrick"
""," 5","","Glen Maye Park","Glen Maye","Patrick","IM5 3AX","Patrick"
"","","Electrical Substation Plot","Glen Maye Park Estate","","Glen Maye","IM5 3AX","Patrick"
""," 6","","Glen Maye Park Estate","Glen Maye","Patrick","IM5 3AX","Patrick"
"","","Shenvalla Cottage","Glen Maye Road","","Patrick","IM5 3AP","Patrick"
"","","Shenvalley Farm","Glen Maye Road","","Patrick","IM5 3AP","Patrick"
"","","Plot Of Land On Northern Side Of Highroad","Glen Maye To Glen Rushen Road","","Patrick","","Patrick"
"","","Ballagorry Beg","Glen Mona","","Maughold","IM7 1HF","Maughold"
"","","Fuchsia Cottage","Glen Mona","","Maughold","IM7 1HF","Maughold"
"","","Glen Mona Filling Station","Glen Mona","","Maughold","IM7 1HD","Maughold"
"","","Glen Mona Hotel","Glen Mona","","Maughold","IM7 1HF","Maughold"
"","","Glen Mona House","Glen Mona","","Maughold","IM7 1HF","Maughold"
"","","Glen Shone Cottage","Glen Mona","","Maughold","IM7 1HF","Maughold"
"","","Glenside","Glen Mona","","Maughold","IM7 1HR","Maughold"
"","","Land At Ballagorry Drive","Glen Mona","","Maughold","","Maughold"
"","","Land At Ballasholague","Glen Mona","","Maughold","","Maughold"
"","","Strawberry Cottage","Glen Mona","","Maughold","IM71HF","Maughold"
"","","Thalloo Queen","Glen Mona","","Maughold","IM7 1HJ","Maughold"
"","","The Glen Mona Hotel","Glen Mona","","Maughold","IM7 1HF","Maughold"
"","","Glen Mona Bungalow","Glen Mona Loop Road","","Glen Mona","IM7 1HG","Maughold"
"","","Ballasholague Bungalow","Glen Mona Loop Road","Glen Mona","Maughold","IM7 1HG","Maughold"
"","","Ballig Farm","Glen Mona Loop Road","Glen Mona","Maughold","IM7 1HG","Maughold"
"","","Barony View","Glen Mona Loop Road","","Maughold","IM7 1HG","Maughold"
"","","Fieldhaven","Glen Mona Loop Road","","Maughold","IM7 1HG","Maughold"
"","","Fieldhead","Glen Mona Loop Road","","Maughold","IM7 1HG","Maughold"
"","","Holly Trees","Glen Mona Loop Road","Glen Mona","Maughold","IM7 1HG","Maughold"
"","","Reayrt Cornah","Glen Mona Loop Road","Glen Mona","Maughold","IM7 1HG","Maughold"
"","","Thie Ny Crossag","Glen Mona Loop Road","Glen Mona","Maughold","IM7 1HG","Maughold"
"","","Ballagawne Cottage","Glen Mooar","Peel Road","Kirk Michael","IM6 1HL","Michael"
"","","Borodaill","Glen Mooar","","Kirk Michael","IM6 1HL","Michael"
"","","Weavers Cottage","Glen Mooar","","Kirk Michael","IM6 1HL","Michael"
"","","Land And Premises At Ballacarnane","Glen Mooar","","Michael","","Michael"
"","","Land At ","Glen Mooar","","Michael","","Michael"
"","","Plot Of Land Situate At Ballacarnane","Glen Mooar","","Michael","","Michael"
"","","Ballachrink House","Glen Mooar Loop Road","St Johns","German","IM4 3AG","German"
"","","Ballachrink House And Ballachrink Lodge","Glen Mooar Loop Road","St Johns","German","IM4 3AG","German"
"","","Ballachrink Lodge","Glen Mooar Loop Road","","St Johns","IM4 3AG","German"
"","","Ballakilley","Glen Mooar Road","","St Johns","IM4 3AG","German"
"","","Thie Ny Struan","Glen Mooar Road","","St Johns","IM4 3AQ","German"
"","","9","Glen Park Drive","","Douglas","IM2 6HN","Onchan"
""," 10","","Glen Park Drive","","Douglas","IM2 6HN","Onchan"
""," 12","","Glen Park Drive","Glen Park","Douglas","IM2 6HN","Onchan"
""," 14","","Glen Park Drive","Glen Park","Douglas","IM2 6HN","Onchan"
""," 3","","Glen Park Drive","","Douglas","IM2 6HN","Onchan"
""," 4","","Glen Park Drive","Glen Park","Douglas","IM2 6HN","Onchan"
""," 6","","Glen Park Drive","","Douglas","IM2 6HN","Onchan"
""," 7","","Glen Park Drive","Glen Park","Douglas","IM2 6HN","Onchan"
""," 8","","Glen Park Drive","","Douglas","IM2 6HN","Onchan"
"","","Agricultural Unit And Land","Glen Road","Colby","Arbory","IM9 4HW","Arbory"
"","","Ballacooil","Glen Road","Colby","Arbory","IM9 4NU","Arbory"
"","","Old Colby Mill","Glen Road","","Arbory","","Arbory"
"","","Reayrtyn","Glen Road","Colby","Arbory","IM9 4HW","Arbory"
"","","Shilley Lhean","Glen Road","Ronague","Arbory","IM9 4HL","Arbory"
"","","Thie Ny Chibbyr","Glen Road","Colby","Arbory","IM9 4HW","Arbory"
"Land at the rear of 1 Glen View Terrace","","","Glen Road","","Ballaugh","IM7 5JG","Ballaugh"
"","","A Plot Of Land Adjoining The Old Hall","Glen Road","","Ballaugh","IM7 5JG","Ballaugh"
"","","Ballaugh Methodist Hall","Glen Road","","Ballaugh","IM7 5JG","Ballaugh"
"","","Burnside","Glen Road","","Ballaugh","IM7 5JG","Ballaugh"
"","","Carmodil","Glen Road","","Ballaugh","IM7 5JD","Ballaugh"
"","","Carmodil","Glen Road","","Ballaugh","IM7 5JE","Ballaugh"
"","","Cooil Coar","Glen Road","","Ballaugh","IM7 5JE","Ballaugh"
"","","Doves Hill","Glen Road","","Ballaugh","IM7 5JB","Ballaugh"
"","","Faaie Wyllin","Glen Road","","Ballaugh","IM7 5JD","Ballaugh"
"","","Fernbank","Glen Road","","Ballaugh","IM7 5JB","Ballaugh"
"","","Fields 221452 And 221519","Glen Road","","Ballaugh","","Ballaugh"
"","","Holly Ville","Glen Road","","Ballaugh","IM7 5JF","Ballaugh"
"","","Land At Doves Hill","Glen Road","","Ballaugh","IM7 5JB","Ballaugh"
"","","Land At Rear Of The Old Chapel","Glen Road","","Ballaugh","IM7 5JG","Ballaugh"
"The Barns","","The Glaick","Glen Road","","Ballaugh","IM7 5JG","Ballaugh"
"","","Whispering Trees","Glen Road","","Ballaugh","IM7 5JB","Ballaugh"
"Fields adjacent to Gat-y-Whing","","","Glen Road","","Colby","IM9 4PA","Arbory"
"","","Arbory Cottage","Glen Road","","Colby","IM9 4HW","Arbory"
"","","Arbory House","Glen Road","","Colby","IM9 4HW","Arbory"
"","","Arbory House And Arbory Cottage","Glen Road","","Colby","IM9 4HW","Arbory"
"","","Avistine","Glen Road","","Colby","IM9 4HW","Arbory"
"","","Ballacallow","Glen Road","","Colby","IM9 4PA","Arbory"
"","","Ballacannell","Glen Road","","Colby","IM9 4PA","Arbory"
"","","Ballacooil House","Glen Road","","Colby","IM9 4NU","Arbory"
"","","Ballacubbon Barn","Glen Road","","Colby","IM9 4NU","Arbory"
"","","Ballakelly","Glen Road","","Colby","IM9 4HW","Arbory"
"","","Ballaoates ","Glen Road","","Colby","IM9 4HW","Arbory"
"","","Bay View","Glen Road","","Colby","IM9 4HW","Arbory"
"","","Bibaloe","Glen Road","","Colby","IM9 4PA","Arbory"
"","","Bridge Ville ","Glen Road","","Colby","IM9 4NT","Arbory"
"","","Brook Villa","Glen Road","","Colby","IM9 4NT","Arbory"
"","","Brynwood","Glen Road","","Colby","IM9 4NT","Arbory"
"","","California Cottage","Glen Road","","Colby","IM9 4NU","Arbory"
"","","Colby Beg","Glen Road","","Colby","IM9 4NU","Arbory"
"","","Colby Croft","Glen Road","","Colby","IM9 4NX","Arbory"
"","","Colby Football Ground","Glen Road","","Colby","","Arbory"
"","","Colby Mill","Glen Road","","Colby","IM9 4NY","Arbory"
"","","Crofton","Glen Road","","Colby","IM9 4NX","Arbory"
"","","Dildawn","Glen Road","","Colby","IM9 4PA","Arbory"
"","","Gat-Y-Whing","Glen Road","","Colby","IM9 4PA","Arbory"
"","","Glen Cottage","Glen Road","","Colby","IM9 4PA","Arbory"
"","","Glenarm","Glen Road","","Colby","IM9 4HW","Arbory"
"","","Glendene","Glen Road","","Colby","IM9 4PA","Arbory"
"","","Glenfield","Glen Road","","Colby","IM9 4HW","Arbory"
"","","Greyney Mooar","Glen Road","","Colby","IM9 4HL","Arbory"
"","","Hill House","Glen Road","","Colby","IM9 4HW","Arbory"
"","","Horizon House","Glen Road","","Colby","IM9 4HW","Arbory"
"","","Land At Rear Of Clock Cottage","Glen Road","","Colby","IM9 4NT","Arbory"
"","","Land Next To Horizon House","Glen Road","","Colby","IM9 4HW","Arbory"
"","","Land Next To Nhee Aalin","Glen Road","","Colby","IM9 4HW","Arbory"
"","","New Colby Mill","Glen Road","","Colby","IM9 4NY","Arbory"
"","","Nhee Aalin","Glen Road","","Colby","IM9 4HW","Arbory"
"","","Old Colby Mill","Glen Road","","Colby","IM9 4NY","Arbory"
"","","Parcel Of Land Part Of Ballachrink Farm","Glen Road","","Colby","","Arbory"
"","","Purt-Y-Shee","Glen Road","","Colby","IM9 4PA","Arbory"
"","","Reayrt Aalin (Formerly Hollybank)","Glen Road","","Colby","IM9 4HW","Arbory"
"","","Silverbeech","Glen Road","","Colby","IM9 4HW","Arbory"
"","","The Cottage","Glen Road","","Colby","IM9 4NU","Arbory"
"","","Thie Ny Chibbyr","Glen Road","","Colby","IM9 4HW","Arbory"
"","","Willowsmere","Glen Road","","Colby","IM9 4NX","Arbory"
"","","Yarrow Cottage","Glen Road","","Colby","IM9 4NY","Arbory"
"","","1 Muir Terrace","Glen Road","","Laxey","IM4 7AS","Lonan"
"","","1 Osborne Cottages","Glen Road","","Laxey","IM4 7AJ","Lonan"
"","","2 Margueritte Cottages","Glen Road","","Laxey","IM4 7AN","Lonan"
"","","2 Muir Terrace","Glen Road","","Laxey","IM4 7AS","Lonan"
"","","2 Osborne Cottages","Glen Road","","Laxey","IM4 7AJ","Lonan"
"","","5 Riverscourt","Glen Road","","Laxey","IM4 7AG","Lonan"
"","","A Plot Of Land By Shore Hotel","Glen Road","","Laxey","","Lonan"
"","","Acacia Villa","Glen Road","","Laxey","IM4 7AP","Lonan"
"","","Andania","Glen Road","","Laxey","IM4 7AB","Lonan"
"","","Ballacowin Cottage","Glen Road","","Laxey","IM4 7AP","Lonan"
"","","Ballashalom","Glen Road","","Laxey","IM4 7AP","Lonan"
"","","Barnston House","Glen Road","","Laxey","IM4 7AJ","Lonan"
"","","Burnside","Glen Road","","Laxey","IM4 7AJ","Lonan"
"","","Corvette","Glen Road","","Laxey","IM4 7AP","Lonan"
"","","Cranleigh Ville","Glen Road","","Laxey","IM4 7AS","Lonan"
"Plot of land to rear of","","Cranleigh Ville","Glen Road","","Laxey","","Lonan"
"","","Cumberland House","Glen Road","","Laxey","IM4 7AF","Lonan"
"","","Deepdale Complex","Glen Road","","Laxey","IM4 7AB","Lonan"
"","","Digby House","Glen Road","","Laxey","IM4 7AF","Lonan"
"","","Glen Cottage","Glen Road","","Laxey","IM4 7AJ","Lonan"
"Parcel of land close to","","Glen Cottage","Glen Road","","Laxey","IM4 7AJ","Lonan"
"","","Glen Mill","Glen Road","","Laxey","IM4 7AJ","Lonan"
"","","Glenside","Glen Road","","Laxey","IM4 7AP","Lonan"
"","","Glenwood","Glen Road","","Laxey","IM4 7AH","Lonan"
"","","Greenbank","Glen Road","","Laxey","IM4 7AR","Lonan"
"","","Hollywood Cottage","Glen Road","","Laxey","IM4 7AP","Lonan"
"","","Icari","Glen Road","","Laxey","IM4 7AB","Lonan"
"","","La Mona Lisa Restaurant","Glen Road","","Laxey","IM4 7AB","Lonan"
"","","Land Adjacent To Stream Cottage","Glen Road","","Laxey","IM4 7AN","Lonan"
"","","Mona Villa","Glen Road","","Laxey","IM4 7AP","Lonan"
"","","Palladian House","Glen Road","","Laxey","IM4 7AH","Lonan"
"","","Parcel Of Land Close To Glen Cottage","Glen Road","","Laxey","IM4 7AJ","Lonan"
"","","Riverbank House","Glen Road","","Laxey","IM4 7AN","Lonan"
"","","Riverscourt","Glen Road","","Laxey","IM4 7AG","Lonan"
"","","Riverside","Glen Road","","Laxey","IM4 7AN","Lonan"
"","","Spring Villa","Glen Road","","Laxey","IM4 7NF","Lonan"
"","","Stream Cottage","Glen Road","","Laxey","IM4 7AN","Lonan"
"","","Sycamore Cottage","Glen Road","","Laxey","IM4 7AN","Lonan"
"","","The Braes","Glen Road","","Laxey","IM4 7AN","Lonan"
"","","The Quarry","Glen Road","","Laxey","IM4 7QL","Lonan"
"","","The Sunday School","Glen Road","","Laxey","IM4 7AH","Lonan"
"","","Veg Veen","Glen Road","","Laxey","IM4 7AN","Lonan"
"","","Verndale","Glen Road","","Laxey","IM4 7AN","Lonan"
"THE WORKSHOP","","Victoria Terrace","Glen Road","","Laxey","IM4 7AP","Lonan"
""," 1","Ballabeg","Glen Road","","Laxey","IM4 7AP","Lonan"
""," 3","Slaynt As Shee","Glen Road","","Laxey","IM4 7AB","Lonan"
""," 3","Slyant As Shee","Glen Road","","Laxey","IM4 7AB","Lonan"
"","","Pine View","Glen Road","","Sulby","IM7 2AZ","Lezayre"
"","","Minglestone","Glen Roy","","Laxey","IM4 7QD","Lonan"
"","","Workshop","Glen Roy","","Laxey","IM4 7QA","Lonan"
"","","Ballacoan Cottage","Glen Roy","","Lonan","IM4 7QD","Lonan"
"","","Ballacoan House","Glen Roy","","Lonan","IM4 7QD","Lonan"
"","","Brundal House","Glen Roy","","Lonan","IM4 7QD","Lonan"
"","","Close Mooar Farm","Glen Roy","","Lonan","IM4 7QF","Lonan"
"","","Riversdale Cottage","Glen Roy","","Lonan","IM4 7QB","Lonan"
""," 2","","Glen Roy Cottages","Old Laxey Hill","Laxey","IM4 7DA","Lonan"
"","","Glen Sloughi","Glen Rushen","","Glen Maye","IM5 3BA","Patrick"
"Plot of land","","","Glen Rushen Road","","Glen Maye","IM5 3BA","Patrick"
"","","Cooilingel Beg","Glen Rushen Road","","Glen Maye","IM5 3BA","Patrick"
"Parcel of Land adjoining","","Cooilingel Beg","Glen Rushen Road","","Glen Maye","IM5 3BA","Patrick"
"","","Fo Glion","Glen Rushen Road","","Glen Maye","IM5 3BA","Patrick"
"","","Fy Yerrey","Glen Rushen Road","","Glen Maye","IM5 3BA","Patrick"
"","","Land To Rear Of Falls Cottage","Glen Rushen Road","","Glen Maye","IM5 3BA","Patrick"
"","","Plot Of Land At Rear Of Former Methodist Church Hall","Glen Rushen Road","","Glen Maye","IM5 3BA","Patrick"
"","","Rosecroft","Glen Rushen Road","","Glen Maye","IM5 3BA","Patrick"
"","","Sunridge","Glen Rushen Road","","Glen Maye","IM5 3BA","Patrick"
"","","Wren Cottage","Glen Rushen Road","","Glen Maye","IM5 3BA","Patrick"
"Parcel of Land","","Adjoining Cooilingel Beg","Glen Rushen Road","Glen Maye","Patrick","","Patrick"
"","","Rosewarne","Glen Rushen Road","Glen Maye","Patrick","IM5 3BA","Patrick"
"","","Sunridge","Glen Rushen Road","Glen Maye","Patrick","IM5 3BA","Patrick"
"","","Hilton Croft","Glen Tramman","Garey Road","Lezayre","IM7 2AP","Lezayre"
"","","Thie Varrey","Glen Tramman","","Lezayre","IM7 2AR","Lezayre"
"","","West House","Glen Tramman","","Lezayre","IM7 2AR","Lezayre"
"","","Pine View","Glen View Road","","Glen Vine","IM4 4HG","Marown"
""," 11","","Glen View Road","","Onchan","IM3 4HL","Onchan"
""," 13","","Glen View Road","","Onchan","IM3 4HL","Onchan"
""," 15","","Glen View Road","","Onchan","IM3 4HL","Onchan"
""," 23","","Glen View Road","","Onchan","IM3 4HL","Onchan"
""," 3","","Glen View Road","","Onchan","IM3 4HL","Onchan"
""," 5","","Glen View Road","","Onchan","IM3 4HL","Onchan"
""," 9","","Glen View Road","","Onchan","IM3 4HL","Onchan"
""," 2","","Glen View Terrace","Glen Road","Ballaugh","IM7 5DJ","Ballaugh"
"","","Hillside","Glen View Terrace","","Port Erin","IM9 6HA","Rushen"
""," 1","The Ground Floor","Glen View Terrace","","Port Erin","IM9 6EX","Rushen"
""," 3","Burnside","Glen View Terrace","","Port Erin","IM9 6HA","Rushen"
""," 6","","Glen View Terrace","","Port Erin","IM9 6HA","Rushen"
""," 8","Ridgewell","Glen View Terrace","","Port Erin","IM9 6HA","Rushen"
"","","Cockroost","Glen Vine","","Marown","IM4 4BQ","Marown"
"","","Land Abutting 4 The Crofts","Glen Vine","","Marown","IM4 4FB","Marown"
"","","Land At Ballafreer","Glen Vine","","Marown","","Marown"
"","","Parcel Of Land Abutting 15 Glen Vine Park","Glen Vine","","Marown","IM4 4HA","Marown"
""," 1","","Glen Vine Bungalow","","Glen Vine","IM4 4BG","Marown"
""," 1","","Glen Vine Cottages","Main Road","Glen Vine","IM4 4BG","Marown"
"","","Access Road To Highfield","Glen Vine Drive","","Glen Vine","IM4 4EX","Marown"
"","","Calverley","Glen Vine Drive","","Glen Vine","IM4 4EX","Marown"
"","","Cushag","Glen Vine Drive","","Glen Vine","IM4 4EX","Marown"
"","","Greenbank","Glen Vine Drive","","Glen Vine","IM4 4EX","Marown"
"","","Plot 1 Highfield","Glen Vine Drive","","Glen Vine","IM4 4EX","Marown"
"","","Plot 4 Highfield","Glen Vine Drive","","Glen Vine","IM4 4EX","Marown"
"","","Strip Of Land","Glen Vine Drive","","Glen Vine","","Marown"
""," 1","Nyn Dhie","Glen Vine Drive","","Glen Vine","IM4 4EX","Marown"
""," 2","Woodlands","Glen Vine Drive","","Glen Vine","IM4 4EX","Marown"
""," 14","","Glen Vine Park","","Glen Vine","IM4 4HA","Marown"
""," 15","","Glen Vine Park","","Glen Vine","IM4 4HA","Marown"
""," 19","","Glen Vine Park","","Glen Vine","IM4 4EZ","Marown"
""," 2","Elgin","Glen Vine Park","","Glen Vine","IM4 4EY","Marown"
""," 26","","Glen Vine Park","","Glen Vine","IM4 4EY","Marown"
""," 28","","Glen Vine Park","","Glen Vine","IM4 4EY","Marown"
""," 3","Highfield","Glen Vine Park","","Glen Vine","IM4 4EY","Marown"
""," 9","Sunningdale","Glen Vine Park","","Glen Vine","IM4 4EZ","Marown"
""," 10","","Glen Vine Park","Glen Vine","Marown","IM4 4EZ","Marown"
""," 12","","Glen Vine Park","","Marown","IM4 4EZ","Marown"
""," 20","","Glen Vine Park","Glen Vine","Marown","IM4 4EZ","Marown"
""," 24","","Glen Vine Park","Glen Vine","Marown","IM4 4EZ","Marown"
""," 25","","Glen Vine Park","Glen Vine","Marown","IM4 4EY","Marown"
""," 26","","Glen Vine Park","Glen Vine","Marown","IM4 4EY","Marown"
""," 3","","Glen Vine Park","Glen Vine","Marown","IM4 4EY","Marown"
""," 31","Electrical Substation Plot","Glen Vine Park","Glen Vine","Marown","IM4 4EY","Marown"
"Field number 320830","","","Glen Vine Road","","Glen Vine","","Marown"
"","","Fairways","Glen Vine Road","","Glen Vine","IM4 4HF","Marown"
"","","Land Formerly Toi-Et-Moi","Glen Vine Road","","Glen Vine","IM4 4HD","Marown"
"","","Oakland","Glen Vine Road","","Glen Vine","IM4 4HF","Marown"
"","","Stoneycroft","Glen Vine Road","","Glen Vine","IM4 4HF","Marown"
"","","Thie Peddyr","Glen Vine Road","","Glen Vine","IM4 4HG","Marown"
"","","Toi-Et-Moi","Glen Vine Road","","Glen Vine","IM4 4HD","Marown"
"","","Wooky Hollow","Glen Vine Road","","Glen Vine","IM4 4HF","Marown"
"","","3 Ballamurphie Park","Glen Vine Road","Glen Vine","Marown","IM4 4HY","Marown"
"","","Corvonagh Beg","Glen Vine Road","","Marown","IM4 4HF","Marown"
"","","Greeba View","Glen Vine Road","Glen Vine","Marown","IM4 4HG","Marown"
"","","Pine View","Glen Vine Road","","Marown","IM4 4HG","Marown"
"","","Toi-Et-Moi","Glen Vine Road","","Marown","IM4 4HD","Marown"
"","","Glen Wyllin Lodge","Glen Wyllin","","Kirk Michael","IM6 1AN","Michael"
"","","Magnolia Cottage","Glen Wyllin","","Kirk Michael","IM6 1AW","Michael"
"","","Mill House","Glen Wyllin","","Kirk Michael","IM6 1AW","Michael"
"","","New Mill","Glen Wyllin","","Kirk Michael","IM6 1AW","Michael"
"","","The Fuchsias","Glen Wyllin","","Kirk Michael","IM6 1AW","Michael"
"","","Wyllin Cot","Glen Wyllin","","Kirk Michael","IM6 1AW","Michael"
"","","Ashfield House","Glencrutchery Road","","Douglas","IM2 6AN","Onchan"
"","","Bridgemount","Glencrutchery Road","","Douglas","IM2 6AJ","Onchan"
"Flat 4","","Charles Court","Glencrutchery Road","","Douglas","IM2 5HT","Onchan"
"","","Hillberry Lodge","Glencrutchery Road","","Douglas","IM2 6DD","Onchan"
""," 1","The Mount","Glencrutchery Road","","Douglas","IM2 5HS","Onchan"
"LAND TO THE REAR OF "," 1","The Mount","Glencrutchery Road","","Douglas","IM2 5HS","Onchan"
""," 10","Broadhurst","Glencrutchery Road","","Douglas","IM2 6BB","Onchan"
""," 11","","Glencrutchery Road","","Douglas","IM2 6BB","Onchan"
""," 12","Slaidburn","Glencrutchery Road","","Douglas","IM2 6BB","Onchan"
""," 4","Alverstone","Glencrutchery Road","","Douglas","IM2 5HS","Onchan"
""," 8","","Glencrutchery Road","","Douglas","IM2 6BD","Onchan"
""," 9","Conister","Glencrutchery Road","","Douglas","IM2 6BB","Onchan"
"","","Glenduff House","Glenduff","","Sulby","IM7 2AT","Lezayre"
"","","Kerrowdhoo Farm","Gleneedle","","Foxdale","IM4 3BG","Patrick"
"","","Kerrocottle Farm","Gleneedle","","Lower Foxdale","IM4 3BF","Patrick"
"","","Gleneedle Service Reservoir","Gleneedle","","Nr Lower Foxdale","","Patrick"
"","","Glen Dhoo","Gleneedle","Lower Foxdale","Patrick","IM4 3BG","Patrick"
"","","Land At Serien","Gleneedle","","Patrick","","Patrick"
"","","Part Of Access Roadway To Gleneedle Service Reservoir","Gleneedle","Nr Lower Foxdale","Patrick","","Patrick"
"Serien","","Glendhoo Cottage","Gleneedle","","St Johns","IM4 3BG","Patrick"
