Decisions issued under delegated authority 1/1/13 - 31/12/13,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Erection of advertising signage,84 Bucks Road Douglas Isle Of Man IM1 3AG,PER,24-May-13,13/00470/D
Roofing works to existing conservatory,Abbeystead 84 Birch Hill Crescent Onchan Isle Of Man IM3 3DA,PER,11-Jul-13,13/00664/B
Erection of a replacement agricultural building,East Lhergydhoo Farm Lhergydhoo Peel Isle Of Man IM5 2AE ,PER,08-Aug-13,13/00746/B
Installation of replacement windows to front elevation,21 Alexander Drive Douglas Isle Of Man IM2 3QQ,PER,31-Jul-13,13/00747/B
Alterations and extension to dwelling (comprising amendments to PA 13/00399/B),Beaconsfield Cottage Richmond Hill Douglas Isle Of Man IM4 1JG,PER,01-Aug-13,13/00749/B
Erection of a two storey extension to side elevation,Broadhurst Glencrutchery Road Douglas Isle Of Man IM2 6BB,PER,15-Aug-13,13/00750/B
Erection of a first floor extension over existing porch,18 Ellan Park Ramsey Isle Of Man IM8 3NS,PER,23-Sep-13,13/90949/B
Removal of rear extension roof and creation of roof terrace and erection of ground floor extension,3 Woodburn Square Douglas Isle Of Man IM1 4DB ,REF,11-Sep-13,13/90952/B
Installation of replacement conservatory roof with light weight roof tiles,36 Ballamaddrell Port Erin Isle Of Man IM9 6BA,PER,10-Oct-13,13/91061/B
Approval in principle for erection of a replacement dwelling,Field 430242 Corlea Farm  Corlea Road Ballasalla Isle Of Man  ,REF,01-Nov-13,13/91094/A
Registered Building consent for the conversion and erection of an extension to dwelling to provide three apartments with associated covered on site parking (In association with PA 13/00231/GB) Registered Building Nos. 210,11 Harris Terrace Douglas Isle Of Man IM1 3LZ,PER,02-May-13,13/00232/CON
Erection of a flat roofed canopy over front entrance door,Victoria House Lucerne Court Douglas Isle Of Man IM2 6BJ ,PER,05-Apr-13,13/00233/B
Erection of an extension to dwelling to replace existing conservatory,Two Acres Ballagarey Road Glen Vine Isle Of Man IM4 4EB,PER,05-Apr-13,13/00234/B
Re-siting existing field access,Field 230253 Orrisdale Road Orrisdale Kirk Michael Isle Of Man  ,PER,15-Apr-13,13/00287/B
Window alterations and installation of replacement windows to front elevation,19 Michael Street Peel Isle Of Man  ,PER,23-May-13,13/00397/B
"Alterations, erection of extension and installation of replacement windows and doors to dwelling",Beaconsfield Cottage Richmond Hill Douglas Isle Of Man IM4 1JG,PER,13-May-13,13/00399/B
Erection of a second floor extension and installation of a dormer window to dwelling,Easedale Four Roads Port St. Mary Isle Of Man IM9 5LQ,PER,16-May-13,13/00403/B
Alterations and erection of an extension to dwelling,Elgin Glen Maye Park Glen Maye Isle Of Man IM5 3AX ,PER,16-May-13,13/00404/B
Erection of a replacement dwelling and garage (Amendment to PA 12/01081/B),Sarasota Ramsey Road Laxey Isle Of Man IM4 7PR,PER,16-May-13,13/00405/B
Installation of replacement windows to front and rear elevations,9 Westminster Terrace Douglas Isle Of Man IM1 4ED,PER,14-May-13,13/00378/B
Installation of replacement windows,1 Hatfield Grove Douglas Isle Of Man IM1 3HE,PER,23-May-13,13/00406/B
Alterations to dwelling and conversion of garage to ancillary living accommodation,Seafield Laxey Road Baldrine Isle Of Man IM4 6HA,PER,03-Jun-13,13/00418/B
Change of use from staff accommodation to a residential dwelling,The Barn Speke Farm  Richmond Hill Douglas Isle Of Man IM4 1JG,PER,28-May-13,13/00486/C
Erection of a two storey extension to side elevation,Rocklands Bay View Road Port St. Mary Isle Of Man IM9 5AQ,PER,08-Aug-13,13/00793/B
Removal of a chimney stack,4 Furman Road Onchan Isle Of Man IM3 1BS,PER,15-Aug-13,13/00798/B
Roofing works to existing conservatory,23 Wentworth Close Onchan Isle Of Man IM3 2JT,PER,15-Aug-13,13/00818/B
Roof works to existing conservatory,11 Glen Park Drive Douglas Isle Of Man IM2 6HN,PER,15-Aug-13,13/00819/B
Installation of a replacement shop front,The Tanning & Nail Studio 2 Nelson Street Douglas Isle Of Man IM1 2AH,PER,16-Aug-13,13/00820/B
"Alterations, erection of a detached garage and driveway and vehicular access amendments",Holly House & Greeba Somerset Road Douglas Isle Of Man IM2 5AE,PER,03-Sep-13,13/00912/B
Re-construction of scoured river bed (amendment to PA 13/00479/B),Laxey River Weir Opposite New Fire Station Mines Road Laxey Isle Of Man  ,PER,03-Sep-13,13/00914/B
"Replacement of timber cladding with render, window alterations including removal of bay window, replacement of rear pitched roof with flat roof and installation of sun pipes",Laburnum Cottage Main Road Kirk Michael Isle Of Man IM6 1EA,PER,13-Sep-13,13/90934/B
Installation of replacement windows,The Rock Bridge Street Castletown Isle Of Man IM9 1AX,PER,30-Sep-13,13/91004/B
"Alterations to dwelling, erection of replacement garage, widen driveway and access onto highway",19 Ballamillaghyn Estate Mount Rule Douglas Isle Of Man IM4 4HX,PER,14-Nov-13,13/91139/B
Installation of replacement windows to front elevation,73 Woodbourne Road Douglas Isle Of Man IM2 3AQ,PER,14-Nov-13,13/91140/B
Installation of replacement windows to second floor front elevation,4-6 Atholl Place Peel Isle Of Man IM5 1HE,PER,14-Nov-13,13/91141/B
Installation of two garage doors,Storage Garage Gooseneck Lane Off Ballakermeen Road Douglas Isle Of Man,PER,20-Dec-13,13/91343/B
Erection of an extension to dwelling,The Evergreens South Cape Laxey Isle Of Man IM4 7JB ,PER,20-Dec-13,13/91344/B
Erection of an extension to dwelling,7 Lhag Mooar Port Erin Isle Of Man IM9 6LY,PER,20-Dec-13,13/91345/B
Erection of an extension to dwelling,19 Imman Stronnag Reayrt Ny Cronk Peel Isle Of Man IM5 1GP ,PER,24-Apr-13,13/00315/B
Alterations and installation of a dormer window to rear elevation of dwelling,7 Queen Street Castletown Isle Of Man IM9 1PB,PER,24-Apr-13,13/00316/B
Erection of an extension to rear of dwelling,8 Whitebridge Road Onchan Isle Of Man IM3 4HS,PER,10-Jul-13,13/00574/B
Installation of replacement windows to front and rear elevations,46 Loch Promenade Douglas Isle Of Man IM1 2LZ,PER,16-Aug-13,13/00766/B
Roofing works to existing conservatory,96 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JF,PER,15-Aug-13,13/00803/B
Roofing works to existing conservatory,5 Fuchsia Lane Reayrt Ny Keylley Peel Isle Of Man IM5 1GJ ,PER,15-Aug-13,13/00804/B
"Alterations, creation of hard standing and erection of a barn to provide grain storage",Field 234064 Ballacregga Peel Road Kirk Michael Isle Of Man  ,PER,28-Aug-13,13/00805/B
"Removal of a chimney stack, creation of two roof lanterns, window alterations and erection of an extension to dwelling",The Moorings 20 Second Avenue Douglas Isle Of Man IM2 6AW,PER,25-Oct-13,13/90975/B
Conversion of existing oil room to form a bin area,Springfield Court Elderly Persons Complex Onchan Isle Of Man IM3 4LH ,PER,19-Sep-13,13/90976/B
Conversion of former bakehouse to provide additional living accommodation,The Old Bakery 21 High Street Port St. Mary Isle Of Man IM9 5DP,PER,27-Sep-13,13/90979/B
Alterations and extension to dwelling (comprising amendments to PA 12/00888/B retrospective),109 King Edward Road Onchan Isle Of Man IM3 2AS ,PER,13-Sep-13,13/90947/B
Alterations and erection of an extension to replace existing conservatory,Cronk Darragh Quines Hill Port Soderick Isle Of Man IM4 1AY,PER,03-Jun-13,13/00488/B
"Creation of footpath, erection of foot bridge and car park wall and amendments to PA 10/01820/B",Salmon Centre  Mines Road Laxey Isle Of Man IM4 7NL ,PER,14-May-13,13/00246/B
Alterations to dwelling,15 Devonshire Road Douglas Isle Of Man IM2 3QY,PER,10-Apr-13,13/00249/B
Installation of replacement windows to front and rear elevations and replacement front door,Millers Cottage Charles Street Close Peel Isle Of Man IM5 1DT ,PER,16-May-13,13/00414/B
Installation of replacement windows and doors to rear elevation,11 Berkeley Street Douglas Isle Of Man IM2 3QB,PER,24-May-13,13/00457/B
Installation of satellite dish (retrospective),7 Malvern Road Douglas Isle Of Man IM2 5AS,PER,14-Jun-13,13/00518/B
Door and window alterations,Athol House Athol Street Port St. Mary Isle Of Man IM9 5DS ,PER,21-Jun-13,13/00520/B
Installation of two replacement windows of reduced size,55 Waterloo Road Ramsey Isle Of Man IM8 1DZ,PER,14-Aug-13,13/00659/B
"Alterations and conversion of garage into an office, archive room and waiting area",Glen Royd Lezayre Road Ramsey Isle Of Man IM8 2TE,PER,22-Jul-13,13/00661/B
"Refurbishment works to existing construction craft block including the erection of a covered shelter, a canopy and an oil tank enclosure and various window and door alterations to building",Iom College Of Further Education Homefield Road Douglas Isle Of Man IM2 6RB,PER,11-Jul-13,13/00662/B
Rebuilding of perimeter wall (retrospective),National Tyre Service Ltd Car Park  Derby Square Douglas Isle Of Man IM1 3LP,PER,29-Nov-13,13/00780/B
Replace existing roof tiles,Mar Rowee Bradda East Port Erin Isle Of Man IM9 6QB ,PER,08-Aug-13,13/00781/B
Erection of a replacement conservatory to dwelling,15 Mountain View Peel Isle Of Man IM5 1QF,PER,16-Aug-13,13/00816/B
Application for a Certificate of Lawful Development for the installation of replacement windows to front elevation,12 Gib Lane Peel Isle Of Man IM5 1PD,CLAWA,15-Nov-13,13/01178/LAW
Erection of decking (retrospective),30 Auldyn Walk Ramsey Isle Of Man IM8 2TN ,PER,26-Nov-13,13/91180/B
"Erection of extension to rear elevation, including external stairs and roof light (Amendment to PA 13/00728/B)",11 Poplar Terrace Douglas Isle Of Man IM2 4AR,PER,15-Nov-13,13/91182/B
Alterations and erection of a two storey extension to dwelling,Lower Ballachrink Farm St Marks Road Ballasalla Isle Of Man IM9 3AG ,PER,23-Apr-13,13/00331/B
Erection of signage,32  North Quay Douglas Isle Of Man IM1 4LB ,PER,19-Aug-13,13/00332/D
Installation of replacement windows and doors,Digby Cottage Saint Marys Road Port Erin Isle Of Man IM9 6JG,PER,16-May-13,13/00422/B
Installation of replacement conservatory roof,The Deans 10 Albany Road Peel Isle Of Man IM5 1JR,PER,16-May-13,13/00425/B
Installation of replacement conservatory roof,2 Shirragh Way Port Erin Isle Of Man IM9 6FA,PER,23-May-13,13/00426/B
Installation of flue to side elevation,8 Windermere Avenue Onchan Isle Of Man IM3 2DT,PER,23-May-13,13/00475/B
Installation of additional window to side elevation,10 Fairway Drive Port Erin Isle Of Man IM9 6LR,PER,11-Sep-13,13/90948/B
Installation of glazed doors and guard rail to replace existing first floor window,Unit 14 Tromode Estate Carrs Lane Tromode Douglas Isle Of Man IM4 4RB ,PER,03-Oct-13,13/91008/B
Approval in principle for erection of a dwelling,Land Adjacent To Elmwood Somerset Road Douglas Isle Of Man  ,PER,03-Jul-13,13/00655/A
Erection of extension to dwelling,9 Belgravia Road Onchan Isle Of Man IM3 1HN,PER,19-Jul-13,13/00657/B
Erection of a dwelling with associated parking and integral garage,Parcel Of Land At Mull House Baymount Port Erin Isle Of Man  ,PER,11-Jul-13,13/00679/B
Erection of advertising signage,62 Duke Street Douglas Isle Of Man IM1 2AR,PER,24-Jul-13,13/00699/D
Certificate of Lawful Use for the running of a Livery Stable Yard business,Ballaclucas Farm Top Road Crosby Isle Of Man IM4 4HN,CLAWA,11-Oct-13,13/00701/LAW
Installation of a garage door to replace existing garage door and pedestrian doorway,18 Woodburn Square Douglas Isle Of Man IM1 4DE ,PER,11-Sep-13,13/90950/B
Installation of a replacement window to front elevation bay window,Flat 1   6 Richmond Grove Douglas Isle Of Man IM1 3JZ,PER,11-Sep-13,13/90953/B
Installation of replacement window to side elevation,Hairdressers  4 New Road Laxey Isle Of Man IM4 7BE,PER,15-Oct-13,13/90954/B
Alterations and extension to dwelling,Cummal Coar 5 Croit E Cubbon Colby Isle Of Man IM9 4NN,PER,18-Nov-13,13/91223/B
Erection of a replacement conservatory to dwelling,Sufre House 8 Banks Howe Onchan Isle Of Man IM3 2ET,PER,04-Oct-13,13/91011/B
Installation of a replacement shop front,22 Castle Street Douglas Isle Of Man IM1 2EZ,REF,04-Nov-13,13/91013/B
Erection of conservatory,Broughjairg Farm Station Road Ballaugh Isle Of Man IM7 5AL,PER,22-Nov-13,13/91225/B
Extension to driveway and widening of vehicular access,27 Woodlea Villas Main Road Crosby Isle Of Man IM4 4BJ ,PER,18-Mar-13,13/00092/B
Removal of a chimney stack,28 Farrant Street Douglas Isle Of Man IM2 3HG,PER,13-Mar-13,13/00094/B
Erection of a covered trolley shelter,Tesco Store Lake Road Douglas Isle Of Man IM1 5AF,PER,07-Mar-13,13/00095/B
Erection of a porch to front elevation of dwelling,Lothlorien Quarry Road Laxey Isle Of Man IM4 7DU ,PER,15-Jul-13,13/00622/B
"Works to site including widening existing entrance on Marathon Road, wall alterations, replacement and refurbishment of perimeter railings, installation of a safety barrier and resurfacing works to pathways",Hutchinson Square Gardens Marathon Road Douglas Isle Of Man IM2 4HP,PER,01-Aug-13,13/00700/B
Window alteration and erection of an extension to dwelling,Flambards West Baldwin Road Mount Rule Isle Of Man IM4 4HS ,PER,13-Sep-13,13/90941/B
Window alterations and erection of a link between garage and dwelling,Kerromoar Cottage Kerrowmoar Sulby Isle Of Man IM7 2AX ,PER,19-Sep-13,13/90942/B
Alterations to existing vehicular access including erection of walls with pedestrian access and automated gate,Thistle House Quarterbridge Road Douglas Isle Of Man IM2 3RQ ,PER,16-Sep-13,13/90944/B
Erection of timber decking in rear yard (retrospective),14 Patrick Street Peel Isle Of Man IM5 1BR,PER,11-Jun-13,13/00513/B
Alterations and extension to dwelling,Step A Side  13 Third Avenue Douglas Isle Of Man IM2 6AL,PER,09-Jul-13,13/00630/B
Conversion of existing first floor office to additional living accommodation for upper floor apartment,4 Market Place East Ramsey Isle Of Man IM8 1JY,PER,04-Dec-13,13/91155/B
Installation of a replacement conservatory roof,The Slatch The Castleward Green Douglas Isle Of Man IM2 5PS,PER,11-Apr-13,13/00284/B
"Erection of a sun room extension to rear elevation ",Plot B18 Residential Development Under Construction  Reayrt Ny Cronk Peel Isle Of Man IM5 1GP ,PER,22-May-13,13/00388/B
"Alterations, demolition of chimney stacks, roofing works and creation of a new window",Lyndley North Shore Road Ramsey Isle Of Man IM8 3AN,PER,25-Jun-13,13/00394/B
"Alterations, erection of extension and conversion of ground floor from commercial to Class 3 Food and Drink use and upper and part ground floor to provide a self contained staff apartment (amended plans received which show the parking area shared by the r",Old Isle Of Man Bank Bowring Road Ramsey Isle Of Man IM8 2LQ ,PER,30-Sep-13,13/00395/B
Erection of a replacement club house,Pulrose United A.F.C Club House Springfield Road Douglas Isle Of Man IM2 1AX ,PER,12-Jun-13,13/00510/B
Change of use of ground floor retail shop and internal alterations to create a new dental surgery,3 West Quay & 1 Old Post Office Lane  Ramsey Isle Of Man IM8 1DW,PER,01-Oct-13,13/90973/C
Alterations and extensions to dwelling,8 Larivane Close Andreas Isle Of Man IM7 4HD,PER,05-Sep-13,13/00916/B
Approval in principle for erection of a dwelling to replace existing barn,Building & Part Of Field No 424871 Across Road From Arbory School Main Road Ballabeg Castletown Isle Of Man  ,REF,11-Sep-13,13/00917/A
Replace existing conservatory roof with lightweight roof tiles,Dalby Spook Westhill Village Jurby Road Ramsey Isle Of Man IM8 3TD ,PER,13-Sep-13,13/90929/B
Registered Building Consent for demolition of toilet block and re-instate boundary wall,Toilet Block    St Peter's Church Yard  Church Road Onchan Isle Of Man  ,PER,19-Sep-13,13/00974/F
"Alterations, erection of a two storey extension, creation of parking and vehicular access amendments (In association with 13/00987/CON)",Laxey Workingmens Institute 17 New Road Laxey Isle Of Man IM4 7BD,PER,30-Oct-13,13/90986/GB
"Registered Building consent for alterations, erection of a two storey extension, creation of parking and vehicular access amendments (In association with 13/90986/GB) Registered Building Nos. 227",Laxey Workingmens Institute 17 New Road Laxey Isle Of Man IM4 7BD,PER,30-Oct-13,13/00987/CON
Replace two windows with French doors to front elevation of dwelling,Rycroft Somerset Road Douglas Isle Of Man IM2 5AF,PER,27-Sep-13,13/90990/B
Erection of an extension to provide garage and utility room to dwelling,Riverbank House Glen Road Laxey Isle Of Man IM4 7AN ,PER,15-Oct-13,13/90991/B
Removal of a chimney stack,9 Furman Road Onchan Isle Of Man IM3 1BS,PER,21-Nov-13,13/91199/B
Erection of a garage extension to dwelling (Retrospective),1 Swales Terrace Vernon Road Ramsey Isle Of Man IM8 2HA,PER,29-Nov-13,13/91200/B
Roofing works to conservatory,8 Ramsey Road Peel Isle Of Man IM5 1UB,PER,14-Jun-13,13/00562/B
"Alterations, erection of extensions and installation of a flue to dwelling",91 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JF,PER,14-Jun-13,13/00563/B
Construction of roof terrace to replace existing garage roof,Low Wood Strang Road Union Mills Isle Of Man IM4 4NP,PER,17-Apr-13,13/00297/B
Erection of a garage /store extension to side elevation,41 Auldyn Walk Ramsey Isle Of Man IM8 2TN ,PER,16-Apr-13,13/00299/B
Erection of illuminated and non illuminated signage,88 - 90 Strand Street Douglas Isle Of Man IM1 2EP ,PER,15-Nov-13,13/01196/D
Erection of a two storey extension to side elevation,The Coach House Westminster Drive Douglas Isle Of Man IM1 4EH ,PER,04-Dec-13,13/91239/B
Installation of replacement windows to front elevation,20 Bridge Street Peel Isle Of Man IM5 1NF,PER,15-Mar-13,13/00154/B
"Application for a certificate of lawfulness for the use of building for light industrial, workshop, storage, motor repair and business usage",Nissan Hut Opposite Riverside Cottage  Glen Roy Laxey Isle Of Man  ,CLAWR,06-Dec-13,13/00313/LAW
Erection of a dormer bungalow with integral garage,Land Adjacent To 53 Barrule Park Ramsey Isle Of Man  ,REF,13-Sep-13,13/00330/B
Erection of a replacement dwelling (comprising amendments to PA 11/00528/B),36 King Edward Park Onchan Isle Of Man IM3 2AB,PER,14-Jun-13,13/00567/B
Installation of replacement boundary fence and gates,Ballasalla School Douglas Road Ballasalla Isle Of Man IM9 2LA,PER,08-Jul-13,13/00570/B
Erection of advertising signage,Unit 8 Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QR,PER,21-Jun-13,13/00572/D
Application to make lawful the occupation of the dwelling by a non-agricultural worker,Principal Dwelling  Ballacregga Farm  Marine Drive  Port Soderick  Santon  Isle Of Man IM4 1HN ,CLAWA,03-Sep-13,13/00581/LAW
Installation of a steel flue,Old School House Bernahara Road Andreas Isle Of Man IM7 3HH ,PER,10-Apr-13,13/00237/B
Erection of an agricultural storage building and formation of hard-standing area,Part Of Field 624105 Rhowin Road Maughold Isle Of Man  ,PER,02-Dec-13,13/00913/B
Erection of a detached garage and landscaping works,Glebe Cottage St Marks Ballasalla Isle Of Man IM9 3AH ,REF,13-Sep-13,13/00915/B
Replace existing glazed conservatory roof with lightweight slates/tiles,22 Ballaquane Park Peel Isle Of Man IM5 1PU,PER,19-Sep-13,13/90959/B
Installation of replacement windows and doors to front elevation,36A Market Street Peel Isle Of Man IM5 1AE,PER,04-Nov-13,13/91111/B
Installation of replacement windows to front elevation,115 Woodbourne Road Douglas Isle Of Man IM2 3AU,PER,14-Nov-13,13/91150/B
Erection of a single storey extension to rear elevation,3 Heywood Way Onchan Isle Of Man IM3 3AB,PER,21-Nov-13,13/91151/B
Alterations and erection of an extension to dwelling,9 Romney Wynd Ramsey Isle Of Man IM8 3NJ,PER,19-Dec-13,13/91298/B
Erection of window vinyl signage to rear elevation of building,Royal Bank House 2 Victoria Street Douglas Isle Of Man IM1 2LN,PER,16-Dec-13,13/01299/D
Removal of a chimney stack,Ardan 13 Meadow Court Ballasalla Isle Of Man IM9 2DW,PER,27-Jun-13,13/00582/B
Alterations and erection of a two storey extension to dwelling,1 Strathallan Park Onchan Isle Of Man IM3 1NP,PER,14-Nov-13,13/00583/B
Alterations and erection of extension to dwelling,2 Ashlar Drive Union Mills Isle Of Man IM4 4LJ,PER,21-Jun-13,13/00584/B
Erection of an agricultural building,Ballachristory Farm Jurby East Road Jurby Isle Of Man IM7 3HD ,PER,20-Jun-13,13/00228/B
Erection of two detached dwellings and a terrace of four dwellings (revised dwelling types to those approved under PA 11/00990/B),"Plots A1 To A6 Of Approved Residential Development Part Of Field 134275 To The East Of Gardeners Lane And North Of Former Railway Line, Poylldooey Ramsey Isle Of Man  ",PER,09-Apr-13,13/00229/B
