Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,12/01435/GB,Rebuilding of two existing chimney stacks (In association with 12/01436/CON),15-Feb-13,Head of Development Management,The Red House Victoria Road Douglas Isle Of Man IM2 6AQ
Permitted,12/01436/CON,Registered Building consent to rebuild two existing chimney stacks (In association with 12/01435/GB) Registered Building Nos. 160,15-Feb-13,Head of Development Management,The Red House Victoria Road Douglas Isle Of Man IM2 6AQ
Permitted,12/01440/B,Erection of a single detached dwelling with garage in lieu of a pair of semi-detached dwellings approved under PA 02/02106/B,07-Feb-13,Director Delegation,Plots 13 & 14 Mcleods Field Peel Isle Of Man  
Permitted,12/01446/B,Alterations and erection of extensions to dwelling,13-Aug-13,Planning Committee,2 Glen Bank Glen Maye Isle Of Man IM5 3BQ
Refused,12/01453/B,Installation of a window and a velux window to side and rear elevations of dwelling,27-Feb-13,Planning Committee,Plot 9 Poachers Pocket  Bridge Road Ballasalla Isle Of Man IM9 3DD 
Refused,12/01454/B,Installation of a window and a velux window to side and rear elevations of dwelling,27-Feb-13,Planning Committee,Plot 10 Poachers Pocket  Bridge Road Ballasalla Isle Of Man IM9 3DD 
Permitted,12/01458/B,Erection of three mobile phone communications antenna (on previously approved floodlighting masts) and associated electrical equipment cabinet,29-Jan-13,Planning Committee,Vagabonds RUFC Playing Fields Ballafletcher Road Strang Douglas Isle Of Man  
Permitted,12/01462/C,Change of use of garage to a therapy facility,04-Jan-13,Planning Committee,36 Ballatessan Meadow Peel Isle Of Man IM5 1DW 
Permitted,12/01468/B,Erection of a double mobile classroom,04-Jan-13,Head of Development Management,Manor Park School Pulrose Road Douglas Isle Of Man IM2 1AT
Permitted,12/01483/B,"Alterations, erection of extension, creation of a driveway and extension of residential curtilage",12-Feb-13,Planning Committee,Seawinds 4 Ballajora Crossing Ballajora Ramsey Isle Of Man IM7 1BA 
Application Withdrawn,12/01484/B,"Creation of hardstanding to accommodate forestry machinery, vehicles and equipment",24-Jun-13,Withdrawn,Field 314880 Adjacent To Saw Mills Site Foxdale Road St Johns Isle Of Man IM4 3AS 
Permitted,12/01487/B,Conversion of ground and first floor into four apartments,03-Jan-13,Planning Committee,14 Empress Drive Douglas Isle Of Man IM2 4LQ 
Certificate of Lawfulness DECLINED,12/01490/LAW,Application for a certificate of lawfulness for the use of rear plot of land as residential garden,04-Feb-13,Head of Development Management,Field 313105  Adjacent To Alpines Curragh Road St Johns Isle Of Man IM4 3LN
Refused,12/01493/B,Erection of raised decking (retrospective),03-Jan-13,Planning Committee,Sunny Mount The Level Colby Isle Of Man IM9 4AF
Permitted,12/01494/D,Erection of road-side advertising signage,16-Jan-13,Senior Planning Officer - South (SC),Plot 2 Ballanard Woods Development  Ballanard Road Douglas Isle Of Man  
Permitted,12/01500/B,Conversion of existing office accommodation into three residential flats,04-Jan-13,Planning Committee,33 Hope Street Douglas Isle Of Man IM1 1AR
Permitted,12/01507/B,Conversion of former guest house into five apartments,03-Jan-13,Planning Committee,102 Bucks Road Douglas Isle Of Man IM1 3AQ
Permitted,12/01511/B,"Alterations, including additional windows and erection of extension to dwelling (part retrospective)",28-Feb-13,Senior Planning Officer - North (CB),Ballafodda Cottage Ronague Road Ronague Castletown Isle Of Man IM9 4HG 
Permitted,12/01513/B,Alterations and extension to dwelling,02-Jan-13,Planning Committee,45 Sea Cliff Road Onchan Isle Of Man IM3 2JD
Refused,12/01515/A,Approval in principle to convert existing barn into a dwelling including an extension to the building,27-Feb-13,Planning Committee,Barn  Field 321757 Braaid Road Braaid Isle Of Man  
Permitted,12/01519/B,"Erection of three detached dwellings and six apartments on site of twelve previously approved apartments, with associated access, parking and drainage arrangements (amendments to scheme approved under PA 10/00544/B)",20-Feb-13,Director Delegation,"Approved Plots C49 To C60 Residential Development Under Construction  Field 311825, Parts Of Fields 315097, 311826, 311827 & 314444 Between Derby Road / Poortown Road & QE2 High School And East Of Reayrt Ny Keylley Peel Isle Of Man  "
Permitted,12/01520/B,Erection of a dwelling with attached garage,04-Jan-13,Head of Development Management,Plot 18 Poachers Pocket  Bridge Road Ballasalla Isle Of Man  
Refused,12/01526/B,Demolition of existing property and erection of a replacement property to provide four apartments with associated parking,31-Jan-13,Senior Planning Officer - South (SC),145 & 147 Royal Avenue Onchan Isle Of Man IM3 1LG 
Permitted,12/01527/GB,Remedial works to roof and proscenium wall (in association with 12/01528/CON),04-Jan-13,Head of Development Management,Gaiety Theatre Harris Promenade Douglas Isle Of Man IM1 2HH
Permitted,12/01528/CON,Registered Building Consent for remedial works to roof and proscenium wall (RB no 200 in association with 12/01527/GB),04-Jan-13,Head of Development Management,Gaiety Theatre Harris Promenade Douglas Isle Of Man IM1 2HH
Permitted,12/01529/GB,Conversion of existing garages and store and erection of first floor extension to provide three self contained tourist units (In association with 12/01530/CON),26-Mar-13,Planning Committee,Milntown Mansion Glen Auldyn Ramsey Isle Of Man IM7 2AB 
Permitted,12/01530/CON,Registered Building consent for the conversion of existing garages and store and erection of first floor extension to provide three self contained tourist units (In association with 12/01529/GB) Registered Building Nos. 168,26-Mar-13,Planning Committee,Milntown Mansion Glen Auldyn Ramsey Isle Of Man IM7 2AB 
Permitted,12/01531/B,Installation of dormer window and additional roof lights,04-Jan-13,Head of Development Management,Dreem Ard Ballanard Road Douglas Isle Of Man IM2 5PR
Permitted,12/01532/B,Installation of glazing to replace existing roller shutter door and change of use of premises from industrial/storage building to a fitness gym,02-Jan-13,Planning Committee,Unit 8 Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QR
Refused,12/01534/B,Maintenance and re-surfacing existing farm track (Retrospective),07-Mar-13,Head of Development Management,Mount Karrin Farm Sulby Glen Sulby Isle Of Man IM7 2BB
Permitted,12/01536/B,Installation of replacement bridge,25-Jan-13,Senior Planning Officer - North (CB),Bridge Upstream Of West Baldwin Reservoir West Baldwin Isle Of Man  
