Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,13/00509/B,Erection of a farm worker's dwelling,29-Oct-13,Planning Committee,Land At Ballawhane Farm Leodest Road Andreas Isle Of Man  
Permitted,13/00510/B,Erection of a replacement club house,12-Jun-13,Senior Planning Officer - South (SC),Pulrose United A.F.C Club House Springfield Road Douglas Isle Of Man IM2 1AX 
Permitted,13/00511/B,Extension and alterations to dwelling (including amendments to previous applications),13-Nov-13,Planning Committee,Ashleigh Ballacraine St Johns Isle Of Man IM4 3LS 
Refused,13/00512/B,Conversion of Pooildhooie Beg to a residential dwelling and erection of two detached garages,20-Jun-13,Senior Planning Officer - South (SC),Pooildhooie Cottage / Pooildhooie Beg Bayr Ny Killane Ballaugh Isle Of Man IM7 5BD 
Permitted,13/00513/B,Erection of timber decking in rear yard (retrospective),11-Jun-13,Senior Planning Officer - North (CB),14 Patrick Street Peel Isle Of Man IM5 1BR
Permitted,13/00514/B,Erection of a building to provide pack house and floristry centre (comprising amendments to PA 09/01600B),15-Jul-13,Planning Committee,Robinson's  Ballapaddag Cooil Road Douglas Isle Of Man IM4 2AF 
Permitted,13/00515/B,"Alterations and erection of extension to dwelling, erection of garden shed and alterations to existing driveway",01-Jul-13,Head of Development Management,18 Farrants Park Castletown Isle Of Man IM9 1NF
Refused,13/00516/GB,Installation of replacement windows to first and second floors (In association with 13/00517/CON),01-Nov-13,Head of Development Management,18A - 20 Victoria Street Douglas Isle Of Man IM1 2LE 
Refused,13/00517/CON,Registered Building consent for the installation of replacement windows to first and second floors (In association with 13/00516/GB) Registered Building Nos. 223,30-Oct-13,Head of Development Management,18A - 20 Victoria Street Douglas Isle Of Man IM1 2LE 
Permitted,13/00518/B,Installation of satellite dish (retrospective),14-Jun-13,Senior Planning Officer - North (CB),7 Malvern Road Douglas Isle Of Man IM2 5AS
Permitted,13/00519/REM,Reserved Matters application for the reinstatement of a dwelling,18-Jun-13,Planning Committee,Ballalona Ronague Road Ronague Castletown Isle Of Man  
Permitted,13/00520/B,Door and window alterations,21-Jun-13,Senior Planning Officer - North (CB),Athol House Athol Street Port St. Mary Isle Of Man IM9 5DS 
Permitted,13/00521/B,Installation of replacement conservatory roof,05-Jun-13,Senior Planning Officer - North (CB),Briarcliffe House Bretney Road Jurby Isle Of Man IM7 3EU
Permitted,13/00522/B,Installation of replacement conservatory roof,05-Jun-13,Senior Planning Officer - North (CB),3 Ballakermeen Close Douglas Isle Of Man IM1 4HU
Permitted,13/00523/B,Creation of two gable windows to dwelling and widen existing driveway and vehicular access,04-Jun-13,Senior Planning Officer - North (CB),Anchor House Queens Road Port St. Mary Isle Of Man IM9 5ES
Permitted,13/00524/B,Erection of an extension to dwelling,14-Jun-13,Senior Planning Officer - North (CB),Homestead Spaldrick Avenue Port Erin Isle Of Man IM9 6PE
Permitted,13/00525/B,"Redevelopment of existing coach park including creation of five coach parking bays and drop off area, formation of paved passenger waiting and alighting area with associated seating and lighting",16-Sep-13,Department Application,Coach Park Mines Road Laxey Isle Of Man  
Permitted,13/00526/B,"Erection of a storage shed (amendments to PA 12/00161/B, retrospective)",21-Jun-13,Planning Committee,St Johns Arboretum Main Road St Johns Isle Of Man  
Permitted,13/00527/C,Additional use of residential dwelling as tourist accommodation,11-Jun-13,Senior Planning Officer - North (CB),6 Church Lane Peel Isle Of Man IM5 1AW
Permitted,13/00528/B,Alterations to existing front wall to create additional on site parking,21-Jun-13,Senior Planning Officer - North (CB),Old Chapel  Main Road Union Mills Isle Of Man IM4 4AD
Refused,13/00529/B,Installation of replacement doors,04-Jun-13,Senior Planning Officer - North (CB),1 Peveril Road Peel Isle Of Man IM5 1NU
Permitted,13/00530/B,Alterations and erection of extensions to dwelling,13-Jun-13,Head of Development Management,32 Cronk Y Berry Douglas Isle Of Man IM2 6ES
Permitted,13/00531/A,Approval in principle for conversion of existing building into permanent and or tourist apartments and provision of associated off road parking facilities,21-Jun-13,Senior Planning Officer - South (SC),Groudle Glen Hotel King Edward Road Onchan Isle Of Man IM3 2JY 
Permitted,13/00534/B,Demolition of existing property and erection of a building of four apartments with associated parking,12-Jun-13,Senior Planning Officer - South (SC),145  & 147 Royal Avenue Onchan Isle Of Man IM3 1LG 
Permitted,13/00535/C,Change of use to i) use of site as a single residential unit or ii) use of ground floor within 41 Malew street as shop/workshop and the remainder of the building as a single residential unit,14-Jun-13,Senior Planning Officer - North (CB),41 - 43 Malew Street Castletown Isle Of Man IM9 1AE
Permitted,13/00536/B,Replace existing patio doors with a window to front elevation of dwelling,14-Jun-13,Senior Planning Officer - North (CB),40 Claughbane Drive Ramsey Isle Of Man IM8 2BG
Permitted,13/00537/D,Erection of six illuminated display boards,20-Jun-13,Senior Planning Officer - North (CB),Private Jet Terminal Ronaldsway Airport Ballasalla Isle Of Man  
Permitted,13/00538/B,Installation of five replacement windows to south elevation,21-Jun-13,Senior Planning Officer - North (CB),Wheel View Wheel Hill Laxey Isle Of Man IM4 7NL
Permitted,13/00539/B,"Alterations to dwelling including installation of replacement windows, removal of a dormer window, installation of roof lights and doorway amendments",11-Jun-13,Senior Planning Officer - North (CB),Lismore 9 Primrose Terrace Bay View Road Port St. Mary Isle Of Man IM9 5AP
Permitted,13/00540/B,Installation of replacement conservatory roof,20-Jun-13,Senior Planning Officer - North (CB),Oxenbourne Beach Road Port St. Mary Isle Of Man IM9 5ND
Permitted,13/00541/B,Alterations and extensions to dwelling,14-Jun-13,Senior Planning Officer - North (CB),17 Cooil Breryck Ramsey Isle Of Man IM8 3HL 
Permitted,13/00542/B,Conversion of redundant tank room to storeroom,18-Sep-13,Department Application,Isle Of Man College Of Further Education Homefield Road Douglas Isle Of Man IM2 6RB
Permitted,13/00543/B,Erection of replacement balcony panels,03-Jul-13,Senior Planning Officer - South (SC),Brewery Wharf Apartments Brewery Wharf Castletown Isle Of Man IM9 1ES 
Permitted,13/00544/B,Alterations and extensions to dwelling,20-Jun-13,Senior Planning Officer - North (CB),14 Windermere Avenue Onchan Isle Of Man IM3 2DT 
Permitted,13/00545/B,Amendments to elevation details on approved retail development (09/01864/B retrospective),15-Jul-13,Senior Planning Officer - South (SC),55 - 57 Duke Street Douglas Isle Of Man IM1 2AU 
Refused,13/00546/A,Approval in principle for the creation of a residential curtilage and erection of a replacement dwelling,26-Nov-13,Planning Committee,Lanjaghan  View Abbeylands Isle Of Man IM4 5EQ 
Refused,13/00547/B,"Conversion of existing farm buildings to provide twelve tourist accommodation units with ancillary support and leisure facilities, and erection of a replacement farm complex comprising of agricultural buildings and a farm workers dwelling with detached ga",26-Nov-13,Planning Committee,Lanjaghan Farm Lanjaghan Road Abbeylands Isle Of Man IM4 5EQ 
Permitted,13/00548/B,Removal of chimney stack,14-Jun-13,Senior Planning Officer - North (CB),Shee Dy Vea Darragh Port Erin Isle Of Man IM9 6JB 
Permitted,13/00549/B,"Alterations, extension and conversion of barn to a dwelling with additional use as tourist accommodation",20-Jun-13,Senior Planning Officer - North (CB),Shenvalla Farm Glen Maye Road Patrick Village Isle Of Man IM5 3AP
Permitted,13/00550/B,Erection of a sun room extension to replace existing conservatory,30-Aug-13,Senior Planning Officer - South (SC),Sleepy Hollow The Cronk Ballaugh Isle Of Man IM7 5AY 
Permitted,13/00551/B,"Alterations, erection of extension to Mart Building, creation of external holding pens and extension of existing site curtilage (partial retrospective)",15-Aug-13,Planning Committee,Central Mart & Royal Manx Agricultural Society Site Knockaloe Farm Patrick Village Isle Of Man   
Permitted,13/00552/B,Creation of a compound for the recycling and storage of construction and demolition waste and extension of approved stone recycling area,17-Sep-13,Planning Committee,Part Of Fields 522518 And 522551 Middle Park Braddan   Isle Of Man  
Permitted,13/00553/B,Alterations and division of existing dwelling to provide three residential units and vehicular access alterations,25-Jul-13,Senior Planning Officer - South (SC),Ballawattleworth House Tynwald Road Peel Isle Of Man IM5 1JP
Permitted,13/00554/B,Construction of retaining wall to abate collapsed river embankment,20-Jun-13,Senior Planning Officer - North (CB),Brooklyn Crossag Road Ballasalla Isle Of Man IM9 3EE
Permitted,13/00555/B,Erection of twelve industrial and / or warehousing & distribution units,14-Jun-13,Senior Planning Officer - North (CB),Field 521895 And Site Of Former Cooil Smithy Adjacent To Cooil Road Braddan Isle Of Man  
Permitted,13/00556/B,Re-development of demolished former take-away outlet to provide a coffee/sandwich shop with food for consumption on and off the premises,20-Jun-13,Senior Planning Officer - North (CB),66 Strand Street Douglas Isle Of Man IM1 2EW
Permitted,13/00557/B,Erection of a sun lounge extension to replace existing conservatory,11-Jun-13,Senior Planning Officer - North (CB),8 Cleiy Rhennee Kirk Michael Isle Of Man IM6 1HT
Permitted,13/00558/B,Alteration to residential curtilage to encompass additional drainage and retaining works (retrospective),04-Jul-13,Planning Committee,Ballaclucas House Top Road Crosby Isle Of Man IM4 4HN 
Permitted,13/00559/B,Erection of an extension to existing barn,25-Jun-13,Senior Planning Officer - South (SC),Ballacojeen Farm Ballagawne Road Baldrine Isle Of Man IM4 6EN
Permitted,13/00560/D,Erection of replacement shop front signage,14-Jun-13,Senior Planning Officer - North (CB),Shop 11 Clinches Court Douglas Isle Of Man IM1 4LH
Permitted,13/00561/B,Conversion of barn to a dwelling,05-Nov-13,Head of Development Management,Barn To The South Of The White House Main Road Kirk Michael Isle Of Man  
Permitted,13/00562/B,Roofing works to conservatory,14-Jun-13,Senior Planning Officer - North (CB),8 Ramsey Road Peel Isle Of Man IM5 1UB
Permitted,13/00563/B,"Alterations, erection of extensions and installation of a flue to dwelling",14-Jun-13,Senior Planning Officer - North (CB),91 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JF
Permitted,13/00564/B,"Erection of a replacement garage, driveway alteration and creation of terrace",24-Jul-13,Senior Planning Officer - South (SC),Caaghyr Bradda East Port Erin Isle Of Man IM9 6QB 
Permitted,13/00565/D,Erection of pavement barriers for outside seating area,18-Sep-13,Department Application,26 Victoria Street Douglas Isle Of Man IM1 2LE
Permitted,13/00566/B, Conversion of existing farm outbuildings to provide two tourist accommodation units with associated off street parking,13-Sep-13,Senior Planning Officer - South (SC),Surby Farm Surby Road Ballafesson Port Erin Isle Of Man IM9 6TE
Permitted,13/00567/B,Erection of a replacement dwelling (comprising amendments to PA 11/00528/B),14-Jun-13,Senior Planning Officer - South (SC),36 King Edward Park Onchan Isle Of Man IM3 2AB
Permitted,13/00568/B,Erection of replacement curtain walling and clock to front entrance,20-Jun-13,Senior Planning Officer - North (CB),Murrays Road School Laureston Avenue Douglas Isle Of Man IM2 3BR
Permitted,13/00569/B,"Installation of replacement boundary fencing and gates, erection of playground fence / gates and construction of new concrete steps (amended plans received which show minor extension to red line to the north; alteration to height of fence next to no 10 Da",15-Nov-13,Senior Planning Officer - South (SC),Anagh Coar School Darragh Passage Douglas Isle Of Man IM2 2BX
Permitted,13/00570/B,Installation of replacement boundary fence and gates,08-Jul-13,Senior Planning Officer - South (SC),Ballasalla School Douglas Road Ballasalla Isle Of Man IM9 2LA
Permitted,13/00571/B,Roofing works and creation of first floor french doors and balcony to dwelling,22-Jul-13,Senior Planning Officer - South (SC),Bridge Cottage Glen Road Ballaugh Isle Of Man IM7 5JG
Permitted,13/00572/D,Erection of advertising signage,21-Jun-13,Senior Planning Officer - North (CB),Unit 8 Spring Valley Industrial Estate Douglas Isle Of Man IM2 2QR
Permitted,13/00573/B,"Demolition of redundant shop unit, refurbishment of toilets, modification of roof and creation of glazed canopy to existing station building together with reconstruction of the entrance from Station Road and paving of existing Goods Yard to create a publi",17-Sep-13,Department Application,Port Erin Railway Station Station Road Port Erin Isle Of Man IM9 6AD
Permitted,13/00574/B,Erection of an extension to rear of dwelling,10-Jul-13,Director Delegation,8 Whitebridge Road Onchan Isle Of Man IM3 4HS
Permitted,13/00576/B,Erection of a replacement dwelling,04-Jul-13,Planning Committee,Lower Ballawyllan East Baldwin Isle Of Man IM4 5ER 
Permitted,13/00577/B,Conversion of hotel to provide six residential apartments,04-Jul-13,Planning Committee,Kenilworth Hotel 5 Castlemona Terrace Central Promenade Douglas Isle Of Man IM2 4LU 
Permitted,13/00578/B,Erection of a two storey extension to side elevation,28-Oct-13,Head of Development Management,126 Ballaquark Douglas Isle Of Man IM2 2EU
Permitted,13/00579/B,Erection of a first floor extension over garage and a single storey extension to rear elevation,15-Aug-13,Senior Planning Officer - South (SC),6 Cherry Walk Douglas Isle Of Man IM2 5NR
Permitted,13/00580/B,Removal of a chimney stack (retrospective),03-Jul-13,Planning Committee,27 Birch Hill Crescent Onchan Isle Of Man IM3 3HE
Certificate of Lawfulness AGREED,13/00581/LAW,Application to make lawful the occupation of the dwelling by a non-agricultural worker,03-Sep-13,Head of Development Management,Principal Dwelling  Ballacregga Farm  Marine Drive  Port Soderick  Santon  Isle Of Man IM4 1HN 
Permitted,13/00582/B,Removal of a chimney stack,27-Jun-13,Senior Planning Officer - South (SC),Ardan 13 Meadow Court Ballasalla Isle Of Man IM9 2DW
Permitted,13/00583/B,Alterations and erection of a two storey extension to dwelling,14-Nov-13,Senior Planning Officer - South (SC),1 Strathallan Park Onchan Isle Of Man IM3 1NP
Permitted,13/00584/B,Alterations and erection of extension to dwelling,21-Jun-13,Senior Planning Officer - North (CB),2 Ashlar Drive Union Mills Isle Of Man IM4 4LJ
Permitted,13/00585/B,Erection of stables,20-Jun-13,Senior Planning Officer - North (CB),Field No 424951 Ronague Road Ballabeg Castletown Isle Of Man  
Permitted,13/00586/B,Re-construction of weir,20-Jun-13,Senior Planning Officer - North (CB),Laxey Woollen Mills Weir Adjacent To Glen Road Laxey Isle Of Man  
Permitted,13/00587/B,"Erection of a replacement sun room with terrace over, to rear elevation",20-Jun-13,Senior Planning Officer - North (CB),Bay Cliff High Street Port St. Mary Isle Of Man IM9 5DW
Permitted,13/00588/B,Installation of replacement front door,21-Jun-13,Senior Planning Officer - North (CB),22 Circular Road Peel Isle Of Man IM5 1ND
Permitted,13/00589/B,Alterations and extensions to dwelling (comprising amendments to PA 12/00823/B),01-Jul-13,Head of Development Management,Teen Kai Clifton Road Port St. Mary Isle Of Man IM9 5EL
Permitted,13/00590/B,Erection of a timber shed,20-Jun-13,Senior Planning Officer - North (CB),Field 410338 Cronk Y Dhooney Ballakilpheric Colby Isle Of Man  
Permitted,13/00591/C,Change of use from temporary amenity building to permanent,18-Sep-13,Department Application,Peel Inner Harbour  Mill Road Peel Isle Of Man IM5 1TB 
Permitted,13/00592/B,"Amendments to approved alterations and extensions to dwelling (PA's 10/00179B and 11/00799B, retrospective) including the erection of pitched roof to the existing garage and Tholtan/Barn and re-roofing and repair of the existing 2 storey  barn",07-Oct-13,Senior Planning Officer - South (SC),Ballacurn Keil House Ballacurn Road Ballaugh Isle Of Man IM7 5EU
Refused,13/00593/A,"Approval in principle for erection of two dwellings with access off Larch Hill Grove, to replace existing building",21-Aug-13,Senior Planning Officer - South (SC),Cliff Cottage Carrs Lane Tromode Douglas Isle Of Man IM4 4QB 
Permitted,13/00594/B,"Amendments to approved alterations and extensions to dwelling (PA 11/01105/B, retrospective)",20-Jun-13,Senior Planning Officer - South (SC),Coach House Old Castletown Road Crogga Santon Isle Of Man IM4 1EB
Permitted,13/00595/B,"Alterations including replacement of existing utility room window with a window and door, erection of a garden pergola and shed and enclosure of porch to front elevation (partial retrospective)",27-Jun-13,Senior Planning Officer - South (SC),7 Oakdale Governors Hill Douglas Isle Of Man IM2 7BT
Permitted,13/00597/D,Installation of a blue plaque (retrospective),27-Jun-13,Senior Planning Officer - South (SC),50 St Catherines Drive Douglas Isle Of Man IM1 4BF
Permitted,13/00598/B,Alterations and erection of extension to dwelling,01-Aug-13,Senior Planning Officer - South (SC),1 Horseshoe Avenue Douglas Isle Of Man IM2 1QT
Permitted,13/00599/B,Installation of replacement conservatory roof,27-Jun-13,Senior Planning Officer - South (SC),38 Seafield Crescent Onchan Isle Of Man IM3 3BZ
Refused,13/00601/C,Change of use of land from agricultural to residential gardens,07-Nov-13,Department Application,Part Field 121410 & Rear Of 1 - 4 Georges Close & Larivane Villa Leodest Road Andreas Isle Of Man  
Refused,13/00602/B,Installation of replacement windows to dwelling,09-Jul-13,Senior Planning Officer - South (SC),The Rock Bridge Street Castletown Isle Of Man IM9 1AX
Permitted,13/00603/B,"Alterations, demolition and rebuilding of redundant garage to form a storage area and erection of a first floor extension to provide a home office / studio",23-Jul-13,Head of Development Management,The Workshop 2 Park Road Port St. Mary Isle Of Man IM9 5QH 
Permitted,13/00604/B,Creation of vehicular access and off road parking in front garden,01-Aug-13,Senior Planning Officer - South (SC),16 Ballakermeen Avenue Douglas Isle Of Man IM1 4HW
Permitted,13/00605/B,Installation of replacement windows and balcony door,27-Jun-13,Senior Planning Officer - South (SC),Apartment 3 Queens Mansions Palace Terrace Queens Promenade Douglas Isle Of Man IM2 4ND 
Permitted,13/00606/B,Erection of an extension to dwelling,03-Jul-13,Senior Planning Officer - South (SC),5 Cherry Walk Douglas Isle Of Man IM2 5NS
Permitted,13/00607/B,Installation of roof light to front elevation and window alteration and dormer with Juliet balconies to rear elevation,27-Jun-13,Senior Planning Officer - South (SC),116 Woodbourne Road Douglas Isle Of Man IM2 3BA
Permitted,13/00608/B,Alterations to vehicular access,27-Jun-13,Senior Planning Officer - South (SC),1 Ballakneale Avenue Port Erin Isle Of Man IM9 6ND
Permitted,13/00610/B,Repositioning of an existing window to dwelling,27-Jun-13,Senior Planning Officer - South (SC),Tintern 4 Auburn Place Lezayre Road Ramsey Isle Of Man IM8 2LP 
Permitted,13/00612/A,Approval in principle for erection of a dwelling,15-Jul-13,Senior Planning Officer - South (SC),Garden Of 1 King Orry Close Glen Vine Isle Of Man IM4 4EN
Permitted,13/00613/B,Erection of a greenhouse and associated landscaping,15-Jul-13,Senior Planning Officer - South (SC),Lorne House Douglas Street Castletown Isle Of Man IM9 1AZ 
Permitted,13/00614/B,Erection of a dwelling with associated landscaping and drainage,11-Jul-13,Director Delegation,Plot 1 Field 432503 Phildraw Road Ballasalla Isle Of Man  
Permitted,13/00615/B,Erection of a dwelling with associated landscaping and drainage,11-Jul-13,Director Delegation,Plot 2 Field 432503 Phildraw Road Ballasalla Isle Of Man  
Permitted,13/00616/B,"Erection of timber shed, and installation of replacement entrance gate and posts (increase in the boundary height removed from the description as it is not considered development) (retrospective)",22-Jul-13,Senior Planning Officer - South (SC),Field 224051 Bollyn Road Ballaugh Isle Of Man  
Permitted,13/00617/B,Alterations and erection of a second floor extension to dwelling (comprising amendments to PA 12/01413/B),03-Jul-13,Senior Planning Officer - South (SC),Oirr-Ushtey The Promenade Laxey Isle Of Man IM4 7DD
Permitted,13/00618/B,Installation of replacement windows (retrospective),10-Jul-13,Senior Planning Officer - South (SC),Flat 2   7 Belmont Terrace Douglas Isle Of Man IM1 4NJ
Refused,13/00619/B,Alterations and erection of an extension to dwelling,13-Sep-13,Senior Planning Officer - South (SC),133 Royal Avenue Onchan Isle Of Man IM3 1LD
Permitted,13/00620/B,Erection of a conservatory to dwelling,11-Jul-13,Senior Planning Officer - South (SC),Ballacottier House Slegaby Ride Onchan Isle Of Man IM4 5BW 
Refused,13/00621/B,Erection of a dwelling (comprising amendments to PA 11/00674/REM)(revised drawing to show all the proposed elevations and floor plans),28-Aug-13,Senior Planning Officer - South (SC),Land To Rear Of St Catherines Drive And Off Belmont Hill Douglas Isle Of Man  
Permitted,13/00622/B,Erection of a porch to front elevation of dwelling,15-Jul-13,Senior Planning Officer - South (SC),Lothlorien Quarry Road Laxey Isle Of Man IM4 7DU 
Refused,13/00623/B,Installation of flat roof dormer to west elevation,09-Jul-13,Senior Planning Officer - South (SC),Maynrys 16 Mountain View Peel Isle Of Man IM5 1QE
Permitted,13/00624/B,Render and pebbledash entire exterior of property,15-Jul-13,Senior Planning Officer - South (SC),20 St Catherines Drive Douglas Isle Of Man IM1 4BQ
Permitted,13/00625/B,Alterations and erection of extension to dwelling,09-Jul-13,Senior Planning Officer - South (SC),Newton Heath 35 Upper Dukes Road Douglas Isle Of Man IM2 4AT 
Permitted,13/00626/B,Alterations to outbuilding (comprising amendment to PA 12/00842/B),10-Jul-13,Head of Development Management,Greystones Barnell Lane Patrick Village Isle Of Man IM5 3AN
Permitted,13/00627/B,Installation of replacement conservatory roof,10-Jul-13,Senior Planning Officer - South (SC),Ballacallum Cottage Lhen Bridge The Lhen Ramsey Isle Of Man IM7 3EP
Permitted,13/00628/B,Roofing works to existing conservatory,10-Jul-13,Senior Planning Officer - South (SC),31 Harbour Road Onchan Isle Of Man IM3 1BJ
Permitted,13/00629/B,Alterations and erection of extensions to dwelling and widening of existing driveway and vehicular access,22-Jul-13,Senior Planning Officer - South (SC),Fairwinds 28 Birch Hill Crescent Onchan Isle Of Man IM3 3DJ
Permitted,13/00630/B,Alterations and extension to dwelling,09-Jul-13,Senior Planning Officer - South (SC),Step A Side  13 Third Avenue Douglas Isle Of Man IM2 6AL
Permitted,13/00631/B,Roofing works to existing conservatory,03-Jul-13,Senior Planning Officer - South (SC),21 Birch Hill Crescent Onchan Isle Of Man IM3 3HE
Permitted,13/00632/B,Roofing works to existing conservatory,03-Jul-13,Senior Planning Officer - South (SC),Dundonald House Cronk Ruagh Lezayre Ramsey Isle Of Man IM7 2ED 
Permitted,13/00633/B,Conversion of vacant warehouse / workshop to provide gymnasium to ground floor and a childcare facility to first floor with associated parking provision,30-Aug-13,Senior Planning Officer - South (SC),Diamond House Demesne Road Douglas Isle Of Man IM1 3DS
Permitted,13/00635/B,"Alterations, erection of an extension and installation of a dormer window to dwelling",15-Jul-13,Senior Planning Officer - South (SC),8 Marsden Terrace Ramsey Isle Of Man IM8 3DS 
Permitted,13/00636/B,"Alterations, erection of an extension and installation of a dormer window to dwelling",15-Jul-13,Senior Planning Officer - South (SC),9 Marsden Terrace Ramsey Isle Of Man IM8 3DS
Permitted,13/00637/B,Erection of a conservatory and erection of walls and gates to existing off street car parking area to rear of dwelling,03-Jul-13,Senior Planning Officer - South (SC),Bay Crest 3 Primrose Terrace Port St. Mary Isle Of Man IM9 5AP
Refused,13/00638/B,Erection of two storey extension with balcony over and installation of dormer to rear elevation,01-Oct-13,Planning Committee,12 Marsden Terrace Ramsey Isle Of Man IM8 3DS
Permitted,13/00639/B,Installation of two roof lights and additional window,22-Jul-13,Senior Planning Officer - South (SC),Mill Stream Cottage 40 Mines Road Laxey Isle Of Man IM4 7NJ
Refused,13/00640/GB,Erection of a conservatory to rear elevation (in association with 13/00641/CON),01-Nov-13,Head of Development Management,Our Lady Star Of The Seas And St Maughold Queens Promenade Ramsey Isle Of Man IM8 1BH 
Refused,13/00641/CON,Registered Building Consent for erection of a conservatory to rear elevation (RB no 80 in association with 13/00640/GB),01-Nov-13,Head of Development Management,Our Lady Star Of The Seas And St Maughold Queens Promenade Ramsey Isle Of Man IM8 1BH 
Permitted,13/00642/B,Installation of replacement windows to front elevation,10-Jul-13,Head of Development Management,4 West View Peel Isle Of Man IM5 1BN
Permitted,13/00643/B,Demolition of ground floor kitchen extension to rear elevation,03-Jul-13,Senior Planning Officer - South (SC),Regent House  Promenade Port Erin Isle Of Man IM9 6LE
Permitted,13/00644/B,Alterations and extension to existing detached additional living accommodation/ tourist unit,10-Jul-13,Head of Development Management,Corbrek Church Road Santon Isle Of Man IM4 1EZ
Permitted,13/00645/B,Alterations and extension to dwelling,03-Sep-13,Head of Development Management,5 King Edward Park Onchan Isle Of Man IM3 2AD
Permitted,13/00646/B,Erection of dwelling to replace disused storage building,24-Jul-13,Senior Planning Officer - South (SC),Outbuilding Farmhill Farm Farmhill Lane Douglas Isle Of Man  
Permitted,13/00647/B,Installation of replacement conservatory roof,09-Jul-13,Senior Planning Officer - South (SC),56 King Orry Road Glen Vine Isle Of Man IM4 4FJ 
Permitted,13/00648/B,Installation of replacement conservatory roof,09-Jul-13,Senior Planning Officer - South (SC),25 Ballagyr Park Peel Isle Of Man IM5 1UP
Permitted,13/00649/B,Installation of replacement conservatory roof,09-Jul-13,Senior Planning Officer - South (SC),28 Bellevue Park Peel Isle Of Man IM5 1UE
Refused,13/00650/B,Extension to rear elevation and replacement roof construction to create first floor living space,10-Jul-13,Senior Planning Officer - South (SC),Dunluce 19 Groudle Road Onchan Isle Of Man IM3 2EH
Permitted,13/00651/B,Erection of extension to replace existing conservatory,19-Jul-13,Senior Planning Officer - South (SC),Ballaterson Manor Ballaterson Beg Ballaugh Isle Of Man IM7 5BN
Permitted,13/00652/B,Extensions to dwellings to form sun lounges,03-Jul-13,Senior Planning Officer - South (SC),32 And 33 Knock Rushen Scarlett Road Castletown Isle Of Man IM9 1TQ 
Permitted,13/00653/B,"Alterations and erection of a two storey extension to dwelling, extension of residential curtilage and creation of an additional driveway and vehicular access",03-Jul-13,Senior Planning Officer - South (SC),13 The Links Peel Isle Of Man IM5 1LP 
Permitted,13/00654/B,Installation of replacement windows to front elevation,03-Jul-13,Senior Planning Officer - South (SC),Balmoral Queens Promenade Ramsey Isle Of Man IM8 1BH
Permitted,13/00655/A,Approval in principle for erection of a dwelling,03-Jul-13,Senior Planning Officer - South (SC),Land Adjacent To Elmwood Somerset Road Douglas Isle Of Man  
Permitted,13/00656/B,"Alterations, erection of an extension to dwelling and erection of a utility / store room to replace existing shed",19-Jul-13,Senior Planning Officer - South (SC),13 Nursery Avenue Onchan Isle Of Man IM3 4HF
Permitted,13/00657/B,Erection of extension to dwelling,19-Jul-13,Senior Planning Officer - South (SC),9 Belgravia Road Onchan Isle Of Man IM3 1HN
Permitted,13/00658/B,Erection of an extension to replace existing conservatory to rear elevation,10-Jul-13,Director Delegation,12 Maple Avenue Ballawattleworth Estate Peel Isle Of Man IM5 1WP 
Permitted,13/00659/B,Installation of two replacement windows of reduced size,14-Aug-13,Head of Development Management,55 Waterloo Road Ramsey Isle Of Man IM8 1DZ
Permitted,13/00660/B,"Installation of dormer, roof lights and window alterations",10-Jul-13,Director Delegation,Fir Croft Douglas Road Ballasalla Isle Of Man IM9 2AN
Permitted,13/00661/B,"Alterations and conversion of garage into an office, archive room and waiting area",22-Jul-13,Senior Planning Officer - South (SC),Glen Royd Lezayre Road Ramsey Isle Of Man IM8 2TE
Permitted,13/00662/B,"Refurbishment works to existing construction craft block including the erection of a covered shelter, a canopy and an oil tank enclosure and various window and door alterations to building",11-Jul-13,Director Delegation,Iom College Of Further Education Homefield Road Douglas Isle Of Man IM2 6RB
Permitted,13/00663/B,"Refurbishment and extension of existing building to create a new engineering department and erection of a new motor vehicle workshop building with foul and surface water drainage, car park, improved vehicular access and soft landscaping with trees",11-Jul-13,Director Delegation,Former Water Treatment Plant  Greenfield  Road Douglas Isle Of Man  
Permitted,13/00664/B,Roofing works to existing conservatory,11-Jul-13,Senior Planning Officer - South (SC),Abbeystead 84 Birch Hill Crescent Onchan Isle Of Man IM3 3DA
Permitted,13/00665/B,Creation of vehicular access and parking area in front garden,10-Jul-13,Director Delegation,Trelja 35 Selborne Drive Douglas Isle Of Man IM2 3NJ
Refused,13/00666/B,Widen existing vehicular access to provide a turning space,08-Aug-13,Senior Planning Officer - South (SC),2 Cardle Cottages Corony Ramsey Isle Of Man IM7 1ES 
Permitted,13/00667/D,Erection of illuminated advertising signage,19-Jul-13,Senior Planning Officer - South (SC),58 - 60 Strand Street Douglas Isle Of Man IM1 2EL 
Permitted,13/00668/B,Cladding of ground floor external walls with grey timber,10-Jul-13,Senior Planning Officer - South (SC),58 - 60 Strand Street Douglas Isle Of Man IM1 2EL 
Permitted,13/00669/B,Roofing works to existing conservatory,10-Jul-13,Director Delegation,11 Creggans Avenue Peel Isle Of Man IM5 1DD
Permitted,13/00670/B,Alterations and extensions to dwelling (comprising amendments to PA 13/00062/B),11-Jul-13,Director Delegation,Kirby View Vicarage Road Douglas Isle Of Man IM4 2AD
