"osm_id","osm_type","osm_url","lat","lon","postal_code","source:postal_code"
"475394605","node","https://osm.org/node/475394605","54.192615","-4.440685","IM4 6AU","Isle of Man Government Planning Applications"
"25987171","way","https://osm.org/way/25987171","54.20500911094922","-4.41091036651122","IM4 6DY;IM4 6DZ","Isle of Man Government Land Registry Land Transactions"
"25987124","way","https://osm.org/way/25987124","54.20434490402276","-4.413095484138641","IM4 6ED;IM4 6EE","Isle of Man Government Land Registry Land Transactions"
"475393674","node","https://osm.org/node/475393674","54.216504","-4.424645","IM4 6EJ","Isle of Man Government Planning Applications"
"475393516","node","https://osm.org/node/475393516","54.213839","-4.421325","IM4 6EL","Isle of Man Government Land Registry Land Transactions"
"475392773","node","https://osm.org/node/475392773","54.215484","-4.418495","IM4 6EN","Isle of Man Government Planning Applications"
"475392810","node","https://osm.org/node/475392810","54.217411","-4.42123","IM4 6EN","Isle of Man Government Planning Applications"
"283500412","node","https://osm.org/node/283500412","54.226795","-4.392324","IM4 7AB",""
"475394253","node","https://osm.org/node/475394253","54.234456","-4.441528","IM4 7AP","Isle of Man Government Land Registry Land Transactions"
"71521260","way","https://osm.org/way/71521260","54.230878733480544","-4.407516345275129","IM4 7AU",""
"233925092","way","https://osm.org/way/233925092","54.2333449761656","-4.4057648986233815","IM4 7AZ",""
"1126198608","way","https://osm.org/way/1126198608","54.22634462598361","-4.392279298265445","IM4 7DA",""
"502292316","node","https://osm.org/node/502292316","54.221071","-4.40022","IM4 7HN",""
"475394769","node","https://osm.org/node/475394769","54.222722","-4.436933","IM4 7QB","Isle of Man Government Land Registry Land Transactions"
"146833081","way","https://osm.org/way/146833081","54.2239595445306","-4.696908374193569","IM5 1AL",""
"146833068","way","https://osm.org/way/146833068","54.223990070624986","-4.697340637342288","IM5 1AR",""
"25988458","way","https://osm.org/way/25988458","54.21999043058975","-4.694353098686573","IM5 1BJ","Isle of Man Government Land Registry Land Transactions"
"25987985","way","https://osm.org/way/25987985","54.21974745963937","-4.693845407984312","IM5 1BL","Isle of Man Government Land Registry Land Transactions"
"25989463","way","https://osm.org/way/25989463","54.22065866059493","-4.694687308822583","IM5 1BN","Isle of Man Government Land Registry Land Transactions"
"25987996","way","https://osm.org/way/25987996","54.21883110623888","-4.695856013925694","IM5 1BZ","Isle of Man Government Land Registry Land Transactions"
"25988088","way","https://osm.org/way/25988088","54.21804460401189","-4.696297927261157","IM5 1DB","Isle of Man Government Land Registry Land Transactions"
"165801850","way","https://osm.org/way/165801850","54.21824303277974","-4.695795257177276","IM5 1DD;IM5 1DE","Isle of Man Government Land Registry Land Transactions"
"150968336","way","https://osm.org/way/150968336","54.218246987168364","-4.694651798457669","IM5 1DF","Isle of Man Government Land Registry Land Transactions"
"25988054","way","https://osm.org/way/25988054","54.218451654262026","-4.692992563331038","IM5 1DG","Isle of Man Government Land Registry Land Transactions"
"25987489","way","https://osm.org/way/25987489","54.21746270968277","-4.694586721291985","IM5 1DU;IM5 1DW","Isle of Man Government Land Registry Land Transactions"
"25987305","way","https://osm.org/way/25987305","54.21744324029541","-4.6970389538806785","IM5 1DW","Isle of Man Government Land Registry Land Transactions"
"25987925","way","https://osm.org/way/25987925","54.217358623648806","-4.696478293583359","IM5 1DW","Isle of Man Government Land Registry Land Transactions"
"1017843030","way","https://osm.org/way/1017843030","54.216636053279444","-4.695148184696671","IM5 1DY","Isle of Man Government Land Registry Land Transactions"
