Decisions issued under delegated authority 1/1/12 - 31/12/12,,,,
Proposal,Address,Decision,Date decision issued,Planning Application No
Creation of an additional driveway and vehicular access,13 Wybourn Drive Onchan Isle Of Man IM3 4AA,PER,27-Apr-12,12/00398/B
Removal of front wall and extension of hard standing (retrospective),Verndale Glen Road Laxey Isle Of Man IM4 7AN,PER,15-Jun-12,12/00660/B
Installation of replacement windows to rear elevation,78A Malew Street Castletown Isle Of Man IM9 1LS,PER,15-Jun-12,12/00662/B
Installation of replacement windows,14 Victoria Terrace Douglas Isle Of Man IM2 4EX,PER,18-Jun-12,12/00687/B
Installation of replacement windows,The Rookery Hilary Park Douglas Isle Of Man IM2 3ED,PER,18-Jun-12,12/00689/B
Installation of replacement windows,Mount Pleasant Andreas Road Ramsey Isle Of Man IM8 3UB,PER,18-Jun-12,12/00690/B
Installation of illuminated and non illuminated signage,Tesco Store Lake Road Douglas Isle Of Man IM1 5AF,PER,16-Jul-12,12/00843/D
Erection of stables and machine store and creation of hard core access road,Field 121988 Close Vark Farm Kerroogarroo Regaby Ramsey Isle Of Man  ,PER,15-Oct-12,12/00985/B
Creation of a vehicular access and associated parking,Ballavastyn Villa Leodest Road Andreas Isle Of Man IM7 3EG,PER,30-Aug-12,12/01052/B
Alterations and erection of an extension to dwelling,53 Lhon Vane Close Onchan Isle Of Man IM3 3BA,PER,15-May-12,12/00485/B
Installation of a replacement front door and door surround,Beach House Beach Road Port St. Mary Isle Of Man IM9 5ND,PER,04-May-12,12/00487/B
Alterations and erection of extensions,Douglas Crematorium Glencrutchery Road Douglas Isle Of Man IM2 6DB,PER,17-May-12,12/00489/B
Additional use of retail shop for the sale of hot and cold take-away food,Shop 2 Marine House Strand Road Port Erin Isle Of Man IM9 6HF ,PER,16-May-12,12/00501/C
Installation of replacement windows,Fuchsia Cottage Barregarrow Kirk Michael Isle Of Man IM6 1AX ,PER,04-May-12,12/00467/B
Erection of signage,St Andrew's United Reformed Church Glencrutchery Road Douglas Isle Of Man IM2 5HY,PER,14-Jun-12,12/00620/D
Installation of replacement windows and door to front elevation,7 Raphael Road Douglas Isle Of Man IM1 3EQ,PER,05-Jun-12,12/00622/B
Alterations to entrance and reception areas to create disabled ramped access,Ballakermeen High School St Catherines Drive Douglas Isle Of Man IM1 4BE ,PER,04-Jul-12,12/00765/B
Alterations and extension to rear annex to form a dwelling with garage,6 Sydney Street Douglas Isle Of Man IM1 3JB,REF,06-Sep-12,12/00767/B
"Raising of roof and parapet over kitchen area, door alteration and creation of new steps and deliveries landing",West Building  Ramsey Grammar School Lezayre Road Ramsey Isle Of Man IM8 2RG,PER,04-Jul-12,12/00768/B
Erection of single storey extension to rear elevation installation of replacement windows and creation of hard standing and vehicular access in front garden,79 Royal Avenue Onchan Isle Of Man IM3 1LA,REF,12-Jul-12,12/00769/B
Installation of replacement windows and doors to front and rear elevation (part retrospective),6 Upper Dukes Road Douglas Isle Of Man IM2 4BA,PER,13-Aug-12,12/00770/B
Installation of replacement windows and door to front elevation,11 Taubman Street Ramsey Isle Of Man IM8 1DH,PER,30-Apr-12,12/00444/B
Erection of a workshop / store extension to existing garage,77 Lezayre Park Ramsey Isle Of Man IM8 2PU,PER,12-Jun-12,12/00445/B
Erection of signage,"Unit's 15, L, 11B & 11A Snugborough Trading Estate Union Mills Isle Of Man IM4 4LH",PER,07-Jun-12,12/00613/D
"Installation of two replacement windows, one with a lead finish roof and support brackets",20 Fairway Close Port Erin Isle Of Man IM9 6LS,PER,07-Jun-12,12/00614/B
Change of use from car restoration garage to a garden centre retail outlet,Premises And Yard Auto Centre Workshop Albert Road Ramsey Isle Of Man IM8 1JB,PER,14-Jun-12,12/00615/C
Alterations and erection of a porch,Quo Vadis Glen Chass Road Glen Chass Port St. Mary Isle Of Man IM9 5PN,PER,07-Jun-12,12/00616/B
Installation of replacement trolley shelters,Tesco Store Lake Road Douglas Isle Of Man IM1 5AF,PER,13-Jul-12,12/00798/B
Erection of a conservatory to rear elevation of dwelling,5 Orrys Close Douglas Isle Of Man IM2 7AG,PER,13-Jul-12,12/00799/B
Installation of three roof lights to rear elevation,21 St Ninians Road Douglas Isle Of Man IM2 4BE,PER,25-Jul-12,12/00874/B
Re-location of field access,Field 414178 Mount Gawne Road Colby Isle Of Man  ,REF,13-Jun-12,12/00244/B
Alterations and installation of window to replace existing garage door,Mauna Kea Ramsey Road Laxey Isle Of Man IM4 7PY,PER,31-May-12,12/00596/B
Installation of two dormers to replace existing roof lights to front elevation,49 The Promenade Castletown Isle Of Man IM9 1BQ,PER,31-May-12,12/00598/B
"Installation of new vehicle entrance gates, pedestrian gate and associated walling and footpath",Horizon House Glen Road Colby Isle Of Man IM9 4HW,PER,25-Jun-12,12/00744/B
Installation of two replacement bay windows to front elevation,24 Summerhill Road Onchan Isle Of Man IM3 1LY,PER,25-Jun-12,12/00746/B
Alterations and erection of a two storey extension to dwelling,16 Cherry Walk Douglas Isle Of Man IM2 5NN,REF,02-Jul-12,12/00747/B
Creation of vehicular access and hard standing in front garden,20 Auburn Road Onchan Isle Of Man IM3 1LW,PER,16-May-12,12/00504/B
Erection of a polytunnel,Rushen Primary School Church Road Port St. Mary Isle Of Man IM9 5LW ,PER,23-May-12,12/00508/B
Alterations and erection of extensions to dwelling,Southdown 18 Greeba Avenue Glen Vine Isle Of Man IM4 4EE ,PER,16-May-12,12/00509/B
Installation of replacement windows to front elevation,5 Selborne Road Douglas Isle Of Man IM1 4BT,PER,16-May-12,12/00510/B
Alterations and extension to dwelling and alterations to driveway and access (Amendments to PA 11/00498/B),5 Baldrine Park Baldrine Isle Of Man IM4 6DE ,PER,16-May-12,12/00511/B
"Construction of balcony, door canopy and installation of French door",Garey Ashen Stoney Road Douglas Isle Of Man IM2 5AL,PER,17-Apr-12,12/00327/B
Alterations and extensions to dwelling,Ballaman Ballnahowe Port Erin Isle Of Man IM9 6JF ,PER,31-May-12,12/00552/B
Alterations and extension to dwelling (comprising amendment to PA 09/01930/B),Close Mooar Glen Darragh Road Glen Vine Isle Of Man IM4 4BE,PER,31-May-12,12/00553/B
Erection of a replacement shed,Ivy Dene Wheel Hill Laxey Isle Of Man IM4 7NL,PER,24-May-12,12/00555/B
Approval in principle for the erection of a dwelling,Site Within Garden Of The Old Vicarage Barracks Road Port St. Mary Isle Of Man  ,REF,31-May-12,12/00584/A
Installation of replacement windows and front door,Rencell Cottage Rencell Laxey Isle Of Man IM4 7BN ,PER,16-Jul-12,12/00587/B
Re positioning of personnel door to approved store building (PA 12/00005/B),Cringle Quarry Ronague Castletown Isle Of Man IM9 4HJ ,PER,31-May-12,12/00588/B
Installation of roof lights and gable windows to dwelling,52 Clifton Drive Ramsey Isle Of Man IM8 3NG,PER,26-Jul-12,12/00877/B
Reduce height of garden fence (retrospective),13 & 14 Cronk Y Berry Douglas Isle Of Man IM2 6EY,PER,30-Jul-12,12/00878/B
Installation of street lighting to south driveway,The University Centre The Nunnery Old Castletown Road Douglas Isle Of Man IM2 1QB,PER,15-Nov-12,12/00889/B
Alterations and extensions to dwelling (Amendments to PA 12/00552/B),Ballaman Ballnahowe Port Erin Isle Of Man IM9 6JF ,PER,20-Sep-12,12/01110/B
Erection of a detached garage,Ballacain Bungalow Mount Rule Douglas Isle Of Man IM4 4HW ,PER,20-Nov-12,12/01111/B
Erection of a dwelling including garaging and landscaping,Plot 16 Ballanard Woods Ballanard Road Douglas Isle Of Man  ,PER,26-Apr-12,12/00388/B
Installation of replacement windows to rear elevation,3 Osborne Terrace Douglas Isle Of Man IM1 3LH,PER,30-Apr-12,12/00450/B
Installation of replacement windows to rear elevation,7 Osborne Terrace Douglas Isle Of Man IM2 4LB,PER,30-Apr-12,12/00451/B
Alterations and extension to dwelling and erection of detached garage (comprising amendment to PA 10/01262/B),Greenbank Tynwald Road Peel Isle Of Man IM5 1JZ,PER,19-Jun-12,12/00713/B
Erection of conservatory to rear elevation,Roselea Spaldrick Avenue Port Erin Isle Of Man IM9 6PE ,PER,01-Aug-12,12/00911/B
"Installation of new external double doors, single doors and windows",Onchan School School Road Onchan Isle Of Man IM3 4PD,PER,13-Sep-12,12/01042/B
Installation of replacement windows,8 Somerset Square Douglas Isle Of Man IM2 5AG,PER,13-Sep-12,12/01091/B
Roofing works to existing storage shed,Gob E Volley Depot Main Road Sulby Isle Of Man IM7 2HR,PER,06-Sep-12,12/01093/B
Erection of masonry wall to replace existing fencing on western boundary,Admirals Court Mooragh Promenade Ramsey Isle Of Man IM8 3AX,PER,13-Jul-12,12/00784/B
Alterations and extension to dwelling,7 Highcroft Avenue Douglas Isle Of Man IM2 5BW,PER,24-Jul-12,12/00785/B
Extension to dwelling,1 The Courtyard Tromode Road Douglas Isle Of Man IM2 5EJ ,PER,26-Jul-12,12/00886/B
Installation of window to replace existing garage doors and door to side elevation,Cair Vie Belle Vue Peel Isle Of Man IM5 1UH,PER,17-May-12,12/00518/B
Erection of a shed,Land At Thie Rosien Castletown Road Port Erin Isle Of Man  ,PER,13-Aug-12,12/00524/B
Installation of solar panels to south elevation,17 Palace Road Douglas Isle Of Man IM2 4LB ,PER,24-May-12,12/00564/B
Extension to front elevation to form sun lounge and porch,6 Ballagarey Close Glen Vine Isle Of Man IM4 4EG,PER,01-Aug-12,12/00919/B
Erection of detached garage with store/gymnasium over,Valley Crest Main Road Santon Isle Of Man IM4 1EJ,REF,15-Oct-12,12/00958/B
Erection of an agricultural building,Field 321862 Braaid Road Glen Vine Isle Of Man  ,REF,17-Jan-12,11/01454/B
Installation of first and second floor replacement windows to front elevation,51 Malew Street Castletown Isle Of Man IM9 1AE,PER,24-Aug-12,12/01018/B
Installation of replacement french doors and remove two existing windows to create additional french doors,51 Malew Street Castletown Isle Of Man IM9 1AE,PER,28-Aug-12,12/01019/B
Alterations to front elevation of dwelling,Tendele Lodge Scollag Road Hillberry Onchan Isle Of Man IM4 5BS ,PER,28-Aug-12,12/01021/B
Erection of porch to front elevation,24 Rheast Mooar Avenue Ramsey Isle Of Man IM8 3LR,PER,28-Sep-12,12/01109/B
"Alterations, erection of extensions, roofing works and installation of dormer windows to dwelling (Amendments to PA 12/00017/B)",14 Cronk Drine Union Mills Isle Of Man IM4 4NG,PER,13-Sep-12,12/01113/B
Installation of three air conditioning condensers to roof,AIB Bank   10 Finch Road Douglas Isle Of Man IM1 2PT,PER,20-Apr-12,12/00377/B
Erection of front porch and re-rendering of property,1 Rhenwyllan Close Port St. Mary Isle Of Man IM9 5NJ ,PER,20-Apr-12,12/00381/B
Extension to dwelling,67 Ballagarey Road Glen Vine Isle Of Man IM4 4EJ,PER,23-Apr-12,12/00383/B
Installation of replacement windows and rear door,1 Church Lane Peel Isle Of Man IM5 1AW,PER,19-Jun-12,12/00716/B
Installation of replacement windows,14 Empress Drive Douglas Isle Of Man IM2 4LQ,PER,19-Jun-12,12/00725/B
"Removal of access stairs, installation of patio door,  replace first floor door with window, and erection of vehicular access gate and pedestrian gate on rear boundary.",2 Somerset Road Douglas Isle Of Man IM2 5AD,PER,14-Aug-12,12/00827/B
Erection of extension to replace existing lean-to extension,7 Malew Road Castletown Isle Of Man IM9 4EA,PER,18-Jul-12,12/00828/B
Installation of replacement window,Ballacooiley Cottage Dollagh Ballaugh Isle Of Man IM7 5AS ,PER,24-Jul-12,12/00829/B
Installation of replacement windows to ground floor,1 Bank Street Castletown Isle Of Man IM9 1AT,PER,16-Jul-12,12/00838/B
Installation of dormer windows and erection of extension to dwelling,19 Bridge Street Peel Isle Of Man IM5 1NQ,PER,27-Nov-12,12/01061/B
"Erection of three detached dwellings on site of previously approved four semi detached dwellings, revision of plot boundaries and extension of access road (Amendment to PA 10/00544/B)","Plots C18, C19, C20, C21 & C22 Field 311825 And Parts Of Fields 315097, 311826, 311827 & 314444 Between Derby Road / Poortown Road & QE2 High School And East Of Reayrt Ny Keylley Peel Isle Of Man ",PER,20-Sep-12,12/01063/B
Alterations to existing car port to provide additional living accommodation,49 Slieau Curn Park Kirk Michael Isle Of Man IM6 1EL,PER,13-Sep-12,12/01094/B
Change of use from health clinic to a hair salon,1 Hawthorn Villas Mount Murray Douglas Isle Of Man IM4 1JF ,PER,17-Feb-12,12/00029/C
Erection of a conservatory to front elevation of dwelling,78 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JF,PER,25-Jun-12,12/00728/B
Erection of a utility room extension to replace existing porch,The Cedars 1 Ballakilley Close Bride Isle Of Man IM7 4AU,PER,29-Jun-12,12/00729/B
Change of use from residential to tourist accommodation,Cronk Aash Baldhoon Road Laxey Isle Of Man IM4 7NA,PER,29-Jun-12,12/00730/C
Change of use of ground floor from office space to a coffee shop,Exchange House 54 Athol Street Douglas Isle Of Man IM1 1JD,PER,13-Jul-12,12/00731/C
Installation of replacement office frontage and rendering works to front elevation,"Exchange House, 54 - 58 &  Royal Trust House, 60 - 62 Athol Street  Douglas Isle Of Man IM1 1JD",PER,13-Jul-12,12/00732/B
Alterations and erection of extensions to dwelling,Newton Heath 35 Upper Dukes Road Douglas Isle Of Man IM2 4AT ,PER,26-Jul-12,12/00892/B
Erection of a replacement dwelling,Chris's Cottage Old Laxey Hill Laxey Isle Of Man IM4 7BS,PER,31-Oct-12,12/00963/B
Variation of conditions of approved industrial starter unit (08/02311/B) to allow use as a health and fitness centre and extension to operational days and hours,Unit 13 Kirby Farm Industrial Estate Vicarage Road Douglas Isle Of Man IM4 4LA ,PER,13-Aug-12,12/00964/C
Alterations and extensions to dwelling (comprising amendments to PA 11/01453/B),24 Baldrine Park Baldrine Isle Of Man IM4 6DD,PER,14-Aug-12,12/00965/B
Erection of a replacement agricultural building,Field 234076 Peel Road Kirk Michael Isle Of Man  ,PER,20-Jun-12,12/00623/B
Alterations and extensions to dwelling (amendment to PA 12/00214/B),79 Cronk Drean Douglas Isle Of Man IM2 6AS,PER,14-Jun-12,12/00624/B
Erection of an extension to dwelling,61 Ballanawin Strang Douglas Isle Of Man IM4 4NU,PER,07-Jun-12,12/00625/B
Extension of bay window to rear elevation of dwelling,Bay View 23 Manor Park Onchan Isle Of Man IM3 2EW ,PER,19-Jun-12,12/00723/B
"Erection of garage with study room over, to replace existing store and installation of roof lights (Alterations to PA 09/00054/B)",Eastfield House Rowany Villas Port Erin Isle Of Man IM9 6LJ,PER,07-Sep-12,12/01051/B
Alterations and extension to rear elevation,73 Derby Square Douglas Isle Of Man IM1 3LR ,PER,30-Aug-12,12/01054/B
"Alterations, erection of a porch and an attached garage to replace existing",Lough-Ny-Magher Balleira Road Kirk Michael Isle Of Man IM6 1EE,PER,03-May-12,12/00448/B
Erection of front porch,Eary Ween East Baldwin Isle Of Man IM4 5ER ,PER,15-May-12,12/00480/B
Change of use from amusement arcade to retail (Use Class 1 in Schedule 4 of Permitted Development 2005),68 - 72 Strand Street Douglas Isle Of Man IM1 2EW,PER,15-May-12,12/00481/C
 Installation of a steel flue,Peel Sailing And Cruising Club  The Rocket House Crown Street Peel Isle Of Man IM5 1AJ,PER,23-May-12,12/00550/B
Erection of a detached dwelling,Land Adjacent  Westwood New Road Laxey Isle Of Man  ,PER,20-Jun-12,12/00658/B
Erection of illuminated signage,Kingswood Honda Kingswood Grove Douglas Isle Of Man IM1 3LY,PER,19-Jun-12,12/00659/D
Erection of an extension to rear elevation of dwelling,33 Ballabrooie Grove Douglas Isle Of Man IM1 4EX,PER,18-Jun-12,12/00686/B
Installation of replacement windows to front elevation,Ivy Cottage Cowells Terrace Ramsey Isle Of Man IM8 3EE ,PER,12-Mar-12,12/00067/B
Erection of illuminated signage (In association with 12/00069/CON),26 Victoria Street Douglas Isle Of Man IM1 2LE,PER,02-Mar-12,12/00068/D
Erection of a replacement agricultural building,Ballaneddin Farm Main Road Ballaugh Isle Of Man IM7 5EB,PER,10-Sep-12,12/01092/B
Installation of illuminated signage,8 - 12 Main Road Onchan Isle Of Man IM3 1AS ,PER,24-May-12,12/00414/B
Erection of a dwelling with associated ancillary living accommodation,Plot Adjacent To 25 Head Road Douglas Isle Of Man IM1 5AZ ,PER,13-Jun-12,12/00415/B
Alterations and raising roof of existing outbuilding to provide additional living accommodation,Ballacain Quarry Road Laxey Isle Of Man IM4 7DU,PER,27-Apr-12,12/00416/B
Registered Building consent for the removal of pews (Registered Building Nos. 204),St German's Cathedral Derby Road Peel Isle Of Man IM5 1HH,PER,13-Aug-12,12/00417/CON
Roofing works to conservatory,97 Ballaquark Douglas Isle Of Man IM2 2EW,PER,27-Apr-12,12/00418/B
Revisions to approved detached dwelling,Plot 7 Babington Court Ramsey Isle Of Man  ,PER,29-Jun-12,12/00420/B
Installation of a replacement window,19 Drinkwater Street Douglas Isle Of Man IM1 1AT,PER,26-Jul-12,12/00898/B
Erection of a conservatory to rear elevation of dwelling,Ballacowin Cottage Glen Road Laxey Isle Of Man IM4 7AP,PER,02-Mar-12,12/00089/B
Erection of  replacement extension and installation of flue to rear elevation,9 Manor Lane Douglas Isle Of Man IM2 2NX,PER,03-Apr-12,12/00091/B
Erection of two detached dwellings,Land Adjacent Crescent Road And The Crescent Ramsey Isle Of Man  ,PER,12-Jun-12,12/00433/B
Render front elevation of dwelling,47 Queen Street Castletown Isle Of Man IM9 1PA,PER,14-May-12,12/00435/B
Extension to garage,11 Knock Rushen Scarlett Road Castletown Isle Of Man IM9 1TQ ,PER,04-May-12,12/00491/B
"Additional use to include serviced residential apartments as well as tourism and hotel use, excluding third floor (apartments 6 and 7)",Britannia And Irwell House 3 Harris Promenade Douglas Isle Of Man IM1 2HH ,PER,10-Aug-12,12/00492/C
Erection of signage (revised application to PA 11/00249/D),37 / 39 Victoria Street Douglas Isle Of Man IM1 2LF,PER,10-Aug-12,12/00635/D
Creation of a doorway to front elevation,Railway Hotel Banks Circus Douglas Isle Of Man IM1 5AB,PER,13-Sep-12,12/01078/B
Demolition of existing and erection of a replacement dwelling,Balladoole Cottage Bride Road Ramsey Isle Of Man IM7 4AB,PER,20-Sep-12,12/01082/B
"Widening of entrance, installation of gate and erection of stone wall",Top Entrance Tholt Y Will House Tholt Y Will Sulby Isle Of Man IM7 2BF ,PER,04-Apr-12,12/00232/B
Erection of a wooden potting shed and tool store and two netting tunnels,The Secret Garden Nurseries Ballacharry Road St Marks Ballasalla Isle Of Man IM9 3AU ,PER,31-May-12,12/00554/B
"Erection of a dwelling with associated services, driveway, vehicular access and detached double garage",Plot Adjacent To 15 Farmhill Drive Douglas Isle Of Man IM2 2EQ ,PER,12-Jun-12,12/00556/B
Installation of replacement windows and door to front elevation,38 Demesne Road Douglas Isle Of Man IM1 3DY,PER,31-May-12,12/00557/B
Registered Building consent for the erection of illuminated signage (In association with 12/00068/D) Registered Building Nos. 225,26 Victoria Street Douglas Isle Of Man IM1 2LE,PER,02-Mar-12,12/00069/CON
Alterations and erection of extensions to dwelling,Newton Heath 35 Upper Dukes Road Douglas Isle Of Man IM2 4AT ,REF,14-May-12,12/00446/B
Alterations and erection of an extension to dwelling,50 Wybourn Drive Onchan Isle Of Man IM3 4AN,PER,14-May-12,12/00447/B
Conversion of existing shop and apartment into a single dwelling,67 Derby Road Douglas Isle Of Man IM2 3EA,PER,13-Jul-12,12/00779/B
Installation of replacement windows to front elevation,The Studio Beach Road Port St. Mary Isle Of Man IM9 5NE,PER,02-Jul-12,12/00780/B
Alterations and extensions to dwelling and creation of additional vehicular access,Teen Kai Clifton Road Port St. Mary Isle Of Man IM9 5EL,PER,13-Jul-12,12/00823/B
Erection of raised decking,10 Queens Drive West Ramsey Isle Of Man IM8 2JD,PER,15-May-12,12/00302/B
"Erection of a two storey extension to dwelling, demolish existing garage and enlarge existing pedestrian access to create a vehicular access",79 Anagh Coar Road Douglas Isle Of Man IM2 2AS,PER,30-Apr-12,12/00421/B
Roofing works to dwelling,Kerrowmoar Croft Kerrowmoar Sulby Isle Of Man IM7 2AX ,PER,27-Apr-12,12/00422/B
Renovation and conversion of existing barns to create two residential units for both permanent and tourist accommodation,Barns Ballawhannell Farm Lhen Road Bride Isle Of Man IM7 3EA ,PER,16-Jul-12,12/00493/B
Erection of a detached dwelling,Vacant Plot The Millrace Sulby Isle Of Man  ,PER,14-May-12,12/00349/B
Widen existing driveway and vehicular access,24 Thirlmere Avenue Onchan Isle Of Man IM3 2DP,PER,30-Apr-12,12/00436/B
"Alterations, erection of extensions, replace existing garage doors with doors and repositioning of approved stable",Lilleo Farmhouse Lower Sulby Farm Scollag Road Abbeylands Isle Of Man  ,PER,03-May-12,12/00437/B
Installation of replacement windows and door to rear elevation,Wavecrest The Promenade Laxey Isle Of Man IM4 7DF,PER,15-Jun-12,12/00654/B
Installation of replacement windows to front and rear elevations,Broome House 22 High Street Port St. Mary Isle Of Man IM9 5DW,PER,27-Apr-12,12/00429/B
Erection of a detached dwelling (Amendment to PA 09/01058/B),Land Adjoining Sutton Oak Lower Dukes Road Douglas Isle Of Man  ,PER,30-Apr-12,12/00430/B
Creation of an additional vehicular access and alterations to existing vehicular access and driveway,Chinook Ballagorry Drive Glen Mona Ramsey Isle Of Man IM7 1HE,PER,27-Apr-12,12/00431/B
"Removal of existing entrance and lobby doors and replace with glass circle slide entrance, entrance step alterations and installation of new menu boxes",Claremont Hotel 18 - 22 Loch Promenade Douglas Isle Of Man IM1 2LX ,PER,16-May-12,12/00432/B
Alterations and erection of a single storey and part two storey extension to dwelling,3 Ballamillaghyn Estate Mount Rule Douglas Isle Of Man IM4 4HU,PER,24-May-12,12/00565/B
Application for a certificate of lawfulness seeking removal of an agricultural workers occupancy from dwelling,Corlea Bungalow Corlea Road Ballasalla Isle Of Man IM9 3BA,CLAWA,13-Aug-12,12/00603/LAW
Installation of a replacement shop front,76 Strand Street Douglas Isle Of Man IM1 2EW,PER,19-Jun-12,12/00710/B
Erection of advertising signage,Motors & Mowers Station Road Kirk Michael Isle Of Man IM6 1AE,REF,12-Jul-12,12/00804/D
Erection of a detached dwelling with integral garage (amendment to PA 10/01865/B),4 Montreux Court Douglas Isle Of Man IM2 6AF ,PER,13-Jul-12,12/00806/B
Installation of replacement windows and door to front elevation,27 Falkland Drive Onchan Isle Of Man IM3 1EG,PER,30-Jul-12,12/00900/B
Erection of a single storey extension to rear elevation,32 Ballellis Ballawattleworth Estate Peel Isle Of Man IM5 1WZ ,PER,12-Mar-12,12/00158/B
Alterations and extensions to dwelling,Briardene Main Road Baldrine Isle Of Man IM4 6DU,PER,24-May-12,12/00486/B
Installation of replacement windows and new roof,The Artist 37 Nelson Street Douglas Isle Of Man IM1 2AJ,PER,04-May-12,12/00490/B
Alterations and extensions to dwelling,Ballacregga Farmhouse  Agneash Road Agneash Isle Of Man IM4 7NS ,PER,16-May-12,12/00495/B
Installation of replacement front door,5 Market Place Peel Isle Of Man IM5 1AB,PER,07-Aug-12,12/00592/B
"Alterations, erection of ground floor and dormer extensions, replace garage door with doorway and extend existing driveway",46 Ballahane Close Port Erin Isle Of Man IM9 6EH,PER,12-Apr-12,12/00304/B
Alterations and extensions to dwelling (comprising amendments to PA 10/00542/B),Ballagarraghyn Manor Main Road Greeba Isle Of Man IM4 3LH,PER,24-May-12,12/00574/B
Erection of an extension over existing detached garage,26 Kerrocruin Kirk Michael Isle Of Man IM6 1AG,PER,18-Oct-12,12/00575/B
Infill extension to courtyard to create garden room,Cronkould House Main Road Ballaugh Isle Of Man IM7 5ED,PER,05-Jun-12,12/00576/B
Erection of garage in rear yard (Retrospective),62 Woodbourne Road Douglas Isle Of Man IM1 3AW,PER,24-Jul-12,12/00593/B
Alteration to rear patio doors,30 Heywood Close Onchan Isle Of Man IM3 3AF,PER,31-May-12,12/00594/B
"Alterations, replacement and enclosure of space below raised decking to rear elevation of dwelling",Green Oak Clay Head Road Baldrine Isle Of Man IM4 6DJ ,PER,15-Jun-12,12/00670/B
Alterations and erection of an extension to dwelling,5 Hillcrest Grove Onchan Isle Of Man IM3 3HZ,PER,15-Jun-12,12/00672/B
Alterations and erection of a two storey extension to dwelling,20 Manor Drive Douglas Isle Of Man IM2 2NY,PER,15-Jun-12,12/00668/B
Erection of signage,14 Parliament Street Ramsey Isle Of Man IM8 1AP ,PER,25-Jul-12,12/00861/D
Erection of dwelling with detached garage (Amendment to PA 10/01512/B),Land At Mount Rule House Mount Rule Douglas Isle Of Man  ,PER,14-May-12,12/00438/B
Erection of signage,Shop Two Marine House Strand Road Port Erin Isle Of Man IM9 6HF ,PER,03-May-12,12/00439/D
Erection of an extension to dwelling,16 Ballachurry Close Onchan Isle Of Man IM3 4BE,PER,03-May-12,12/00440/B
Installation of replacement windows to front elevation,6 Thorny Road Douglas Isle Of Man IM2 5ED,PER,19-Jun-12,12/00711/B
Erection of a first floor extension to dwelling,11 Erin Crescent Port Erin Isle Of Man IM9 6FD ,PER,19-Jun-12,12/00712/B
Erection of a greenhouse and a garden shed,Horizon House Glen Road Colby Isle Of Man IM9 4HW,PER,01-Mar-12,12/00045/B
Widening existing driveway and vehicular access,36 Westbourne Drive Douglas Isle Of Man IM1 4BA,PER,23-Apr-12,12/00395/B
Additional use of residential dwellings as tourist accommodation,41 - 44 Knock Rushen Scarlett Road Castletown Isle Of Man IM9 1TQ ,PER,23-Apr-12,12/00394/C
Approval in principle for erection of three dwellings,"Field 432533,432534 And 432535  Phildraw Road Ballasalla Isle Of Man  ",PER,17-May-12,12/00525/A
Installation of replacement ground floor bay windows,Flat 1   155 Woodbourne Road Douglas Isle Of Man IM2 3BB,PER,17-May-12,12/00526/B
Approval in principle for erection of a dwelling,Land At Seafield The Dog Mills  Bride Road Bride Isle Of Man  ,REF,03-Feb-12,11/01717/A
Installation of replacement windows to front and rear elevations,6 Victoria Place Douglas Isle Of Man IM2 4ET,PER,01-Aug-12,12/00917/B
Conversion of existing store barn to provide ancillary living accommodation,Glenmoar Farm Corlea Road Ballasalla Isle Of Man IM9 3BA,PER,08-Aug-12,12/00922/B
Erection of an animal shed / food store,Winterbrook Cottage Ballaragh Road Laxey Isle Of Man IM4 7PG,REF,01-Aug-12,12/00925/B
Alterations and extensions to dwelling,Holly Tree House Slegaby Ride Onchan Isle Of Man IM4 5BW ,PER,14-Aug-12,12/00967/B
Installation of roller shutter door to replace existing window and door to replace existing folding doors,Baldrine Park Workshop Baldrine Park Baldrine Isle Of Man IM4 6DB ,PER,14-Aug-12,12/00968/B
Erection of a dwelling with conservatory/sun room to rear (amendment to dwelling approved under PA 10/00544/B),Plot B4 Reayrt Ny Cronk Poortown Road Peel Isle Of Man  ,PER,13-Aug-12,12/00980/B
Erection of a two storey extension with revised road and parking layout,Isle Of Man College  Homefield Road Douglas Isle Of Man IM2 6RB,PER,14-Jun-12,12/00640/B
Approval in principle for erection of dwelling and garage,Field 514231 Court Farm  Main Road Santon Isle Of Man  ,REF,15-Jun-12,12/00643/A
Amalgamation of existing cafe and shop to form a restaurant including the installation of replacement windows,12 Atholl Place And 2 Christian Street Peel Isle Of Man IM5 1NW,PER,18-Jun-12,12/00697/B
Installation of new door set and replacement windows within existing sun room,Ballaterson Beg Farmhouse Ballaterson Beg Ballaugh Isle Of Man IM7 5BN,PER,02-Jul-12,12/00751/B
Erection of a single storey extension to replace existing store and conservatory,Brookfield Ballafesson Road Port Erin Isle Of Man IM9 6BH,PER,25-Jun-12,12/00753/B
Installation of a replacement window to dormer,Craigweil Cronk Road Port St. Mary Isle Of Man IM9 5AS,PER,12-Jul-12,12/00807/B
Erection of an industrial vehicle storage / workshop unit,Industrial Plot Close Chiarn Peel Isle Of Man  ,PER,31-Jul-12,12/00809/B
Installation of window to replace existing garage door,8 Erin Lane Port Erin Isle Of Man IM9 6FE ,PER,16-Jul-12,12/00850/B
Installation of replacement windows to front elevation,12 Queens Avenue Douglas Isle Of Man IM1 4DA,PER,14-Jun-12,12/00650/B
