Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,12/00259/B,Installation of a flue to dwelling,29-Mar-12,Senior Planning Officer - South (SC),Hazlewood Ballaragh Road Laxey Isle Of Man IM4 7PH 
Permitted,12/00260/C,Creation of an outside seating area,07-Aug-12,Department Application,Macbeths 21 - 23 Victoria Street Douglas Isle Of Man IM1 2LW 
Application Withdrawn,12/00261/B,Erection of a dwelling and integral garage (Amendments to PA 11/01504/B),13-Mar-12,Withdrawn,Plot 1 Palm Winds The Vollan Ramsey Isle Of Man  
Permitted,12/00262/B,Installation of replacement windows,04-Apr-12,Senior Planning Officer - South (SC),La Petite Colline Snaefell Road Agneash Isle Of Man IM4 7NR
Permitted,12/00263/B,Erection of a conservatory to rear elevation,04-Apr-12,Senior Planning Officer - South (SC),14 Robert Stephen Close Reayrt Y Sheear Douglas Isle Of Man IM2 6PJ 
Permitted,12/00264/B,Erection of a dormer extension to dwelling,04-Apr-12,Senior Planning Officer - North (CB),Kimmeragh Ballafesson Road Port Erin Isle Of Man IM9 6TX
Permitted,12/00265/B,Installation of replacement windows and front door,24-Apr-12,Senior Planning Officer - North (CB),37 Malew Street Castletown Isle Of Man IM9 1AE
Refused,12/00266/A,Approval in principle to remove existing dwelling and outbuildings and erection of four dwellings,12-Apr-12,Senior Planning Officer - South (SC),Old Craft Centre Kionslieu Hill Foxdale Isle Of Man IM4 3HB 
Permitted,12/00267/B,Installation of three solar panels to roof of existing detached garage,11-May-12,Senior Planning Officer - North (CB),Ballatyne 29 Cronk Cullyn Colby Isle Of Man IM9 4NQ 
Permitted,12/00268/B,"Alterations, erection of first floor extension, porch and detached garage, alterations to driveway, entrance gates and formation of turning area to rear of dwelling",12-Apr-12,Senior Planning Officer - South (SC),Silverdale Silverdale Road Ballasalla Isle Of Man IM9 3DS
Permitted,12/00269/B,Conversion of and erection of extension to existing outhouse to provide tourist accommodation,17-Apr-12,Planning Committee,The Barn Dreemfroy  St Marks Ballasalla Isle Of Man IM9 3AW 
Permitted,12/00270/B,Erection of four replacement dwellings,13-Jun-12,Planning Committee,1 - 4 Level Cottages Colby Isle Of Man IM9 4AJ 
Application Withdrawn,12/00271/B,Conversion and erection of extension to existing outbuildings to form a dwelling with three car garage and workshop,05-Jun-12,Withdrawn,Shellag Farm House Bride Road Bride Isle Of Man IM7 4AR
Permitted,12/00272/D,Erection of illuminated signage (retrospective),12-Apr-12,Senior Planning Officer - South (SC),Tracey Bell Clinic Kensington Road Douglas Isle Of Man IM1 3PE 
Application Withdrawn,12/00273/B,Conversion of part of existing dwelling to provide tourist accommodation and creation of a new entrance doorway,14-Mar-12,Withdrawn,Lawson Croft The Lhen Andreas Isle Of Man IM7 3EH 
Permitted,12/00274/B,Alterations and erection of extensions to dwelling,04-Apr-12,Senior Planning Officer - South (SC),Far End 88 King Edward Road Onchan Isle Of Man IM3 2AU
Refused,12/00275/B,Erection of a building to replace existing barn for the storage of TT course equipment,11-Jul-12,Planning Committee,Land Adjacent To Ard Na Mara House Quines Hill Port Soderick Isle Of Man  
Permitted,12/00276/B,Alterations and erection of extensions to dwelling,04-Apr-12,Senior Planning Officer - North (CB),3 Thornhill Close Port Erin Isle Of Man IM9 6NF
Permitted,12/00277/B,Junction improvements,12-Jul-12,Department Application,Ballachurry Road Greeba Isle Of Man  
Permitted,12/00278/B,Installation of replacement windows to front and rear elevations,04-Apr-12,Senior Planning Officer - North (CB),Lower Ballachrink Ballamodha Straight Ballasalla Isle Of Man IM9 3ES
Permitted,12/00279/C,Additional use of dwelling as a tourist accommodation,04-Apr-12,Senior Planning Officer - North (CB),15 Brewery Wharf Castletown Isle Of Man IM9 1EU
