Decision,PA Ref,PROPOSAL,Decision issued,Determining Body,Property Address
Permitted,12/00674/B,Demolition of existing sun lounge and erection of a garden room to dwelling,15-Jun-12,Senior Planning Officer - South (SC),Mona Lodge Jurby Road Lezayre Ramsey Isle Of Man IM7 2EA 
Permitted,12/00675/B,Erection of a replacement garage,18-Jun-12,Senior Planning Officer - North (CB),Thie Vane Truggan Road Port St. Mary Isle Of Man IM9 5AX
Permitted,12/00676/B,Replacement of existing lean to roof structure with a conservatory type structure to form an enclosure and installation of steps and canopy to rear elevation,15-Jun-12,Senior Planning Officer - South (SC),14 - 16 Mount Havelock Douglas Isle Of Man IM1 2QG
Permitted,12/00677/B,Alterations and extension to dwelling (comprising amendments to PA 11/01498/B),15-Jun-12,Senior Planning Officer - South (SC),Braemar 1 Lag Birragh Drive Onchan Isle Of Man IM3 2JW
Permitted,12/00678/B,Erection of an agricultural cattle shed,11-Jul-12,Senior Planning Officer - North (CB),Balladoole Farm Balladoole Castletown Isle Of Man IM9 4PQ 
Permitted,12/00679/B,Regeneration works to highway,07-Aug-12,Department Application,Douglas Regeneration Phase One Junction Of Victoria Street And Duke Street Douglas Isle Of Man  
Permitted,12/00680/B,Alterations and erection of a two storey extension to dwelling,12-Jun-12,Planning Committee,Greywall Great Meadow Castletown Isle Of Man IM9 4EB 
Permitted,12/00681/B,Creation of 2 no windows on north west side elevation,24-Jul-12,Senior Planning Officer - North (CB),Verndale Glen Road Laxey Isle Of Man IM4 7AN
Refused,12/00682/C, Additional use of dwelling as a tea room,18-Jun-12,Head of Development Management,5 Hutchinson Square Douglas Isle Of Man IM2 4HU
Permitted,12/00683/D,Erection of replacement directional signage,15-Jun-12,Senior Planning Officer - North (CB),Spring Valley Industrial Estate Cooil Road Douglas Isle Of Man  
Application Withdrawn,12/00684/B,Erection of a dwelling and garage,27-Jul-12,Withdrawn,Plot 14  Adjacent Number 12 Clifton Drive Ramsey Isle Of Man  
Refused,12/00685/D,Erection of additional advertising signage,18-Jun-12,Senior Planning Officer - South (SC),36 Victoria Street Douglas Isle Of Man IM1 2LB
Permitted,12/00686/B,Erection of an extension to rear elevation of dwelling,18-Jun-12,Senior Planning Officer - South (SC),33 Ballabrooie Grove Douglas Isle Of Man IM1 4EX
Permitted,12/00687/B,Installation of replacement windows,18-Jun-12,Senior Planning Officer - South (SC),14 Victoria Terrace Douglas Isle Of Man IM2 4EX
Refused,12/00688/B,Erection of an animal shelter,21-Aug-12,Planning Committee,Field 434756 (Formally 660) Ballamodha Straight Ballamodha Ballasalla Isle Of Man  
Permitted,12/00689/B,Installation of replacement windows,18-Jun-12,Senior Planning Officer - South (SC),The Rookery Hilary Park Douglas Isle Of Man IM2 3ED
Permitted,12/00690/B,Installation of replacement windows,18-Jun-12,Senior Planning Officer - South (SC),Mount Pleasant Andreas Road Ramsey Isle Of Man IM8 3UB
Permitted,12/00691/B,Installation of replacement windows to front elevation,18-Jun-12,Senior Planning Officer - South (SC),19 Princes Street Douglas Isle Of Man IM1 1BB
Permitted,12/00692/B,Erection of a replacement conservatory on side elevation,20-Jun-12,Senior Planning Officer - South (SC),Bengairn Lheaney Road Ramsey Isle Of Man IM8 2JF
Refused,12/00693/B,Erection of a storage shed,07-Aug-12,Planning Committee,Ballamodha Break Pressure Tank Ballamodha Straight Ballamodha Ballasalla Isle Of Man  
Permitted,12/00694/B,Window and door alterations and alteration to roof height of side extension,03-Jul-12,Senior Planning Officer - North (CB),Torpoint Clifton Road North Port St. Mary Isle Of Man IM9 5HB
Refused,12/00695/B,Demolition of existing boiler house and garage and erection of utility and kitchen extensions,26-Jun-12,Planning Committee,16 Farrant Street Douglas Isle Of Man IM2 3HG
Permitted,12/00696/B,Erection of an extension to dwelling,20-Jun-12,Senior Planning Officer - South (SC),Suncot Andreas Road Aust Ramsey Isle Of Man IM7 4EQ
Permitted,12/00697/B,Amalgamation of existing cafe and shop to form a restaurant including the installation of replacement windows,18-Jun-12,Senior Planning Officer - North (CB),12 Atholl Place And 2 Christian Street Peel Isle Of Man IM5 1NW
Permitted,12/00698/B,Erection of a two storey extension to side elevation,18-Jun-12,Senior Planning Officer - North (CB),Seacliffe Old Castletown Road Port Soderick Isle Of Man IM4 1BB 
Permitted,12/00699/B,Alterations and conversion of outbuildings to form ancillary living accommodation,18-Jun-12,Senior Planning Officer - South (SC),Tremesare Lodge Blackberry Lane Douglas Isle Of Man IM2 4PD
Permitted,12/00700/B,Replace front balcony with pitched roof and balcony access door with a window,18-Jun-12,Senior Planning Officer - South (SC),41 Turnberry Avenue Onchan Isle Of Man IM3 2JX
Permitted,12/00701/B,Erection of a detached double garage (alterations to previously approved provision of a garage to serve dwelling),18-Jun-12,Senior Planning Officer - North (CB),Glen Wyllin Lodge Glen Wyllin Kirk Michael Isle Of Man IM6 1AN 
Permitted,12/00702/B,Alterations including roofing works and reinstatement of gable chimneys and erection of extensions to dwelling,18-Jun-12,Senior Planning Officer - North (CB),Little London Farmhouse Little London Kirk Michael Isle Of Man IM6 1BD 
Permitted,12/00703/B,Erection of a replacement dwelling,25-Jun-12,Planning Committee,Hazeldene Orrisdale Kirk Michael Isle Of Man IM6 2HL 
Permitted,12/00704/B,Erection of a detached garage,18-Jun-12,Head of Development Management,Tuck Mill Slegaby Ride Onchan Isle Of Man IM4 5BW 
Permitted,12/00705/B,Alterations and erection of an extension to replace existing conservatory,18-Jun-12,Senior Planning Officer - South (SC),10 Groudle View Onchan Isle Of Man IM3 2EY 
Permitted,12/00706/B,Conversion of boat house to gym and alterations and extensions to dwelling (amendments to PA 11/00733/B),18-Jun-12,Senior Planning Officer - North (CB),Derbyhaven House Derbyhaven Isle Of Man IM9 1TS 
Permitted,12/00707/B,Replace existing garage door with a window,25-Jun-12,Senior Planning Officer - North (CB),1 Erin Rise Port Erin Isle Of Man IM9 6FF 
Permitted,12/00708/B,Installation of replacement windows and doors to rear elevation of dwelling and installation of a replacement window and creation of new doorway to side elevation of garage,19-Jun-12,Senior Planning Officer - South (SC),Edensor Quarterbridge Road Douglas Isle Of Man IM2 3RJ
Permitted,12/00709/D,Erection of advertising signage,19-Jun-12,Senior Planning Officer - South (SC),76 Strand Street Douglas Isle Of Man IM1 2EW
Permitted,12/00710/B,Installation of a replacement shop front,19-Jun-12,Senior Planning Officer - South (SC),76 Strand Street Douglas Isle Of Man IM1 2EW
Permitted,12/00711/B,Installation of replacement windows to front elevation,19-Jun-12,Senior Planning Officer - South (SC),6 Thorny Road Douglas Isle Of Man IM2 5ED
Permitted,12/00712/B,Erection of a first floor extension to dwelling,19-Jun-12,Senior Planning Officer - North (CB),11 Erin Crescent Port Erin Isle Of Man IM9 6FD 
Permitted,12/00713/B,Alterations and extension to dwelling and erection of detached garage (comprising amendment to PA 10/01262/B),19-Jun-12,Senior Planning Officer - North (CB),Greenbank Tynwald Road Peel Isle Of Man IM5 1JZ
Permitted,12/00714/B,Erection of replacement porch,29-Jun-12,Senior Planning Officer - South (SC),5 Bemahague Avenue Onchan Isle Of Man IM3 4AW
Permitted,12/00715/B,"Demolition of rear outbuilding, creation of patio and installation of French doors",19-Jun-12,Senior Planning Officer - South (SC),21 Christian Road Douglas Isle Of Man IM1 2QH
Permitted,12/00716/B,Installation of replacement windows and rear door,19-Jun-12,Senior Planning Officer - North (CB),1 Church Lane Peel Isle Of Man IM5 1AW
Permitted,12/00717/B,Alterations and erection of an extension to dwelling,03-Jul-12,Senior Planning Officer - North (CB),19 Close Famman Port Erin Isle Of Man IM9 6BL
Permitted,12/00718/B,Replace an existing window with french doors to dwelling and installation of a replacement front boundary wall,19-Jun-12,Senior Planning Officer - North (CB),High Riggs Main Road Glen Vine Isle Of Man IM4 4AZ
Permitted,12/00719/B,"Alterations, erection of an extension and installation of solar panels to dwelling",19-Jun-12,Senior Planning Officer - North (CB),8 Close Cubbon Peel Isle Of Man IM5 1NS
Permitted,12/00720/REM,Reserved matters planning application for the erection of a dwelling and garage,19-Jun-12,Senior Planning Officer - North (CB),Land Between Cliffe Cottage And Greystones Battery Road Peel Isle Of Man  
Permitted,12/00721/B,Part demolition and alterations and extension to dwelling,31-Jul-12,Senior Planning Officer - North (CB),Castlemere -Thie Ny Marrey  31 Shore Road Peel Isle Of Man IM5 1NZ 
Permitted,12/00722/B,Alterations and erection of extensions to dwelling,19-Jun-12,Senior Planning Officer - North (CB),Glen View Lhagg Road Dalby Isle Of Man IM5 3BU
Permitted,12/00723/B,Extension of bay window to rear elevation of dwelling,19-Jun-12,Senior Planning Officer - South (SC),Bay View 23 Manor Park Onchan Isle Of Man IM3 2EW 
Permitted,12/00724/B,Extension to existing club house,19-Jun-12,Senior Planning Officer - North (CB),St Johns Football Club  Foxdale Road St Johns Isle Of Man IM4 3AR
Permitted,12/00725/B,Installation of replacement windows,19-Jun-12,Senior Planning Officer - South (SC),14 Empress Drive Douglas Isle Of Man IM2 4LQ
Permitted,12/00726/B,"Extend existing platform width, erection of a utility building and extend existing curtilage",30-Jul-12,Senior Planning Officer - South (SC),Lhen Coan Station Groudle Glen Onchan Isle Of Man IM3 2JY
Permitted,12/00727/B,Alterations and extension to dwelling and driveway amendments,25-Jun-12,Senior Planning Officer - North (CB),Vaujany Clanna Road Braaid Isle Of Man IM4 2HW 
Permitted,12/00728/B,Erection of a conservatory to front elevation of dwelling,25-Jun-12,Senior Planning Officer - North (CB),78 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JF
Permitted,12/00729/B,Erection of a utility room extension to replace existing porch,29-Jun-12,Senior Planning Officer - South (SC),The Cedars 1 Ballakilley Close Bride Isle Of Man IM7 4AU
Permitted,12/00730/C,Change of use from residential to tourist accommodation,29-Jun-12,Senior Planning Officer - South (SC),Cronk Aash Baldhoon Road Laxey Isle Of Man IM4 7NA
Permitted,12/00731/C,Change of use of ground floor from office space to a coffee shop,13-Jul-12,Senior Planning Officer - South (SC),Exchange House 54 Athol Street Douglas Isle Of Man IM1 1JD
Permitted,12/00732/B,Installation of replacement office frontage and rendering works to front elevation,13-Jul-12,Senior Planning Officer - South (SC),"Exchange House, 54 - 58 &  Royal Trust House, 60 - 62 Athol Street  Douglas Isle Of Man IM1 1JD"
Refused,12/00733/B, Conversion of former piggery to form two dwellings with associated car parking,21-Aug-12,Planning Committee,The Piggery Slegaby  Little Mill Road Onchan Isle Of Man  
Deemed withdrawn 4(3) Dev Pro Order 2005,12/00734/A,Approval in principle for the use of a barn to provide ancillary living accommodation,22-Nov-12,Withdrawn,The Barn Ballaglonney Cottage Main Road Crosby Isle Of Man IM4 2DQ 
Permitted,12/00735/B,Alterations and extension to dwelling,25-Jun-12,Senior Planning Officer - South (SC),Dreemlang Queens Drive West Ramsey Isle Of Man IM8 2JD
Refused,12/00736/B,Alterations and erection of extensions to dwelling (amendment to PA 08/02275/B),29-Jun-12,Senior Planning Officer - South (SC),Boodee Beg Bride Road Bride Isle Of Man IM7 4AF 
Certificate of Lawfulness AGREED,12/00737/LAW,Application for a certificate of lawful development for the installation of replacement windows to front and rear elevations,29-Jun-12,Head of Development Management,55 Queen Street Castletown Isle Of Man IM9 1PA
Application Withdrawn,12/00738/B,External lighting scheme to car park,04-Oct-12,Withdrawn,Shoprite Derby Road Peel Isle Of Man IM5 1HP
Permitted,12/00739/B,Erection of a detached garage,12-Sep-12,Senior Planning Officer - South (SC),Keillthustag Cottage Smeale Andreas Isle Of Man IM7 3EB 
Permitted,12/00740/B,Erection of a porch,29-Jun-12,Senior Planning Officer - South (SC),1 Croit Ny Kenzie Andreas Isle Of Man IM7 4FA 
Permitted,12/00741/B,Erection of a replacement conservatory to dwelling,29-Jun-12,Senior Planning Officer - South (SC),52 Wybourn Drive Onchan Isle Of Man IM3 4AN
Permitted,12/00742/B,Installation of solar panels to south elevation of approved barn conversion (10/01077/B),02-Jul-12,Senior Planning Officer - South (SC),Margher E Kew Hibernia Ramsey Isle Of Man IM7 1ER 
Permitted,12/00743/D,Erection of illuminated advertising signage,02-Jul-12,Senior Planning Officer - South (SC),5 Marina Road Douglas Isle Of Man IM1 2HD
Permitted,12/00744/B,"Installation of new vehicle entrance gates, pedestrian gate and associated walling and footpath",25-Jun-12,Senior Planning Officer - North (CB),Horizon House Glen Road Colby Isle Of Man IM9 4HW
Permitted,12/00745/B,Removal of door and window and installation of replacement windows to side elevation,02-Jul-12,Senior Planning Officer - South (SC),Poolaash Quarterbridge Road Douglas Isle Of Man IM2 3RL
Permitted,12/00746/B,Installation of two replacement bay windows to front elevation,25-Jun-12,Senior Planning Officer - South (SC),24 Summerhill Road Onchan Isle Of Man IM3 1LY
Refused,12/00747/B,Alterations and erection of a two storey extension to dwelling,02-Jul-12,Senior Planning Officer - South (SC),16 Cherry Walk Douglas Isle Of Man IM2 5NN
Permitted,12/00748/B,Creation of two windows from existing doorways and installation of replacement windows along the South East elevation of  'C corridor' section,25-Jun-12,Senior Planning Officer - North (CB),Castle Rushen High School Arbory Road Castletown Isle Of Man IM9 1RE
Refused,12/00749/B,Erection of six dwellings with parking to replace existing Public House,20-Sep-12,Senior Planning Officer - South (SC),The New Inn New Road Laxey Isle Of Man IM4 7HS
Permitted,12/00750/B,Alterations and erection of a first floor dormer extension to dwelling,03-Jul-12,Senior Planning Officer - North (CB),Greenacres 8 Ballakneale Close Port Erin Isle Of Man IM9 6NE
Permitted,12/00751/B,Installation of new door set and replacement windows within existing sun room,02-Jul-12,Senior Planning Officer - South (SC),Ballaterson Beg Farmhouse Ballaterson Beg Ballaugh Isle Of Man IM7 5BN
Permitted,12/00752/C,Change of use of first floor of existing Opticians to a self contained office suite,13-Jul-12,Senior Planning Officer - South (SC),Corletts Opticians Kermode House Parliament Street Ramsey Isle Of Man IM8 1AQ
Permitted,12/00753/B,Erection of a single storey extension to replace existing store and conservatory,25-Jun-12,Senior Planning Officer - North (CB),Brookfield Ballafesson Road Port Erin Isle Of Man IM9 6BH
Permitted,12/00754/B,Roofing works,25-Jun-12,Senior Planning Officer - South (SC),GE Aviation School Road Onchan Isle Of Man IM3 4PB
Permitted,12/00755/C,Change of use of areas around site of agricultural shed from agriculture to agriculture and miscellaneous storage use (class 6) and landscaping works in part to fulfil condition 4 of PA 07/00008/B (retrospective),19-Nov-12,Planning Committee,Part Fields 135126 & 135128 (formally 134811)  Kella Farm St Judes Road Sulby Isle Of Man  
Permitted,12/00756/B,Erection of a block of ten industrial units,12-Jul-12,Senior Planning Officer - North (CB),Site At Corner Of Balthane Road And Port Way Balthane Industrial Estate Ballasalla Isle Of Man  
Permitted,12/00757/B,Erection of a sun room extension,02-Jul-12,Senior Planning Officer - South (SC),21B Farmhill Park Douglas Isle Of Man IM2 2EE
Permitted,12/00758/B,"Erection of a first floor extension, installation of French doors and raised decking to west elevation",03-Jul-12,Senior Planning Officer - North (CB),Hynish Spaldrick Avenue Port Erin Isle Of Man IM9 6PE
Permitted,12/00759/B,Erection of a garden store,25-Jun-12,Senior Planning Officer - South (SC),Ballairgey Abbeylands Isle Of Man IM4 5EE 
Permitted,12/00760/B,Erection of an agricultural building,02-Nov-12,Planning Committee,Field 114121 West Kimmeragh Road Bride Isle Of Man  
Refused,12/00761/B,Conversion of building into three apartments,10-Aug-12,Senior Planning Officer - South (SC),38 Demesne Road Douglas Isle Of Man IM1 3DY
Permitted,12/00762/B,Erection of a pair of semi-detached dwellings with integral garages to replace existing dwelling and garage,07-Aug-12,Planning Committee,29 Albany Road Peel Isle Of Man IM5 1JR
Refused,12/00763/B,Creation of wheelchair access in section of rear boundary wall,22-Aug-12,Head of Development Management,1 Gretch Noa Laxey Isle Of Man IM4 7PF
Permitted,12/00764/B,Conversion of dwelling into three apartments with parking,16-Jul-12,Senior Planning Officer - South (SC),8 Kingswood Grove Douglas Isle Of Man IM1 3LX
Permitted,12/00765/B,Alterations to entrance and reception areas to create disabled ramped access,04-Jul-12,Senior Planning Officer - South (SC),Ballakermeen High School St Catherines Drive Douglas Isle Of Man IM1 4BE 
Permitted,12/00766/C,Change of use of existing tourist apartments to permanent let apartments,24-Jul-12,Planning Committee,6 The Esplanade Central Promenade Douglas Isle Of Man IM2 4LR 
Refused,12/00767/B,Alterations and extension to rear annex to form a dwelling with garage,06-Sep-12,Senior Planning Officer - South (SC),6 Sydney Street Douglas Isle Of Man IM1 3JB
Permitted,12/00768/B,"Raising of roof and parapet over kitchen area, door alteration and creation of new steps and deliveries landing",04-Jul-12,Senior Planning Officer - South (SC),West Building  Ramsey Grammar School Lezayre Road Ramsey Isle Of Man IM8 2RG
Refused,12/00769/B,Erection of single storey extension to rear elevation installation of replacement windows and creation of hard standing and vehicular access in front garden,12-Jul-12,Senior Planning Officer - South (SC),79 Royal Avenue Onchan Isle Of Man IM3 1LA
Permitted,12/00770/B,Installation of replacement windows and doors to front and rear elevation (part retrospective),13-Aug-12,Head of Development Management,6 Upper Dukes Road Douglas Isle Of Man IM2 4BA
Permitted,12/00771/A,Approval in principle for erection of a dwelling,02-Oct-12,Planning Committee,Land Adjoining Clarecourt Marathon Road Douglas Isle Of Man IM2 4HL
Permitted,12/00772/B,"Erection of kitchen extension, re-building of garage and rear boundary wall",12-Jul-12,Senior Planning Officer - South (SC),19 Farrant Street Douglas Isle Of Man IM2 3HF
Permitted,12/00773/B,Renovation of existing dwelling and barn and erection of link extension to form a dwelling,07-Aug-12,Planning Committee,Kafue Cottage St Judes Road Sulby Isle Of Man IM7 2ES
Permitted,12/00774/B,Installation of dormers and window alterations,02-Jul-12,Senior Planning Officer - North (CB),Silverdale Lodge Silverdale Road Ballasalla Isle Of Man IM9 3DT
Permitted,12/00775/B,Erection of orangery to replace existing conservatory to rear elevation,04-Jul-12,Senior Planning Officer - North (CB),4 River Walk Braddan Douglas Isle Of Man IM4 4TJ
Refused,12/00776/A,Approval in principle for residential development of land,04-Dec-12,Senior Planning Officer - North (CB),Field 224243 Station Road Ballaugh Isle Of Man  
Permitted,12/00777/B,Creation of field access,11-Jul-12,Senior Planning Officer - South (SC),Field 132350 Glen Auldyn Ramsey Isle Of Man  
Permitted,12/00778/B,Erection of a first floor extension over garage and single storey extension to rear elevation,04-Jul-12,Senior Planning Officer - South (SC),7 Hilltop Rise Douglas Isle Of Man IM2 2LF
Permitted,12/00779/B,Conversion of existing shop and apartment into a single dwelling,13-Jul-12,Senior Planning Officer - South (SC),67 Derby Road Douglas Isle Of Man IM2 3EA
Permitted,12/00780/B,Installation of replacement windows to front elevation,02-Jul-12,Senior Planning Officer - North (CB),The Studio Beach Road Port St. Mary Isle Of Man IM9 5NE
Permitted,12/00781/B,Installation of replacement windows and doors and replace existing window with door,04-Jul-12,Senior Planning Officer - South (SC),Clenagh Veg Clenagh Road Sulby Isle Of Man IM7 3AB
Permitted,12/00782/B,Extension to playground and installation of play equipment (comprising amendment to PA 11/01695/B),04-Jul-12,Senior Planning Officer - South (SC),Ashley Hill School Ashley Road Onchan Isle Of Man IM3 3LA
Permitted,12/00783/B,Alterations and extensions to dwelling and alterations to entrance gates,11-Jul-12,Planning Committee,Ballaconn Cornaa Ramsey Isle Of Man IM7 1EE 
Permitted,12/00784/B,Erection of masonry wall to replace existing fencing on western boundary,13-Jul-12,Senior Planning Officer - South (SC),Admirals Court Mooragh Promenade Ramsey Isle Of Man IM8 3AX
Permitted,12/00785/B,Alterations and extension to dwelling,24-Jul-12,Senior Planning Officer - North (CB),7 Highcroft Avenue Douglas Isle Of Man IM2 5BW
Permitted,12/00786/B,Demolition and re-construction of part of dwelling and alterations and additions,04-Jul-12,Senior Planning Officer - North (CB),Villa Ludon Glen Helen Road Ballig St Johns Isle Of Man IM4 3NH
Permitted,12/00787/B,"Erection of extension, installation of dormer to rear elevation and alteration to driveway and vehicular access",24-Jul-12,Senior Planning Officer - North (CB),30 Howe Road Onchan Isle Of Man IM3 2BA
Permitted,12/00788/C,Additional use of annex for self catering holiday accommodation,04-Jul-12,Senior Planning Officer - South (SC),Barroose House Barroose Road Baldrine Isle Of Man IM4 6AR
Permitted,12/00789/B,Creation of new driveway and vehicular access onto highway,04-Jul-12,Senior Planning Officer - South (SC),22 Reayrt Carnane Douglas Isle Of Man IM2 5LN
Application Withdrawn,12/00790/B,Retention of temporary cover (variation of condition 2 of approved PA 09/01445/R),16-Oct-12,Withdrawn,Reayrt Ny Mourne The Meadows Kirk Michael Isle Of Man IM6 1EX
Permitted,12/00791/B,Installation of replacement windows,13-Jul-12,Senior Planning Officer - South (SC),Tanglin Bircham Avenue Ramsey Isle Of Man IM8 2LY
Permitted,12/00792/B,Erection of a two storey extension to dwelling,04-Jul-12,Senior Planning Officer - South (SC),Meadow Court Ballaughton Meadows Douglas Isle Of Man IM2 1JG
Permitted,12/00793/B,Erection of a garden room extension to replace existing conservatory,24-Jul-12,Senior Planning Officer - North (CB),9 Greenlands View Ramsey Isle Of Man IM8 2PB
Permitted,12/00794/B,Installation of an external air source heat pump unit and increase in boundary wall height (partial retrospective),13-Jul-12,Senior Planning Officer - North (CB),Westcliff Victoria Terrace Peel Isle Of Man IM5 1PG
Permitted,12/00795/B,Construction of a new car park for students and staff of the Isle of Man College of Further and Higher Education,13-Jul-12,Senior Planning Officer - South (SC),Isle Of Man College On-Line Test Centre Thie Ushtey  Glencrutchery Road Douglas Isle Of Man  
Permitted,12/00796/B,Erection of a replacement ticket kiosk,22-Aug-12,Senior Planning Officer - South (SC),Manx Electric Railway Station  Captains Hill Laxey Isle Of Man IM4 7AY
Permitted,12/00797/B,Erection of a two storey extension to side elevation and a replacement attached store,16-Jul-12,Senior Planning Officer - South (SC),80 Royal Avenue Onchan Isle Of Man IM3 1LB
Permitted,12/00798/B,Installation of replacement trolley shelters,13-Jul-12,Senior Planning Officer - South (SC),Tesco Store Lake Road Douglas Isle Of Man IM1 5AF
Permitted,12/00799/B,Erection of a conservatory to rear elevation of dwelling,13-Jul-12,Senior Planning Officer - South (SC),5 Orrys Close Douglas Isle Of Man IM2 7AG
Permitted,12/00800/B,Conversion of existing lower ground floor store to ancillary living accommodation,13-Jul-12,Senior Planning Officer - South (SC),31 Birch Hill Grove Onchan Isle Of Man IM3 4EN
Permitted,12/00801/B,Erection of a replacement conservatory to side elevation,13-Jul-12,Senior Planning Officer - South (SC),128 Dreeym Beary Douglas Isle Of Man IM2 5LE 
Application Withdrawn,12/00803/LAW,Application for a certificate of lawful development for removal of stone wall and erection of fence and gate,20-Jul-12,Withdrawn,19 Bridge Street Peel Isle Of Man IM5 1NQ
Refused,12/00804/D,Erection of advertising signage,12-Jul-12,Senior Planning Officer - North (CB),Motors & Mowers Station Road Kirk Michael Isle Of Man IM6 1AE
Permitted,12/00805/B, Replace existing stables with a building to provide two self catering tourist accommodation units,24-Jul-12,Planning Committee,Stables Adjacent To Ballavartyn House Ballavartyn Road Santon Isle Of Man  
Permitted,12/00806/B,Erection of a detached dwelling with integral garage (amendment to PA 10/01865/B),13-Jul-12,Senior Planning Officer - South (SC),4 Montreux Court Douglas Isle Of Man IM2 6AF 
Permitted,12/00807/B,Installation of a replacement window to dormer,12-Jul-12,Senior Planning Officer - North (CB),Craigweil Cronk Road Port St. Mary Isle Of Man IM9 5AS
Certificate of Lawfulness AGREED,12/00808/LAW,"Application for a certificate of lawful development for the installation of replacement windows, doors and roof tiles",14-Nov-12,Head of Development Management,15 Athol Terrace Castletown Isle Of Man IM9 1AL
Permitted,12/00809/B,Erection of an industrial vehicle storage / workshop unit,31-Jul-12,Senior Planning Officer - North (CB),Industrial Plot Close Chiarn Peel Isle Of Man  
Permitted,12/00810/B,Retention of portakabin to provide office/store/emergency base for synthetic pitch,12-Jul-12,Senior Planning Officer - North (CB),QEII High School Douglas Road Peel Isle Of Man IM5 1RD 
Permitted,12/00811/B,Retention of portakabin to provide office/store/emergency base for synthetic pitch,12-Jul-12,Senior Planning Officer - North (CB),Castle Rushen High School Arbory Road Castletown Isle Of Man IM9 1RE
Permitted,12/00812/B,Retention of portakabin to provide office/store/emergency base for synthetic pitch,13-Jul-12,Senior Planning Officer - South (SC),Ramsey Grammar School Lezayre Road Ramsey Isle Of Man IM8 2RG
Permitted,12/00813/B,"Alterations, erection of an extension and creation of a terrace",13-Jul-12,Senior Planning Officer - South (SC),Harpers Glen Hillberry Green Douglas Isle Of Man IM2 6DF
Permitted,12/00814/B,Conversion of existing outbuildings to form an additional dwelling and erection of a detached double garage and workshop,12-Sep-12,Director Delegation,Shellag Farm House Bride Road Bride Isle Of Man IM7 4AR
Permitted,12/00815/C,"Addition of business continuity and workshop use, to existing office and training premises",12-Jul-12,Senior Planning Officer - North (CB),Minerva House Ballafletcher Road Cronkbourne Douglas Isle Of Man IM4 4QJ 
Permitted,12/00816/B,"Demolition of existing hotels and the erection of a new hotel, including integral parking and ancillary facilities (In association with 12/00817/CON)",07-Aug-12,Planning Committee,Former Mannin And Broadway Hotels Broadway Douglas Isle Of Man IM2 4EL
Permitted,12/00817/CON,Registered Building Consent for the demolition of existing hotels (in association with 12/00816/B),07-Aug-12,Planning Committee,Former Mannin And Broadway Hotels Broadway  Douglas  Isle Of Man  IM2 4EL
Permitted,12/00818/B,Erection of a replacement dwelling,16-Oct-12,Planning Committee,4 Park View Old Castletown Road Douglas Isle Of Man IM4 1AD 
Permitted,12/00819/B,"Installation of replacement windows to front and rear elevations, rear door and roof lights",13-Jul-12,Senior Planning Officer - South (SC),16 Brunswick Road Douglas Isle Of Man IM2 3LQ
Permitted,12/00820/B,Replacement of existing glazed conservatory roof with tiles and roof light and replacement of existing windows on eastern elevation with solid wall,26-Jul-12,Head of Development Management,47 Clybane Rise Douglas Isle Of Man IM2 2LX
Permitted,12/00821/B,Erection of a single storey extension to rear elevation,12-Jul-12,Senior Planning Officer - North (CB),61 Arbory Street Castletown Isle Of Man IM9 1LL
Permitted,12/00822/B,"Erection of a store building, canopy to existing shower building and a flag pole",07-Aug-12,Planning Committee,Mullin Y Carty Camp Site Foxdale Road Ballasalla Isle Of Man  
Permitted,12/00823/B,Alterations and extensions to dwelling and creation of additional vehicular access,13-Jul-12,Senior Planning Officer - North (CB),Teen Kai Clifton Road Port St. Mary Isle Of Man IM9 5EL
Permitted,12/00824/B,Erection of two storey extension to side and rear elevation,18-Jul-12,Senior Planning Officer - North (CB),Cloverdale Glen Chass Road Glen Chass Port St. Mary Isle Of Man IM9 5PW
Permitted,12/00825/B,Installation of dormers and erection of a single storey extension,24-Jul-12,Senior Planning Officer - North (CB),11 Ballaterson Crescent Peel Isle Of Man IM5 1BL
Permitted,12/00826/B,Extension to side elevation and timber decking to rear elevation (comprising amendment to PA 12/00227/B),16-Jul-12,Senior Planning Officer - North (CB),4 Erin View Port Erin Isle Of Man IM9 6FG 
Permitted,12/00827/B,"Removal of access stairs, installation of patio door,  replace first floor door with window, and erection of vehicular access gate and pedestrian gate on rear boundary.",14-Aug-12,Senior Planning Officer - South (SC),2 Somerset Road Douglas Isle Of Man IM2 5AD
Permitted,12/00828/B,Erection of extension to replace existing lean-to extension,18-Jul-12,Senior Planning Officer - North (CB),7 Malew Road Castletown Isle Of Man IM9 4EA
Permitted,12/00829/B,Installation of replacement window,24-Jul-12,Senior Planning Officer - North (CB),Ballacooiley Cottage Dollagh Ballaugh Isle Of Man IM7 5AS 
Refused,12/00832/B,Demolition of existing dwelling and the erection of a replacement dwelling,02-Oct-12,Planning Committee,Cronk Ny Killey Dreemskerry Ramsey Isle Of Man IM7 1AX 
Permitted,12/00833/B,Erection of a timber footbridge over river,16-Jul-12,Senior Planning Officer - North (CB),Glen Wyllin Camp Site  Shore Road Kirk Michael Isle Of Man IM6 1HA 
Permitted,12/00834/A,Approval in principle for erection of a dwelling,21-Aug-12,Planning Committee,Land To Rear Of Olinda South Cape Laxey Isle Of Man  
